English Word	Emotion	Emotion-Intensity-Score	Myanmar-Burmese Word
entertaining	anticipation	0.602	ဖျော်ဖြေရေး
nervous	anticipation	0.602	အာရုံကြော
illuminate	anticipation	0.594	အလင်းပေးသည်။
accelerate	anticipation	0.594	အရှိန်မြှင့်
advent	anticipation	0.594	ထွန်းကားသည်။
romance	anticipation	0.594	အချစ်ဇာတ်လမ်း
result	anticipation	0.594	ရလဒ်
arrive	anticipation	0.594	ရောက်ရှိလာ
momentum	anticipation	0.594	အရှိန်
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	ပြန်မီးတောက်
preparedness	anticipation	0.594	ကြိုတင်ပြင်ဆင်မှု
acquiring	anticipation	0.594	ကလေးလည်းရှိတယ်။
luck	anticipation	0.594	ကံတရား
marry	anticipation	0.594	လက်ထပ်ထိမ်းမြား
predict	anticipation	0.589	ခန့်မှန်း
money	anticipation	0.586	ပိုက်ဆံ
auspices	anticipation	0.586	အခမ်းနား
uplift	anticipation	0.586	မြှင့်တင်ပါ။
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	ကြည်နူးခြင်း။
preparation	anticipation	0.586	ပြင်ဆင်မှု
raffle	anticipation	0.586	မဲနှိုက်ခြင်း။
investigation	anticipation	0.586	စုံစမ်းစစ်ဆေးရေး
progression	anticipation	0.586	တိုးတက်မှု
overdue	anticipation	0.586	ရက်လွန်
crave	anticipation	0.586	တပ်မက်ခြင်း။
impatient	anticipation	0.586	စိတ်မရှည်
enthusiast	anticipation	0.586	ဝါသနာအိုး
flirt	anticipation	0.586	ပရောပရည်
seek	anticipation	0.586	ရှာသည်။
sequel	anticipation	0.586	နောက်ဆက်တွဲ
presumption	anticipation	0.586	ယူဆချက်
delightful	anticipation	0.586	ကြည်နူးဖွယ်
gambling	anticipation	0.586	လောင်းကစား
immerse	anticipation	0.586	နှစ်မြှုပ်
endeavor	anticipation	0.586	ကြိုးစားအားထုတ်မှု
experiment	anticipation	0.580	စမ်းသပ်မှု
enjoy	anticipation	0.578	ပျော်ပျော်ပါးပါး
completing	anticipation	0.578	ပြီးမြောက်ခြင်း။
clamor	anticipation	0.578	အော်ဟစ်
angling	anticipation	0.578	ထောင့်ချိုး
majestic	anticipation	0.578	ခံ့ညားသော
divination	anticipation	0.578	ဗေဒင်ဟောခြင်း။
transcendence	anticipation	0.578	အဘိညာဉ်
thriving	anticipation	0.578	တိုးတက်
excavation	anticipation	0.578	တူးဖော်ခြင်း။
thirst	anticipation	0.578	ရေငတ်
remedy	anticipation	0.578	ကိုးကွယ်ရာ
harvest	anticipation	0.578	ရိတ်သိမ်း
risk	anticipation	0.578	အန္တရာယ်
healing	anticipation	0.578	အနာရောဂါငြိမ်းစရာ
heavenly	anticipation	0.578	ကောင်းကင်ဘုံ
inviting	anticipation	0.578	ဖိတ်ခေါ်ပါတယ်။
precarious	anticipation	0.578	မရေရာသော
attainable	anticipation	0.578	ရနိုင်သော
blessing	anticipation	0.578	ကောင်းချီး
prosper	anticipation	0.578	ကောင်းစား
tease	anticipation	0.570	ကျီစား
plan	anticipation	0.570	အစီအစဉ်
sweetheart	anticipation	0.570	ချစ်လေး
zest	anticipation	0.570	zest
magnificence	anticipation	0.570	ခမ်းနားမှု
ultimate	anticipation	0.570	အဆုံးစွန်
emancipation	anticipation	0.570	လွတ်မြောက်ရေး
restlessness	anticipation	0.570	ဂနာမငြိမ်ခြင်း။
finally	anticipation	0.570	နောက်ဆုံးတော့
intimate	anticipation	0.570	ရင်းနှီးသော
omen	anticipation	0.570	အတိတ်နိမိတ်
matchmaker	anticipation	0.570	အောင်သွယ်
gambler	anticipation	0.570	လောင်းကစားသမား
prospectively	anticipation	0.570	အလားအလာ
dare	anticipation	0.570	ရဲရဲ
warned	anticipation	0.570	သတိပေးခဲ့သည်။
invite	anticipation	0.570	ဖိတ်ခေါ်ပါတယ်။
mysterious	anticipation	0.562	လျှို့ဝှက်ဆန်းကြယ်
accolade	anticipation	0.562	ချီးကျူးဂုဏ်ပြုခြင်း။
lover	anticipation	0.562	ချစ်သူ
expose	anticipation	0.562	ဖော်ထုတ်ပါ။
enchant	anticipation	0.562	ကျက်သရေရှိသည်။
attempt	anticipation	0.562	ကြိုးပမ်းမှု
festival	anticipation	0.562	ပွဲတော်
exalt	anticipation	0.562	ချီးမြှောက်ပါ။
rejoice	anticipation	0.562	ဝမ်းမြောက်ပါ။
independence	anticipation	0.562	လွတ်လပ်ရေး
expected	anticipation	0.562	မျှော်လင့်ထားသည့်
fanfare	anticipation	0.562	ပရိတ်သတ်
immortality	anticipation	0.562	မဖောက်ပြန်
quicken	anticipation	0.562	မြန်စေ
parade	anticipation	0.562	ချီတက်ပွဲ
fun	anticipation	0.562	ပျော်စရာ
predilection	anticipation	0.562	predilection
champion	anticipation	0.562	ချန်ပီယံ
forewarned	anticipation	0.562	ကြိုတင်သတိပေးထားသည်။
hypothesis	anticipation	0.562	အယူအဆ
trophy	anticipation	0.562	စစ်အောင်နိုင်မှုအထိမ်းအမှတ်ပစ္စည်း
shopping	anticipation	0.555	စျေးဝယ်
salvation	anticipation	0.555	ကယ်တင်ခြင်း
feeling	anticipation	0.555	ခံစားချက်
speculative	anticipation	0.555	မှန်းဆ
oracle	anticipation	0.555	oracle
heroism	anticipation	0.555	သူရဲကောင်းဝါဒ
boisterous	anticipation	0.555	ရတယ်ဆိုတဲ့
grasping	anticipation	0.555	ဆုပ်ကိုင်
uneasiness	anticipation	0.555	စိတ်မသက်မသာ
curiosity	anticipation	0.555	သိချင်စိတ်
happy	anticipation	0.555	ပျော်တယ်။
rejoicing	anticipation	0.555	ဝမ်းမြောက်ခြင်း။
fate	anticipation	0.555	ကံကြမ္မာ
liberty	anticipation	0.555	လွတ်လပ်မှု
unfold	anticipation	0.555	ဖြည်
amour	anticipation	0.555	အချစ်
lovely	anticipation	0.555	ချစ်စရာကောင်းတဲ့
splendor	anticipation	0.555	ဘုန်း
grow	anticipation	0.555	ကြီးထွား
glimmer	anticipation	0.547	တောက်ပသော
incite	anticipation	0.547	သွေးထိုးတယ်။
abundance	anticipation	0.547	စည်းစိမ်ဥစ္စာ
resultant	anticipation	0.547	ရလဒ်
probability	anticipation	0.547	ဖြစ်နိုင်ခြေ
recreational	anticipation	0.547	အပန်းဖြေစရာ
glory	anticipation	0.547	ဘုန်း
agape	anticipation	0.547	အဟောင်းသား
delighted	anticipation	0.547	ဝမ်းသာပီတိဖြစ်
changeable	anticipation	0.547	ပြောင်းလဲနိုင်သော
convergence	anticipation	0.547	ပေါင်းဆုံခြင်း။
bountiful	anticipation	0.547	ဖြင်
warn	anticipation	0.547	သတိပေး
monetary	anticipation	0.547	ငွေကြေး
sorcery	anticipation	0.547	နတ်ဝိဇ္ဇာ
morrow	anticipation	0.547	နက်ဖြန်
apprehensive	anticipation	0.547	စိုးရိမ်စရာ
hungry	anticipation	0.547	ဗိုက်ဆာတယ်။
vote	anticipation	0.547	မဲပေးပါ။
suspicious	anticipation	0.547	သံသယဖြစ်ဖွယ်
pray	anticipation	0.547	ဆုတောင်းပါ။
leisure	anticipation	0.547	အပန်းဖြေ
hunting	anticipation	0.539	အမဲလိုက်ခြင်း။
sensual	anticipation	0.539	အာရုံငါးပါး
tempest	anticipation	0.539	မုန်တိုင်း
auction	anticipation	0.539	လေလံ
ballot	anticipation	0.539	မဲ
grandchildren	anticipation	0.539	မြေးများ
hankering	anticipation	0.539	ဟန်ဆောင်ခြင်း။
entertainment	anticipation	0.539	ဖျော်ဖြေရေး
merge	anticipation	0.539	ပေါင်းစည်း
exceed	anticipation	0.539	ကျော်လွန်
vindication	anticipation	0.539	သက်သေပြခြင်း။
blessings	anticipation	0.539	ကောင်းချီးများ
inquiry	anticipation	0.539	စုံစမ်းရေး
bounty	anticipation	0.539	ဆုကြေးငွေ
worrying	anticipation	0.539	စိုးရိမ်စရာ
contingent	anticipation	0.539	ဆက်ပြောပါတယ်။
glad	anticipation	0.536	ဝမ်းသာပါတယ်။
harbinger	anticipation	0.531	harbinger
magnificent	anticipation	0.531	ခမ်းနားသည်။
virginity	anticipation	0.531	အပျိုစင်ဘဝ
stealthy	anticipation	0.531	ကိုယ်ပျောက်
appeal	anticipation	0.531	အယူခံဝင်
forming	anticipation	0.531	များခြင်း။
celestial	anticipation	0.531	ဒေဝေါ
raving	anticipation	0.531	အရူးအမူး
deliverance	anticipation	0.531	ကယ်တင်ခြင်း
feat	anticipation	0.531	စွမ်းဆောင်
cheer	anticipation	0.531	ပျော်ရွှင်ပါစေ။
responsive	anticipation	0.531	တုံ့ပြန်မှု
hurried	anticipation	0.531	သုတ်သုတ်
betrothed	anticipation	0.531	ထိမ်းမြားခဲ့သည်။
overthrow	anticipation	0.531	ဖြုတ်ချ
spirits	anticipation	0.531	နတ်
dread	anticipation	0.531	စိတ်ညစ်တယ်။
visitor	anticipation	0.531	ဧည့်သည်
wait	anticipation	0.523	စောင့်ပါ
revive	anticipation	0.523	ပြန်လည်ရှင်သန်ပါ။
watch	anticipation	0.523	စောင့်ကြည့်
hunter	anticipation	0.523	မုဆိုး
radiance	anticipation	0.523	ရောင်ခြည်
planning	anticipation	0.523	စီစဉ်ခြင်း။
germination	anticipation	0.523	ပေါက်ခြင်း။
competition	anticipation	0.523	ပြိုင်ပွဲ
preparatory	anticipation	0.523	ပြင်ဆင်မှု
prognostic	anticipation	0.523	ကြိုတင်ခန့်မှန်းချက်
beaming	anticipation	0.523	တုန်ယင်နေသည်။
cheery	anticipation	0.523	ရွှင်လန်း
prevail	anticipation	0.523	အောင်မြင်
importance	anticipation	0.523	အရေးကြီးပုံ
notification	anticipation	0.523	အသိပေးချက်
explosive	anticipation	0.523	ဖောက်ခွဲရေးပစ္စည်း
pleasant	anticipation	0.523	သာယာသော
ultimately	anticipation	0.523	နောက်ဆုံးတော့
child	anticipation	0.523	ကလေး
haste	anticipation	0.523	ကြီးပဲ။
prophet	anticipation	0.523	ပရောဖက်
recreation	anticipation	0.516	အပန်းဖြေ
present	anticipation	0.516	ပစ္စုပ္ပန်
time	anticipation	0.516	အချိန်
sensuality	anticipation	0.516	ကာမဂုဏ်
owing	anticipation	0.516	အကြွေး
loom	anticipation	0.516	ရက်ကန်းစင်
begun	anticipation	0.516	စတင်ခဲ့သည်။
salary	anticipation	0.516	လစာ
celebrity	anticipation	0.516	ကျော်ကြားသူ
treat	anticipation	0.516	ဆက်ဆံပါ။
chocolate	anticipation	0.516	ချောကလက်
caution	anticipation	0.516	သတိ
fermentation	anticipation	0.516	ကစော်ဖောက်ခြင်း။
uncontrollable	anticipation	0.516	ထိန်းချုပ်မရသော
precious	anticipation	0.516	အဖိုးတန်
compensate	anticipation	0.516	လျော်ကြေးပေးသည်။
endanger	anticipation	0.516	အန္တရာယ်
renovation	anticipation	0.516	ပြုပြင်မွမ်းမံခြင်း။
signify	anticipation	0.508	ဆိုလိုသည်။
vigilance	anticipation	0.508	သတိထားပါ။
prerequisite	anticipation	0.508	လိုအပ်ချက်များ
perfection	anticipation	0.508	ပြီးပြည့်စုံမှု
cultivate	anticipation	0.508	ပြုစုပျိုးထောင်ပါ။
develop	anticipation	0.508	ဖွံ့ဖြိုးတိုးတက်
cue	anticipation	0.508	ကိုိ
exigent	anticipation	0.508	exigent
transitional	anticipation	0.508	အကူးအပြောင်း
commemoration	anticipation	0.508	အထိမ်းအမှတ်
intermission	anticipation	0.508	ကြားဖြတ်
elevation	anticipation	0.508	အမြင့်
infant	anticipation	0.508	မွေးကင်းစ
practise	anticipation	0.508	လေ့ကျင့်သည်
contemplation	anticipation	0.508	ဆင်ခြင်ခြင်း။
dreadful	anticipation	0.508	ကြောက်စရာကောင်းသော
wilderness	anticipation	0.508	တောမှာ
horizon	anticipation	0.508	မိုးကုပ်စက်ဝိုင်း
sneaking	anticipation	0.500	ခိုးကြောင်ခိုးဝှက်
uphill	anticipation	0.500	ကုန်းတက်
puppy	anticipation	0.500	ခွေးကလေး
blindfold	anticipation	0.500	မျက်ကွယ်
unbridled	anticipation	0.500	သန်မာသော
horoscope	anticipation	0.500	ဇာတာ
airport	anticipation	0.500	လေဆိပ်
reconciliation	anticipation	0.500	ပြန်လည်သင့်မြတ်ရေး
advocacy	anticipation	0.500	စည်းရုံးရေး
litigate	anticipation	0.500	တရားစွဲပါ။
sunny	anticipation	0.500	နေသာသည်။
intuitively	anticipation	0.500	အလိုလိုသိသည်။
hero	anticipation	0.500	သူရဲကောင်း
ardent	anticipation	0.500	ပြင်းပြသည်။
commemorate	anticipation	0.500	အထိမ်းအမှတ်
romantic	anticipation	0.500	အချစ်ရေး
doomsday	anticipation	0.500	ကံဆိုးခြင်းနေ့
ready	anticipation	0.500	အဆင်သင့်
nascent	anticipation	0.500	အခြေတည်သည်။
invocation	anticipation	0.500	ဖိတ်ခေါ်ချက်
depart	anticipation	0.500	ထွက်သွား
undisclosed	anticipation	0.500	အလုံပိတ်ထားသည်။
attendance	anticipation	0.500	တက်ရောက်ခြင်း။
peril	anticipation	0.500	အန္တရာယ်
income	anticipation	0.500	ဝင်ငွေ
calculation	anticipation	0.500	တွက်ချက်မှု
zeal	anticipation	0.500	ဇွဲ
eventuality	anticipation	0.500	ဖြစ်ပျက်မှု
favorable	anticipation	0.500	အခွင့်သာသည်။
utopian	anticipation	0.500	Utopian
swim	anticipation	0.500	ရေကူး
proceeding	anticipation	0.492	ဆက်လက်ဆောင်ရွက်သည်။
eventual	anticipation	0.492	နောက်ဆုံး
heyday	anticipation	0.492	မင်္ဂလာရှိသောနေ့
undertaking	anticipation	0.492	ခံဝန်ချက်
improvise	anticipation	0.492	ကြံဖန်
inauguration	anticipation	0.492	ကျမ်းသစ္စာကျိန်ဆိုခြင်း။
consequent	anticipation	0.492	အကျိုးဆက်
perspective	anticipation	0.492	ရှုထောင့်
defense	anticipation	0.492	ကာကွယ်ရေး
repay	anticipation	0.492	ပြန်ဆပ်
gaping	anticipation	0.492	ဟင်းလင်း
youth	anticipation	0.492	လူငယ်
parole	anticipation	0.492	လွတ်ငြိမ်းချမ်းသာခွင့်
worry	anticipation	0.492	စိတ်မပူနဲ့
bless	anticipation	0.492	မေတ္တာပို့ပါ။
restorative	anticipation	0.492	ပြန်လည်ထူထောင်ရေး
court	anticipation	0.492	တရားရုံး
highest	anticipation	0.491	အမြင့်ဆုံး
shortly	anticipation	0.484	မကြာမီ
auspicious	anticipation	0.484	မင်္ဂလာရှိသော
princely	anticipation	0.484	မင်းသား
correspondence	anticipation	0.484	စာပေးစာယူ
generosity	anticipation	0.484	ရက်ရောမှု
sparkle	anticipation	0.484	ကွန့်မြူး
voluptuous	anticipation	0.484	ဆွဲဆောင်မှုရှိသော
happen	anticipation	0.484	ဖြစ်ပျက်
tremor	anticipation	0.484	တုန်လှုပ်ခြင်း။
letter	anticipation	0.484	စာ
vow	anticipation	0.484	အဓိဋ္ဌာန်
sharpen	anticipation	0.484	ထက်မြက်
duel	anticipation	0.484	duel
conjure	anticipation	0.484	conjure
threaten	anticipation	0.484	ခြိမ်းခြောက်
god	anticipation	0.484	ဘုရားသခ
engulf	anticipation	0.484	မျိုချ
unexplained	anticipation	0.484	မရှင်းပြတတ်ပါ။
contagion	anticipation	0.484	ကူးစက်ခြင်း။
glorify	anticipation	0.477	ချီးမြှောက်ပါ။
submit	anticipation	0.477	တင်ပြပါ။
enroll	anticipation	0.477	စာရင်းသွင်းပါ။
unification	anticipation	0.477	ပေါင်းစည်းရေး
gravitate	anticipation	0.477	gravitate
glide	anticipation	0.477	ဝဲပျံ
accompaniment	anticipation	0.477	ပါကင်
cherish	anticipation	0.477	မြတ်နိုးပါ။
adore	anticipation	0.477	ချစ်သည်။
powerful	anticipation	0.477	အစွမ်းထက်
clue	anticipation	0.477	သဲလွန်စ
medal	anticipation	0.477	ဆုတံဆိပ်
contemplate	anticipation	0.477	ဆင်ခြင်ပါ။
perilous	anticipation	0.477	အန္တရာယ်ရှိသော
determinate	anticipation	0.477	ဆုံးဖြတ်သည်။
arbitration	anticipation	0.477	ခုံသမာဓိ
recipient	anticipation	0.477	လက်ခံသူ
onset	anticipation	0.477	စတင်ခြင်း။
predispose	anticipation	0.477	အစွဲပြုသည်။
score	anticipation	0.477	နိုင်ပြီ
torture	anticipation	0.477	ညှဉ်းပန်းနှိပ်စက်ခြင်း။
glow	anticipation	0.477	တောက်
praiseworthy	anticipation	0.473	ချီးမွမ်းထိုက်သော
football	anticipation	0.469	ဘောလုံး
scare	anticipation	0.469	တွှေ
elite	anticipation	0.469	အထက်တန်းစား
unknown	anticipation	0.469	မသိ
precursor	anticipation	0.469	ရှေ့ပြေးနိမိတ်
pry	anticipation	0.469	pry
providing	anticipation	0.469	ပေးသည်။
sweets	anticipation	0.469	ချိုချဉ်
cautious	anticipation	0.469	သတိထားပါ။
opera	anticipation	0.469	အော်ပရာ
motion	anticipation	0.469	လှုပ်ရှားမှု
cash	anticipation	0.469	ငွေသား
creeping	anticipation	0.469	တွားသွား
invoke	anticipation	0.469	ဖိတ်ခေါ်ပါ။
star	anticipation	0.469	ကြယ်ပွင့်
shaky	anticipation	0.469	မတုန်လှုပ်
production	anticipation	0.469	ထုတ်လုပ်မှု
successful	anticipation	0.469	အောင်မြင်သည်။
immediately	anticipation	0.469	ချက်ချင်း
dawn	anticipation	0.469	မိုးသောက်
starry	anticipation	0.469	ကြယ်ရောင်
unsurpassed	anticipation	0.469	မသာလွန်သော
completion	anticipation	0.469	ပြီးစီးခြင်း။
hire	anticipation	0.469	ငှားရမ်းပါ။
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	အထိမ်းအမှတ်
shining	anticipation	0.461	ထွန်းလင်း
testament	anticipation	0.461	သေတမ်းစာ
pay	anticipation	0.461	ပေးဆောင်
alive	anticipation	0.461	အသက်ရှင်လျက်
plight	anticipation	0.461	အတိဒုက္ခ
preliminary	anticipation	0.461	ပဏာမ
overture	anticipation	0.461	လှည့်စားခြင်း။
sanctuary	anticipation	0.461	တုံ
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	အကြမ်း
synchronize	anticipation	0.461	ထပ်တူပြုပါ။
soundness	anticipation	0.461	အသံထွက်
extricate	anticipation	0.461	extricate
excel	anticipation	0.461	Excel
punt	anticipation	0.461	ဖေါက်သည်
untold	anticipation	0.461	မပြောနိုင်သော
brilliant	anticipation	0.461	တောက်ပ
cheerfulness	anticipation	0.461	ရွှင်လန်းမှု
jeopardy	anticipation	0.461	အန္တရာယ်
friendly	anticipation	0.461	ဖော်ရွေသော
mail	anticipation	0.461	မေးလ်
unexpected	anticipation	0.453	မျှော်လင့်မထားသော
basketball	anticipation	0.453	ဘတ်စကက်ဘော
inaugural	anticipation	0.453	ဖွင့်ပွဲ
supremacy	anticipation	0.453	ရာထူးကြီးခြင်း။
rehabilitation	anticipation	0.453	ပြန်လည်ထူထောင်ရေး
intimately	anticipation	0.453	တရင်းတနှီး
career	anticipation	0.453	အသက်မွေးဝမ်းကျောင်း
prevention	anticipation	0.453	ကာကွယ်ရေး
renovate	anticipation	0.453	ပြန်လည်ပြုပြင်ပါ။
compliment	anticipation	0.453	ချီးကျူးပါတယ်။
prologue	anticipation	0.453	စကားချီး
elegance	anticipation	0.453	ကျက်သရေရှိသည်။
complement	anticipation	0.453	အဖြည့်
flinch	anticipation	0.453	တုန်လှုပ်ခြင်း။
infinity	anticipation	0.453	အဆုံးမရှိ
perpetuity	anticipation	0.453	ထာဝရ
sunset	anticipation	0.453	နေဝင်ချိန်
improve	anticipation	0.453	တိုးတက်
fitting	anticipation	0.445	လျောက်ပတ်သည်။
confidence	anticipation	0.445	ယုံကြည်မှု
concealment	anticipation	0.445	ဖုံးကွယ်ခြင်း။
sweet	anticipation	0.445	ချိုမြိန်
perfect	anticipation	0.445	ပြီးပြည့်စုံသော
epidemic	anticipation	0.445	ကပ်ရောဂါ
fain	anticipation	0.445	မူးမေ့
volunteer	anticipation	0.445	စေတနာ့ဝန်ထမ်း
share	anticipation	0.445	မျှဝေပါ။
surround	anticipation	0.445	ဝန်းရံ
conjecture	anticipation	0.445	ထင်မြင်ချက်
sun	anticipation	0.445	နေ
veracity	anticipation	0.445	မှန်ကန်မှု
serial	anticipation	0.438	အမှတ်စဉ်
angel	anticipation	0.438	နတ်သမီးလေး
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	သူတော်စင်
tickle	anticipation	0.438	ကလိထိုးသည်။
superstitious	anticipation	0.438	အယူသီးသော
ferment	anticipation	0.438	အချဉ်ဖောက်
conservation	anticipation	0.438	ထိန်းသိမ်းရေး
devout	anticipation	0.438	ကိုင်းရှိုင်းသူ
respect	anticipation	0.438	လေးစားပါတယ်။
reconstruction	anticipation	0.438	ပြန်လည်တည်ဆောက်ရေး
goodness	anticipation	0.438	ကောင်းမြတ်ခြင်း
reconstruct	anticipation	0.438	ပြန်လည်တည်ဆောက်ပါ။
faith	anticipation	0.438	ယုံကြည်ခြင်း
recombination	anticipation	0.438	ပြန်လည်ပေါင်းစပ်ခြင်း။
prepared	anticipation	0.438	ပြင်ဆင်
rabid	anticipation	0.438	ခွေးရူး
plea	anticipation	0.438	အသနားခံ
medical	anticipation	0.438	ဆေးဘက်ဆိုင်ရာ
passenger	anticipation	0.438	ခရီးသည်
charitable	anticipation	0.430	ကုသိုလ်ဖြစ်
tabulate	anticipation	0.430	ဇယားကွက်
peace	anticipation	0.430	ငြိမ်းချမ်းရေး
install	anticipation	0.430	install လုပ်ပါ။
serenity	anticipation	0.430	ငြိမ်သက်ခြင်း
venerable	anticipation	0.430	အသျှင်ဘုရား
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	ဝင်္ကဘာ
luscious	anticipation	0.430	အရသာရှိသော
perpetuate	anticipation	0.430	တည်မြဲပါစေ။
strategist	anticipation	0.430	ဗျူဟာမှူး
unverified	anticipation	0.430	အတည်မပြုရသေးပါ။
tribunal	anticipation	0.430	ခုံရုံး
clap	anticipation	0.430	လက်ခုပ်တီးသည်။
peaceful	anticipation	0.422	ငြိမ်းချမ်းသော
patience	anticipation	0.422	သည်းခံခြင်း
unresolved	anticipation	0.422	မဖြေရှင်းနိုင်
worship	anticipation	0.422	ရှိခိုး
edification	anticipation	0.422	ပြုပြင်ရေး
oasis	anticipation	0.422	အိုအေစစ်
grin	anticipation	0.422	ဖြဲ
revere	anticipation	0.422	ထိပ်ထား
candid	anticipation	0.422	လင်းလင်း
vista	anticipation	0.422	ရှုခင်း
conspirator	anticipation	0.422	ပူးပေါင်းကြံစည်သူ
adrift	anticipation	0.422	မျောပါ
recognizable	anticipation	0.422	မှတ်မိနိုင်သော
volatility	anticipation	0.422	မတည်ငြိမ်မှု
forestall	anticipation	0.422	သစ်တော
laughter	anticipation	0.422	ရယ်မောခြင်း။
continue	anticipation	0.414	ဆက်လက်
ongoing	anticipation	0.414	လုပ်ဆောင်ဆဲ
astrologer	anticipation	0.414	ဗေဒင်ဆရာ
mediate	anticipation	0.414	ပြေလည်အောင်
punctual	anticipation	0.414	အချိန်မှန်
grant	anticipation	0.414	ထောက်ပံ့သည်။
morn	anticipation	0.414	မနက်ခင်း
pretty	anticipation	0.414	လှတယ်။
withstand	anticipation	0.414	သည်းခံပါ။
frisky	anticipation	0.414	ခပ်သွက်သွက်
thought	anticipation	0.414	အတွေး
probation	anticipation	0.414	အစမ်းခန့်
ordination	anticipation	0.414	သိမ်
calls	anticipation	0.414	ခေါ်ဆိုမှုများ
detainee	anticipation	0.414	အထိန်းသိမ်းခံ
craps	anticipation	0.414	ကြွက်တက်သည်။
weigh	anticipation	0.414	အလေးချိန်
proficiency	anticipation	0.414	ကျွမ်းကျင်မှု
sing	anticipation	0.411	သီချင်းဆို
continuation	anticipation	0.406	ဆက်ရန်
university	anticipation	0.406	တက္ကသိုလ်
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	ပြုစုပျိုးထောင်ပါ။
mother	anticipation	0.406	အမေ
punished	anticipation	0.406	အပြစ်ပေးခံရ
twinkle	anticipation	0.406	မှိတ်တုတ်
confession	anticipation	0.406	ဝန်ခံခြင်း။
outdo	anticipation	0.406	လက်စောင်းထက်
prophylactic	anticipation	0.406	ကြိုတင်ကာကွယ်မှု
proud	anticipation	0.406	ဂုဏ်ယူတယ်။
midwife	anticipation	0.406	သားဖွားဆရာမ
wizard	anticipation	0.406	မှော်ဆရာ
headlight	anticipation	0.406	ရှေ့မီး
long	anticipation	0.406	ရှည်
banquet	anticipation	0.406	ပွဲ
comfort	anticipation	0.406	နှစ်သိမ့်မှု
navigable	anticipation	0.406	ရေကြောင်းသွားလာနိုင်သော
subscribe	anticipation	0.406	စာရင်းသွင်းပါ။
opponent	anticipation	0.406	ပြိုင်ဘက်
debenture	anticipation	0.406	အစုရှယ်ယာ
deal	anticipation	0.402	သဘောတူညီချက်
symphony	anticipation	0.398	ဆင်ဖိုနီ
saintly	anticipation	0.398	သူတော်စင်
judiciary	anticipation	0.398	တရားစီရင်ရေး
lettered	anticipation	0.398	ရေးခဲ့သည်။
vigil	anticipation	0.398	သတိထားပါ။
reliance	anticipation	0.398	အားကိုး
distracting	anticipation	0.398	ဂျာနယ်ကျော်မမလေး
mortification	anticipation	0.398	mortification
balm	anticipation	0.398	ဗာလစံစေး
simmer	anticipation	0.398	ဆူအောင်တည်ပါ။
top	anticipation	0.398	ထိပ်တန်း
obliging	anticipation	0.398	နှစ်သိမ့်မှု
efficient	anticipation	0.398	ထိရောက်မှု
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	ကိုယ်စားပြုသည်။
death	anticipation	0.398	သေခြင်း။
assurance	anticipation	0.391	အာမခံချက်
familiarity	anticipation	0.391	ရင်းနှီးမှု
depraved	anticipation	0.391	ဒုဿီလ
condemnation	anticipation	0.391	ရှုံ့ချခြင်း။
undoubted	anticipation	0.391	သံသယမရှိ
sanctify	anticipation	0.391	သန့်ရှင်းစေပါ။
diplomacy	anticipation	0.391	သံတမန်ရေးရာ
antidote	anticipation	0.391	ဖြေဆေး
trust	anticipation	0.391	ယုံကြည်မှု
linger	anticipation	0.391	တဝဲလည်လည်
objective	anticipation	0.391	ရည်မှန်းချက်
chuckle	anticipation	0.391	ရယ်မော
poke	anticipation	0.391	ထိုး
abeyance	anticipation	0.391	မလိုက်နာခြင်း။
maternal	anticipation	0.391	မိခင်
art	anticipation	0.391	အနုပညာ
unfulfilled	anticipation	0.391	မပြည့်စုံ
inoculation	anticipation	0.384	inoculation
simplify	anticipation	0.383	ရိုးရှင်းအောင်လုပ်ပါ။
depend	anticipation	0.383	မှီခို
chant	anticipation	0.383	ရွတ်ဆိုခြင်း။
ram	anticipation	0.383	ရမ်
banger	anticipation	0.383	ပေါက်ကွဲသည်။
playground	anticipation	0.383	ကစားကွင်း
labor	anticipation	0.383	လုပ်အား
scientist	anticipation	0.383	သိပ္ပံပညာရှင်
good	anticipation	0.383	ကောင်းတယ်
humanitarian	anticipation	0.383	လူသားချင်းစာနာမှု
failing	anticipation	0.383	ပျက်ကွက်
hap	anticipation	0.383	ဟတ်
dutiful	anticipation	0.383	တာဝန်ကျေ
hymn	anticipation	0.383	ဓမ္မသီချင်း
ship	anticipation	0.383	သင်္ဘော
discretion	anticipation	0.383	သမ္မာသတိ
undecided	anticipation	0.383	မဆုံးဖြတ်ရသေး
gradual	anticipation	0.375	တဖြည်းဖြည်း
navigator	anticipation	0.375	လမ်းကြောင်းပြသူ
track	anticipation	0.375	တစ်ပုဒ်
cradle	anticipation	0.375	ပုခက်
sterling	anticipation	0.375	စတာလင်
interim	anticipation	0.375	ကြားဖြတ်
clock	anticipation	0.375	နာရီ
mountain	anticipation	0.375	တောင်
interminable	anticipation	0.375	interminable
public	anticipation	0.375	အများသူငှာ
recurrent	anticipation	0.375	ထပ်တလဲလဲ
