English Word	Emotion	Emotion-Intensity-Score	Gujarati Word
plan	anticipation	0.570	યોજના
sweetheart	anticipation	0.570	પ્રેમિકા
zest	anticipation	0.570	ઝાટકો
magnificence	anticipation	0.570	ભવ્યતા
ultimate	anticipation	0.570	અંતિમ
emancipation	anticipation	0.570	મુક્તિ
restlessness	anticipation	0.570	બેચેની
finally	anticipation	0.570	છેલ્લે
intimate	anticipation	0.570	ઘનિષ્ઠ
omen	anticipation	0.570	શુકન
matchmaker	anticipation	0.570	મેચમેકર
gambler	anticipation	0.570	જુગારી
prospectively	anticipation	0.570	સંભવિતપણે
dare	anticipation	0.570	હિંમત
warned	anticipation	0.570	ચેતવણી આપી
invite	anticipation	0.570	આમંત્રિત
mysterious	anticipation	0.562	રહસ્યમય
accolade	anticipation	0.562	વખાણ
lover	anticipation	0.562	પ્રેમી
expose	anticipation	0.562	છતી કરવી
enchant	anticipation	0.562	મોહિત કરવું
attempt	anticipation	0.562	પ્રયાસ
festival	anticipation	0.562	તહેવાર
exalt	anticipation	0.562	ઉત્કૃષ્ટ
rejoice	anticipation	0.562	આનંદ કરો
independence	anticipation	0.562	સ્વતંત્રતા
expected	anticipation	0.562	અપેક્ષિત
fanfare	anticipation	0.562	ધામધૂમ
immortality	anticipation	0.562	અમરત્વ
quicken	anticipation	0.562	ઝડપી બનાવવું
parade	anticipation	0.562	પરેડ
fun	anticipation	0.562	મજા
predilection	anticipation	0.562	પૂર્વગ્રહ
champion	anticipation	0.562	ચેમ્પિયન
forewarned	anticipation	0.562	અગાઉથી ચેતવણી આપી હતી
hypothesis	anticipation	0.562	પૂર્વધારણા
trophy	anticipation	0.562	ટ્રોફી
shopping	anticipation	0.555	ખરીદી
salvation	anticipation	0.555	મુક્તિ
feeling	anticipation	0.555	લાગણી
speculative	anticipation	0.555	સટ્ટાકીય
oracle	anticipation	0.555	ઓરેકલ
heroism	anticipation	0.555	વીરતા
boisterous	anticipation	0.555	ઉદાસી
grasping	anticipation	0.555	પકડવું
uneasiness	anticipation	0.555	અસ્વસ્થતા
curiosity	anticipation	0.555	જિજ્ઞાસા
happy	anticipation	0.555	ખુશ
rejoicing	anticipation	0.555	આનંદ
fate	anticipation	0.555	ભાગ્ય
liberty	anticipation	0.555	સ્વતંત્રતા
unfold	anticipation	0.555	પ્રગટ કરવું
amour	anticipation	0.555	પ્રેમ
lovely	anticipation	0.555	સુંદર
splendor	anticipation	0.555	વૈભવ
grow	anticipation	0.555	વધવું
glimmer	anticipation	0.547	ઝાંખી
incite	anticipation	0.547	ઉશ્કેરવું
abundance	anticipation	0.547	વિપુલતા
resultant	anticipation	0.547	પરિણામી
probability	anticipation	0.547	સંભાવના
recreational	anticipation	0.547	મનોરંજન
glory	anticipation	0.547	મહિમા
agape	anticipation	0.547	અગાપે
delighted	anticipation	0.547	ખુશી
changeable	anticipation	0.547	પરિવર્તનશીલ
convergence	anticipation	0.547	કન્વર્જન્સ
bountiful	anticipation	0.547	પુષ્કળ
warn	anticipation	0.547	ચેતવણી
monetary	anticipation	0.547	નાણાકીય
sorcery	anticipation	0.547	મેલીવિદ્યા
morrow	anticipation	0.547	કાલે
apprehensive	anticipation	0.547	ભયભીત
hungry	anticipation	0.547	ભૂખ્યા
vote	anticipation	0.547	મત
suspicious	anticipation	0.547	શંકાસ્પદ
pray	anticipation	0.547	પ્રાર્થના
leisure	anticipation	0.547	લેઝર
hunting	anticipation	0.539	શિકાર
sensual	anticipation	0.539	વિષયાસક્ત
tempest	anticipation	0.539	વાવાઝોડું
auction	anticipation	0.539	હરાજી
ballot	anticipation	0.539	મતપત્ર
grandchildren	anticipation	0.539	પૌત્રો
hankering	anticipation	0.539	ઉત્સુકતા
entertainment	anticipation	0.539	મનોરંજન
merge	anticipation	0.539	મર્જ
exceed	anticipation	0.539	વટાવી
vindication	anticipation	0.539	સમર્થન
blessings	anticipation	0.539	આશીર્વાદ
inquiry	anticipation	0.539	તપાસ
bounty	anticipation	0.539	બક્ષિસ
worrying	anticipation	0.539	ચિંતાજનક
contingent	anticipation	0.539	આકસ્મિક
glad	anticipation	0.536	પ્રસન્ન
harbinger	anticipation	0.531	હરબિંગર
magnificent	anticipation	0.531	ભવ્ય
virginity	anticipation	0.531	કૌમાર્ય
stealthy	anticipation	0.531	ચોરીછૂપીથી
appeal	anticipation	0.531	અપીલ
forming	anticipation	0.531	રચના
celestial	anticipation	0.531	આકાશી
raving	anticipation	0.531	બડબડાટ
deliverance	anticipation	0.531	મુક્તિ
feat	anticipation	0.531	પરાક્રમ
cheer	anticipation	0.531	ઉત્સાહ
responsive	anticipation	0.531	પ્રતિભાવશીલ
hurried	anticipation	0.531	ઉતાવળ
betrothed	anticipation	0.531	લગ્ન કર્યા
overthrow	anticipation	0.531	ઉથલાવી
spirits	anticipation	0.531	આત્માઓ
dread	anticipation	0.531	ડર
visitor	anticipation	0.531	મુલાકાતી
wait	anticipation	0.523	રાહ જુઓ
revive	anticipation	0.523	પુનર્જીવિત કરવું
watch	anticipation	0.523	ઘડિયાળ
hunter	anticipation	0.523	શિકારી
radiance	anticipation	0.523	તેજ
planning	anticipation	0.523	આયોજન
germination	anticipation	0.523	અંકુરણ
competition	anticipation	0.523	સ્પર્ધા
preparatory	anticipation	0.523	પ્રારંભિક
prognostic	anticipation	0.523	પૂર્વસૂચન
beaming	anticipation	0.523	બીમિંગ
cheery	anticipation	0.523	ખુશખુશાલ
prevail	anticipation	0.523	જીતવું
importance	anticipation	0.523	મહત્વ
notification	anticipation	0.523	સૂચના
explosive	anticipation	0.523	વિસ્ફોટક
pleasant	anticipation	0.523	સુખદ
ultimately	anticipation	0.523	આખરે
child	anticipation	0.523	બાળક
haste	anticipation	0.523	ઉતાવળ
prophet	anticipation	0.523	પ્રબોધક
recreation	anticipation	0.516	મનોરંજન
present	anticipation	0.516	હાજર
time	anticipation	0.516	સમય
sensuality	anticipation	0.516	વિષયાસક્તતા
owing	anticipation	0.516	કારણે
loom	anticipation	0.516	લૂમ
begun	anticipation	0.516	શરૂ કર્યું
salary	anticipation	0.516	પગાર
celebrity	anticipation	0.516	સેલિબ્રિટી
treat	anticipation	0.516	સારવાર
chocolate	anticipation	0.516	ચોકલેટ
caution	anticipation	0.516	સાવધાની
fermentation	anticipation	0.516	આથો
uncontrollable	anticipation	0.516	બેકાબૂ
precious	anticipation	0.516	કિંમતી
compensate	anticipation	0.516	વળતર
endanger	anticipation	0.516	જોખમમાં મૂકવું
renovation	anticipation	0.516	નવીનીકરણ
signify	anticipation	0.508	સૂચવે છે
vigilance	anticipation	0.508	તકેદારી
prerequisite	anticipation	0.508	પૂર્વશરત
perfection	anticipation	0.508	પૂર્ણતા
cultivate	anticipation	0.508	ખેતી
develop	anticipation	0.508	વિકાસ
cue	anticipation	0.508	સંકેત
exigent	anticipation	0.508	જરૂરી
transitional	anticipation	0.508	સંક્રમણકારી
commemoration	anticipation	0.508	સ્મારક
intermission	anticipation	0.508	ઇન્ટરમિશન
elevation	anticipation	0.508	ઊંચાઈ
infant	anticipation	0.508	શિશુ
practise	anticipation	0.508	પ્રેક્ટિસ
contemplation	anticipation	0.508	ચિંતન
dreadful	anticipation	0.508	ભયાનક
wilderness	anticipation	0.508	અરણ્ય
horizon	anticipation	0.508	ક્ષિતિજ
sneaking	anticipation	0.500	સ્નીકિંગ
uphill	anticipation	0.500	ચઢાવ
puppy	anticipation	0.500	કુરકુરિયું
blindfold	anticipation	0.500	આંખે પાટા
unbridled	anticipation	0.500	બેલગામ
horoscope	anticipation	0.500	જન્માક્ષર
airport	anticipation	0.500	એરપોર્ટ
reconciliation	anticipation	0.500	સમાધાન
advocacy	anticipation	0.500	હિમાયત
litigate	anticipation	0.500	મુકદ્દમા
sunny	anticipation	0.500	તડકો
intuitively	anticipation	0.500	સાહજિક રીતે
hero	anticipation	0.500	હીરો
ardent	anticipation	0.500	પ્રખર
commemorate	anticipation	0.500	સ્મારક
romantic	anticipation	0.500	રોમેન્ટિક
doomsday	anticipation	0.500	કયામતનો દિવસ
ready	anticipation	0.500	તૈયાર
nascent	anticipation	0.500	નવજાત
invocation	anticipation	0.500	આહવાન
depart	anticipation	0.500	પ્રસ્થાન
undisclosed	anticipation	0.500	અપ્રગટ
attendance	anticipation	0.500	હાજરી
peril	anticipation	0.500	જોખમ
income	anticipation	0.500	આવક
calculation	anticipation	0.500	ગણતરી
zeal	anticipation	0.500	ઉત્સાહ
eventuality	anticipation	0.500	ઘટના
favorable	anticipation	0.500	અનુકૂળ
utopian	anticipation	0.500	યુટોપિયન
swim	anticipation	0.500	તરવું
proceeding	anticipation	0.492	પ્રક્રિયા
eventual	anticipation	0.492	આખરી
heyday	anticipation	0.492	હેયડે
undertaking	anticipation	0.492	ઉપક્રમ
improvise	anticipation	0.492	સુધારવું
inauguration	anticipation	0.492	ઉદ્ઘાટન
consequent	anticipation	0.492	પરિણામે
perspective	anticipation	0.492	પરિપ્રેક્ષ્ય
defense	anticipation	0.492	સંરક્ષણ
repay	anticipation	0.492	ચૂકવવું
gaping	anticipation	0.492	અંતર
youth	anticipation	0.492	યુવા
parole	anticipation	0.492	પેરોલ
worry	anticipation	0.492	ચિંતા
bless	anticipation	0.492	આશીર્વાદ
restorative	anticipation	0.492	પુનઃસ્થાપન
court	anticipation	0.492	કોર્ટ
highest	anticipation	0.491	સૌથી વધુ
shortly	anticipation	0.484	ટૂંક સમયમાં
auspicious	anticipation	0.484	શુભ
princely	anticipation	0.484	રજવાડા
correspondence	anticipation	0.484	પત્રવ્યવહાર
generosity	anticipation	0.484	ઉદારતા
sparkle	anticipation	0.484	ચમકવું
voluptuous	anticipation	0.484	સ્વૈચ્છિક
happen	anticipation	0.484	થાય
tremor	anticipation	0.484	ધ્રુજારી
letter	anticipation	0.484	પત્ર
vow	anticipation	0.484	પ્રતિજ્ઞા
sharpen	anticipation	0.484	તીક્ષ્ણ
duel	anticipation	0.484	દ્વંદ્વયુદ્ધ
conjure	anticipation	0.484	જાદુ કરવું
threaten	anticipation	0.484	ધમકી
god	anticipation	0.484	ભગવાન
engulf	anticipation	0.484	ઘેરી લેવું
unexplained	anticipation	0.484	અસ્પષ્ટ
contagion	anticipation	0.484	ચેપ
glorify	anticipation	0.477	મહિમા
submit	anticipation	0.477	સબમિટ કરો
enroll	anticipation	0.477	નોંધણી
unification	anticipation	0.477	એકીકરણ
gravitate	anticipation	0.477	ગુરુત્વાકર્ષણ
glide	anticipation	0.477	સરકવું
accompaniment	anticipation	0.477	સાથ
cherish	anticipation	0.477	વળગવું
adore	anticipation	0.477	પૂજવું
powerful	anticipation	0.477	શક્તિશાળી
clue	anticipation	0.477	ચાવી
medal	anticipation	0.477	ચંદ્રક
contemplate	anticipation	0.477	ચિંતન
perilous	anticipation	0.477	જોખમી
determinate	anticipation	0.477	નક્કી કરવું
arbitration	anticipation	0.477	આર્બિટ્રેશન
recipient	anticipation	0.477	પ્રાપ્તકર્તા
onset	anticipation	0.477	શરૂઆત
predispose	anticipation	0.477	પૂર્વગ્રહ
score	anticipation	0.477	સ્કોર
torture	anticipation	0.477	ત્રાસ
glow	anticipation	0.477	ચમક
praiseworthy	anticipation	0.473	વખાણવા લાયક
football	anticipation	0.469	ફૂટબોલ
scare	anticipation	0.469	બીક
elite	anticipation	0.469	ભદ્ર
unknown	anticipation	0.469	અજ્ઞાત
precursor	anticipation	0.469	પુરોગામી
pry	anticipation	0.469	pry
providing	anticipation	0.469	પૂરી પાડે છે
sweets	anticipation	0.469	મીઠાઈ
cautious	anticipation	0.469	સાવધ
opera	anticipation	0.469	ઓપેરા
motion	anticipation	0.469	ગતિ
cash	anticipation	0.469	રોકડ
creeping	anticipation	0.469	વિસર્પી
invoke	anticipation	0.469	બોલાવવું
star	anticipation	0.469	તારો
shaky	anticipation	0.469	અસ્થિર
production	anticipation	0.469	ઉત્પાદન
successful	anticipation	0.469	સફળ
immediately	anticipation	0.469	તરત
dawn	anticipation	0.469	પરોઢ
starry	anticipation	0.469	તારાંકિત
unsurpassed	anticipation	0.469	અજોડ
completion	anticipation	0.469	પૂર્ણતા
hire	anticipation	0.469	ભાડે
fete	anticipation	0.469	ઉત્સવ
commemorative	anticipation	0.461	સ્મારક
shining	anticipation	0.461	ચમકતું
testament	anticipation	0.461	વસિયતનામા
pay	anticipation	0.461	ચૂકવણી
alive	anticipation	0.461	જીવંત
plight	anticipation	0.461	દુર્દશા
preliminary	anticipation	0.461	પ્રારંભિક
overture	anticipation	0.461	ઓવરચર
sanctuary	anticipation	0.461	અભયારણ્ય
regatta	anticipation	0.461	રેગાટા
draft	anticipation	0.461	ડ્રાફ્ટ
synchronize	anticipation	0.461	સિંક્રનાઇઝ
soundness	anticipation	0.461	સ્વસ્થતા
extricate	anticipation	0.461	બહાર કાઢવું
excel	anticipation	0.461	એક્સેલ
punt	anticipation	0.461	પન્ટ
untold	anticipation	0.461	અકથિત
brilliant	anticipation	0.461	તેજસ્વી
cheerfulness	anticipation	0.461	પ્રફુલ્લતા
jeopardy	anticipation	0.461	સંકટ
friendly	anticipation	0.461	મૈત્રીપૂર્ણ
mail	anticipation	0.461	ટપાલ
unexpected	anticipation	0.453	અનપેક્ષિત
basketball	anticipation	0.453	બાસ્કેટબોલ
inaugural	anticipation	0.453	ઉદ્ઘાટન
supremacy	anticipation	0.453	સર્વોપરિતા
rehabilitation	anticipation	0.453	પુનર્વસન
intimately	anticipation	0.453	ગાઢ રીતે
career	anticipation	0.453	કારકિર્દી
prevention	anticipation	0.453	નિવારણ
renovate	anticipation	0.453	નવીનીકરણ
compliment	anticipation	0.453	ખુશામત
prologue	anticipation	0.453	પ્રસ્તાવના
elegance	anticipation	0.453	લાવણ્ય
complement	anticipation	0.453	પૂરક
flinch	anticipation	0.453	આંચકો
infinity	anticipation	0.453	અનંત
perpetuity	anticipation	0.453	શાશ્વતતા
sunset	anticipation	0.453	સૂર્યાસ્ત
improve	anticipation	0.453	સુધારો
fitting	anticipation	0.445	ફિટિંગ
confidence	anticipation	0.445	આત્મવિશ્વાસ
concealment	anticipation	0.445	છુપાવવું
sweet	anticipation	0.445	મીઠી
perfect	anticipation	0.445	સંપૂર્ણ
epidemic	anticipation	0.445	મહામારી
fain	anticipation	0.445	ચક્કર
volunteer	anticipation	0.445	સ્વયંસેવક
share	anticipation	0.445	શેર
surround	anticipation	0.445	આસપાસ
conjecture	anticipation	0.445	અનુમાન
sun	anticipation	0.445	સૂર્ય
veracity	anticipation	0.445	સત્યતા
serial	anticipation	0.438	સીરીયલ
angel	anticipation	0.438	દેવદૂત
aloha	anticipation	0.438	અલોહા
saint	anticipation	0.438	સંત
tickle	anticipation	0.438	ગલીપચી
superstitious	anticipation	0.438	અંધશ્રદ્ધાળુ
ferment	anticipation	0.438	આથો
conservation	anticipation	0.438	સંરક્ષણ
devout	anticipation	0.438	શ્રદ્ધાળુ
respect	anticipation	0.438	આદર
reconstruction	anticipation	0.438	પુનર્નિર્માણ
goodness	anticipation	0.438	ભલાઈ
reconstruct	anticipation	0.438	પુનઃનિર્માણ
faith	anticipation	0.438	વિશ્વાસ
recombination	anticipation	0.438	પુનઃસંયોજન
prepared	anticipation	0.438	તૈયાર
rabid	anticipation	0.438	હડકાયું
plea	anticipation	0.438	અરજી
medical	anticipation	0.438	તબીબી
passenger	anticipation	0.438	મુસાફર
charitable	anticipation	0.430	સખાવતી
tabulate	anticipation	0.430	ટેબ્યુલેટ
peace	anticipation	0.430	શાંતિ
install	anticipation	0.430	સ્થાપિત કરો
serenity	anticipation	0.430	શાંતિ
venerable	anticipation	0.430	આદરણીય
spa	anticipation	0.430	સ્પા
labyrinth	anticipation	0.430	ભુલભુલામણી
luscious	anticipation	0.430	રસદાર
perpetuate	anticipation	0.430	કાયમી રાખવું
strategist	anticipation	0.430	વ્યૂહરચનાકાર
unverified	anticipation	0.430	ચકાસાયેલ
tribunal	anticipation	0.430	ટ્રિબ્યુનલ
clap	anticipation	0.430	તાલી
peaceful	anticipation	0.422	શાંતિપૂર્ણ
patience	anticipation	0.422	ધીરજ
unresolved	anticipation	0.422	વણઉકેલાયેલ
worship	anticipation	0.422	પૂજા
edification	anticipation	0.422	સુધારણા
oasis	anticipation	0.422	ઓએસિસ
grin	anticipation	0.422	સ્મિત
revere	anticipation	0.422	આદર
candid	anticipation	0.422	નિખાલસ
vista	anticipation	0.422	વિસ્ટા
conspirator	anticipation	0.422	કાવતરું કરનાર
adrift	anticipation	0.422	વહી જવું
recognizable	anticipation	0.422	ઓળખી શકાય તેવું
volatility	anticipation	0.422	અસ્થિરતા
forestall	anticipation	0.422	અટકાવવું
laughter	anticipation	0.422	હાસ્ય
continue	anticipation	0.414	ચાલુ રાખો
ongoing	anticipation	0.414	ચાલુ
astrologer	anticipation	0.414	જ્યોતિષ
mediate	anticipation	0.414	મધ્યસ્થી
punctual	anticipation	0.414	સમયના પાબંદ
grant	anticipation	0.414	અનુદાન
morn	anticipation	0.414	સવાર
pretty	anticipation	0.414	સુંદર
withstand	anticipation	0.414	ટકી રહેવું
frisky	anticipation	0.414	ફ્રિસ્કી
thought	anticipation	0.414	વિચાર
probation	anticipation	0.414	પ્રોબેશન
ordination	anticipation	0.414	ઓર્ડિનેશન
calls	anticipation	0.414	કૉલ્સ
detainee	anticipation	0.414	અટકાયતી
craps	anticipation	0.414	ક્રેપ્સ
weigh	anticipation	0.414	વજન
proficiency	anticipation	0.414	પ્રાવીણ્ય
sing	anticipation	0.411	ગાઓ
continuation	anticipation	0.406	ચાલુ
university	anticipation	0.406	યુનિવર્સિટી
chicane	anticipation	0.406	ચિકેન
nurture	anticipation	0.406	કુદરત
mother	anticipation	0.406	માતા
punished	anticipation	0.406	સજા
twinkle	anticipation	0.406	ચમકવું
confession	anticipation	0.406	કબૂલાત
outdo	anticipation	0.406	બહાર
prophylactic	anticipation	0.406	પ્રોફીલેક્ટીક
proud	anticipation	0.406	ગર્વ
midwife	anticipation	0.406	મિડવાઇફ
wizard	anticipation	0.406	વિઝાર્ડ
headlight	anticipation	0.406	હેડલાઇટ
long	anticipation	0.406	લાંબી
banquet	anticipation	0.406	ભોજન સમારંભ
comfort	anticipation	0.406	આરામ
navigable	anticipation	0.406	નેવિગેબલ
subscribe	anticipation	0.406	સબ્સ્ક્રાઇબ કરો
opponent	anticipation	0.406	વિરોધી
debenture	anticipation	0.406	ડિબેન્ચર
deal	anticipation	0.402	સોદો
symphony	anticipation	0.398	સિમ્ફની
saintly	anticipation	0.398	સંત
judiciary	anticipation	0.398	ન્યાયતંત્ર
lettered	anticipation	0.398	પત્રિત
vigil	anticipation	0.398	જાગરણ
reliance	anticipation	0.398	નિર્ભરતા
distracting	anticipation	0.398	વિચલિત
mortification	anticipation	0.398	મોર્ટિફિકેશન
balm	anticipation	0.398	મલમ
simmer	anticipation	0.398	ઉકાળો
top	anticipation	0.398	ટોચ
obliging	anticipation	0.398	બંધનકર્તા
efficient	anticipation	0.398	કાર્યક્ષમ
guillotine	anticipation	0.398	ગિલોટીન
representing	anticipation	0.398	રજૂ કરે છે
death	anticipation	0.398	મૃત્યુ
assurance	anticipation	0.391	ખાતરી
familiarity	anticipation	0.391	પરિચિતતા
depraved	anticipation	0.391	વંચિત
condemnation	anticipation	0.391	નિંદા
undoubted	anticipation	0.391	અસંદિગ્ધ
sanctify	anticipation	0.391	પવિત્ર કરવું
diplomacy	anticipation	0.391	મુત્સદ્દીગીરી
antidote	anticipation	0.391	મારણ
trust	anticipation	0.391	વિશ્વાસ
linger	anticipation	0.391	લંબાવું
objective	anticipation	0.391	ઉદ્દેશ્ય
chuckle	anticipation	0.391	હસવું
poke	anticipation	0.391	થેલી, કોથળી
abeyance	anticipation	0.391	ત્યાગ
maternal	anticipation	0.391	માતૃત્વ
art	anticipation	0.391	કલા
unfulfilled	anticipation	0.391	અપૂર્ણ
inoculation	anticipation	0.384	ઇનોક્યુલેશન
simplify	anticipation	0.383	સરળ બનાવવું
depend	anticipation	0.383	આધાર રાખે છે
chant	anticipation	0.383	જપ
ram	anticipation	0.383	રામ
banger	anticipation	0.383	બેન્જર
playground	anticipation	0.383	રમતનું મેદાન
labor	anticipation	0.383	મજૂરી
scientist	anticipation	0.383	વૈજ્ઞાનિક
good	anticipation	0.383	સારું
humanitarian	anticipation	0.383	માનવતાવાદી
failing	anticipation	0.383	નિષ્ફળ
hap	anticipation	0.383	હાપ
dutiful	anticipation	0.383	કર્તવ્યનિષ્ઠ
hymn	anticipation	0.383	સ્તોત્ર
ship	anticipation	0.383	વહાણ
discretion	anticipation	0.383	વિવેક
undecided	anticipation	0.383	અનિર્ણિત
gradual	anticipation	0.375	ક્રમિક
navigator	anticipation	0.375	નેવિગેટર
track	anticipation	0.375	ટ્રેક
cradle	anticipation	0.375	પારણું
sterling	anticipation	0.375	સ્ટર્લિંગ
interim	anticipation	0.375	વચગાળાનું
clock	anticipation	0.375	ઘડિયાળ
mountain	anticipation	0.375	પર્વત
interminable	anticipation	0.375	અનંત
public	anticipation	0.375	જાહેર
recurrent	anticipation	0.375	આવર્તક
savor	anticipation	0.375	સ્વાદ
abide	anticipation	0.367	પાલન
concealed	anticipation	0.367	છુપાયેલ
spear	anticipation	0.367	ભાલા
lesson	anticipation	0.367	પાઠ
instructions	anticipation	0.367	સૂચનાઓ
sonar	anticipation	0.367	સોનાર
biennial	anticipation	0.367	દ્વિવાર્ષિક
convince	anticipation	0.367	મનાવવું
whim	anticipation	0.367	ધૂન
shiver	anticipation	0.367	ધ્રુજારી
towering	anticipation	0.367	વિશાળ
musical	anticipation	0.367	સંગીતમય
offset	anticipation	0.359	ઓફસેટ
theory	anticipation	0.359	સિદ્ધાંત
theology	anticipation	0.359	ધર્મશાસ્ત્ર
undying	anticipation	0.359	અમર
timidity	anticipation	0.359	ડરપોક
plump	anticipation	0.359	ભરાવદાર
atone	anticipation	0.359	પ્રાયશ્ચિત
audience	anticipation	0.357	પ્રેક્ષકો
dietary	anticipation	0.352	આહાર
consecration	anticipation	0.352	અભિષેક
localize	anticipation	0.352	સ્થાનિકીકરણ
paragon	anticipation	0.352	પેરાગોન
store	anticipation	0.352	દુકાન
farm	anticipation	0.352	ખેતર
daily	anticipation	0.352	દૈનિક
cramp	anticipation	0.352	ખેંચાણ
nobility	anticipation	0.352	ખાનદાની
closure	anticipation	0.352	બંધ
edition	anticipation	0.352	આવૃત્તિ
kindred	anticipation	0.352	સંબંધી
stripped	anticipation	0.344	છીનવી લીધું
errand	anticipation	0.344	કામ
archaeology	anticipation	0.344	પુરાતત્વ
mutable	anticipation	0.344	પરિવર્તનશીલ
wireless	anticipation	0.344	વાયરલેસ
meditate	anticipation	0.344	ધ્યાન
mobile	anticipation	0.344	મોબાઇલ
germ	anticipation	0.336	જંતુ
brotherly	anticipation	0.336	ભાઈબંધ
lessen	anticipation	0.336	ઘટાડવું
unbeaten	anticipation	0.336	અણનમ
pare	anticipation	0.336	પાર
buddy	anticipation	0.336	મિત્ર
unaccountable	anticipation	0.336	બિનહિસાબી
dove	anticipation	0.328	કબૂતર
patient	anticipation	0.328	દર્દી
secular	anticipation	0.328	બિનસાંપ્રદાયિક
digress	anticipation	0.328	વિષયાંતર
chastity	anticipation	0.328	પવિત્રતા
council	anticipation	0.328	કાઉન્સિલ
olfactory	anticipation	0.328	ઘ્રાણેન્દ્રિયને લગતું
ribbon	anticipation	0.328	રિબન
possess	anticipation	0.328	ધરાવે છે
disposed	anticipation	0.320	નિકાલ
scrutinize	anticipation	0.320	તપાસ
immature	anticipation	0.320	અપરિપક્વ
mediator	anticipation	0.320	મધ્યસ્થી
regularity	anticipation	0.320	નિયમિતતા
cove	anticipation	0.320	કોવ
infanticide	anticipation	0.320	બાળહત્યા
paddle	anticipation	0.320	ચપ્પુ
heft	anticipation	0.320	ઊંચાઈ
fancy	anticipation	0.320	ફેન્સી
preservative	anticipation	0.320	પ્રિઝર્વેટિવ
unpublished	anticipation	0.312	અપ્રકાશિત
church	anticipation	0.312	ચર્ચ
bugle	anticipation	0.312	બ્યુગલ
grim	anticipation	0.312	ગંભીર
denying	anticipation	0.312	નામંજૂર
analyst	anticipation	0.312	વિશ્લેષક
judicial	anticipation	0.305	ન્યાયિક
priesthood	anticipation	0.305	પુરોહિત
broadside	anticipation	0.305	બ્રોડસાઇડ
mill	anticipation	0.305	મિલ
dismay	anticipation	0.297	નિરાશા
cap	anticipation	0.297	ટોપી
thermocouple	anticipation	0.297	થર્મોકોલ
tributary	anticipation	0.297	ઉપનદી
instructor	anticipation	0.297	પ્રશિક્ષક
exhaustion	anticipation	0.297	થાક
saliva	anticipation	0.297	લાળ
cataract	anticipation	0.289	મોતિયા
network	anticipation	0.289	નેટવર્ક
visor	anticipation	0.289	વિઝર
shackle	anticipation	0.289	બેડી
wont	anticipation	0.289	ટેવ
addresses	anticipation	0.289	સરનામાં
discreet	anticipation	0.289	સમજદાર
noncompliance	anticipation	0.289	અનુપાલન
bruise	anticipation	0.289	ઉઝરડો
homeless	anticipation	0.289	બેઘર
astronomer	anticipation	0.281	ખગોળશાસ્ત્રી
skewed	anticipation	0.281	અચાનક ફેરફાર
neighbor	anticipation	0.281	પાડોશી
holiness	anticipation	0.273	પવિત્રતા
devil	anticipation	0.273	શેતાન
picket	anticipation	0.273	ધરણાં
sentence	anticipation	0.273	વાક્ય
latent	anticipation	0.273	સુપ્ત
cream	anticipation	0.273	ક્રીમ
immaturity	anticipation	0.273	અપરિપક્વતા
habitual	anticipation	0.266	રીઢો
morals	anticipation	0.266	નૈતિકતા
neighborhood	anticipation	0.266	પડોશી
lull	anticipation	0.266	શાંત
bye	anticipation	0.258	બાય
weight	anticipation	0.258	વજન
organ	anticipation	0.250	અંગ
clown	anticipation	0.250	રંગલો
forearm	anticipation	0.250	હાથ
commonplace	anticipation	0.242	સામાન્ય
quote	anticipation	0.242	અવતરણ
rail	anticipation	0.234	રેલ
dictatorship	anticipation	0.234	સરમુખત્યારશાહી
treadmill	anticipation	0.234	ટ્રેડમિલ
board	anticipation	0.234	પાટીયું
tree	anticipation	0.227	વૃક્ષ
sundial	anticipation	0.227	સૂર્યપ્રકાશ
paralysis	anticipation	0.211	લકવો
cement	anticipation	0.203	સિમેન્ટ
worm	anticipation	0.203	કૃમિ
organization	anticipation	0.203	સંસ્થા
lagging	anticipation	0.180	લેગીંગ
neutral	anticipation	0.148	તટસ્થ
cannibalism	disgust	0.953	આદમખોર
mutilation	disgust	0.930	અંગછેદન
molestation	disgust	0.914	છેડતી
incest	disgust	0.914	વ્યભિચાર
rape	disgust	0.906	બળાત્કાર
gonorrhea	disgust	0.906	ગોનોરિયા
cannibal	disgust	0.898	નરભક્ષક
rot	disgust	0.891	સડો
corpse	disgust	0.883	શબ
massacre	disgust	0.883	હત્યાકાંડ
excrement	disgust	0.883	મળમૂત્ર
barf	disgust	0.875	barf
slaughter	disgust	0.875	કતલ
slaughterhouse	disgust	0.867	કતલખાનું
incestuous	disgust	0.859	વ્યભિચારી
sewerage	disgust	0.859	ગટર
filth	disgust	0.859	ગંદકી
bigot	disgust	0.859	ધર્માંધ
rancid	disgust	0.859	બરછટ
infestation	disgust	0.852	ઉપદ્રવ
plague	disgust	0.852	પ્લેગ
holocaust	disgust	0.852	હોલોકોસ્ટ
bloodthirsty	disgust	0.852	લોહિયાળ
rotting	disgust	0.844	સડો
fecal	disgust	0.844	મળ
maggot	disgust	0.844	મેગોટ
feces	disgust	0.844	મળ
murder	disgust	0.839	હત્યા
asshole	disgust	0.836	ગધેડો
homicide	disgust	0.836	હત્યા
enslaved	disgust	0.836	ગુલામ
infanticide	disgust	0.836	બાળહત્યા
perverted	disgust	0.828	વિકૃત
excretion	disgust	0.828	ઉત્સર્જન
gore	disgust	0.828	ગોર
