English Word	Emotion	Emotion-Intensity-Score	Albanian Word
hatred	disgust	0.680	urrejtje
abominate	disgust	0.680	i neveritshëm
sickness	disgust	0.680	sëmundje
hideous	disgust	0.672	e tmerrshme
dictatorship	disgust	0.672	diktaturës
loathful	disgust	0.672	i urryer
greasy	disgust	0.672	i yndyrshëm
dilapidated	disgust	0.672	i rrënuar
inhuman	disgust	0.672	çnjerëzore
loathing	disgust	0.672	urrejtje
obscene	disgust	0.672	e turpshme
cess	disgust	0.670	ndërprerje
devil	disgust	0.664	djall
deformity	disgust	0.664	deformim
nauseous	disgust	0.664	të përzier
deadly	disgust	0.664	vdekjeprurëse
swine	disgust	0.664	derrit
discrimination	disgust	0.664	diskriminim
abominable	disgust	0.664	e neveritshme
masochism	disgust	0.664	mazokizmi
heretic	disgust	0.664	heretik
latrines	disgust	0.656	tualete
corruption	disgust	0.656	korrupsionit
poisonous	disgust	0.656	helmuese
horror	disgust	0.656	tmerri
nefarious	disgust	0.656	i poshtër
bacteria	disgust	0.656	bakteret
horrible	disgust	0.656	e tmerrshme
trash	disgust	0.656	plehra
abortion	disgust	0.656	aborti
death	disgust	0.656	vdekjen
prejudiced	disgust	0.656	i paragjykuar
poison	disgust	0.656	helm
oppression	disgust	0.656	shtypjen
goo	disgust	0.656	goo
victimized	disgust	0.656	viktimizuar
mange	disgust	0.656	zgjebe
sludge	disgust	0.648	llum
trashy	disgust	0.648	e kotë
vindictive	disgust	0.648	hakmarrëse
horrid	disgust	0.648	e tmerrshme
ugly	disgust	0.648	i shëmtuar
immoral	disgust	0.648	imorale
bitch	disgust	0.648	kurvë
outhouse	disgust	0.648	jashtë shtëpisë
detestation	disgust	0.648	neveri
horrifying	disgust	0.641	tmerruese
laxative	disgust	0.641	laksativ
unsightly	disgust	0.641	i shëmtuar
derogatory	disgust	0.641	poshtëruese
slop	disgust	0.641	pjerrësi
malfeasance	disgust	0.641	keqbërje
spew	disgust	0.641	derdh
pimple	disgust	0.641	puçërr
criminality	disgust	0.641	kriminaliteti
indecency	disgust	0.641	paturpësi
cystic	disgust	0.641	cistike
villainous	disgust	0.641	zuzar
queasy	disgust	0.633	i mërzitur
mildew	disgust	0.633	myk
oppressive	disgust	0.633	shtypëse
prostitution	disgust	0.633	prostitucioni
secrete	disgust	0.633	sekretojnë
ulcer	disgust	0.633	ulçera
rat	disgust	0.633	miu
bigoted	disgust	0.633	fanatik
perpetrator	disgust	0.633	kryesi
doomsday	disgust	0.633	kijameti
sinful	disgust	0.633	mëkatar
degrading	disgust	0.625	degraduese
ghastly	disgust	0.625	e kobshme
suffering	disgust	0.625	duke vuajtur
obscenity	disgust	0.625	paturpësi
devilish	disgust	0.625	djallëzor
disgraceful	disgust	0.625	e turpshme
persecution	disgust	0.625	persekutimi
contemptible	disgust	0.625	të përbuzur
cuckold	disgust	0.625	qyqar
stools	disgust	0.625	jashtëqitje
dastardly	disgust	0.625	i poshtër
sin	disgust	0.625	mëkat
gluttony	disgust	0.625	grykësia
bloated	disgust	0.625	i fryrë
fungus	disgust	0.625	kërpudhat
aghast	disgust	0.625	i tmerruar
diaper	disgust	0.617	pelenë
malicious	disgust	0.617	keqdashëse
polygamy	disgust	0.617	poligamia
dying	disgust	0.617	duke vdekur
termite	disgust	0.617	termit
fat	disgust	0.617	yndyrë
deceit	disgust	0.617	mashtrim
atrocious	disgust	0.617	mizor
guillotine	disgust	0.617	gijotinë
tetanus	disgust	0.617	tetanozit
spoil	disgust	0.617	prishin
crusty	disgust	0.617	kore
sickly	disgust	0.617	të sëmurë
louse	disgust	0.617	morra
strangle	disgust	0.617	mbyt
betrayal	disgust	0.617	tradhëti
loathe	disgust	0.617	urrej
wench	disgust	0.617	shtroj
infect	disgust	0.617	infektojnë
violently	disgust	0.609	me dhunë
brothel	disgust	0.609	bordello
drool	disgust	0.609	jargëzim
bleeding	disgust	0.609	gjakderdhje
deform	disgust	0.609	deformoj
ghetto	disgust	0.609	geto
sabotage	disgust	0.609	sabotim
venomous	disgust	0.609	helmuese
abhor	disgust	0.609	urrej
slander	disgust	0.609	shpifje
hostile	disgust	0.609	armiqësore
musty	disgust	0.602	myku
illicit	disgust	0.602	të paligjshme
ugliness	disgust	0.602	shëmti
unwashed	disgust	0.602	i palarë
swampy	disgust	0.602	moçalore
deprivation	disgust	0.602	privimi
poaching	disgust	0.602	gjuetia pa leje
hag	disgust	0.602	hag
infidel	disgust	0.602	i pafe
imprisonment	disgust	0.602	burgim
traitor	disgust	0.602	tradhtar
lunacy	disgust	0.602	çmenduri
queasiness	disgust	0.594	ankth
hostility	disgust	0.594	armiqësi
repelling	disgust	0.594	zmbrapsëse
intoxicated	disgust	0.594	i dehur
thug	disgust	0.594	bandit
catastrophe	disgust	0.594	katastrofë
lunatic	disgust	0.594	i çmendur
misery	disgust	0.594	mjerim
venom	disgust	0.594	helm
butcher	disgust	0.594	kasapi
toilet	disgust	0.594	tualet
blister	disgust	0.594	flluskë
lurid	disgust	0.594	zbehtë
slug	disgust	0.594	goditje e fortë
gut	disgust	0.594	zorrët
sinner	disgust	0.594	mëkatar
deceitful	disgust	0.594	mashtruese
epidemic	disgust	0.594	epidemi
deteriorated	disgust	0.586	i përkeqësuar
lavatory	disgust	0.586	tualet
unclean	disgust	0.586	i papastër
prostitute	disgust	0.586	prostitutë
incubus	disgust	0.586	inkubus
appalling	disgust	0.586	e tmerrshme
dreadful	disgust	0.586	e tmerrshme
pornography	disgust	0.586	pornografi
harass	disgust	0.586	ngacmojnë
squeamish	disgust	0.578	i ndyrë
expulsion	disgust	0.578	dëbimi
unfaithful	disgust	0.578	i pabesë
offensive	disgust	0.578	fyese
hypocrite	disgust	0.578	hipokrit
humiliating	disgust	0.578	poshtëruese
larceny	disgust	0.578	vjedhje
ruinous	disgust	0.578	shkaterrues
retard	disgust	0.578	i vonuar
rash	disgust	0.578	skuqje
flea	disgust	0.578	pleshti
debauchery	disgust	0.578	shthurja
fiend	disgust	0.578	djallit
quagmire	disgust	0.578	moçal
conspirator	disgust	0.578	komplotist
sick	disgust	0.578	i sëmurë
mangle	disgust	0.578	lëmsh
dogsick	disgust	0.570	i përgjumur
egregious	disgust	0.570	skandaloze
flog	disgust	0.570	fshikulloj
despise	disgust	0.570	përbuz
treacherous	disgust	0.570	i pabesë
oppress	disgust	0.570	shtypin
swamp	disgust	0.570	moçal
messy	disgust	0.570	i çrregullt
spit	disgust	0.570	pështyj
dank	disgust	0.570	i lagësht
bastard	disgust	0.570	bastard
devastating	disgust	0.570	shkatërruese
serpent	disgust	0.570	gjarpri
loo	disgust	0.562	loo
indecent	disgust	0.562	e pahijshme
insanity	disgust	0.562	çmenduri
stealing	disgust	0.562	duke vjedhur
terrible	disgust	0.562	e tmerrshme
tyrannical	disgust	0.562	tiranike
humiliation	disgust	0.562	poshtërimit
snake	disgust	0.562	gjarpër
sloppy	disgust	0.562	i lëngshëm
sinning	disgust	0.562	duke mëkatuar
harmful	disgust	0.562	të dëmshme
harlot	disgust	0.562	prostitutë
sordid	disgust	0.562	i ndyrë
enemy	disgust	0.562	armik
alcoholism	disgust	0.562	alkoolizmi
awful	disgust	0.562	e tmerrshme
ruthless	disgust	0.562	i pamëshirshëm
scoundrel	disgust	0.562	i poshtër
bloody	disgust	0.555	të përgjakshme
flabby	disgust	0.555	i dobët
odious	disgust	0.555	i urryer
beastly	disgust	0.555	kafshërore
collusion	disgust	0.555	marrëveshje e fshehtë
ridicule	disgust	0.555	tallje
discriminating	disgust	0.555	diskriminuese
unattractive	disgust	0.555	jo tërheqëse
insufferable	disgust	0.555	i padurueshëm
segregate	disgust	0.555	veçoj
arsenic	disgust	0.555	arseniku
threatening	disgust	0.555	kërcënuese
atrophy	disgust	0.555	atrofi
varicella	disgust	0.555	varicela
slayer	disgust	0.555	vrasës
distaste	disgust	0.555	neveri
coward	disgust	0.555	frikacak
robbery	disgust	0.555	grabitje
wickedness	disgust	0.555	ligësi
anathema	disgust	0.547	anatemim
malevolent	disgust	0.547	keqdashës
sty	disgust	0.547	gjilpërë
pillage	disgust	0.547	plaçkitje
thief	disgust	0.547	hajduti
suffocating	disgust	0.547	mbytëse
condemnation	disgust	0.547	dënim
deleterious	disgust	0.547	i dëmshëm
slur	disgust	0.547	shpifje
purgatory	disgust	0.547	purgator
attacking	disgust	0.547	duke sulmuar
burglar	disgust	0.547	hajdut
ogre	disgust	0.547	vigan
coercion	disgust	0.547	shtrëngimi
vesicular	disgust	0.547	vezikulare
miserable	disgust	0.547	i mjerë
bitterly	disgust	0.547	me hidhërim
sneer	disgust	0.539	tallje
greedy	disgust	0.539	i pangopur
gob	disgust	0.539	gob
repellant	disgust	0.539	repelante
jealous	disgust	0.539	xheloz
drunken	disgust	0.539	i dehur
shame	disgust	0.539	turp
thrash	disgust	0.539	thrash
fatty	disgust	0.539	yndyrore
liar	disgust	0.539	gënjeshtar
imprisoned	disgust	0.539	i burgosur
sloth	disgust	0.539	përtaci
repudiation	disgust	0.539	refuzim
disgrace	disgust	0.539	turp
infidelity	disgust	0.539	pabesi
pig	disgust	0.539	derr
lethal	disgust	0.536	vdekjeprurës
burnt	disgust	0.531	djegur
brawl	disgust	0.531	përleshje
withered	disgust	0.531	i tharë
blemish	disgust	0.531	njollë
hydrocephalus	disgust	0.531	hidrocefalus
aberration	disgust	0.531	lajthitje
smuggler	disgust	0.531	kontrabandist
painful	disgust	0.531	e dhimbshme
condescension	disgust	0.531	mospërfillje
intolerant	disgust	0.531	intolerant
blasphemous	disgust	0.531	blasfemues
lying	disgust	0.531	duke gënjyer
hanging	disgust	0.531	i varur
travesty	disgust	0.531	travesti
ruined	disgust	0.531	i rrënuar
intrusive	disgust	0.531	ndërhyrës
disintegrate	disgust	0.531	shpërbëhen
destructive	disgust	0.531	shkatërrues
neurotic	disgust	0.531	neurotike
disparaging	disgust	0.523	përçmues
blighted	disgust	0.523	i djegur
intolerance	disgust	0.523	intolerancës
mistress	disgust	0.523	zonja
avarice	disgust	0.523	koprracia
disgraced	disgust	0.523	i turpëruar
derogation	disgust	0.523	derogimi
rubbish	disgust	0.523	mbeturina
accusation	disgust	0.523	akuzë
incarceration	disgust	0.523	burgosje
tortious	disgust	0.516	deliktore
dishonor	disgust	0.516	çnderim
stink	disgust	0.516	erë e keqe
grim	disgust	0.516	e zymtë
rob	disgust	0.516	vjedh
defraud	disgust	0.516	mashtrojnë
sump	disgust	0.516	gropë
cringe	disgust	0.516	dridhje
vulture	disgust	0.516	shkaba
deplorable	disgust	0.516	e mjerueshme
mite	disgust	0.516	mite
eradication	disgust	0.516	çrrënjosjen
degrade	disgust	0.516	degradojnë
gutter	disgust	0.516	ulluqe
convict	disgust	0.516	i dënuar
remains	disgust	0.516	Mbetet
betray	disgust	0.516	tradhtojnë
daemon	disgust	0.516	demon
sham	disgust	0.509	mashtrim
distasteful	disgust	0.508	i papëlqyeshëm
prisoner	disgust	0.508	i burgosur
dreadfully	disgust	0.508	tmerrësisht
worthless	disgust	0.508	pa vlerë
crude	disgust	0.508	e papërpunuar
delirium	disgust	0.508	delirium
incurable	disgust	0.508	e pashërueshme
smelling	disgust	0.508	duke nuhatur
idiocy	disgust	0.508	idiotësia
resentment	disgust	0.508	fyerje
bombed	disgust	0.508	bombarduar
blob	disgust	0.508	njollë
cheat	disgust	0.508	mashtrojnë
schizophrenia	disgust	0.508	skizofreninë
rejection	disgust	0.508	refuzimi
belittle	disgust	0.508	nënçmojnë
glut	disgust	0.508	ngopje
disaster	disgust	0.508	fatkeqësi
distress	disgust	0.508	shqetësim
pest	disgust	0.508	dëmtues
endemic	disgust	0.508	endemike
theft	disgust	0.500	vjedhje
banish	disgust	0.500	dëboj
mire	disgust	0.500	baltë
flagrant	disgust	0.500	flagrante
derision	disgust	0.500	tallje
dirt	disgust	0.500	i poshtër
screaming	disgust	0.500	duke bërtitur
offense	disgust	0.500	vepër penale
jealousy	disgust	0.500	xhelozia
bribery	disgust	0.500	ryshfeti
polemic	disgust	0.500	polemike
blight	disgust	0.500	plagë
impeach	disgust	0.500	fajësim
bitterness	disgust	0.500	hidhërim
taboo	disgust	0.500	tabu
duress	disgust	0.500	detyrim
goblin	disgust	0.500	goblin
shackle	disgust	0.500	pranga
idolatry	disgust	0.500	idhujtaria
greed	disgust	0.500	lakmia
impurity	disgust	0.500	papastërti
tirade	disgust	0.500	tirade
idiot	disgust	0.492	idiot
boil	disgust	0.492	vlim
unconscionable	disgust	0.492	i pandërgjegjshëm
disreputable	disgust	0.492	i pavlerë
robber	disgust	0.492	grabitës
malign	disgust	0.492	malinje
wreck	disgust	0.492	thyej
recession	disgust	0.492	recesioni
gorge	disgust	0.492	gryka
leer	disgust	0.492	leter
ill	disgust	0.492	i sëmurë
squirm	disgust	0.492	përpëliten
raging	disgust	0.484	të tërbuar
servile	disgust	0.484	servil
mess	disgust	0.484	rrëmujë
nappy	disgust	0.484	pelena
possessed	disgust	0.484	i poseduar
unbearable	disgust	0.484	e padurueshme
occult	disgust	0.484	okult
contraband	disgust	0.484	kontrabandë
snarl	disgust	0.484	rënkoj
mutiny	disgust	0.484	kryengritje
mad	disgust	0.484	i çmendur
affliction	disgust	0.484	vuajtje
stain	disgust	0.484	njollë
animosity	disgust	0.484	armiqësi
contempt	disgust	0.484	përbuzje
tramp	disgust	0.484	endacak
nepotism	disgust	0.484	nepotizmin
disrespectful	disgust	0.484	mosrespektues
defamation	disgust	0.484	shpifje
inexcusable	disgust	0.484	e pafalshme
aversation	disgust	0.484	mospërfillje
wasteful	disgust	0.484	shpërdorues
offender	disgust	0.484	shkelës
subjugation	disgust	0.484	nënshtrim
illegality	disgust	0.477	paligjshmërisë
dismal	disgust	0.477	e mjerë
criminal	disgust	0.477	kriminale
unpleasant	disgust	0.477	e pakëndshme
palsy	disgust	0.477	paralizë
antagonistic	disgust	0.477	antagoniste
pathetic	disgust	0.477	patetike
uncaring	disgust	0.477	i pakujdesshëm
suppression	disgust	0.477	ndrydhje
immorality	disgust	0.477	imoraliteti
mockery	disgust	0.477	tallje
outrage	disgust	0.469	zemërim
mocking	disgust	0.469	duke u tallur
wallow	disgust	0.469	përkulem
cough	disgust	0.469	kollë
arrogant	disgust	0.469	arrogante
angry	disgust	0.469	i zemëruar
poverty	disgust	0.469	varfërisë
grating	disgust	0.469	grirje
livid	disgust	0.469	i egër
aggravation	disgust	0.469	rëndim
repellent	disgust	0.469	i neveritshëm
perspiration	disgust	0.469	djersitje
banishment	disgust	0.469	dëbim
furious	disgust	0.469	i furishëm
shoddy	disgust	0.469	i dobët
banshee	disgust	0.469	banshee
deceive	disgust	0.461	mashtrojnë
fool	disgust	0.461	budalla
quack	disgust	0.461	shaka
distorted	disgust	0.461	i shtrembëruar
spider	disgust	0.461	merimangë
unjustifiable	disgust	0.461	të pajustifikueshme
deplore	disgust	0.461	dëshpëroj
spurious	disgust	0.461	e rreme
perdition	disgust	0.461	humbje
muddy	disgust	0.461	me baltë
fraudulent	disgust	0.461	mashtruese
scar	disgust	0.461	mbresë
prick	disgust	0.461	shpoj
insulting	disgust	0.461	fyese
plunder	disgust	0.461	plaçkitje
recklessness	disgust	0.461	pamaturia
stigma	disgust	0.453	stigma
disparage	disgust	0.453	përçmimi
unthinkable	disgust	0.453	e pamendueshme
disingenuous	disgust	0.453	i pasinqertë
bane	disgust	0.453	fatkeqësi
dishonest	disgust	0.453	i pandershëm
aphid	disgust	0.453	afid
elimination	disgust	0.453	eliminimi
cur	disgust	0.453	kur
selfish	disgust	0.453	egoiste
eschew	disgust	0.453	shmangem
dire	disgust	0.453	i tmerrshëm
indignation	disgust	0.453	indinjatë
antipathy	disgust	0.453	antipatia
alienate	disgust	0.453	tjetërsoj
mosquito	disgust	0.445	mushkonja
piles	disgust	0.445	pirgje
pious	disgust	0.445	i devotshëm
lie	disgust	0.445	gënjeshtër
opium	disgust	0.445	opiumi
smell	disgust	0.445	erë
iniquity	disgust	0.445	paudhësi
caries	disgust	0.445	kariesit
despair	disgust	0.445	dëshpërim
recalcitrant	disgust	0.445	i pabindur
egotistical	disgust	0.445	egoiste
wasted	disgust	0.445	tretur
vacuous	disgust	0.445	i zbrazët
bankruptcy	disgust	0.445	falimentimi
garish	disgust	0.445	i shëmtuar
obnoxious	disgust	0.438	i neveritshëm
ashamed	disgust	0.438	i turpëruar
abject	disgust	0.438	i poshtër
sticky	disgust	0.438	ngjitës
scream	disgust	0.438	bërtas
hopelessness	disgust	0.438	pashpresa
homeless	disgust	0.438	i pastrehë
shun	disgust	0.438	shmangen
inmate	disgust	0.438	i burgosur
alien	disgust	0.438	i huaj
hog	disgust	0.438	derr
aversion	disgust	0.438	neveri
abnormal	disgust	0.438	jonormal
cursing	disgust	0.430	duke sharë
undesirable	disgust	0.430	të padëshirueshme
denounce	disgust	0.430	denoncoj
witch	disgust	0.430	shtrigë
creature	disgust	0.430	krijesë
lusty	disgust	0.430	epshore
illegal	disgust	0.430	ilegale
debris	disgust	0.430	mbeturinat
callous	disgust	0.430	i pashpirt
reflux	disgust	0.430	refluks
adverse	disgust	0.430	i pafavorshëm
shameless	disgust	0.430	i paturpshëm
separatist	disgust	0.430	separatiste
trickery	disgust	0.430	mashtrim
falsity	disgust	0.430	falsitet
pall	disgust	0.430	i zbehtë
defiance	disgust	0.430	sfidë
incredulous	disgust	0.430	mosbesues
curse	disgust	0.430	mallkim
pompous	disgust	0.422	pompoz
socialist	disgust	0.422	socialiste
mistrust	disgust	0.422	mosbesimi
infantile	disgust	0.422	infantile
wasting	disgust	0.422	duke humbur
hairy	disgust	0.422	me qime
nicotine	disgust	0.422	nikotinë
denunciation	disgust	0.422	denoncimi
collapse	disgust	0.422	kolaps
untidy	disgust	0.422	i parregullt
ferocious	disgust	0.422	i egër
ammonia	disgust	0.422	amoniaku
carelessness	disgust	0.422	pakujdesi
impure	disgust	0.422	i papastër
contentious	disgust	0.422	kontestuese
bum	disgust	0.422	budallaqe
affront	disgust	0.422	fyerje
offend	disgust	0.422	ofendoj
tarnish	disgust	0.422	njollos
idiotic	disgust	0.422	idiot
badness	disgust	0.422	e keqja
delinquent	disgust	0.422	delikuente
swarm	disgust	0.422	tufë
hypertrophy	disgust	0.422	hipertrofi
gush	disgust	0.422	rrjedhin
tasteless	disgust	0.422	pa shije
bovine	disgust	0.422	gjedhit
slush	disgust	0.422	llucë
litigious	disgust	0.414	kontestimore
dishonesty	disgust	0.414	pandershmëri
vegetative	disgust	0.414	vegjetative
unfavorable	disgust	0.414	të pafavorshme
displacency	disgust	0.414	zhvendosje
illegitimate	disgust	0.414	jolegjitime
sour	disgust	0.414	i thartë
socialism	disgust	0.414	socializmit
disobey	disgust	0.414	mosbinde
drivel	disgust	0.414	ngarje
vampire	disgust	0.414	vampir
neglected	disgust	0.414	i lënë pas dore
murky	disgust	0.414	i turbullt
ignorant	disgust	0.406	injorant
disgruntled	disgust	0.406	i pakënaqur
discontinuity	disgust	0.406	ndërprerje
dislike	disgust	0.406	mospëlqimi
unlawful	disgust	0.406	të paligjshme
wrongdoing	disgust	0.406	keqbërje
shoplifting	disgust	0.406	vjedhje dyqanesh
recidivism	disgust	0.406	recidivizmi
outcast	disgust	0.406	i dëbuar
bogus	disgust	0.406	fals
displeasure	disgust	0.406	pakënaqësi
repel	disgust	0.406	zmbraps
falsify	disgust	0.406	falsifikoj
ungrateful	disgust	0.406	mosmirënjohës
unkind	disgust	0.406	i pasjellshëm
phony	disgust	0.406	e rreme
prosecution	disgust	0.406	ndjekja penale
woe	disgust	0.398	mjerim
averse	disgust	0.398	urrejtje
loon	disgust	0.398	loon
worsening	disgust	0.398	përkeqësimi
paucity	disgust	0.398	pakicë
unnatural	disgust	0.398	e panatyrshme
amphetamines	disgust	0.398	amfetaminat
senseless	disgust	0.398	e pakuptimtë
rigor	disgust	0.398	ashpërsi
subvert	disgust	0.398	përmbys
failure	disgust	0.398	dështimi
lick	disgust	0.398	lëpij
unruly	disgust	0.398	i padisiplinuar
woefully	disgust	0.398	mjerisht
stingy	disgust	0.398	dorështrënguar
crushing	disgust	0.398	dërrmuese
disdain	disgust	0.398	përbuzje
insult	disgust	0.393	fyerje
averseness	disgust	0.391	mospërfillje
disrelish	disgust	0.391	mospëlqim
punished	disgust	0.391	ndëshkuar
critter	disgust	0.391	krijesa
damage	disgust	0.391	dëmtimi
scorpion	disgust	0.391	akrep
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	muff
farcical	disgust	0.391	farsë
antisocial	disgust	0.391	antisociale
hardened	disgust	0.391	i ngurtësuar
punishment	disgust	0.391	dënimi
bad	disgust	0.391	keq
expel	disgust	0.391	dëbojnë
surly	disgust	0.383	i turbullt
lament	disgust	0.383	vajtoj
illiterate	disgust	0.383	analfabete
divorce	disgust	0.383	divorci
teeming	disgust	0.383	i vrullshëm
plagiarism	disgust	0.383	plagjiaturë
eviction	disgust	0.383	dëbimi
orc	disgust	0.383	orc
disappoint	disgust	0.383	zhgënjej
shabby	disgust	0.383	i shkretë
presumptuous	disgust	0.383	mendjemadh
anaconda	disgust	0.383	anakonda
discord	disgust	0.383	mosmarrëveshje
guilt	disgust	0.383	faji
fugitive	disgust	0.383	i arratisur
irrational	disgust	0.383	irracionale
adder	disgust	0.383	shtues
fulsome	disgust	0.383	plot
sacrifices	disgust	0.383	sakrificat
hypocritical	disgust	0.383	hipokrite
shock	disgust	0.375	shoku
alienation	disgust	0.375	tjetërsimi
scoff	disgust	0.375	tallje
plight	disgust	0.375	hallin
irritation	disgust	0.375	acarim
unworthy	disgust	0.375	i padenjë
misconduct	disgust	0.375	sjellje të pahijshme
defective	disgust	0.375	me të meta
blame	disgust	0.375	fajësojnë
depressing	disgust	0.375	dëshpëruese
dislocated	disgust	0.375	i dislokuar
irritating	disgust	0.375	irrituese
vainly	disgust	0.367	më kot
toad	disgust	0.367	zhaba
powerless	disgust	0.367	i pafuqishëm
coerce	disgust	0.367	shtrëngimi
shuddering	disgust	0.367	duke u dridhur
stripped	disgust	0.367	i zhveshur
revoke	disgust	0.367	revokoj
wimpy	disgust	0.367	i mprehtë
unhealthy	disgust	0.367	e pashëndetshme
exclusion	disgust	0.367	përjashtimi
disillusionment	disgust	0.367	zhgënjim
blatant	disgust	0.367	flagrante
hurtful	disgust	0.367	lënduese
hoax	disgust	0.367	mashtrim
wimp	disgust	0.367	gëlltitje
cad	disgust	0.367	cad
pitfall	disgust	0.367	grackë
squelch	disgust	0.367	shuarje
deserted	disgust	0.359	shkretë
damn	disgust	0.359	dreqin
incompatible	disgust	0.359	të papajtueshme
dispose	disgust	0.359	disponoj
oddity	disgust	0.359	çuditshmëri
rebellion	disgust	0.359	rebelim
ineptitude	disgust	0.359	paaftësia
bug	disgust	0.359	insekt
disobedience	disgust	0.359	mosbindje
inept	disgust	0.352	i paaftë
litigate	disgust	0.352	ngrejë çështje gjyqësore
dismissal	disgust	0.352	shkarkimin nga puna
cutting	disgust	0.352	prerje
untoward	disgust	0.352	e pakëndshme
displeased	disgust	0.352	i pakënaqur
censor	disgust	0.352	censor
ridiculous	disgust	0.352	qesharake
compost	disgust	0.352	komposto
frustrate	disgust	0.352	frustroj
misbehavior	disgust	0.352	sjellje të keqe
lawyer	disgust	0.352	avokat
crushed	disgust	0.352	i grimcuar
flesh	disgust	0.352	mish
uncertain	disgust	0.352	i pasigurt
obi	disgust	0.352	obi
flinch	disgust	0.352	dridhem
fierce	disgust	0.352	i egër
wrongful	disgust	0.352	i gabuar
depreciate	disgust	0.344	zhvlerësohen
disapprove	disgust	0.344	mosmiratoj
tearful	disgust	0.344	i përlotur
grumble	disgust	0.336	ankohem
unsettled	disgust	0.336	i pavendosur
annoy	disgust	0.336	bezdis
exigent	disgust	0.336	kërkuese
heartsick	disgust	0.336	të mërzitur nga zemra
lawsuit	disgust	0.336	padi
discoloration	disgust	0.336	njollë
lumpy	disgust	0.336	me gunga
daft	disgust	0.336	i shkretë
blunder	disgust	0.336	gabim
discontent	disgust	0.336	pakënaqësi
bickering	disgust	0.336	grindje
thoughtless	disgust	0.336	i pamenduar
disliked	disgust	0.336	i papëlqyer
disinclination	disgust	0.336	mosdashje
distrust	disgust	0.336	mosbesimi
disallowed	disgust	0.336	i ndaluar
instability	disgust	0.328	jostabiliteti
hydrophobia	disgust	0.328	hidrofobi
whine	disgust	0.328	ankoj
inhibit	disgust	0.328	pengoj
excluded	disgust	0.328	përjashtuar
provoking	disgust	0.328	provokuese
grievance	disgust	0.328	ankesa
unmanageable	disgust	0.328	i pamenaxhueshëm
sly	disgust	0.328	dinak
exasperation	disgust	0.328	acarim
cacophony	disgust	0.328	kakofoninë
unsatisfactory	disgust	0.328	e pakënaqshme
disappointed	disgust	0.328	i zhgënjyer
materialist	disgust	0.328	materialist
misleading	disgust	0.321	mashtruese
mishap	disgust	0.320	fatkeqësi
soot	disgust	0.320	blozë
humbug	disgust	0.320	i përulur
disclaim	disgust	0.320	mohoj
annoyance	disgust	0.320	bezdi
disapproving	disgust	0.320	duke mos miratuar
disservice	disgust	0.320	dëmtim
reproach	disgust	0.320	qortim
confined	disgust	0.320	i kufizuar
unequal	disgust	0.320	të pabarabartë
rags	disgust	0.320	lecka
groan	disgust	0.320	rënkoj
soil	disgust	0.312	dheu
inappropriate	disgust	0.312	të papërshtatshme
criticize	disgust	0.312	kritikojnë
disincline	disgust	0.312	mospërfillje
theism	disgust	0.312	teizmi
depreciated	disgust	0.312	të amortizuara
inconsiderate	disgust	0.312	i pavëmendshëm
overpriced	disgust	0.312	mbiçmuar
stomach	disgust	0.312	stomaku
burke	disgust	0.312	burke
sneeze	disgust	0.312	teshtijnë
gall	disgust	0.305	vrer
bang	disgust	0.305	zhurmë
inadmissible	disgust	0.305	e papranueshme
unfriendly	disgust	0.305	jomiqësore
unaccountable	disgust	0.305	i papërgjegjshëm
disparity	disgust	0.305	pabarazia
latent	disgust	0.305	latente
disliking	disgust	0.305	mospëlqimi
shack	disgust	0.305	kasolle
grumpy	disgust	0.305	ters
coop	disgust	0.304	kafaz
disappointment	disgust	0.297	zhgënjim
scold	disgust	0.297	qortoj
delay	disgust	0.297	vonesë
congress	disgust	0.297	kongres
growling	disgust	0.297	rrënqethje
backwards	disgust	0.297	mbrapsht
soreness	disgust	0.297	hidhërim
disregarded	disgust	0.297	të shpërfillur
rogue	disgust	0.297	mashtrues
lonely	disgust	0.297	i vetmuar
notoriety	disgust	0.289	famë
catechism	disgust	0.289	katekizëm
flop	disgust	0.289	bie
infamous	disgust	0.289	famëkeq
janitor	disgust	0.289	portier
nettle	disgust	0.289	hithra
saturated	disgust	0.281	e ngopur
prohibited	disgust	0.281	e ndaluar
gaby	disgust	0.281	gaby
wince	disgust	0.281	përkulem
desist	disgust	0.281	heq dorë
unfair	disgust	0.281	e padrejte
aftermath	disgust	0.281	pasojat
remiss	disgust	0.281	heq dorë
tribunal	disgust	0.273	gjykatës
discolored	disgust	0.273	të zbardhura
wrangling	disgust	0.273	grindje
uneasy	disgust	0.273	i shqetësuar
huff	disgust	0.273	huff
weird	disgust	0.266	e çuditshme
impolite	disgust	0.266	i pasjellshëm
swig	disgust	0.266	lëkumë
crawl	disgust	0.266	zvarritje
unsatisfied	disgust	0.266	të pakënaqur
inefficiency	disgust	0.266	joefikasiteti
frantic	disgust	0.266	i furishëm
bureaucrat	disgust	0.266	burokrat
politic	disgust	0.266	politike
coldness	disgust	0.266	ftohtësinë
gruff	disgust	0.258	i ashpër
octopus	disgust	0.258	oktapod
chagrin	disgust	0.258	hidhërim
barrow	disgust	0.258	karrocë
copycat	disgust	0.258	kopjues
incase	disgust	0.258	në rast se
rascal	disgust	0.258	llastar
sarcasm	disgust	0.258	sarkazëm
instinctive	disgust	0.258	instinktive
misconception	disgust	0.250	keqkuptim
