English Word	Emotion	Emotion-Intensity-Score	Armenian Word
excited	anticipation	0.859	հուզված
excitement	anticipation	0.820	հուզմունք
anticipate	anticipation	0.820	կանխատեսել
eagerness	anticipation	0.812	եռանդը
exciting	anticipation	0.797	հուզիչ
expectant	anticipation	0.789	սպասող
thrilling	anticipation	0.781	հուզիչ
hope	anticipation	0.773	հույս
quest	anticipation	0.766	որոնում
countdown	anticipation	0.750	հետհաշվարկ
start	anticipation	0.750	սկսել
anticipatory	anticipation	0.750	սպասողական
adventure	anticipation	0.750	արկած
expectance	anticipation	0.750	սպասողականություն
climax	anticipation	0.742	գագաթնակետ
prophecy	anticipation	0.742	մարգարեություն
expect	anticipation	0.742	ակնկալել
excite	anticipation	0.742	հուզել
arouse	anticipation	0.742	արթնացնել
eager	anticipation	0.742	եռանդուն
ejaculation	anticipation	0.734	սերմնաժայթքում
birth	anticipation	0.734	ծնունդը
announcement	anticipation	0.734	հայտարարություն
expectancy	anticipation	0.727	սպասվող տեւողությունը
expecting	anticipation	0.727	ակնկալելով
imminent	anticipation	0.727	մոտալուտ
liberation	anticipation	0.727	ազատագրում
urgent	anticipation	0.727	հրատապ
trepidation	anticipation	0.719	տագնապ
reunion	anticipation	0.719	վերամիավորում
prospection	anticipation	0.719	հետախուզում
voyage	anticipation	0.719	ճամփորդություն
prospect	anticipation	0.719	հեռանկար
aspire	anticipation	0.719	ձգտել
rapture	anticipation	0.711	հիացմունք
suspense	anticipation	0.711	առկախություն
journey	anticipation	0.711	ճամփորդություն
kiss	anticipation	0.711	համբույր
enthusiasm	anticipation	0.711	խանդավառություն
yearning	anticipation	0.711	կարոտ
ecstasy	anticipation	0.711	էքստազի
mystery	anticipation	0.711	առեղծված
prospective	anticipation	0.703	հեռանկարային
frantic	anticipation	0.703	խելահեղ
destination	anticipation	0.703	նպատակակետ
excitation	anticipation	0.703	գրգռում
lottery	anticipation	0.703	վիճակախաղ
hopeful	anticipation	0.703	հուսադրող
thrill	anticipation	0.703	հուզմունք
progress	anticipation	0.703	առաջընթաց
urgency	anticipation	0.703	հրատապություն
tantalizing	anticipation	0.703	գայթակղիչ
liberate	anticipation	0.695	ազատագրել
hurry	anticipation	0.695	շտապեք
explore	anticipation	0.695	ուսումնասիրել
advance	anticipation	0.695	կանխավճար
vacation	anticipation	0.695	արձակուրդ
sex	anticipation	0.695	սեքս
achievement	anticipation	0.695	ձեռքբերում
readiness	anticipation	0.695	պատրաստակամություն
expectation	anticipation	0.695	ակնկալիք
prediction	anticipation	0.695	կանխատեսում
arrival	anticipation	0.695	ժամանումը
allure	anticipation	0.688	գրավչություն
ecstatic	anticipation	0.688	հիացական
approaching	anticipation	0.688	մոտենում է
honeymoon	anticipation	0.680	մեղրամիս
roulette	anticipation	0.680	ռուլետկա
uprising	anticipation	0.680	ապստամբություն
holiday	anticipation	0.672	տոն
crescendo	anticipation	0.672	կրեշենդո
celebrating	anticipation	0.672	տոնելով
wishful	anticipation	0.672	ցանկացող
waiting	anticipation	0.664	սպասում
invitation	anticipation	0.664	հրավերը
rescue	anticipation	0.664	փրկարարական
impending	anticipation	0.664	մոտալուտ
winning	anticipation	0.664	հաղթելով
craving	anticipation	0.664	փափագ
winnings	anticipation	0.664	շահումներ
triumph	anticipation	0.664	հաղթանակ
orgasm	anticipation	0.664	օրգազմ
marriage	anticipation	0.656	ամուսնություն
bridal	anticipation	0.656	հարսնացու
victory	anticipation	0.656	հաղթանակ
courtship	anticipation	0.656	սիրատիրություն
gain	anticipation	0.656	շահույթ
aspiring	anticipation	0.656	ձգտող
strive	anticipation	0.656	ձգտել
reward	anticipation	0.656	պարգեւատրում
celebration	anticipation	0.656	տոնակատարություն
jackpot	anticipation	0.656	jackpot
bridegroom	anticipation	0.656	փեսան
fortune	anticipation	0.656	հարստություն
tomorrow	anticipation	0.648	վաղը
rising	anticipation	0.648	բարձրանալով
inheritance	anticipation	0.648	Ժառանգություն
alertness	anticipation	0.648	զգոնություն
crowning	anticipation	0.648	պսակելը
aspiration	anticipation	0.648	ձգտումը
delivery	anticipation	0.648	առաքում
opportunity	anticipation	0.648	հնարավորություն
intrigue	anticipation	0.648	ինտրիգ
prescient	anticipation	0.648	նախախնամ
treasure	anticipation	0.648	գանձ
erotic	anticipation	0.641	էրոտիկ
revolution	anticipation	0.641	հեղափոխություն
launch	anticipation	0.641	մեկնարկը
reckoning	anticipation	0.641	հաշվում
prognosis	anticipation	0.641	կանխատեսում
happiness	anticipation	0.641	երջանկություն
celebrated	anticipation	0.641	նշվում է
receiving	anticipation	0.641	ստացող
possibility	anticipation	0.641	հնարավորություն
expedition	anticipation	0.641	արշավախումբ
bride	anticipation	0.641	հարսնացու
engaged	anticipation	0.641	նշանված
anxious	anticipation	0.641	անհանգիստ
hype	anticipation	0.641	հիպ
spectacular	anticipation	0.641	տպավորիչ
award	anticipation	0.641	մրցանակ
prepare	anticipation	0.633	պատրաստել
coming	anticipation	0.633	գալիս
graduation	anticipation	0.633	ավարտական
destiny	anticipation	0.633	ճակատագիր
miracle	anticipation	0.633	հրաշք
beware	anticipation	0.633	զգուշացեք
succeed	anticipation	0.633	հաջողության հասնել
passionate	anticipation	0.633	կրքոտ
birthday	anticipation	0.633	ծննդյան օրը
passion	anticipation	0.633	կիրք
ominous	anticipation	0.633	չարագուշակ
captivate	anticipation	0.633	գերել
vision	anticipation	0.633	տեսլականը
delight	anticipation	0.633	հրճվանք
curious	anticipation	0.633	հետաքրքրասեր
firstborn	anticipation	0.633	առաջնեկ
await	anticipation	0.633	սպասել
triumphant	anticipation	0.625	հաղթական
escape	anticipation	0.625	փախչել
optimism	anticipation	0.625	լավատեսություն
retirement	anticipation	0.625	թոշակի անցնելը
foresee	anticipation	0.625	կանխատեսել
inspiration	anticipation	0.625	ոգեշնչում
ripen	anticipation	0.625	հասունանալ
gift	anticipation	0.625	նվեր
revival	anticipation	0.625	վերածնունդ
lust	anticipation	0.625	ցանկասիրություն
risky	anticipation	0.617	ռիսկային
foreboding	anticipation	0.617	կանխազգացում
bloom	anticipation	0.617	ծաղկել
verge	anticipation	0.617	եզր
embrace	anticipation	0.617	գրկել
destined	anticipation	0.617	ճակատագրված
surprisingly	anticipation	0.617	զարմանալիորեն
ambition	anticipation	0.617	փառասիրություն
simmering	anticipation	0.617	եռացող
enchanting	anticipation	0.617	դյութիչ
foresight	anticipation	0.617	հեռատեսություն
lookout	anticipation	0.609	Ուշադրություն դարձնել
anxiety	anticipation	0.609	անհանգստություն
forecast	anticipation	0.609	կանխատեսում
seductive	anticipation	0.609	գայթակղիչ
bonus	anticipation	0.609	բոնուս
succeeding	anticipation	0.609	հաջողության հասնելով
matrimony	anticipation	0.609	ամուսնություն
magical	anticipation	0.609	կախարդական
alerts	anticipation	0.609	ահազանգեր
winner	anticipation	0.602	հաղթող
applicant	anticipation	0.602	դիմորդ
fulfillment	anticipation	0.602	կատարում
deserve	anticipation	0.602	արժանանալ
inspire	anticipation	0.602	ոգեշնչել
foreseen	anticipation	0.602	նախատեսված
intended	anticipation	0.602	նախատեսված է
boomerang	anticipation	0.602	բումերանգ
picnic	anticipation	0.602	խնջույք
longing	anticipation	0.602	կարոտ
revenge	anticipation	0.602	վրեժխնդրություն
success	anticipation	0.602	հաջողություն
diagnosis	anticipation	0.602	ախտորոշում
visionary	anticipation	0.602	տեսլական
prophetic	anticipation	0.602	մարգարեական
entertaining	anticipation	0.602	ժամանցային
nervous	anticipation	0.602	նյարդային
illuminate	anticipation	0.594	լուսավորել
accelerate	anticipation	0.594	արագացնել
advent	anticipation	0.594	գալուստը
romance	anticipation	0.594	սիրավեպ
result	anticipation	0.594	արդյունք
arrive	anticipation	0.594	ժամանել
momentum	anticipation	0.594	թափը
buzz	anticipation	0.594	բզզոց
rekindle	anticipation	0.594	կրկին բորբոքել
preparedness	anticipation	0.594	պատրաստվածություն
acquiring	anticipation	0.594	ձեռք բերելով
luck	anticipation	0.594	հաջողություն
marry	anticipation	0.594	ամուսնանալ
predict	anticipation	0.589	կանխատեսել
money	anticipation	0.586	փող
auspices	anticipation	0.586	հովանավորությամբ
uplift	anticipation	0.586	վերելք
fiesta	anticipation	0.586	փառատոն
enjoying	anticipation	0.586	վայելելով
preparation	anticipation	0.586	պատրաստում
raffle	anticipation	0.586	խաղարկություն
investigation	anticipation	0.586	հետաքննություն
progression	anticipation	0.586	առաջընթաց
overdue	anticipation	0.586	ժամկետանց
crave	anticipation	0.586	փափագել
impatient	anticipation	0.586	անհամբեր
enthusiast	anticipation	0.586	էնտուզիաստ
flirt	anticipation	0.586	սիրախաղ
seek	anticipation	0.586	փնտրել
sequel	anticipation	0.586	շարունակություն
presumption	anticipation	0.586	ենթադրություն
delightful	anticipation	0.586	սքանչելի
gambling	anticipation	0.586	Դրամախաղ
immerse	anticipation	0.586	ընկղմել
endeavor	anticipation	0.586	ջանք
experiment	anticipation	0.580	փորձ
enjoy	anticipation	0.578	վայելել
completing	anticipation	0.578	լրացնելով
clamor	anticipation	0.578	աղմուկ
angling	anticipation	0.578	ձկնորսություն
majestic	anticipation	0.578	վեհաշուք
divination	anticipation	0.578	գուշակություն
transcendence	anticipation	0.578	գերազանցություն
thriving	anticipation	0.578	ծաղկող
excavation	anticipation	0.578	պեղում
thirst	anticipation	0.578	ծարավ
remedy	anticipation	0.578	միջոց
harvest	anticipation	0.578	բերքահավաք
risk	anticipation	0.578	ռիսկը
healing	anticipation	0.578	ապաքինող
heavenly	anticipation	0.578	դրախտային
inviting	anticipation	0.578	հրավիրելով
precarious	anticipation	0.578	անկայուն
attainable	anticipation	0.578	հասանելի
blessing	anticipation	0.578	օրհնություն
prosper	anticipation	0.578	բարգավաճել
tease	anticipation	0.570	ծաղրել
plan	anticipation	0.570	պլան
sweetheart	anticipation	0.570	սիրելիս
zest	anticipation	0.570	համ
magnificence	anticipation	0.570	շքեղություն
ultimate	anticipation	0.570	վերջնական
emancipation	anticipation	0.570	էմանսիպացիա
restlessness	anticipation	0.570	անհանգստություն
finally	anticipation	0.570	վերջապես
intimate	anticipation	0.570	ինտիմ
omen	anticipation	0.570	նախանշան
matchmaker	anticipation	0.570	խնկավաճառ
gambler	anticipation	0.570	խաղամոլ
prospectively	anticipation	0.570	հեռանկարային
dare	anticipation	0.570	համարձակվել
warned	anticipation	0.570	զգուշացրել է
invite	anticipation	0.570	հրավիրել
mysterious	anticipation	0.562	խորհրդավոր
accolade	anticipation	0.562	գովաբանություն
lover	anticipation	0.562	սիրահար
expose	anticipation	0.562	բացահայտել
enchant	anticipation	0.562	կախարդել
attempt	anticipation	0.562	փորձ
festival	anticipation	0.562	փառատոն
exalt	anticipation	0.562	վեհացնել
rejoice	anticipation	0.562	ուրախանալ
independence	anticipation	0.562	անկախություն
expected	anticipation	0.562	ակնկալվում է
fanfare	anticipation	0.562	ֆանֆար
immortality	anticipation	0.562	անմահություն
quicken	anticipation	0.562	արագացնել
parade	anticipation	0.562	շքերթ
fun	anticipation	0.562	զվարճանք
predilection	anticipation	0.562	նախասիրություն
champion	anticipation	0.562	չեմպիոն
forewarned	anticipation	0.562	նախազգուշացրել է
hypothesis	anticipation	0.562	վարկած
trophy	anticipation	0.562	ավար
shopping	anticipation	0.555	գնումներ կատարել
salvation	anticipation	0.555	փրկություն
feeling	anticipation	0.555	Զգացմունք
speculative	anticipation	0.555	սպեկուլյատիվ
oracle	anticipation	0.555	պատգամաբեր
heroism	anticipation	0.555	հերոսություն
boisterous	anticipation	0.555	բուռն
grasping	anticipation	0.555	բռնելով
uneasiness	anticipation	0.555	անհանգստություն
curiosity	anticipation	0.555	հետաքրքրասիրություն
happy	anticipation	0.555	երջանիկ
rejoicing	anticipation	0.555	ուրախանալով
fate	anticipation	0.555	ճակատագիր
liberty	anticipation	0.555	ազատություն
unfold	anticipation	0.555	բացվել
amour	anticipation	0.555	սիրահար
lovely	anticipation	0.555	սիրուն
splendor	anticipation	0.555	շքեղություն
grow	anticipation	0.555	աճել
glimmer	anticipation	0.547	շող
incite	anticipation	0.547	դրդել
abundance	anticipation	0.547	առատություն
resultant	anticipation	0.547	արդյունք
probability	anticipation	0.547	հավանականությունը
recreational	anticipation	0.547	հանգստի
glory	anticipation	0.547	Փառք
agape	anticipation	0.547	ագապե
delighted	anticipation	0.547	հիացած
changeable	anticipation	0.547	փոփոխական
convergence	anticipation	0.547	կոնվերգենցիա
bountiful	anticipation	0.547	առատաձեռն
warn	anticipation	0.547	զգուշացնել
monetary	anticipation	0.547	դրամական
sorcery	anticipation	0.547	կախարդություն
morrow	anticipation	0.547	վաղը
apprehensive	anticipation	0.547	մտավախություն ունեցող
hungry	anticipation	0.547	սոված
vote	anticipation	0.547	քվեարկել
suspicious	anticipation	0.547	կասկածելի
pray	anticipation	0.547	աղոթել
leisure	anticipation	0.547	ժամանց
hunting	anticipation	0.539	որսորդություն
sensual	anticipation	0.539	զգայական
tempest	anticipation	0.539	փոթորիկ
auction	anticipation	0.539	աճուրդ
ballot	anticipation	0.539	քվեաթերթիկ
grandchildren	anticipation	0.539	թոռներ
hankering	anticipation	0.539	կամակորություն
entertainment	anticipation	0.539	զվարճություն
merge	anticipation	0.539	միաձուլվել
exceed	anticipation	0.539	գերազանցել
vindication	anticipation	0.539	արդարացում
blessings	anticipation	0.539	օրհնություններ
inquiry	anticipation	0.539	հարցում
bounty	anticipation	0.539	առատաձեռնություն
worrying	anticipation	0.539	մտահոգիչ
contingent	anticipation	0.539	զորակազմը
glad	anticipation	0.536	ուրախ
harbinger	anticipation	0.531	ավետաբեր
magnificent	anticipation	0.531	հոյակապ
virginity	anticipation	0.531	կուսություն
stealthy	anticipation	0.531	գաղտագողի
appeal	anticipation	0.531	բողոքարկել
forming	anticipation	0.531	ձևավորելով
celestial	anticipation	0.531	երկնային
raving	anticipation	0.531	զառանցանք
deliverance	anticipation	0.531	ազատագրում
feat	anticipation	0.531	feat
cheer	anticipation	0.531	ուրախանալ
responsive	anticipation	0.531	արձագանքող
hurried	anticipation	0.531	շտապեց
betrothed	anticipation	0.531	նշանված
overthrow	anticipation	0.531	տապալել
spirits	anticipation	0.531	ոգիներ
dread	anticipation	0.531	վախ
visitor	anticipation	0.531	այցելու
wait	anticipation	0.523	սպասիր
revive	anticipation	0.523	վերակենդանացնել
watch	anticipation	0.523	ժամացույց
hunter	anticipation	0.523	որսորդ
radiance	anticipation	0.523	պայծառություն
planning	anticipation	0.523	պլանավորում
germination	anticipation	0.523	բողբոջում
competition	anticipation	0.523	մրցակցություն
preparatory	anticipation	0.523	նախապատրաստական
prognostic	anticipation	0.523	կանխատեսող
beaming	anticipation	0.523	ճառագայթում
cheery	anticipation	0.523	ուրախ
prevail	anticipation	0.523	գերակշռել
importance	anticipation	0.523	կարևորությունը
notification	anticipation	0.523	ծանուցում
explosive	anticipation	0.523	պայթուցիկ
pleasant	anticipation	0.523	հաճելի
ultimately	anticipation	0.523	ի վերջո
child	anticipation	0.523	երեխա
haste	anticipation	0.523	շտապողականություն
prophet	anticipation	0.523	մարգարե
recreation	anticipation	0.516	հանգիստ
present	anticipation	0.516	ներկա
time	anticipation	0.516	ժամանակ
sensuality	anticipation	0.516	զգայականություն
owing	anticipation	0.516	պարտքով
loom	anticipation	0.516	ջուլհակ
begun	anticipation	0.516	սկսվեց
salary	anticipation	0.516	աշխատավարձ
celebrity	anticipation	0.516	հայտնիություն
treat	anticipation	0.516	բուժել
chocolate	anticipation	0.516	շոկոլադ
caution	anticipation	0.516	զգուշություն
fermentation	anticipation	0.516	խմորում
uncontrollable	anticipation	0.516	անվերահսկելի
precious	anticipation	0.516	թանկագին
compensate	anticipation	0.516	փոխհատուցել
endanger	anticipation	0.516	վտանգի ենթարկել
renovation	anticipation	0.516	վերանորոգում
signify	anticipation	0.508	նշանակել
vigilance	anticipation	0.508	զգոնություն
prerequisite	anticipation	0.508	նախադրյալ
perfection	anticipation	0.508	կատարելություն
cultivate	anticipation	0.508	մշակել
develop	anticipation	0.508	զարգացնել
cue	anticipation	0.508	թելադրանք
exigent	anticipation	0.508	պահանջկոտ
transitional	anticipation	0.508	անցումային
commemoration	anticipation	0.508	ոգեկոչում
intermission	anticipation	0.508	ընդմիջում
elevation	anticipation	0.508	բարձրություն
infant	anticipation	0.508	նորածին
practise	anticipation	0.508	պրակտիկա
contemplation	anticipation	0.508	խորհրդածություն
dreadful	anticipation	0.508	սարսափելի
wilderness	anticipation	0.508	անապատ
horizon	anticipation	0.508	Հորիզոն
sneaking	anticipation	0.500	գաղտագողի
uphill	anticipation	0.500	վերև
puppy	anticipation	0.500	լակոտ
blindfold	anticipation	0.500	աչքերը կապել
unbridled	anticipation	0.500	անսանձ
horoscope	anticipation	0.500	հորոսկոպ
airport	anticipation	0.500	օդանավակայան
reconciliation	anticipation	0.500	հաշտեցում
advocacy	anticipation	0.500	փաստաբանություն
litigate	anticipation	0.500	դատավարություն
sunny	anticipation	0.500	արևոտ
intuitively	anticipation	0.500	ինտուիտիվ կերպով
hero	anticipation	0.500	հերոս
ardent	anticipation	0.500	ջերմեռանդ
commemorate	anticipation	0.500	ոգեկոչել
romantic	anticipation	0.500	ռոմանտիկ
doomsday	anticipation	0.500	դատաստանի օր
ready	anticipation	0.500	պատրաստ
nascent	anticipation	0.500	նորածին
invocation	anticipation	0.500	կոչում
depart	anticipation	0.500	մեկնել
undisclosed	anticipation	0.500	չբացահայտված
attendance	anticipation	0.500	հաճախում
peril	anticipation	0.500	վտանգ
income	anticipation	0.500	եկամուտը
calculation	anticipation	0.500	հաշվարկ
zeal	anticipation	0.500	նախանձախնդրություն
eventuality	anticipation	0.500	ի վերջո
favorable	anticipation	0.500	բարենպաստ
utopian	anticipation	0.500	ուտոպիստական
swim	anticipation	0.500	լողալ
proceeding	anticipation	0.492	ընթացքը
eventual	anticipation	0.492	վերջնական
heyday	anticipation	0.492	ծաղկման օր
undertaking	anticipation	0.492	ձեռնարկում
improvise	anticipation	0.492	իմպրովիզացնել
inauguration	anticipation	0.492	երդմնակալություն
consequent	anticipation	0.492	հետևանքով
perspective	anticipation	0.492	հեռանկար
defense	anticipation	0.492	պաշտպանություն
repay	anticipation	0.492	մարել
gaping	anticipation	0.492	բացթողում
youth	anticipation	0.492	երիտասարդություն
parole	anticipation	0.492	պայմանական վաղաժամկետ ազատում
worry	anticipation	0.492	անհանգստանալ
bless	anticipation	0.492	օրհնել
restorative	anticipation	0.492	վերականգնող
court	anticipation	0.492	դատարան
highest	anticipation	0.491	ամենաբարձր
shortly	anticipation	0.484	շուտով
auspicious	anticipation	0.484	բարեհաջող
princely	anticipation	0.484	իշխանական
correspondence	anticipation	0.484	նամակագրություն
generosity	anticipation	0.484	առատաձեռնություն
sparkle	anticipation	0.484	կայծ
voluptuous	anticipation	0.484	կամակոր
happen	anticipation	0.484	պատահել
tremor	anticipation	0.484	ցնցում
letter	anticipation	0.484	նամակ
vow	anticipation	0.484	ուխտ
sharpen	anticipation	0.484	սրել
duel	anticipation	0.484	մենամարտ
conjure	anticipation	0.484	հորդորել
threaten	anticipation	0.484	սպառնալ
god	anticipation	0.484	աստված
engulf	anticipation	0.484	կլանել
unexplained	anticipation	0.484	անբացատրելի
contagion	anticipation	0.484	վարակիչ
glorify	anticipation	0.477	փառաբանել
submit	anticipation	0.477	ներկայացնել
enroll	anticipation	0.477	գրանցել
unification	anticipation	0.477	միավորում
gravitate	anticipation	0.477	ձգողականություն
glide	anticipation	0.477	սահել
accompaniment	anticipation	0.477	ուղեկցում
cherish	anticipation	0.477	փայփայել
adore	anticipation	0.477	պաշտել
powerful	anticipation	0.477	հզոր
clue	anticipation	0.477	թել
medal	anticipation	0.477	մեդալ
contemplate	anticipation	0.477	խորհել
perilous	anticipation	0.477	վտանգավոր
determinate	anticipation	0.477	որոշել
arbitration	anticipation	0.477	միջնորդ դատարանի որոշում
recipient	anticipation	0.477	ստացող
onset	anticipation	0.477	սկիզբը
predispose	anticipation	0.477	նախատրամադրել
score	anticipation	0.477	միավոր
torture	anticipation	0.477	խոշտանգում
glow	anticipation	0.477	շողալ
praiseworthy	anticipation	0.473	գովելի
football	anticipation	0.469	ֆուտբոլ
scare	anticipation	0.469	վախեցնել
elite	anticipation	0.469	էլիտար
unknown	anticipation	0.469	անհայտ
precursor	anticipation	0.469	նախածանց
pry	anticipation	0.469	քծնել
providing	anticipation	0.469	ապահովելով
sweets	anticipation	0.469	Քաղցրավենիք
cautious	anticipation	0.469	զգուշավոր
opera	anticipation	0.469	օպերա
motion	anticipation	0.469	շարժումը
cash	anticipation	0.469	կանխիկ
creeping	anticipation	0.469	սողացող
invoke	anticipation	0.469	կանչել
star	anticipation	0.469	աստղ
shaky	anticipation	0.469	երերուն
production	anticipation	0.469	արտադրությունը
successful	anticipation	0.469	հաջող
immediately	anticipation	0.469	անմիջապես
dawn	anticipation	0.469	լուսաբաց
starry	anticipation	0.469	աստղային
unsurpassed	anticipation	0.469	անգերազանցելի
completion	anticipation	0.469	ավարտը
hire	anticipation	0.469	վարձել
fete	anticipation	0.469	տոնակատարություն
commemorative	anticipation	0.461	հիշատակի
shining	anticipation	0.461	փայլում է
testament	anticipation	0.461	կտակը
pay	anticipation	0.461	վճարել
alive	anticipation	0.461	կենդանի
plight	anticipation	0.461	դժբախտ վիճակ
preliminary	anticipation	0.461	նախնական
overture	anticipation	0.461	նախերգանք
sanctuary	anticipation	0.461	սրբավայր
regatta	anticipation	0.461	ռեգատա
draft	anticipation	0.461	նախագիծը
synchronize	anticipation	0.461	համաժամացնել
soundness	anticipation	0.461	առողջություն
extricate	anticipation	0.461	դուրս հանել
excel	anticipation	0.461	գերազանցել
punt	anticipation	0.461	կետ
untold	anticipation	0.461	անպատմելի
brilliant	anticipation	0.461	փայլուն
cheerfulness	anticipation	0.461	կենսուրախություն
jeopardy	anticipation	0.461	վտանգ
friendly	anticipation	0.461	ընկերական
mail	anticipation	0.461	փոստ
unexpected	anticipation	0.453	անսպասելի
basketball	anticipation	0.453	բասկետբոլ
inaugural	anticipation	0.453	անդրանիկ
supremacy	anticipation	0.453	գերակայություն
rehabilitation	anticipation	0.453	վերականգնողական
intimately	anticipation	0.453	մտերմորեն
career	anticipation	0.453	կարիերա
prevention	anticipation	0.453	կանխարգելում
renovate	anticipation	0.453	վերանորոգել
compliment	anticipation	0.453	հաճոյախոսություն
prologue	anticipation	0.453	նախաբան
elegance	anticipation	0.453	էլեգանտություն
complement	anticipation	0.453	լրացնում
flinch	anticipation	0.453	թարթել
infinity	anticipation	0.453	անսահմանություն
perpetuity	anticipation	0.453	հավերժություն
sunset	anticipation	0.453	մայրամուտ
improve	anticipation	0.453	բարելավել
fitting	anticipation	0.445	հարմարեցում
confidence	anticipation	0.445	վստահություն
concealment	anticipation	0.445	քողարկում
sweet	anticipation	0.445	քաղցր
perfect	anticipation	0.445	կատարյալ
epidemic	anticipation	0.445	համաճարակ
fain	anticipation	0.445	թուլանալ
volunteer	anticipation	0.445	կամավոր
share	anticipation	0.445	կիսվել
surround	anticipation	0.445	շրջապատել
conjecture	anticipation	0.445	ենթադրություն
sun	anticipation	0.445	արև
veracity	anticipation	0.445	ճշմարտացիություն
serial	anticipation	0.438	սերիալ
angel	anticipation	0.438	հրեշտակ
aloha	anticipation	0.438	ալոհա
saint	anticipation	0.438	սուրբ
tickle	anticipation	0.438	թրթռալ
superstitious	anticipation	0.438	սնահավատ
ferment	anticipation	0.438	խմորել
conservation	anticipation	0.438	պահպանում
devout	anticipation	0.438	բարեպաշտ
respect	anticipation	0.438	հարգանք
reconstruction	anticipation	0.438	վերակառուցում
goodness	anticipation	0.438	բարություն
reconstruct	anticipation	0.438	վերակառուցել
faith	anticipation	0.438	հավատք
recombination	anticipation	0.438	ռեկոմբինացիա
prepared	anticipation	0.438	պատրաստված
rabid	anticipation	0.438	կատաղած
plea	anticipation	0.438	խնդրանք
medical	anticipation	0.438	բժշկական
passenger	anticipation	0.438	ուղեւոր
charitable	anticipation	0.430	բարեգործական
tabulate	anticipation	0.430	աղյուսակ
peace	anticipation	0.430	խաղաղություն
install	anticipation	0.430	տեղադրել
serenity	anticipation	0.430	հանգստություն
venerable	anticipation	0.430	պատկառելի
spa	anticipation	0.430	սպա
labyrinth	anticipation	0.430	լաբիրինթոս
luscious	anticipation	0.430	համեղ
perpetuate	anticipation	0.430	հավերժացնել
strategist	anticipation	0.430	ռազմավար
unverified	anticipation	0.430	չստուգված
tribunal	anticipation	0.430	տրիբունալ
clap	anticipation	0.430	ծափ տալ
peaceful	anticipation	0.422	խաղաղ
patience	anticipation	0.422	համբերություն
unresolved	anticipation	0.422	չլուծված
worship	anticipation	0.422	երկրպագել
edification	anticipation	0.422	շինություն
oasis	anticipation	0.422	օազիս
grin	anticipation	0.422	քմծիծաղ
revere	anticipation	0.422	հարգել
candid	anticipation	0.422	անկեղծ
vista	anticipation	0.422	տեսարան
conspirator	anticipation	0.422	դավադիր
adrift	anticipation	0.422	շեղվել
recognizable	anticipation	0.422	ճանաչելի
volatility	anticipation	0.422	անկայունություն
forestall	anticipation	0.422	կանխել
laughter	anticipation	0.422	ծիծաղ
continue	anticipation	0.414	շարունակել
ongoing	anticipation	0.414	շարունակական
astrologer	anticipation	0.414	աստղագուշակ
mediate	anticipation	0.414	միջնորդել
punctual	anticipation	0.414	ճշտապահ
grant	anticipation	0.414	դրամաշնորհ
morn	anticipation	0.414	առավոտ
pretty	anticipation	0.414	գեղեցիկ
withstand	anticipation	0.414	դիմակայել
frisky	anticipation	0.414	ցայտուն
thought	anticipation	0.414	մտածեց
probation	anticipation	0.414	փորձաշրջան
ordination	anticipation	0.414	ձեռնադրություն
calls	anticipation	0.414	զանգեր
detainee	anticipation	0.414	կալանավոր
craps	anticipation	0.414	craps
weigh	anticipation	0.414	կշռել
proficiency	anticipation	0.414	հմտություն
sing	anticipation	0.411	երգել
continuation	anticipation	0.406	շարունակություն
university	anticipation	0.406	համալսարան
chicane	anticipation	0.406	շիկեն
nurture	anticipation	0.406	դաստիարակել
mother	anticipation	0.406	մայրիկ
punished	anticipation	0.406	պատժվել է
twinkle	anticipation	0.406	փայլատակել
confession	anticipation	0.406	խոստովանություն
outdo	anticipation	0.406	գերազանցել
prophylactic	anticipation	0.406	պրոֆիլակտիկ
proud	anticipation	0.406	հպարտ
midwife	anticipation	0.406	մանկաբարձուհի
wizard	anticipation	0.406	կախարդ
headlight	anticipation	0.406	լուսարձակ
long	anticipation	0.406	երկար
banquet	anticipation	0.406	բանկետ
comfort	anticipation	0.406	հարմարավետություն
navigable	anticipation	0.406	նավարկելի
subscribe	anticipation	0.406	բաժանորդագրվել
opponent	anticipation	0.406	հակառակորդ
debenture	anticipation	0.406	պարտատոմս
deal	anticipation	0.402	գործարք
symphony	anticipation	0.398	սիմֆոնիա
saintly	anticipation	0.398	սուրբ
judiciary	anticipation	0.398	դատական իշխանությունը
lettered	anticipation	0.398	տառերով
vigil	anticipation	0.398	զգոնություն
reliance	anticipation	0.398	ապավինում
distracting	anticipation	0.398	շեղող
mortification	anticipation	0.398	նվաստացում
balm	anticipation	0.398	բալասան
simmer	anticipation	0.398	եփ գալ
top	anticipation	0.398	գագաթ
obliging	anticipation	0.398	պարտավորեցնող
efficient	anticipation	0.398	արդյունավետ
guillotine	anticipation	0.398	գիլյոտին
representing	anticipation	0.398	ներկայացնելով
death	anticipation	0.398	մահ
assurance	anticipation	0.391	հավաստիացում
familiarity	anticipation	0.391	ծանոթություն
depraved	anticipation	0.391	այլասերված
condemnation	anticipation	0.391	դատապարտում
undoubted	anticipation	0.391	անկասկած
sanctify	anticipation	0.391	սրբացնել
diplomacy	anticipation	0.391	դիվանագիտություն
antidote	anticipation	0.391	հակաթույն
trust	anticipation	0.391	վստահություն
linger	anticipation	0.391	ձգձգել
