English Word	Emotion	Emotion-Intensity-Score	Amharic Word
lonely	anger	0.109	ብቸኝነት
tolerate	anger	0.106	መታገስ
management	anger	0.102	አስተዳደር
advocacy	anger	0.100	ተሟጋችነት
moral	anger	0.094	ሥነ ምግባር
roadworks	anger	0.091	የመንገድ ስራዎች
honest	anger	0.087	ሐቀኛ
gent	anger	0.076	ገር
forgetful	anger	0.076	የሚረሳ
liquor	anger	0.075	መጠጥ
money	anger	0.074	ገንዘብ
hood	anger	0.071	ኮፍያ
curriculum	anger	0.063	ሥርዓተ ትምህርት
words	anger	0.062	ቃላት
smell	anger	0.061	ማሽተት
playful	anger	0.061	ተጫዋች
opera	anger	0.061	ኦፔራ
elf	anger	0.061	ኤልፍ
nurture	anger	0.059	ማሳደግ
trumpet	anger	0.059	መለከት
counsellor	anger	0.059	አማካሪ
asleeep	anger	0.059	ተኝቷል
birthplace	anger	0.051	የትውልድ ቦታ
ribbon	anger	0.047	ሪባን
youth	anger	0.045	ወጣቶች
vote	anger	0.045	ድምጽ መስጠት
cash	anger	0.039	ጥሬ ገንዘብ
wannasleep	anger	0.031	መተኛት እፈልጋለሁ
waffle	anger	0.030	ዋፍል
dame	anger	0.030	ዳም
buffet	anger	0.029	ቡፌ
celebrity	anger	0.026	ታዋቂ ሰው
sisterhood	anger	0.015	እህትነት
autocorrect	anger	0.015	በራስ አስተካክል።
musical	anger	0.011	ሙዚቃዊ
tree	anger	0.000	ዛፍ
anticipation	anticipation	0.859	መጠበቅ
excited	anticipation	0.859	ጓጉተናል
excitement	anticipation	0.820	ደስታ
anticipate	anticipation	0.820	መገመት
eagerness	anticipation	0.812	ጉጉት
exciting	anticipation	0.797	አስደሳች
expectant	anticipation	0.789	የሚጠበቀው
thrilling	anticipation	0.781	የሚያስደስት
hope	anticipation	0.773	ተስፋ
quest	anticipation	0.766	ፍለጋ
countdown	anticipation	0.750	ቆጠራ
start	anticipation	0.750	ጀምር
anticipatory	anticipation	0.750	የሚጠበቀው
adventure	anticipation	0.750	ጀብዱ
expectance	anticipation	0.750	መጠበቅ
climax	anticipation	0.742	ጫፍ
prophecy	anticipation	0.742	ትንቢት
expect	anticipation	0.742	መጠበቅ
excite	anticipation	0.742	አስደስት
arouse	anticipation	0.742	መቀስቀስ
eager	anticipation	0.742	ጉጉት።
ejaculation	anticipation	0.734	ፈሳሽ መፍሰስ
birth	anticipation	0.734	መወለድ
announcement	anticipation	0.734	ማስታወቂያ
expectancy	anticipation	0.727	መጠበቅ
expecting	anticipation	0.727	መጠበቅ
imminent	anticipation	0.727	የማይቀር
liberation	anticipation	0.727	ነጻ ማውጣት
urgent	anticipation	0.727	አስቸኳይ
trepidation	anticipation	0.719	መንቀጥቀጥ
reunion	anticipation	0.719	እንደገና መገናኘት
prospection	anticipation	0.719	ትንበያ
voyage	anticipation	0.719	ጉዞ
prospect	anticipation	0.719	ተስፋ
aspire	anticipation	0.719	እመኝ
rapture	anticipation	0.711	መነጠቅ
suspense	anticipation	0.711	ጥርጣሬ
journey	anticipation	0.711	ጉዞ
kiss	anticipation	0.711	መሳም
enthusiasm	anticipation	0.711	ግለት
yearning	anticipation	0.711	ናፍቆት
ecstasy	anticipation	0.711	ደስታ
mystery	anticipation	0.711	ምስጢር
prospective	anticipation	0.703	የወደፊት
frantic	anticipation	0.703	ንዴት
destination	anticipation	0.703	መድረሻ
excitation	anticipation	0.703	መነሳሳት።
lottery	anticipation	0.703	ሎተሪ
hopeful	anticipation	0.703	ተስፋ ሰጭ
thrill	anticipation	0.703	ደስታ
progress	anticipation	0.703	እድገት
urgency	anticipation	0.703	አስቸኳይ
tantalizing	anticipation	0.703	ታንታሊንግ
liberate	anticipation	0.695	ነጻ ማውጣት
hurry	anticipation	0.695	ፍጠን
explore	anticipation	0.695	ማሰስ
advance	anticipation	0.695	በቅድሚያ
vacation	anticipation	0.695	የእረፍት ጊዜ
sex	anticipation	0.695	ወሲብ
achievement	anticipation	0.695	ስኬት
readiness	anticipation	0.695	ዝግጁነት
expectation	anticipation	0.695	መጠበቅ
prediction	anticipation	0.695	ትንበያ
arrival	anticipation	0.695	መምጣት
allure	anticipation	0.688	ማባበል
ecstatic	anticipation	0.688	ደስተኛ
approaching	anticipation	0.688	እየቀረበ ነው።
honeymoon	anticipation	0.680	የጫጉላ ሽርሽር
roulette	anticipation	0.680	ሩሌት
uprising	anticipation	0.680	አመፅ
holiday	anticipation	0.672	በዓል
crescendo	anticipation	0.672	crescendo
celebrating	anticipation	0.672	በማክበር ላይ
wishful	anticipation	0.672	የምኞት
waiting	anticipation	0.664	በመጠባበቅ ላይ
invitation	anticipation	0.664	ግብዣ
rescue	anticipation	0.664	ማዳን
impending	anticipation	0.664	እየቀረበ ነው።
winning	anticipation	0.664	ማሸነፍ
craving	anticipation	0.664	መመኘት
winnings	anticipation	0.664	አሸናፊዎች
triumph	anticipation	0.664	ድል
orgasm	anticipation	0.664	ኦርጋዜም
marriage	anticipation	0.656	ጋብቻ
bridal	anticipation	0.656	ሙሽራ
victory	anticipation	0.656	ድል
courtship	anticipation	0.656	መጠናናት
gain	anticipation	0.656	ማግኘት
aspiring	anticipation	0.656	የሚጓጉ
strive	anticipation	0.656	መጣር
reward	anticipation	0.656	ሽልማት
celebration	anticipation	0.656	በዓል
jackpot	anticipation	0.656	jackpot
bridegroom	anticipation	0.656	ሙሽራ
fortune	anticipation	0.656	ዕድል
tomorrow	anticipation	0.648	ነገ
rising	anticipation	0.648	መነሳት
inheritance	anticipation	0.648	ውርስ
alertness	anticipation	0.648	ንቃት
crowning	anticipation	0.648	አክሊል መጎናጸፍ
aspiration	anticipation	0.648	ምኞት
delivery	anticipation	0.648	ማድረስ
opportunity	anticipation	0.648	ዕድል
intrigue	anticipation	0.648	ሴራ
prescient	anticipation	0.648	ትህትና
treasure	anticipation	0.648	ውድ ሀብት
erotic	anticipation	0.641	የፍትወት ቀስቃሽ
revolution	anticipation	0.641	አብዮት
launch	anticipation	0.641	ማስጀመር
reckoning	anticipation	0.641	መቁጠር
prognosis	anticipation	0.641	ትንበያ
happiness	anticipation	0.641	ደስታ
celebrated	anticipation	0.641	ተከበረ
receiving	anticipation	0.641	መቀበል
possibility	anticipation	0.641	ዕድል
expedition	anticipation	0.641	ጉዞ
bride	anticipation	0.641	ሙሽራ
engaged	anticipation	0.641	የተጠመዱ
anxious	anticipation	0.641	መጨነቅ
hype	anticipation	0.641	ማሞገስ
spectacular	anticipation	0.641	አስደናቂ
award	anticipation	0.641	ሽልማት
prepare	anticipation	0.633	አዘጋጅ
coming	anticipation	0.633	መምጣት
graduation	anticipation	0.633	ምረቃ
destiny	anticipation	0.633	እጣ ፈንታ
miracle	anticipation	0.633	ተአምር
beware	anticipation	0.633	ተጠንቀቅ
succeed	anticipation	0.633	ተሳካለት
passionate	anticipation	0.633	ስሜታዊ
birthday	anticipation	0.633	የልደት ቀን
passion	anticipation	0.633	ስሜት
ominous	anticipation	0.633	አስጸያፊ
captivate	anticipation	0.633	የሚማርክ
vision	anticipation	0.633	ራዕይ
delight	anticipation	0.633	ማስደሰት
curious	anticipation	0.633	የማወቅ ጉጉት ያለው
firstborn	anticipation	0.633	የበኩር ልጅ
await	anticipation	0.633	መጠበቅ
triumphant	anticipation	0.625	ድል አድራጊ
escape	anticipation	0.625	ማምለጥ
optimism	anticipation	0.625	ብሩህ ተስፋ
retirement	anticipation	0.625	ጡረታ መውጣት
foresee	anticipation	0.625	አስቀድሞ ማየት
inspiration	anticipation	0.625	መነሳሳት።
ripen	anticipation	0.625	መብሰል
gift	anticipation	0.625	ስጦታ
revival	anticipation	0.625	መነቃቃት
lust	anticipation	0.625	ምኞት
risky	anticipation	0.617	አደገኛ
foreboding	anticipation	0.617	አስቀድሞ መፈረጅ
bloom	anticipation	0.617	ያብባል
verge	anticipation	0.617	ጫፍ
embrace	anticipation	0.617	ማቀፍ
destined	anticipation	0.617	እጣ ፈንታ
surprisingly	anticipation	0.617	የሚገርም ነው።
ambition	anticipation	0.617	ምኞት
simmering	anticipation	0.617	እየተንተከተከ
enchanting	anticipation	0.617	አስማታዊ
foresight	anticipation	0.617	አርቆ ማሰብ
lookout	anticipation	0.609	ተመልከት
anxiety	anticipation	0.609	ጭንቀት
forecast	anticipation	0.609	ትንበያ
seductive	anticipation	0.609	አሳሳች
bonus	anticipation	0.609	ጉርሻ
succeeding	anticipation	0.609	እየተሳካለት ነው።
matrimony	anticipation	0.609	ጋብቻ
magical	anticipation	0.609	አስማታዊ
alerts	anticipation	0.609	ማንቂያዎች
winner	anticipation	0.602	አሸናፊ
applicant	anticipation	0.602	አመልካች
fulfillment	anticipation	0.602	ማሟላት
deserve	anticipation	0.602	ይገባቸዋል
inspire	anticipation	0.602	ማነሳሳት።
foreseen	anticipation	0.602	አስቀድሞ ታይቷል
intended	anticipation	0.602	የታሰበ
boomerang	anticipation	0.602	ቡሜራንግ
picnic	anticipation	0.602	ሽርሽር
longing	anticipation	0.602	ናፍቆት
revenge	anticipation	0.602	መበቀል
success	anticipation	0.602	ስኬት
diagnosis	anticipation	0.602	ምርመራ
visionary	anticipation	0.602	ባለራዕይ
prophetic	anticipation	0.602	ትንቢታዊ
entertaining	anticipation	0.602	አዝናኝ
nervous	anticipation	0.602	ፍርሀት
illuminate	anticipation	0.594	ማብራት
accelerate	anticipation	0.594	ማፋጠን
advent	anticipation	0.594	መምጣት
romance	anticipation	0.594	የፍቅር ግንኙነት
result	anticipation	0.594	ውጤት
arrive	anticipation	0.594	መድረስ
momentum	anticipation	0.594	ፍጥነት
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	እንደገና ማብራት
preparedness	anticipation	0.594	ዝግጁነት
acquiring	anticipation	0.594	ማግኘት
luck	anticipation	0.594	ዕድል
marry	anticipation	0.594	ማግባት
predict	anticipation	0.589	መተንበይ
money	anticipation	0.586	ገንዘብ
auspices	anticipation	0.586	አደራ
uplift	anticipation	0.586	ከፍ ከፍ ማድረግ
fiesta	anticipation	0.586	ፊስታ
enjoying	anticipation	0.586	መደሰት
preparation	anticipation	0.586	አዘገጃጀት
raffle	anticipation	0.586	ራፍል
investigation	anticipation	0.586	ምርመራ
progression	anticipation	0.586	እድገት
overdue	anticipation	0.586	ዘግይቷል
crave	anticipation	0.586	መመኘት
impatient	anticipation	0.586	ትዕግስት የሌለው
enthusiast	anticipation	0.586	ቀናተኛ
flirt	anticipation	0.586	ማሽኮርመም
seek	anticipation	0.586	መፈለግ
sequel	anticipation	0.586	ተከታይ
presumption	anticipation	0.586	ግምት
delightful	anticipation	0.586	አስደሳች
gambling	anticipation	0.586	ቁማር መጫወት
immerse	anticipation	0.586	ማጥለቅ
endeavor	anticipation	0.586	ጥረት
experiment	anticipation	0.580	ሙከራ
enjoy	anticipation	0.578	ተደሰት
completing	anticipation	0.578	በማጠናቀቅ ላይ
clamor	anticipation	0.578	ጩኸት
angling	anticipation	0.578	አንግል
majestic	anticipation	0.578	ግርማ ሞገስ ያለው
divination	anticipation	0.578	ሟርት
transcendence	anticipation	0.578	መሻገር
thriving	anticipation	0.578	እየበለጸገ ነው።
excavation	anticipation	0.578	ቁፋሮ
thirst	anticipation	0.578	ጥማት
remedy	anticipation	0.578	መድሃኒት
harvest	anticipation	0.578	መከር
risk	anticipation	0.578	አደጋ
healing	anticipation	0.578	ፈውስ
heavenly	anticipation	0.578	ሰማያዊ
inviting	anticipation	0.578	መጋበዝ
precarious	anticipation	0.578	አደገኛ
attainable	anticipation	0.578	ሊደረስበት የሚችል
blessing	anticipation	0.578	በረከት
prosper	anticipation	0.578	ብልጽግናን
tease	anticipation	0.570	ማሾፍ
plan	anticipation	0.570	እቅድ
sweetheart	anticipation	0.570	ውዴ
zest	anticipation	0.570	zest
magnificence	anticipation	0.570	ግርማ ሞገስ
ultimate	anticipation	0.570	የመጨረሻው
emancipation	anticipation	0.570	ነፃ ማውጣት
restlessness	anticipation	0.570	እረፍት ማጣት
finally	anticipation	0.570	በመጨረሻ
intimate	anticipation	0.570	የጠበቀ
omen	anticipation	0.570	ምልክት
matchmaker	anticipation	0.570	ግጥሚያ ሰሪ
gambler	anticipation	0.570	ቁማርተኛ
prospectively	anticipation	0.570	ወደፊት
dare	anticipation	0.570	ደፋር
warned	anticipation	0.570	አስጠንቅቋል
invite	anticipation	0.570	መጋበዝ
mysterious	anticipation	0.562	ሚስጥራዊ
accolade	anticipation	0.562	ማመስገን
lover	anticipation	0.562	ፍቅረኛ
expose	anticipation	0.562	ማጋለጥ
enchant	anticipation	0.562	አስማት
attempt	anticipation	0.562	ሙከራ
festival	anticipation	0.562	በዓል
exalt	anticipation	0.562	ከፍ ከፍ ማድረግ
rejoice	anticipation	0.562	ደስ ይበላችሁ
independence	anticipation	0.562	ነፃነት
expected	anticipation	0.562	የሚጠበቀው
fanfare	anticipation	0.562	አድናቂዎች
immortality	anticipation	0.562	ያለመሞት
quicken	anticipation	0.562	ማፋጠን
parade	anticipation	0.562	ሰልፍ
fun	anticipation	0.562	አዝናኝ
predilection	anticipation	0.562	ቅድመ-ዝንባሌ
champion	anticipation	0.562	ሻምፒዮን
forewarned	anticipation	0.562	አስቀድሞ አስጠንቅቋል
hypothesis	anticipation	0.562	መላምት
trophy	anticipation	0.562	ዋንጫ
shopping	anticipation	0.555	ግዢ
salvation	anticipation	0.555	መዳን
feeling	anticipation	0.555	ስሜት
speculative	anticipation	0.555	ግምታዊ
oracle	anticipation	0.555	አፈ ቃል
heroism	anticipation	0.555	ጀግንነት
boisterous	anticipation	0.555	ጉጉ
grasping	anticipation	0.555	መጨበጥ
uneasiness	anticipation	0.555	አለመረጋጋት
curiosity	anticipation	0.555	የማወቅ ጉጉት
happy	anticipation	0.555	ደስተኛ
rejoicing	anticipation	0.555	መደሰት
fate	anticipation	0.555	እጣ ፈንታ
liberty	anticipation	0.555	ነፃነት
unfold	anticipation	0.555	መዘርጋት
amour	anticipation	0.555	አሞር
lovely	anticipation	0.555	ቆንጆ
splendor	anticipation	0.555	ግርማ ሞገስ
grow	anticipation	0.555	ማደግ
glimmer	anticipation	0.547	ብልጭልጭ
incite	anticipation	0.547	ማነሳሳት።
abundance	anticipation	0.547	የተትረፈረፈ
resultant	anticipation	0.547	ውጤት
probability	anticipation	0.547	የመሆን እድል
recreational	anticipation	0.547	የመዝናኛ
glory	anticipation	0.547	ክብር
agape	anticipation	0.547	አጋፔ
delighted	anticipation	0.547	ተደስቻለሁ
changeable	anticipation	0.547	ሊለወጥ የሚችል
convergence	anticipation	0.547	መገጣጠም
bountiful	anticipation	0.547	የተትረፈረፈ
warn	anticipation	0.547	አስጠንቅቅ
monetary	anticipation	0.547	የገንዘብ
sorcery	anticipation	0.547	ጥንቆላ
morrow	anticipation	0.547	ነገ
apprehensive	anticipation	0.547	የሚያስፈራ
hungry	anticipation	0.547	የተራበ
vote	anticipation	0.547	ድምጽ መስጠት
suspicious	anticipation	0.547	አጠራጣሪ
pray	anticipation	0.547	ጸልዩ
leisure	anticipation	0.547	የትርፍ ጊዜ ማሳለፊያ
hunting	anticipation	0.539	አደን
sensual	anticipation	0.539	ስሜት ቀስቃሽ
tempest	anticipation	0.539	ማዕበል
auction	anticipation	0.539	ጨረታ
ballot	anticipation	0.539	ድምጽ መስጫ
grandchildren	anticipation	0.539	የልጅ ልጆች
hankering	anticipation	0.539	መንቀጥቀጥ
entertainment	anticipation	0.539	መዝናኛ
merge	anticipation	0.539	ውህደት
exceed	anticipation	0.539	ማለፍ
vindication	anticipation	0.539	ጽድቅ
blessings	anticipation	0.539	በረከት
inquiry	anticipation	0.539	ጥያቄ
bounty	anticipation	0.539	ችሮታ
worrying	anticipation	0.539	መጨነቅ
contingent	anticipation	0.539	ተጠባባቂ
glad	anticipation	0.536	ደስ ብሎኛል
harbinger	anticipation	0.531	ሃሳቢ
magnificent	anticipation	0.531	ድንቅ
virginity	anticipation	0.531	ድንግልና
stealthy	anticipation	0.531	ስውር
appeal	anticipation	0.531	ይግባኝ
forming	anticipation	0.531	መፍጠር
celestial	anticipation	0.531	የሰለስቲያል
raving	anticipation	0.531	መናደድ
deliverance	anticipation	0.531	ነጻ ማውጣት
feat	anticipation	0.531	ፌት
cheer	anticipation	0.531	አይዞህ
responsive	anticipation	0.531	ምላሽ ሰጪ
hurried	anticipation	0.531	ቸኮለ
betrothed	anticipation	0.531	የታጨች
overthrow	anticipation	0.531	መገለባበጥ
spirits	anticipation	0.531	መናፍስት
dread	anticipation	0.531	ፍርሃት
visitor	anticipation	0.531	ጎብኚ
wait	anticipation	0.523	ጠብቅ
revive	anticipation	0.523	ማነቃቃት።
watch	anticipation	0.523	ይመልከቱ
hunter	anticipation	0.523	አዳኝ
radiance	anticipation	0.523	አንጸባራቂ
planning	anticipation	0.523	እቅድ ማውጣት
germination	anticipation	0.523	ማብቀል
competition	anticipation	0.523	ውድድር
preparatory	anticipation	0.523	ዝግጅት
prognostic	anticipation	0.523	ፕሮግኖስቲክ
beaming	anticipation	0.523	ማብራት
cheery	anticipation	0.523	ደስ የሚል
prevail	anticipation	0.523	ያሸንፋል
importance	anticipation	0.523	አስፈላጊነት
notification	anticipation	0.523	ማስታወቂያ
explosive	anticipation	0.523	የሚፈነዳ
pleasant	anticipation	0.523	ደስ የሚል
ultimately	anticipation	0.523	በመጨረሻ
child	anticipation	0.523	ልጅ
haste	anticipation	0.523	መቸኮል
prophet	anticipation	0.523	ነብይ
recreation	anticipation	0.516	መዝናኛ
present	anticipation	0.516	አቅርቧል
time	anticipation	0.516	ጊዜ
sensuality	anticipation	0.516	ስሜታዊነት
owing	anticipation	0.516	ዕዳ
loom	anticipation	0.516	ማሽኮርመም
begun	anticipation	0.516	ጀመረ
salary	anticipation	0.516	ደሞዝ
celebrity	anticipation	0.516	ታዋቂ ሰው
treat	anticipation	0.516	ማከም
chocolate	anticipation	0.516	ቸኮሌት
caution	anticipation	0.516	ጥንቃቄ
fermentation	anticipation	0.516	መፍላት
uncontrollable	anticipation	0.516	መቆጣጠር የማይቻል
precious	anticipation	0.516	ውድ
compensate	anticipation	0.516	ማካካሻ
endanger	anticipation	0.516	አደጋ
renovation	anticipation	0.516	እድሳት
signify	anticipation	0.508	አመልክት።
vigilance	anticipation	0.508	ንቃት
prerequisite	anticipation	0.508	ቅድመ ሁኔታ
perfection	anticipation	0.508	ፍጹምነት
cultivate	anticipation	0.508	ማልማት
develop	anticipation	0.508	ማዳበር
cue	anticipation	0.508	ፍንጭ
exigent	anticipation	0.508	የበዛ
transitional	anticipation	0.508	መሸጋገሪያ
commemoration	anticipation	0.508	መታሰቢያ
intermission	anticipation	0.508	መቆራረጥ
elevation	anticipation	0.508	ከፍታ
infant	anticipation	0.508	ሕፃን
practise	anticipation	0.508	ልምምድ ማድረግ
contemplation	anticipation	0.508	ማሰላሰል
dreadful	anticipation	0.508	አስፈሪ
wilderness	anticipation	0.508	ምድረ በዳ
horizon	anticipation	0.508	አድማስ
sneaking	anticipation	0.500	እያሾለከ ነው።
uphill	anticipation	0.500	ሽቅብ
puppy	anticipation	0.500	ቡችላ
blindfold	anticipation	0.500	ዓይነ ስውር
unbridled	anticipation	0.500	ያልተገራ
horoscope	anticipation	0.500	ሆሮስኮፕ
airport	anticipation	0.500	አየር ማረፊያ
reconciliation	anticipation	0.500	እርቅ
advocacy	anticipation	0.500	ተሟጋችነት
litigate	anticipation	0.500	ሙግት
sunny	anticipation	0.500	ፀሐያማ
intuitively	anticipation	0.500	በማስተዋል
hero	anticipation	0.500	ጀግና
ardent	anticipation	0.500	ታታሪ
commemorate	anticipation	0.500	መዘከር
romantic	anticipation	0.500	የፍቅር ስሜት
doomsday	anticipation	0.500	የምጽአት ቀን
ready	anticipation	0.500	ዝግጁ
nascent	anticipation	0.500	ጀማሪ
invocation	anticipation	0.500	ጥሪ
depart	anticipation	0.500	መነሳት
undisclosed	anticipation	0.500	ያልተገለጸ
attendance	anticipation	0.500	መገኘት
peril	anticipation	0.500	አደጋ
income	anticipation	0.500	ገቢ
calculation	anticipation	0.500	ስሌት
zeal	anticipation	0.500	ቅንዓት
eventuality	anticipation	0.500	ውሎ አድሮ
favorable	anticipation	0.500	ተስማሚ
utopian	anticipation	0.500	utopian
swim	anticipation	0.500	ዋና
proceeding	anticipation	0.492	መቀጠል
eventual	anticipation	0.492	በመጨረሻ
heyday	anticipation	0.492	ሰላም
undertaking	anticipation	0.492	ማካሄድ
improvise	anticipation	0.492	ማሻሻል
inauguration	anticipation	0.492	ምረቃ
consequent	anticipation	0.492	በዚህም ምክንያት
perspective	anticipation	0.492	አመለካከት
defense	anticipation	0.492	መከላከያ
repay	anticipation	0.492	መመለስ
gaping	anticipation	0.492	ክፍተት
youth	anticipation	0.492	ወጣቶች
parole	anticipation	0.492	ይቅርታ
worry	anticipation	0.492	መጨነቅ
bless	anticipation	0.492	ይባርክ
restorative	anticipation	0.492	ማገገሚያ
court	anticipation	0.492	ፍርድ ቤት
highest	anticipation	0.491	ከፍተኛ
shortly	anticipation	0.484	በቅርቡ
auspicious	anticipation	0.484	ጥሩ
princely	anticipation	0.484	ልኡልነት
correspondence	anticipation	0.484	የደብዳቤ ልውውጥ
generosity	anticipation	0.484	ልግስና
sparkle	anticipation	0.484	ብልጭልጭ
voluptuous	anticipation	0.484	ፍቃደኛ
happen	anticipation	0.484	መከሰት
tremor	anticipation	0.484	መንቀጥቀጥ
letter	anticipation	0.484	ደብዳቤ
vow	anticipation	0.484	ስእለት
sharpen	anticipation	0.484	ስለት
duel	anticipation	0.484	ዱል
conjure	anticipation	0.484	conjure
threaten	anticipation	0.484	ማስፈራራት
god	anticipation	0.484	አምላክ
engulf	anticipation	0.484	መዋጥ
unexplained	anticipation	0.484	ያልተገለፀ
contagion	anticipation	0.484	ተላላፊነት
glorify	anticipation	0.477	ማመስገን
submit	anticipation	0.477	አስረክብ
enroll	anticipation	0.477	መመዝገብ
unification	anticipation	0.477	ውህደት
gravitate	anticipation	0.477	ስበት
glide	anticipation	0.477	መንሸራተት
accompaniment	anticipation	0.477	አጃቢ
cherish	anticipation	0.477	ይንከባከቡ
adore	anticipation	0.477	አመስግኑት።
powerful	anticipation	0.477	ኃይለኛ
clue	anticipation	0.477	ፍንጭ
medal	anticipation	0.477	ሜዳሊያ
contemplate	anticipation	0.477	አሰላስል
perilous	anticipation	0.477	አደገኛ
determinate	anticipation	0.477	መወሰን
arbitration	anticipation	0.477	የግልግል ዳኝነት
recipient	anticipation	0.477	ተቀባይ
onset	anticipation	0.477	መጀመር
predispose	anticipation	0.477	ቅድመ-ይሁንታ ማድረግ
score	anticipation	0.477	ነጥብ
torture	anticipation	0.477	ማሰቃየት
glow	anticipation	0.477	አበራ
praiseworthy	anticipation	0.473	የሚመሰገን
football	anticipation	0.469	እግር ኳስ
scare	anticipation	0.469	ማስፈራራት
elite	anticipation	0.469	ልሂቃን
unknown	anticipation	0.469	የማይታወቅ
precursor	anticipation	0.469	ቅድመ ሁኔታ
pry	anticipation	0.469	pry
providing	anticipation	0.469	ማቅረብ
sweets	anticipation	0.469	ጣፋጮች
cautious	anticipation	0.469	ጥንቃቄ የተሞላበት
opera	anticipation	0.469	ኦፔራ
motion	anticipation	0.469	እንቅስቃሴ
cash	anticipation	0.469	ጥሬ ገንዘብ
creeping	anticipation	0.469	እያሾለከ
invoke	anticipation	0.469	መጥራት
star	anticipation	0.469	ኮከብ
shaky	anticipation	0.469	የሚንቀጠቀጥ
production	anticipation	0.469	ማምረት
successful	anticipation	0.469	ስኬታማ
immediately	anticipation	0.469	ወድያው
dawn	anticipation	0.469	ንጋት
starry	anticipation	0.469	በከዋክብት የተሞላ
unsurpassed	anticipation	0.469	ያልታለፈ
completion	anticipation	0.469	ማጠናቀቅ
hire	anticipation	0.469	መቅጠር
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	መታሰቢያ
shining	anticipation	0.461	የሚያብረቀርቅ
testament	anticipation	0.461	ኑዛዜ
pay	anticipation	0.461	መክፈል
alive	anticipation	0.461	በሕይወት
plight	anticipation	0.461	ችግር
preliminary	anticipation	0.461	ቀዳሚ
overture	anticipation	0.461	ከመጠን በላይ መጨመር
sanctuary	anticipation	0.461	መቅደስ
regatta	anticipation	0.461	ሬጋታ
draft	anticipation	0.461	ረቂቅ
synchronize	anticipation	0.461	አመሳስል
soundness	anticipation	0.461	ጤናማነት
extricate	anticipation	0.461	ማስወጣት
excel	anticipation	0.461	የላቀ
punt	anticipation	0.461	ነጥብ
untold	anticipation	0.461	አልተነገረም።
brilliant	anticipation	0.461	ብሩህ
cheerfulness	anticipation	0.461	ደስታ
jeopardy	anticipation	0.461	ስጋት
friendly	anticipation	0.461	ወዳጃዊ
mail	anticipation	0.461	ደብዳቤ
unexpected	anticipation	0.453	ያልተጠበቀ
basketball	anticipation	0.453	የቅርጫት ኳስ
inaugural	anticipation	0.453	የመክፈቻ
supremacy	anticipation	0.453	የበላይነት
rehabilitation	anticipation	0.453	ማገገሚያ
intimately	anticipation	0.453	በቅርበት
career	anticipation	0.453	ሙያ
prevention	anticipation	0.453	መከላከል
renovate	anticipation	0.453	ማደስ
compliment	anticipation	0.453	ማመስገን
prologue	anticipation	0.453	መቅድም
elegance	anticipation	0.453	ውበት
complement	anticipation	0.453	ማሟያ
flinch	anticipation	0.453	ማሽኮርመም
infinity	anticipation	0.453	ማለቂያ የሌለው
perpetuity	anticipation	0.453	ዘላለማዊነት
sunset	anticipation	0.453	ጀንበር ስትጠልቅ
improve	anticipation	0.453	ማሻሻል
fitting	anticipation	0.445	መግጠም
confidence	anticipation	0.445	በራስ መተማመን
concealment	anticipation	0.445	መደበቅ
sweet	anticipation	0.445	ጣፋጭ
perfect	anticipation	0.445	ፍጹም
epidemic	anticipation	0.445	ተላላፊ በሽታ
fain	anticipation	0.445	ፈይን
volunteer	anticipation	0.445	ፈቃደኛ
share	anticipation	0.445	አጋራ
surround	anticipation	0.445	ዙሪያ
conjecture	anticipation	0.445	ግምት
sun	anticipation	0.445	ፀሐይ
veracity	anticipation	0.445	ትክክለኛነት
serial	anticipation	0.438	ተከታታይ
angel	anticipation	0.438	መልአክ
aloha	anticipation	0.438	አሎሀ
saint	anticipation	0.438	ቅዱስ
tickle	anticipation	0.438	የሚኮረኩሩ
superstitious	anticipation	0.438	አጉል እምነት
ferment	anticipation	0.438	ማፍላት።
conservation	anticipation	0.438	ጥበቃ
devout	anticipation	0.438	ሃይማኖተኛ
respect	anticipation	0.438	አክብሮት
reconstruction	anticipation	0.438	መልሶ መገንባት
goodness	anticipation	0.438	መልካምነት
reconstruct	anticipation	0.438	እንደገና መገንባት
faith	anticipation	0.438	እምነት
recombination	anticipation	0.438	እንደገና መቀላቀል
prepared	anticipation	0.438	ተዘጋጅቷል
rabid	anticipation	0.438	እብድ
plea	anticipation	0.438	ልመና
medical	anticipation	0.438	ሕክምና
passenger	anticipation	0.438	ተሳፋሪ
charitable	anticipation	0.430	በጎ አድራጎት
tabulate	anticipation	0.430	በሰንጠረዥ
peace	anticipation	0.430	ሰላም
install	anticipation	0.430	ጫን
serenity	anticipation	0.430	መረጋጋት
venerable	anticipation	0.430	የተከበረ
spa	anticipation	0.430	ስፓ
labyrinth	anticipation	0.430	ላብራቶሪ
luscious	anticipation	0.430	ማራኪ
perpetuate	anticipation	0.430	ዘላቂ
strategist	anticipation	0.430	ስትራቴጂስት
unverified	anticipation	0.430	ያልተረጋገጠ
tribunal	anticipation	0.430	ፍርድ ቤት
clap	anticipation	0.430	ማጨብጨብ
peaceful	anticipation	0.422	ሰላማዊ
patience	anticipation	0.422	ትዕግስት
unresolved	anticipation	0.422	ያልተፈታ
worship	anticipation	0.422	አምልኮ
edification	anticipation	0.422	ማነጽ
oasis	anticipation	0.422	ኦአሲስ
