English Word	Emotion	Emotion-Intensity-Score	Bengali Word
worship	anticipation	0.422	উপাসনা
edification	anticipation	0.422	এডিফিকেশন
oasis	anticipation	0.422	মরুদ্যান
grin	anticipation	0.422	হাসি
revere	anticipation	0.422	শ্রদ্ধা
candid	anticipation	0.422	অকপট
vista	anticipation	0.422	ভিস্তা
conspirator	anticipation	0.422	ষড়যন্ত্রকারী
adrift	anticipation	0.422	প্রবাহিত
recognizable	anticipation	0.422	স্বীকৃত
volatility	anticipation	0.422	অস্থিরতা
forestall	anticipation	0.422	আটকান
laughter	anticipation	0.422	হাসি
continue	anticipation	0.414	চালিয়ে যান
ongoing	anticipation	0.414	চলমান
astrologer	anticipation	0.414	জ্যোতিষী
mediate	anticipation	0.414	মধ্যস্থতা
punctual	anticipation	0.414	সময়নিষ্ঠ
grant	anticipation	0.414	প্রদান
morn	anticipation	0.414	সকাল
pretty	anticipation	0.414	সুন্দর
withstand	anticipation	0.414	সহ্য করা
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	চিন্তা
probation	anticipation	0.414	পরীক্ষা
ordination	anticipation	0.414	আদেশ
calls	anticipation	0.414	কল
detainee	anticipation	0.414	বন্দী
craps	anticipation	0.414	craps
weigh	anticipation	0.414	ওজন
proficiency	anticipation	0.414	দক্ষতা
sing	anticipation	0.411	গান
continuation	anticipation	0.406	ধারাবাহিকতা
university	anticipation	0.406	বিশ্ববিদ্যালয়
chicane	anticipation	0.406	চিকান
nurture	anticipation	0.406	লালনপালন
mother	anticipation	0.406	মা
punished	anticipation	0.406	দণ্ডিত
twinkle	anticipation	0.406	পলক
confession	anticipation	0.406	স্বীকারোক্তি
outdo	anticipation	0.406	বাইরে
prophylactic	anticipation	0.406	প্রফিল্যাকটিক
proud	anticipation	0.406	গর্বিত
midwife	anticipation	0.406	মিডওয়াইফ
wizard	anticipation	0.406	জাদুকর
headlight	anticipation	0.406	হেডলাইট
long	anticipation	0.406	দীর্ঘ
banquet	anticipation	0.406	ভোজ
comfort	anticipation	0.406	আরাম
navigable	anticipation	0.406	নেভিগেবল
subscribe	anticipation	0.406	সাবস্ক্রাইব
opponent	anticipation	0.406	প্রতিপক্ষ
debenture	anticipation	0.406	ডিবেঞ্চার
deal	anticipation	0.402	চুক্তি
symphony	anticipation	0.398	সিম্ফনি
saintly	anticipation	0.398	সাধু
judiciary	anticipation	0.398	বিচার বিভাগ
lettered	anticipation	0.398	চিঠিপত্র
vigil	anticipation	0.398	নজরদারি
reliance	anticipation	0.398	নির্ভরতা
distracting	anticipation	0.398	বিভ্রান্তিকর
mortification	anticipation	0.398	ক্ষোভ
balm	anticipation	0.398	মলম
simmer	anticipation	0.398	সিদ্ধ করা
top	anticipation	0.398	শীর্ষ
obliging	anticipation	0.398	বাধ্য
efficient	anticipation	0.398	দক্ষ
guillotine	anticipation	0.398	গিলোটিন
representing	anticipation	0.398	প্রতিনিধিত্ব করে
death	anticipation	0.398	মৃত্যু
assurance	anticipation	0.391	নিশ্চয়তা
familiarity	anticipation	0.391	পরিচিতি
depraved	anticipation	0.391	বঞ্চিত
condemnation	anticipation	0.391	নিন্দা
undoubted	anticipation	0.391	সন্দেহাতীত
sanctify	anticipation	0.391	পবিত্র করা
diplomacy	anticipation	0.391	কূটনীতি
antidote	anticipation	0.391	প্রতিষেধক
trust	anticipation	0.391	বিশ্বাস
linger	anticipation	0.391	দীর্ঘস্থায়ী
objective	anticipation	0.391	উদ্দেশ্য
chuckle	anticipation	0.391	হাসি
poke	anticipation	0.391	খোঁচা
abeyance	anticipation	0.391	স্থগিত
maternal	anticipation	0.391	মাতৃ
art	anticipation	0.391	শিল্প
unfulfilled	anticipation	0.391	অপূর্ণ
inoculation	anticipation	0.384	ইনোকুলেশন
simplify	anticipation	0.383	সহজতর করা
depend	anticipation	0.383	নির্ভরশীল
chant	anticipation	0.383	জপ
ram	anticipation	0.383	র্যাম
banger	anticipation	0.383	ব্যাঙ্গার
playground	anticipation	0.383	খেলার মাঠ
labor	anticipation	0.383	শ্রম
scientist	anticipation	0.383	বিজ্ঞানী
good	anticipation	0.383	ভাল
humanitarian	anticipation	0.383	মানবিক
failing	anticipation	0.383	ব্যর্থ
hap	anticipation	0.383	হাপ
dutiful	anticipation	0.383	কর্তব্যপরায়ণ
hymn	anticipation	0.383	স্তোত্র
ship	anticipation	0.383	জাহাজ
discretion	anticipation	0.383	বিচক্ষণতা
undecided	anticipation	0.383	সিদ্ধান্তহীন
gradual	anticipation	0.375	ধীরে ধীরে
navigator	anticipation	0.375	নেভিগেটর
track	anticipation	0.375	ট্র্যাক
cradle	anticipation	0.375	দোলনা
sterling	anticipation	0.375	স্টার্লিং
interim	anticipation	0.375	অন্তর্বর্তী
clock	anticipation	0.375	ঘড়ি
mountain	anticipation	0.375	পর্বত
interminable	anticipation	0.375	অন্তহীন
public	anticipation	0.375	পাবলিক
recurrent	anticipation	0.375	পুনরাবৃত্ত
savor	anticipation	0.375	স্বাদ গ্রহণ
abide	anticipation	0.367	মেনে চলা
concealed	anticipation	0.367	গোপন
spear	anticipation	0.367	বর্শা
lesson	anticipation	0.367	পাঠ
instructions	anticipation	0.367	নির্দেশাবলী
sonar	anticipation	0.367	সোনার
biennial	anticipation	0.367	দ্বিবার্ষিক
convince	anticipation	0.367	সন্তুষ্ট
whim	anticipation	0.367	হুম
shiver	anticipation	0.367	কাঁপুনি
towering	anticipation	0.367	সুউচ্চ
musical	anticipation	0.367	বাদ্যযন্ত্র
offset	anticipation	0.359	অফসেট
theory	anticipation	0.359	তত্ত্ব
theology	anticipation	0.359	ধর্মতত্ত্ব
undying	anticipation	0.359	অমৃত
timidity	anticipation	0.359	ভীরুতা
plump	anticipation	0.359	মোটা
atone	anticipation	0.359	প্রায়শ্চিত্ত
audience	anticipation	0.357	শ্রোতা
dietary	anticipation	0.352	খাদ্যতালিকাগত
consecration	anticipation	0.352	পবিত্রতা
localize	anticipation	0.352	স্থানীয়করণ
paragon	anticipation	0.352	প্যারাগন
store	anticipation	0.352	দোকান
farm	anticipation	0.352	খামার
daily	anticipation	0.352	দৈনিক
cramp	anticipation	0.352	ক্র্যাম্প
nobility	anticipation	0.352	আভিজাত্য
closure	anticipation	0.352	বন্ধ
edition	anticipation	0.352	সংস্করণ
kindred	anticipation	0.352	আত্মীয়
stripped	anticipation	0.344	ছিনতাই
errand	anticipation	0.344	কাজ
archaeology	anticipation	0.344	প্রত্নতত্ত্ব
mutable	anticipation	0.344	পরিবর্তনযোগ্য
wireless	anticipation	0.344	বেতার
meditate	anticipation	0.344	ধ্যান
mobile	anticipation	0.344	মুঠোফোন
germ	anticipation	0.336	জীবাণু
brotherly	anticipation	0.336	ভাই
lessen	anticipation	0.336	হ্রাস করা
unbeaten	anticipation	0.336	অপরাজিত
pare	anticipation	0.336	pare
buddy	anticipation	0.336	বন্ধু
unaccountable	anticipation	0.336	হিসাবহীন
dove	anticipation	0.328	ঘুঘু
patient	anticipation	0.328	রোগী
secular	anticipation	0.328	ধর্মনিরপেক্ষ
digress	anticipation	0.328	ডিগ্রেস
chastity	anticipation	0.328	সতীত্ব
council	anticipation	0.328	পরিষদ
olfactory	anticipation	0.328	ঘ্রাণজ
ribbon	anticipation	0.328	ফিতা
possess	anticipation	0.328	অধিকারী
disposed	anticipation	0.320	নিষ্পত্তি
scrutinize	anticipation	0.320	যাচাই করা
immature	anticipation	0.320	অপরিপক্ক
mediator	anticipation	0.320	মধ্যস্থতাকারী
regularity	anticipation	0.320	নিয়মিততা
cove	anticipation	0.320	খাঁটি
infanticide	anticipation	0.320	শিশুহত্যা
paddle	anticipation	0.320	বাহা
heft	anticipation	0.320	heft
fancy	anticipation	0.320	অভিনব
preservative	anticipation	0.320	সংরক্ষণকারী
unpublished	anticipation	0.312	অপ্রকাশিত
church	anticipation	0.312	গির্জা
bugle	anticipation	0.312	বিউগল
grim	anticipation	0.312	গম্ভীর
denying	anticipation	0.312	অস্বীকার
analyst	anticipation	0.312	বিশ্লেষক
judicial	anticipation	0.305	বিচারিক
priesthood	anticipation	0.305	যাজকত্ব
broadside	anticipation	0.305	ব্রডসাইড
mill	anticipation	0.305	কল
dismay	anticipation	0.297	হতাশা
cap	anticipation	0.297	টুপি
thermocouple	anticipation	0.297	থার্মোকল
tributary	anticipation	0.297	উপনদী
instructor	anticipation	0.297	প্রশিক্ষক
exhaustion	anticipation	0.297	ক্লান্তি
saliva	anticipation	0.297	মুখের লালা
cataract	anticipation	0.289	ছানি
network	anticipation	0.289	অন্তর্জাল
visor	anticipation	0.289	ভিসার
shackle	anticipation	0.289	শিকল
wont	anticipation	0.289	অভ্যস্ত
addresses	anticipation	0.289	ঠিকানা
discreet	anticipation	0.289	বিচক্ষণ
noncompliance	anticipation	0.289	অসম্মতি
bruise	anticipation	0.289	ক্ষত
homeless	anticipation	0.289	গৃহহীন
astronomer	anticipation	0.281	জ্যোতির্বিজ্ঞানী
skewed	anticipation	0.281	তির্যক
neighbor	anticipation	0.281	প্রতিবেশী
holiness	anticipation	0.273	পবিত্রতা
devil	anticipation	0.273	শয়তান
picket	anticipation	0.273	পিকেট
sentence	anticipation	0.273	বাক্য
latent	anticipation	0.273	সুপ্ত
cream	anticipation	0.273	ক্রিম
immaturity	anticipation	0.273	অপরিপক্কতা
habitual	anticipation	0.266	অভ্যাসগত
morals	anticipation	0.266	নৈতিকতা
neighborhood	anticipation	0.266	পাড়া
lull	anticipation	0.266	শান্ত
bye	anticipation	0.258	বিদায়
weight	anticipation	0.258	ওজন
organ	anticipation	0.250	অঙ্গ
clown	anticipation	0.250	ক্লাউন
forearm	anticipation	0.250	হস্ত
commonplace	anticipation	0.242	সাধারণ
quote	anticipation	0.242	উদ্ধৃতি
rail	anticipation	0.234	রেল
dictatorship	anticipation	0.234	একনায়কত্ব
treadmill	anticipation	0.234	ট্রেডমিল
board	anticipation	0.234	বোর্ড
tree	anticipation	0.227	গাছ
sundial	anticipation	0.227	সূর্যালোক
paralysis	anticipation	0.211	পক্ষাঘাত
cement	anticipation	0.203	সিমেন্ট
worm	anticipation	0.203	কৃমি
organization	anticipation	0.203	সংগঠন
lagging	anticipation	0.180	lagging
neutral	anticipation	0.148	নিরপেক্ষ
cannibalism	disgust	0.953	নরখাদক
mutilation	disgust	0.930	অঙ্গচ্ছেদ
molestation	disgust	0.914	শ্লীলতাহানি
incest	disgust	0.914	অজাচার
rape	disgust	0.906	ধর্ষণ
gonorrhea	disgust	0.906	গনোরিয়া
cannibal	disgust	0.898	নরখাদক
rot	disgust	0.891	পচা
corpse	disgust	0.883	মৃতদেহ
massacre	disgust	0.883	হত্যাকাণ্ড
excrement	disgust	0.883	মলমূত্র
barf	disgust	0.875	বারফ
slaughter	disgust	0.875	বধ
slaughterhouse	disgust	0.867	কসাইখানা
incestuous	disgust	0.859	অজাচার
sewerage	disgust	0.859	নর্দমা
filth	disgust	0.859	ময়লা
bigot	disgust	0.859	ধর্মান্ধ
rancid	disgust	0.859	rancid
infestation	disgust	0.852	সংক্রমণ
plague	disgust	0.852	প্লেগ
holocaust	disgust	0.852	হোলোকাস্ট
bloodthirsty	disgust	0.852	রক্তপিপাসু
rotting	disgust	0.844	পচা
fecal	disgust	0.844	মল
maggot	disgust	0.844	ম্যাগট
feces	disgust	0.844	মল
murder	disgust	0.839	হত্যা
asshole	disgust	0.836	asshole
homicide	disgust	0.836	হত্যা
enslaved	disgust	0.836	ক্রীতদাস
infanticide	disgust	0.836	শিশুহত্যা
perverted	disgust	0.828	বিকৃত
excretion	disgust	0.828	মলত্যাগ
gore	disgust	0.828	গোর
slaughtering	disgust	0.828	বধ
torture	disgust	0.828	নির্যাতন
contaminate	disgust	0.821	দূষিত করা
revolting	disgust	0.820	বিদ্রোহী
gory	disgust	0.820	রক্তাক্ত
shit	disgust	0.820	বিষ্ঠা
terrorist	disgust	0.820	সন্ত্রাসী
murderer	disgust	0.820	খুনি
repugnant	disgust	0.820	বিরোধী
manure	disgust	0.820	সার
pervert	disgust	0.820	বিকৃত
diarrhoea	disgust	0.820	ডায়রিয়া
grotesque	disgust	0.820	অদ্ভুত
desecration	disgust	0.820	অপবিত্রতা
faeces	disgust	0.812	মল
slavery	disgust	0.812	দাসত্ব
sewer	disgust	0.812	নর্দমা
cadaver	disgust	0.812	মৃতদেহ
manslaughter	disgust	0.812	নরহত্যা
dismemberment	disgust	0.812	বিচ্ছেদ
vomit	disgust	0.812	বমি
perverse	disgust	0.805	বিকৃত
repulsive	disgust	0.805	বিকর্ষণকারী
hemorrhage	disgust	0.805	রক্তক্ষরণ
sewage	disgust	0.797	নর্দমা
filthy	disgust	0.797	নোংরা
diseased	disgust	0.797	রোগাক্রান্ত
depravity	disgust	0.797	হীনতা
carcass	disgust	0.795	মৃতদেহ
decompose	disgust	0.789	পচন
gruesome	disgust	0.789	ভয়ঙ্কর
mutilated	disgust	0.789	বিকৃত
puke	disgust	0.789	পুক
herpes	disgust	0.789	হারপিস
decayed	disgust	0.789	ক্ষয়প্রাপ্ত
dung	disgust	0.789	গোবর
vermin	disgust	0.789	পোকা
murderous	disgust	0.789	খুন
parasite	disgust	0.789	পরজীবী
horrific	disgust	0.789	ভয়ঙ্কর
carnage	disgust	0.781	গণহত্যা
malaria	disgust	0.781	ম্যালেরিয়া
slime	disgust	0.781	স্লাইম
flatulence	disgust	0.781	পেট ফাঁপা
pestilence	disgust	0.781	মহামারী
crap	disgust	0.781	বাজে কথা
monstrosity	disgust	0.781	দানব
loathsome	disgust	0.773	ঘৃণ্য
toxic	disgust	0.773	বিষাক্ত
morgue	disgust	0.773	মর্গ
pus	disgust	0.773	পুঁজ
herpesvirus	disgust	0.773	হারপিস ভাইরাস
leprosy	disgust	0.773	কুষ্ঠ
insidious	disgust	0.773	কপট
cruel	disgust	0.766	নিষ্ঠুর
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	অ্যানথ্রাক্স
xenophobia	disgust	0.766	জেনোফোবিয়া
repugnance	disgust	0.766	বিরোধীতা
lynch	disgust	0.766	লিঞ্চ
revulsion	disgust	0.766	বিদ্রোহ
whore	disgust	0.766	বেশ্যা
dissection	disgust	0.759	ব্যবচ্ছেদ
mucous	disgust	0.758	মিউকাস
canker	disgust	0.758	ক্যানকার
slum	disgust	0.758	বস্তি
infectious	disgust	0.758	সংক্রামক
evil	disgust	0.758	মন্দ
phlegm	disgust	0.758	কফ
cruelty	disgust	0.758	নিষ্ঠুরতা
perversion	disgust	0.758	বিকৃতি
sinister	disgust	0.750	অশুভ
leeches	disgust	0.750	জোঁক
corrupting	disgust	0.750	দূষিত
decomposition	disgust	0.750	পচন
abomination	disgust	0.742	ঘৃণ্য
stinking	disgust	0.742	দুর্গন্ধযুক্ত
bile	disgust	0.742	পিত্ত
demonic	disgust	0.742	পৈশাচিক
deranged	disgust	0.742	বিভ্রান্ত
abhorrence	disgust	0.742	ঘৃণা
soiled	disgust	0.742	নোংরা
mucus	disgust	0.742	শ্লেষ্মা
septic	disgust	0.742	সেপটিক
sickening	disgust	0.742	অসুস্থ
demon	disgust	0.742	রাক্ষস
cancer	disgust	0.734	ক্যান্সার
obese	disgust	0.734	স্থূল
degeneracy	disgust	0.734	অধঃপতন
despicable	disgust	0.734	ঘৃণ্য
atrocity	disgust	0.734	নৃশংসতা
foul	disgust	0.734	ফাউল
sicken	disgust	0.734	অসুস্থ
crucifixion	disgust	0.734	ক্রুশবিদ্ধকরণ
terrorism	disgust	0.734	সন্ত্রাসবাদ
repulsion	disgust	0.727	বিকর্ষণ
morbidity	disgust	0.727	অসুস্থতা
dysentery	disgust	0.727	আমাশয়
enema	disgust	0.727	এনিমা
bacterium	disgust	0.727	ব্যাকটেরিয়া
dirty	disgust	0.727	নোংরা
adultery	disgust	0.727	ব্যভিচার
contamination	disgust	0.727	দূষণ
grisly	disgust	0.727	ভয়ঙ্কর
diabolical	disgust	0.727	পৈশাচিক
autopsy	disgust	0.719	ময়নাতদন্ত
barbaric	disgust	0.719	বর্বর
vulgar	disgust	0.719	অশ্লীল
entrails	disgust	0.719	অন্ত্র
disgust	disgust	0.719	বিতৃষ্ণা
lewd	disgust	0.719	অশ্লীল
muck	disgust	0.719	গোবর
bowels	disgust	0.719	অন্ত্র
garbage	disgust	0.719	আবর্জনা
deterioration	disgust	0.719	অবনতি
contagion	disgust	0.719	সংক্রামক
vicious	disgust	0.719	দুশ্চরিত্র
disfigured	disgust	0.719	বিকৃত
pungent	disgust	0.719	তীক্ষ্ণ
gross	disgust	0.719	স্থূল
bloodshed	disgust	0.714	রক্তপাত
gag	disgust	0.711	ঠাট্টা
pollute	disgust	0.711	দূষিত
nausea	disgust	0.711	বমি বমি ভাব
tyrant	disgust	0.711	অত্যাচারী
wretched	disgust	0.711	খারাপ
mortification	disgust	0.711	ক্ষোভ
violent	disgust	0.711	হিংস্র
poisoned	disgust	0.711	বিষাক্ত
nauseate	disgust	0.703	বমি বমি ভাব
slimy	disgust	0.703	পাতলা
grope	disgust	0.703	হাতছানি
slut	disgust	0.703	কুত্তা
nasty	disgust	0.703	কদর্য
disgusting	disgust	0.703	জঘন্য
depraved	disgust	0.703	বঞ্চিত
porn	disgust	0.703	পর্ণ
hateful	disgust	0.703	ঘৃণ্য
vulgarity	disgust	0.703	অশ্লীলতা
noxious	disgust	0.703	ক্ষতিকর
grime	disgust	0.703	grime
constipation	disgust	0.703	কোষ্ঠকাঠিন্য
secretion	disgust	0.703	নিঃসরণ
poisoning	disgust	0.703	বিষক্রিয়া
despotism	disgust	0.703	স্বৈরাচার
measles	disgust	0.696	হাম
contagious	disgust	0.695	সংক্রামক
obesity	disgust	0.695	স্থূলতা
wart	disgust	0.695	wart
hate	disgust	0.695	ঘৃণা
hellish	disgust	0.695	নারকীয়
scum	disgust	0.695	ময়লা
suicidal	disgust	0.695	আত্মঘাতী
wretch	disgust	0.695	নষ্ট
abuse	disgust	0.695	অপব্যবহার
waste	disgust	0.695	বর্জ্য
intestinal	disgust	0.695	অন্ত্র
heartworm	disgust	0.688	হার্টওয়ার্ম
ooze	disgust	0.688	স্রাব
treason	disgust	0.688	বিশ্বাসঘাতকতা
contaminated	disgust	0.688	দূষিত
smut	disgust	0.688	smut
disease	disgust	0.688	রোগ
rabid	disgust	0.688	পাগল
deformed	disgust	0.680	বিকৃত
hell	disgust	0.680	জাহান্নাম
soulless	disgust	0.680	আত্মাহীন
cholera	disgust	0.680	কলেরা
bestial	disgust	0.680	পশুপাখি
antichrist	disgust	0.680	খ্রীষ্টবিরোধী
freakish	disgust	0.680	পাগল
germ	disgust	0.680	জীবাণু
detest	disgust	0.680	ঘৃণা
pollution	disgust	0.680	দূষণ
grimy	disgust	0.680	নোংরা
abhorrent	disgust	0.680	ঘৃণ্য
hatred	disgust	0.680	ঘৃণা
abominate	disgust	0.680	ঘৃণ্য
sickness	disgust	0.680	অসুস্থতা
hideous	disgust	0.672	জঘন্য
dictatorship	disgust	0.672	একনায়কত্ব
loathful	disgust	0.672	ঘৃণ্য
greasy	disgust	0.672	চর্বিযুক্ত
dilapidated	disgust	0.672	জীর্ণ
inhuman	disgust	0.672	অমানবিক
loathing	disgust	0.672	ঘৃণা
obscene	disgust	0.672	অশ্লীল
cess	disgust	0.670	উপকর
devil	disgust	0.664	শয়তান
deformity	disgust	0.664	বিকৃতি
nauseous	disgust	0.664	বমি বমি ভাব
deadly	disgust	0.664	মারাত্মক
swine	disgust	0.664	সোয়াইন
discrimination	disgust	0.664	বৈষম্য
abominable	disgust	0.664	জঘন্য
masochism	disgust	0.664	masochism
heretic	disgust	0.664	ধর্মবাদী
latrines	disgust	0.656	ল্যাট্রিন
corruption	disgust	0.656	দুর্নীতি
poisonous	disgust	0.656	বিষাক্ত
horror	disgust	0.656	ভয়াবহ
nefarious	disgust	0.656	জঘন্য
bacteria	disgust	0.656	ব্যাকটেরিয়া
horrible	disgust	0.656	ভয়ঙ্কর
trash	disgust	0.656	আবর্জনা
abortion	disgust	0.656	গর্ভপাত
death	disgust	0.656	মৃত্যু
prejudiced	disgust	0.656	পক্ষপাতদুষ্ট
poison	disgust	0.656	বিষ
oppression	disgust	0.656	নিপীড়ন
goo	disgust	0.656	goo
victimized	disgust	0.656	শিকার
mange	disgust	0.656	মাঙ্গে
sludge	disgust	0.648	কর্দম
trashy	disgust	0.648	আবর্জনা
vindictive	disgust	0.648	প্রতিশোধমূলক
horrid	disgust	0.648	ভয়ঙ্কর
ugly	disgust	0.648	কুৎসিত
immoral	disgust	0.648	অনৈতিক
bitch	disgust	0.648	কুত্তা
outhouse	disgust	0.648	আউটহাউস
detestation	disgust	0.648	ঘৃণা
horrifying	disgust	0.641	ভয়ঙ্কর
laxative	disgust	0.641	রেচক
unsightly	disgust	0.641	কুৎসিত
derogatory	disgust	0.641	অবমাননাকর
slop	disgust	0.641	স্লপ
malfeasance	disgust	0.641	অপকর্ম
spew	disgust	0.641	স্পিউ
pimple	disgust	0.641	ব্রণ
criminality	disgust	0.641	অপরাধ
indecency	disgust	0.641	অশালীনতা
cystic	disgust	0.641	সিস্টিক
villainous	disgust	0.641	খলনায়ক
queasy	disgust	0.633	বিশ্রী
mildew	disgust	0.633	মিল্ডিউ
oppressive	disgust	0.633	নিপীড়ক
prostitution	disgust	0.633	পতিতাবৃত্তি
secrete	disgust	0.633	গোপন করা
ulcer	disgust	0.633	ঘাত
rat	disgust	0.633	ইঁদুর
bigoted	disgust	0.633	ধর্মান্ধ
perpetrator	disgust	0.633	অপরাধী
doomsday	disgust	0.633	কেয়ামত
sinful	disgust	0.633	পাপী
degrading	disgust	0.625	অপমানজনক
ghastly	disgust	0.625	ভয়ঙ্কর
suffering	disgust	0.625	কষ্ট
obscenity	disgust	0.625	অশ্লীলতা
devilish	disgust	0.625	শয়তান
disgraceful	disgust	0.625	অসম্মানজনক
persecution	disgust	0.625	নিপীড়ন
contemptible	disgust	0.625	অবজ্ঞাজনক
cuckold	disgust	0.625	কুকল্ড
stools	disgust	0.625	মল
dastardly	disgust	0.625	জঘন্যভাবে
sin	disgust	0.625	পাপ
gluttony	disgust	0.625	পেটুক
bloated	disgust	0.625	ফোলা
fungus	disgust	0.625	ছত্রাক
aghast	disgust	0.625	আতঙ্কগ্রস্ত
diaper	disgust	0.617	ডায়াপার
malicious	disgust	0.617	দূষিত
polygamy	disgust	0.617	বহুবিবাহ
dying	disgust	0.617	মরণ
termite	disgust	0.617	উইপোকা
fat	disgust	0.617	চর্বি
deceit	disgust	0.617	প্রতারণা
atrocious	disgust	0.617	নৃশংস
guillotine	disgust	0.617	গিলোটিন
tetanus	disgust	0.617	টিটেনাস
spoil	disgust	0.617	লুণ্ঠন
crusty	disgust	0.617	খসখসে
sickly	disgust	0.617	অসুস্থ
louse	disgust	0.617	louse
strangle	disgust	0.617	শ্বাসরোধ
betrayal	disgust	0.617	বিশ্বাসঘাতকতা
loathe	disgust	0.617	ঘৃণা করা
wench	disgust	0.617	wench
infect	disgust	0.617	সংক্রমিত
violently	disgust	0.609	হিংস্রভাবে
brothel	disgust	0.609	পতিতালয়
drool	disgust	0.609	গর্ত
bleeding	disgust	0.609	রক্তপাত
deform	disgust	0.609	বিকৃত
ghetto	disgust	0.609	ঘেটো
sabotage	disgust	0.609	নাশকতা
venomous	disgust	0.609	বিষাক্ত
abhor	disgust	0.609	ঘৃণা
slander	disgust	0.609	অপবাদ
hostile	disgust	0.609	প্রতিকূল
musty	disgust	0.602	মস্টি
illicit	disgust	0.602	অবৈধ
ugliness	disgust	0.602	কদর্যতা
unwashed	disgust	0.602	ধোয়া
swampy	disgust	0.602	জলাভূমি
deprivation	disgust	0.602	বঞ্চনা
poaching	disgust	0.602	শিকার
hag	disgust	0.602	হাগ
infidel	disgust	0.602	অবিশ্বাসী
imprisonment	disgust	0.602	কারাবাস
traitor	disgust	0.602	বিশ্বাসঘাতক
lunacy	disgust	0.602	পাগলামি
queasiness	disgust	0.594	অস্থিরতা
hostility	disgust	0.594	শত্রুতা
repelling	disgust	0.594	repelling
intoxicated	disgust	0.594	নেশাগ্রস্ত
thug	disgust	0.594	ঠগ
catastrophe	disgust	0.594	বিপর্যয়
lunatic	disgust	0.594	পাগল
misery	disgust	0.594	দুর্দশা
venom	disgust	0.594	বিষ
butcher	disgust	0.594	কসাই
toilet	disgust	0.594	টয়লেট
blister	disgust	0.594	ফোস্কা
lurid	disgust	0.594	লোভী
slug	disgust	0.594	স্লাগ
gut	disgust	0.594	সাহস
sinner	disgust	0.594	পাপী
deceitful	disgust	0.594	প্রতারক
epidemic	disgust	0.594	মহামারী
deteriorated	disgust	0.586	অবনতি
lavatory	disgust	0.586	শৌচাগার
unclean	disgust	0.586	অপরিষ্কার
prostitute	disgust	0.586	বেশ্যা
incubus	disgust	0.586	ইনকিউবাস
appalling	disgust	0.586	ভয়ঙ্কর
dreadful	disgust	0.586	ভয়ঙ্কর
pornography	disgust	0.586	পর্নোগ্রাফি
harass	disgust	0.586	হয়রানি
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	তাড়ানো
unfaithful	disgust	0.578	অবিশ্বস্ত
offensive	disgust	0.578	আক্রমণাত্মক
hypocrite	disgust	0.578	ভণ্ড
humiliating	disgust	0.578	অপমানজনক
larceny	disgust	0.578	জোচ্চুরি
ruinous	disgust	0.578	ধ্বংসাত্মক
retard	disgust	0.578	স্থগিত করা
rash	disgust	0.578	ফুসকুড়ি
flea	disgust	0.578	flea
debauchery	disgust	0.578	অবাধ্যতা
fiend	disgust	0.578	শয়তান
quagmire	disgust	0.578	জলাবদ্ধতা
conspirator	disgust	0.578	ষড়যন্ত্রকারী
sick	disgust	0.578	অসুস্থ
mangle	disgust	0.578	ম্যাঙ্গেল
dogsick	disgust	0.570	কুকুরছানা
egregious	disgust	0.570	জঘন্য
flog	disgust	0.570	চাবুক
despise	disgust	0.570	অবজ্ঞা করা
treacherous	disgust	0.570	বিশ্বাসঘাতক
oppress	disgust	0.570	নিপীড়ন
swamp	disgust	0.570	জলাভূমি
messy	disgust	0.570	অগোছালো
spit	disgust	0.570	থুতু
dank	disgust	0.570	ঢালু
bastard	disgust	0.570	জারজ
devastating	disgust	0.570	বিধ্বংসী
serpent	disgust	0.570	সর্প
loo	disgust	0.562	লু
indecent	disgust	0.562	অশালীন
insanity	disgust	0.562	পাগলামি
stealing	disgust	0.562	চুরি
terrible	disgust	0.562	ভয়ানক
tyrannical	disgust	0.562	অত্যাচারী
humiliation	disgust	0.562	অপমান
snake	disgust	0.562	সাপ
sloppy	disgust	0.562	ঢালু
sinning	disgust	0.562	পাপ
harmful	disgust	0.562	ক্ষতিকর
harlot	disgust	0.562	বেশ্যা
sordid	disgust	0.562	খারাপ
enemy	disgust	0.562	শত্রু
alcoholism	disgust	0.562	মদ্যপান
awful	disgust	0.562	ভয়াবহ, আতঙ্কজনক
ruthless	disgust	0.562	নির্মম
scoundrel	disgust	0.562	বখাটে
bloody	disgust	0.555	রক্তাক্ত
flabby	disgust	0.555	চঞ্চল
odious	disgust	0.555	ঘৃণ্য
beastly	disgust	0.555	জানোয়ার
collusion	disgust	0.555	যোগসাজশ
ridicule	disgust	0.555	উপহাস
discriminating	disgust	0.555	বৈষম্যমূলক
unattractive	disgust	0.555	অনাকর্ষণীয়
insufferable	disgust	0.555	অসহ্য
segregate	disgust	0.555	আলাদা করা
arsenic	disgust	0.555	আর্সেনিক
threatening	disgust	0.555	হুমকি
atrophy	disgust	0.555	অ্যাট্রোফি
varicella	disgust	0.555	ভেরিসেলা
slayer	disgust	0.555	হত্যাকারী
distaste	disgust	0.555	অরুচি
coward	disgust	0.555	কাপুরুষ
robbery	disgust	0.555	ডাকাতি
wickedness	disgust	0.555	দুষ্টতা
anathema	disgust	0.547	অ্যানাথেমা
