English Word	Emotion	Emotion-Intensity-Score	Pashto Word
elf	anger	0.061	elf
nurture	anger	0.059	پالنه
trumpet	anger	0.059	ټرمپ
counsellor	anger	0.059	مشاور
asleeep	anger	0.059	ویده
birthplace	anger	0.051	د زیږون ځای
ribbon	anger	0.047	ربن
youth	anger	0.045	ځوان
vote	anger	0.045	رایه
cash	anger	0.039	نغدي
wannasleep	anger	0.031	ویده کیدل غواړې
waffle	anger	0.030	وافل
dame	anger	0.030	خندا
buffet	anger	0.029	ډوډۍ
celebrity	anger	0.026	مشهور شخصیت
sisterhood	anger	0.015	خور
autocorrect	anger	0.015	اتوماتیک
musical	anger	0.011	میوزیکل
tree	anger	0.000	ونه
anticipation	anticipation	0.859	وړاندوینه
excited	anticipation	0.859	په زړه پوری
excitement	anticipation	0.820	جوش
anticipate	anticipation	0.820	اټکل
eagerness	anticipation	0.812	لیوالتیا
exciting	anticipation	0.797	په زړه پوری
expectant	anticipation	0.789	تمه لرونکی
thrilling	anticipation	0.781	په زړه پوری
hope	anticipation	0.773	هیله
quest	anticipation	0.766	لټون
countdown	anticipation	0.750	شمېرنه
start	anticipation	0.750	پیل
anticipatory	anticipation	0.750	وړاندوینه
adventure	anticipation	0.750	ساہسک
expectance	anticipation	0.750	تمه
climax	anticipation	0.742	کلیمیکس
prophecy	anticipation	0.742	نبوت
expect	anticipation	0.742	تمه
excite	anticipation	0.742	هڅول
arouse	anticipation	0.742	راویښ کول
eager	anticipation	0.742	لیواله
ejaculation	anticipation	0.734	انزال
birth	anticipation	0.734	زیږون
announcement	anticipation	0.734	اعلان
expectancy	anticipation	0.727	تمه
expecting	anticipation	0.727	تمه
imminent	anticipation	0.727	نږدې
liberation	anticipation	0.727	آزادۍ
urgent	anticipation	0.727	عاجل
trepidation	anticipation	0.719	ویره
reunion	anticipation	0.719	بیا یوځای کیدل
prospection	anticipation	0.719	وړاندوینه
voyage	anticipation	0.719	سفر
prospect	anticipation	0.719	احتمال
aspire	anticipation	0.719	هیله
rapture	anticipation	0.711	خوشحالي
suspense	anticipation	0.711	شک
journey	anticipation	0.711	سفر
kiss	anticipation	0.711	ښکلول
enthusiasm	anticipation	0.711	لیوالتیا
yearning	anticipation	0.711	ارمان
ecstasy	anticipation	0.711	خوشالۍ
mystery	anticipation	0.711	اسرار
prospective	anticipation	0.703	احتمالي
frantic	anticipation	0.703	خپه
destination	anticipation	0.703	منزل
excitation	anticipation	0.703	جوش
lottery	anticipation	0.703	لاټری
hopeful	anticipation	0.703	هیله مند
thrill	anticipation	0.703	جوش
progress	anticipation	0.703	پرمختګ
urgency	anticipation	0.703	بیړنۍ
tantalizing	anticipation	0.703	خندل
liberate	anticipation	0.695	آزادول
hurry	anticipation	0.695	بیړه
explore	anticipation	0.695	سپړنه
advance	anticipation	0.695	پرمختگ
vacation	anticipation	0.695	رخصتي
sex	anticipation	0.695	جنس
achievement	anticipation	0.695	لاسته راوړنه
readiness	anticipation	0.695	چمتووالی
expectation	anticipation	0.695	تمه
prediction	anticipation	0.695	وړاندوینه
arrival	anticipation	0.695	راتګ
allure	anticipation	0.688	جذب
ecstatic	anticipation	0.688	خوشاله
approaching	anticipation	0.688	نږدې کېدل
honeymoon	anticipation	0.680	شاتو
roulette	anticipation	0.680	رولیټ
uprising	anticipation	0.680	پاڅون
holiday	anticipation	0.672	رخصتي
crescendo	anticipation	0.672	سریزه
celebrating	anticipation	0.672	لمانځل
wishful	anticipation	0.672	خواهشمند
waiting	anticipation	0.664	انتظار
invitation	anticipation	0.664	بلنه
rescue	anticipation	0.664	ژغورل
impending	anticipation	0.664	راتلونکی
winning	anticipation	0.664	ګټل
craving	anticipation	0.664	لیوالتیا
winnings	anticipation	0.664	ګټل
triumph	anticipation	0.664	بریا
orgasm	anticipation	0.664	orgasm
marriage	anticipation	0.656	واده
bridal	anticipation	0.656	ناوې
victory	anticipation	0.656	بریا
courtship	anticipation	0.656	محاکمه
gain	anticipation	0.656	لاسته راوړنه
aspiring	anticipation	0.656	هیله مند
strive	anticipation	0.656	هڅه
reward	anticipation	0.656	انعام
celebration	anticipation	0.656	جشن
jackpot	anticipation	0.656	جیک پاټ
bridegroom	anticipation	0.656	ناوې
fortune	anticipation	0.656	بخت
tomorrow	anticipation	0.648	سبا
rising	anticipation	0.648	لوړېدل
inheritance	anticipation	0.648	میراث
alertness	anticipation	0.648	خبرتیا
crowning	anticipation	0.648	تاج
aspiration	anticipation	0.648	هیله
delivery	anticipation	0.648	سپارل
opportunity	anticipation	0.648	فرصت
intrigue	anticipation	0.648	دسیسه
prescient	anticipation	0.648	پوه
treasure	anticipation	0.648	خزانه
erotic	anticipation	0.641	جنسي
revolution	anticipation	0.641	انقلاب
launch	anticipation	0.641	پیل
reckoning	anticipation	0.641	حساب ورکول
prognosis	anticipation	0.641	وړاندوینه
happiness	anticipation	0.641	خوښي
celebrated	anticipation	0.641	ولمانځل شو
receiving	anticipation	0.641	ترلاسه کول
possibility	anticipation	0.641	امکان
expedition	anticipation	0.641	سفر
bride	anticipation	0.641	ناوې
engaged	anticipation	0.641	بوخت
anxious	anticipation	0.641	اندیښمن
hype	anticipation	0.641	هایپ
spectacular	anticipation	0.641	په زړه پورې
award	anticipation	0.641	جایزه
prepare	anticipation	0.633	چمتو کول
coming	anticipation	0.633	راځي
graduation	anticipation	0.633	فراغت
destiny	anticipation	0.633	تقدیر
miracle	anticipation	0.633	معجزه
beware	anticipation	0.633	خبردار
succeed	anticipation	0.633	بریالی
passionate	anticipation	0.633	په زړه پوری
birthday	anticipation	0.633	د زیږیدو نیټه
passion	anticipation	0.633	جذبه
ominous	anticipation	0.633	بدمرغه
captivate	anticipation	0.633	جذبول
vision	anticipation	0.633	لید
delight	anticipation	0.633	خوښي
curious	anticipation	0.633	لیونی
firstborn	anticipation	0.633	لومړی زیږیدلی
await	anticipation	0.633	انتظار
triumphant	anticipation	0.625	بریالی
escape	anticipation	0.625	تېښته
optimism	anticipation	0.625	خوشبیني
retirement	anticipation	0.625	تقاعد
foresee	anticipation	0.625	وړاندوینه
inspiration	anticipation	0.625	الهام
ripen	anticipation	0.625	پخېدل
gift	anticipation	0.625	ډالۍ
revival	anticipation	0.625	بیا ژوندی کول
lust	anticipation	0.625	هوس
risky	anticipation	0.617	خطرناک
foreboding	anticipation	0.617	وړاندوینه
bloom	anticipation	0.617	ګل کول
verge	anticipation	0.617	څنډه
embrace	anticipation	0.617	غیږه
destined	anticipation	0.617	ټاکل شوی
surprisingly	anticipation	0.617	په حیرانتیا سره
ambition	anticipation	0.617	ارمان
simmering	anticipation	0.617	جوش کول
enchanting	anticipation	0.617	په زړه پورې
foresight	anticipation	0.617	وړاندوینه
lookout	anticipation	0.609	پام کوه
anxiety	anticipation	0.609	اضطراب
forecast	anticipation	0.609	وړاندوینه
seductive	anticipation	0.609	زړه راښکونکی
bonus	anticipation	0.609	بونس
succeeding	anticipation	0.609	بریالی
matrimony	anticipation	0.609	واده
magical	anticipation	0.609	جادويي
alerts	anticipation	0.609	خبرتیاوې
winner	anticipation	0.602	ګټونکی
applicant	anticipation	0.602	غوښتونکی
fulfillment	anticipation	0.602	تکمیل
deserve	anticipation	0.602	مستحق
inspire	anticipation	0.602	هڅول
foreseen	anticipation	0.602	وړاندوینه
intended	anticipation	0.602	اراده
boomerang	anticipation	0.602	بومرنګ
picnic	anticipation	0.602	پکنیک
longing	anticipation	0.602	هیله
revenge	anticipation	0.602	انتقام
success	anticipation	0.602	بریالیتوب
diagnosis	anticipation	0.602	تشخیص
visionary	anticipation	0.602	ليد لرونکی
prophetic	anticipation	0.602	پیغمبری
entertaining	anticipation	0.602	ساتیرۍ
nervous	anticipation	0.602	عصبي
illuminate	anticipation	0.594	روښانه کول
accelerate	anticipation	0.594	ګړندی کول
advent	anticipation	0.594	راتګ
romance	anticipation	0.594	رومانس
result	anticipation	0.594	پایله
arrive	anticipation	0.594	رسیدل
momentum	anticipation	0.594	حرکت
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	بیا راژوندي کول
preparedness	anticipation	0.594	چمتووالی
acquiring	anticipation	0.594	ترلاسه کول
luck	anticipation	0.594	بخت
marry	anticipation	0.594	واده کول
predict	anticipation	0.589	وړاندوینه
money	anticipation	0.586	پیسې
auspices	anticipation	0.586	ملاتړ
uplift	anticipation	0.586	پورته کول
fiesta	anticipation	0.586	جشن
enjoying	anticipation	0.586	خوند اخستل
preparation	anticipation	0.586	تیاری
raffle	anticipation	0.586	رافل
investigation	anticipation	0.586	تحقیق
progression	anticipation	0.586	پرمختګ
overdue	anticipation	0.586	ډیر وخت
crave	anticipation	0.586	هیله
impatient	anticipation	0.586	بې صبره
enthusiast	anticipation	0.586	لیواله
flirt	anticipation	0.586	وهل
seek	anticipation	0.586	لټون
sequel	anticipation	0.586	پایله
presumption	anticipation	0.586	فرضیه
delightful	anticipation	0.586	په زړه پورې
gambling	anticipation	0.586	قمار
immerse	anticipation	0.586	ډوبول
endeavor	anticipation	0.586	هڅه
experiment	anticipation	0.580	تجربه
enjoy	anticipation	0.578	خوند واخلئ
completing	anticipation	0.578	بشپړول
clamor	anticipation	0.578	چیغې
angling	anticipation	0.578	زنګ وهل
majestic	anticipation	0.578	عالي
divination	anticipation	0.578	تقدیر
transcendence	anticipation	0.578	تجاوز
thriving	anticipation	0.578	پرمختللی
excavation	anticipation	0.578	کیندنه
thirst	anticipation	0.578	تنده
remedy	anticipation	0.578	درملنه
harvest	anticipation	0.578	حاصل
risk	anticipation	0.578	خطر
healing	anticipation	0.578	شفا ورکول
heavenly	anticipation	0.578	آسماني
inviting	anticipation	0.578	بلنه ورکول
precarious	anticipation	0.578	ناامنه
attainable	anticipation	0.578	د لاسته راوړلو وړ
blessing	anticipation	0.578	برکت
prosper	anticipation	0.578	خوشحاله
tease	anticipation	0.570	ځورول
plan	anticipation	0.570	پلان
sweetheart	anticipation	0.570	ګرانه
zest	anticipation	0.570	جوش
magnificence	anticipation	0.570	عظمت
ultimate	anticipation	0.570	حتمي
emancipation	anticipation	0.570	خلاصون
restlessness	anticipation	0.570	بې آرامي
finally	anticipation	0.570	بالاخره
intimate	anticipation	0.570	نږدې
omen	anticipation	0.570	شګون
matchmaker	anticipation	0.570	میچ جوړونکی
gambler	anticipation	0.570	قمار کوونکی
prospectively	anticipation	0.570	په احتمالي توګه
dare	anticipation	0.570	جرات
warned	anticipation	0.570	خبرداری ورکړ
invite	anticipation	0.570	بلنه
mysterious	anticipation	0.562	پراسرار
accolade	anticipation	0.562	ستاینه
lover	anticipation	0.562	مین
expose	anticipation	0.562	افشا کول
enchant	anticipation	0.562	جادوګر
attempt	anticipation	0.562	هڅه
festival	anticipation	0.562	فستیوال
exalt	anticipation	0.562	لوړول
rejoice	anticipation	0.562	خوښ
independence	anticipation	0.562	خپلواکي
expected	anticipation	0.562	تمه
fanfare	anticipation	0.562	مینه
immortality	anticipation	0.562	ابديتوب
quicken	anticipation	0.562	چټک کول
parade	anticipation	0.562	پریډ
fun	anticipation	0.562	تفریح
predilection	anticipation	0.562	وړاندوینه
champion	anticipation	0.562	اتل
forewarned	anticipation	0.562	وړاندوینه
hypothesis	anticipation	0.562	فرضیه
trophy	anticipation	0.562	ټرافي
shopping	anticipation	0.555	خریداری
salvation	anticipation	0.555	نجات
feeling	anticipation	0.555	احساس
speculative	anticipation	0.555	قیاس
oracle	anticipation	0.555	اوریکل
heroism	anticipation	0.555	اتل
boisterous	anticipation	0.555	غرور
grasping	anticipation	0.555	نيول
uneasiness	anticipation	0.555	بې آرامي
curiosity	anticipation	0.555	تجسس
happy	anticipation	0.555	خوشحاله
rejoicing	anticipation	0.555	خوشحاله کول
fate	anticipation	0.555	برخلیک
liberty	anticipation	0.555	آزادي
unfold	anticipation	0.555	ښکاره کول
amour	anticipation	0.555	مینه
lovely	anticipation	0.555	ښکلی
splendor	anticipation	0.555	جلال
grow	anticipation	0.555	وده کول
glimmer	anticipation	0.547	چمک
incite	anticipation	0.547	هڅول
abundance	anticipation	0.547	کثرت
resultant	anticipation	0.547	نتیجه ورکوونکی
probability	anticipation	0.547	احتمال
recreational	anticipation	0.547	تفریحي
glory	anticipation	0.547	جلال
agape	anticipation	0.547	agape
delighted	anticipation	0.547	خوښ
changeable	anticipation	0.547	د بدلون وړ
convergence	anticipation	0.547	همغږي
bountiful	anticipation	0.547	ډیر
warn	anticipation	0.547	خبرداری
monetary	anticipation	0.547	مالي
sorcery	anticipation	0.547	جادوګري
morrow	anticipation	0.547	سبا
apprehensive	anticipation	0.547	اندېښمن
hungry	anticipation	0.547	وږی
vote	anticipation	0.547	رایه
suspicious	anticipation	0.547	شکمن
pray	anticipation	0.547	دعا
leisure	anticipation	0.547	تفریح
hunting	anticipation	0.539	ښکار
sensual	anticipation	0.539	حسي
tempest	anticipation	0.539	طوفان
auction	anticipation	0.539	لیلام
ballot	anticipation	0.539	رای پاڼه
grandchildren	anticipation	0.539	لمسیان
hankering	anticipation	0.539	غوسه کول
entertainment	anticipation	0.539	تفریح
merge	anticipation	0.539	یوځای کول
exceed	anticipation	0.539	زیات
vindication	anticipation	0.539	تصدیق
blessings	anticipation	0.539	برکتونه
inquiry	anticipation	0.539	پوښتنه
bounty	anticipation	0.539	فضل
worrying	anticipation	0.539	اندیښنه
contingent	anticipation	0.539	قطعه
glad	anticipation	0.536	خوښ
harbinger	anticipation	0.531	هاربینر
magnificent	anticipation	0.531	عالي
virginity	anticipation	0.531	کنواریتوب
stealthy	anticipation	0.531	پټه
appeal	anticipation	0.531	اپیل
forming	anticipation	0.531	جوړول
celestial	anticipation	0.531	آسماني
raving	anticipation	0.531	ژړا
deliverance	anticipation	0.531	خلاصون
feat	anticipation	0.531	کارنامې
cheer	anticipation	0.531	خوشحاله
responsive	anticipation	0.531	ځواب ویونکی
hurried	anticipation	0.531	ګړندی
betrothed	anticipation	0.531	واده شوی
overthrow	anticipation	0.531	ړنګول
spirits	anticipation	0.531	روحونه
dread	anticipation	0.531	ډار
visitor	anticipation	0.531	لیدونکی
wait	anticipation	0.523	انتظار
revive	anticipation	0.523	ژوندی کول
watch	anticipation	0.523	کتل
hunter	anticipation	0.523	ښکار
radiance	anticipation	0.523	رڼا
planning	anticipation	0.523	پلان جوړونه
germination	anticipation	0.523	ټوکیدنه
competition	anticipation	0.523	سیالي
preparatory	anticipation	0.523	تیاری
prognostic	anticipation	0.523	وړاندوینه
beaming	anticipation	0.523	بیمنګ
cheery	anticipation	0.523	خوشحاله
prevail	anticipation	0.523	غالب
importance	anticipation	0.523	اهمیت
notification	anticipation	0.523	خبرتیا
explosive	anticipation	0.523	چاودیدونکی
pleasant	anticipation	0.523	خوندور
ultimately	anticipation	0.523	بالاخره
child	anticipation	0.523	ماشوم
haste	anticipation	0.523	ګړندی
prophet	anticipation	0.523	پیغمبر
recreation	anticipation	0.516	تفریح
present	anticipation	0.516	حاضر
time	anticipation	0.516	وخت
sensuality	anticipation	0.516	حساسیت
owing	anticipation	0.516	واجب الادا
loom	anticipation	0.516	لوم
begun	anticipation	0.516	پیل شوی
salary	anticipation	0.516	معاش
celebrity	anticipation	0.516	مشهور شخصیت
treat	anticipation	0.516	درملنه
chocolate	anticipation	0.516	چاکلیټ
caution	anticipation	0.516	احتیاط
fermentation	anticipation	0.516	خمیر
uncontrollable	anticipation	0.516	بې کنټروله
precious	anticipation	0.516	قیمتي
compensate	anticipation	0.516	تاوان ورکول
endanger	anticipation	0.516	خطر
renovation	anticipation	0.516	ترمیم
signify	anticipation	0.508	نښه کول
vigilance	anticipation	0.508	څار
prerequisite	anticipation	0.508	شرط
perfection	anticipation	0.508	بشپړتیا
cultivate	anticipation	0.508	کرل
develop	anticipation	0.508	پراختیا
cue	anticipation	0.508	اشاره
exigent	anticipation	0.508	ضروري
transitional	anticipation	0.508	انتقالي
commemoration	anticipation	0.508	یادگار
intermission	anticipation	0.508	مداخله
elevation	anticipation	0.508	لوړوالی
infant	anticipation	0.508	ماشوم
practise	anticipation	0.508	تمرین
contemplation	anticipation	0.508	فکر کول
dreadful	anticipation	0.508	ډارونکی
wilderness	anticipation	0.508	صحرا
horizon	anticipation	0.508	افق
sneaking	anticipation	0.500	پټېدل
uphill	anticipation	0.500	پورته
puppy	anticipation	0.500	ګوډاګی
blindfold	anticipation	0.500	سترګې پټول
unbridled	anticipation	0.500	بې لگام
horoscope	anticipation	0.500	افق
airport	anticipation	0.500	هوايي ډګر
reconciliation	anticipation	0.500	پخلاینه
advocacy	anticipation	0.500	وکالت
litigate	anticipation	0.500	مقدمه کول
sunny	anticipation	0.500	لمر
intuitively	anticipation	0.500	په شعوري ډول
hero	anticipation	0.500	اتل
ardent	anticipation	0.500	زړور
commemorate	anticipation	0.500	یادول
romantic	anticipation	0.500	رومانتيک
doomsday	anticipation	0.500	قیامت
ready	anticipation	0.500	چمتو
nascent	anticipation	0.500	نوی
invocation	anticipation	0.500	بلنه
depart	anticipation	0.500	ځي
undisclosed	anticipation	0.500	ناڅرګند
attendance	anticipation	0.500	حاضری
peril	anticipation	0.500	خطر
income	anticipation	0.500	عاید
calculation	anticipation	0.500	محاسبه
zeal	anticipation	0.500	جوش
eventuality	anticipation	0.500	پیښه
favorable	anticipation	0.500	د خوښې وړ
utopian	anticipation	0.500	یوټوپیان
swim	anticipation	0.500	لامبو
proceeding	anticipation	0.492	پرمخ وړل
eventual	anticipation	0.492	واقعا
heyday	anticipation	0.492	ښه ورځ
undertaking	anticipation	0.492	ترسره کول
improvise	anticipation	0.492	اصلاح کول
inauguration	anticipation	0.492	افتتاح
consequent	anticipation	0.492	نتیجه
perspective	anticipation	0.492	لید
defense	anticipation	0.492	دفاع
repay	anticipation	0.492	تادیه کول
gaping	anticipation	0.492	ځړول
youth	anticipation	0.492	ځوان
parole	anticipation	0.492	پیرول
worry	anticipation	0.492	اندیښنه
bless	anticipation	0.492	برکت
restorative	anticipation	0.492	رغونکی
court	anticipation	0.492	محکمه
highest	anticipation	0.491	لوړ
shortly	anticipation	0.484	په لنډ وخت کې
auspicious	anticipation	0.484	نیکمرغه
princely	anticipation	0.484	شاهي
correspondence	anticipation	0.484	لیکنه
generosity	anticipation	0.484	سخاوت
sparkle	anticipation	0.484	چمک
voluptuous	anticipation	0.484	خوښه
happen	anticipation	0.484	پیښیږي
tremor	anticipation	0.484	ټکان
letter	anticipation	0.484	لیک
vow	anticipation	0.484	نذر
sharpen	anticipation	0.484	تیزول
duel	anticipation	0.484	دوه اړخیزه
conjure	anticipation	0.484	جادو کول
threaten	anticipation	0.484	ګواښول
god	anticipation	0.484	خدای
engulf	anticipation	0.484	ځړول
unexplained	anticipation	0.484	ناڅرګند
contagion	anticipation	0.484	ساري
glorify	anticipation	0.477	تسبیح
submit	anticipation	0.477	سپارل
enroll	anticipation	0.477	نوم لیکنه
unification	anticipation	0.477	یووالی
gravitate	anticipation	0.477	کشش
glide	anticipation	0.477	ګلیډ
accompaniment	anticipation	0.477	ملګرتيا
cherish	anticipation	0.477	قدر کول
adore	anticipation	0.477	مینه کول
powerful	anticipation	0.477	ځواکمن
clue	anticipation	0.477	نښه
medal	anticipation	0.477	مډال
contemplate	anticipation	0.477	فکر کول
perilous	anticipation	0.477	خطرناک
determinate	anticipation	0.477	ټاکل
arbitration	anticipation	0.477	منځګړتوب
recipient	anticipation	0.477	ترلاسه کونکی
onset	anticipation	0.477	پیل
predispose	anticipation	0.477	وړاندوینه
score	anticipation	0.477	نمرې
torture	anticipation	0.477	شکنجه
glow	anticipation	0.477	چمک
praiseworthy	anticipation	0.473	د ستاینې وړ
football	anticipation	0.469	فوټبال
scare	anticipation	0.469	ډارول
elite	anticipation	0.469	اشراف
unknown	anticipation	0.469	نامعلوم
precursor	anticipation	0.469	مخکینی
pry	anticipation	0.469	پری
providing	anticipation	0.469	برابرول
sweets	anticipation	0.469	خواږه
cautious	anticipation	0.469	محتاط
opera	anticipation	0.469	اوپرا
motion	anticipation	0.469	حرکت
cash	anticipation	0.469	نغدي
creeping	anticipation	0.469	ځوړند
invoke	anticipation	0.469	بلنه
star	anticipation	0.469	ستوری
shaky	anticipation	0.469	ګډوډ
production	anticipation	0.469	تولید
successful	anticipation	0.469	بریالی
immediately	anticipation	0.469	سمدستي
dawn	anticipation	0.469	سهار
starry	anticipation	0.469	ستوری
unsurpassed	anticipation	0.469	بې ساري
completion	anticipation	0.469	تکمیل
hire	anticipation	0.469	ګمارل
fete	anticipation	0.469	جشن
commemorative	anticipation	0.461	یادګاري
shining	anticipation	0.461	ځلانده
testament	anticipation	0.461	وصیت
pay	anticipation	0.461	تادیه کول
alive	anticipation	0.461	ژوندی
plight	anticipation	0.461	حالت
preliminary	anticipation	0.461	لومړني
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	پټنځای
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	مسوده
synchronize	anticipation	0.461	همغږي کول
soundness	anticipation	0.461	سالمیت
extricate	anticipation	0.461	ایستل
excel	anticipation	0.461	Excel
punt	anticipation	0.461	پونټ
untold	anticipation	0.461	بې خبره
brilliant	anticipation	0.461	تکړه
cheerfulness	anticipation	0.461	خوشالۍ
jeopardy	anticipation	0.461	خطر
friendly	anticipation	0.461	دوستانه
mail	anticipation	0.461	میل
unexpected	anticipation	0.453	غیر متوقع
basketball	anticipation	0.453	باسکیټبال
inaugural	anticipation	0.453	افتتاح
supremacy	anticipation	0.453	برتري
rehabilitation	anticipation	0.453	بیا رغونه
intimately	anticipation	0.453	په نږدې توګه
career	anticipation	0.453	مسلک
prevention	anticipation	0.453	مخنیوی
renovate	anticipation	0.453	رغول
compliment	anticipation	0.453	ستاینه
prologue	anticipation	0.453	prologue
elegance	anticipation	0.453	ښکلا
complement	anticipation	0.453	بشپړول
flinch	anticipation	0.453	ټوخی
infinity	anticipation	0.453	انفینٹی
perpetuity	anticipation	0.453	تلپاتې
sunset	anticipation	0.453	لمر
improve	anticipation	0.453	ښه کول
fitting	anticipation	0.445	مناسب
confidence	anticipation	0.445	باور
concealment	anticipation	0.445	پټول
sweet	anticipation	0.445	خواږه
perfect	anticipation	0.445	کامل
epidemic	anticipation	0.445	وبا
fain	anticipation	0.445	ستړی
volunteer	anticipation	0.445	رضاکار
share	anticipation	0.445	شریکول
surround	anticipation	0.445	شاوخوا
conjecture	anticipation	0.445	اټکل
sun	anticipation	0.445	لمر
veracity	anticipation	0.445	صداقت
serial	anticipation	0.438	سریال
angel	anticipation	0.438	فرښته
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	سنت
tickle	anticipation	0.438	ټوخی
superstitious	anticipation	0.438	توهین
ferment	anticipation	0.438	خمیر
conservation	anticipation	0.438	ساتنه
devout	anticipation	0.438	متقي
respect	anticipation	0.438	درناوی
reconstruction	anticipation	0.438	بیارغونه
goodness	anticipation	0.438	نیکی
reconstruct	anticipation	0.438	بیا جوړونه
faith	anticipation	0.438	باور
recombination	anticipation	0.438	بیا ترکیب
prepared	anticipation	0.438	چمتو شوی
rabid	anticipation	0.438	لیونی
plea	anticipation	0.438	عریضه
medical	anticipation	0.438	طبي
passenger	anticipation	0.438	مسافر
charitable	anticipation	0.430	خیریه
tabulate	anticipation	0.430	جدول
peace	anticipation	0.430	سوله
install	anticipation	0.430	نصب
serenity	anticipation	0.430	سکون
venerable	anticipation	0.430	د احترام وړ
spa	anticipation	0.430	سپا
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	خوندور
perpetuate	anticipation	0.430	تلپاتې
strategist	anticipation	0.430	ستراتیژیک
unverified	anticipation	0.430	نا تصدیق شوی
tribunal	anticipation	0.430	محکمه
clap	anticipation	0.430	ټوپ
peaceful	anticipation	0.422	سوله ایز
patience	anticipation	0.422	صبر
unresolved	anticipation	0.422	نه حل شوی
worship	anticipation	0.422	عبادت
edification	anticipation	0.422	ترمیم
oasis	anticipation	0.422	نخلستان
grin	anticipation	0.422	خندا
revere	anticipation	0.422	درناوی
candid	anticipation	0.422	صادق
vista	anticipation	0.422	ویسټا
conspirator	anticipation	0.422	سازش کوونکی
adrift	anticipation	0.422	تیریدل
recognizable	anticipation	0.422	د پیژندلو وړ
volatility	anticipation	0.422	بې ثباتي
forestall	anticipation	0.422	مخه نیول
laughter	anticipation	0.422	خندا
continue	anticipation	0.414	ادامه
ongoing	anticipation	0.414	روان
astrologer	anticipation	0.414	ستورپوه
mediate	anticipation	0.414	منځګړیتوب
punctual	anticipation	0.414	د وخت پابند
grant	anticipation	0.414	مرسته
morn	anticipation	0.414	سهار
pretty	anticipation	0.414	ښایسته
withstand	anticipation	0.414	مقاومت کول
frisky	anticipation	0.414	چټک
thought	anticipation	0.414	فکر
probation	anticipation	0.414	محاکمه
ordination	anticipation	0.414	تنظیم
calls	anticipation	0.414	زنګونه
detainee	anticipation	0.414	توقیفی
craps	anticipation	0.414	کرپس
weigh	anticipation	0.414	وزن
proficiency	anticipation	0.414	مهارت
sing	anticipation	0.411	سندره
continuation	anticipation	0.406	دوام
university	anticipation	0.406	پوهنتون
chicane	anticipation	0.406	چکن
nurture	anticipation	0.406	پالنه
mother	anticipation	0.406	مور
punished	anticipation	0.406	سزا ورکول
twinkle	anticipation	0.406	چمک
confession	anticipation	0.406	اعتراف
outdo	anticipation	0.406	بهر
prophylactic	anticipation	0.406	مخنیوی
proud	anticipation	0.406	وياړ
midwife	anticipation	0.406	قابله
wizard	anticipation	0.406	جادوګر
headlight	anticipation	0.406	سر څراغ
long	anticipation	0.406	اوږد
banquet	anticipation	0.406	ضیافت
comfort	anticipation	0.406	راحت
navigable	anticipation	0.406	د تګ وړ
subscribe	anticipation	0.406	ګډون
opponent	anticipation	0.406	مخالف
debenture	anticipation	0.406	پور
deal	anticipation	0.402	معامله
symphony	anticipation	0.398	سمفوني
saintly	anticipation	0.398	مقدس
judiciary	anticipation	0.398	قضا
lettered	anticipation	0.398	لیکل شوی
vigil	anticipation	0.398	څارنه
reliance	anticipation	0.398	تکیه
distracting	anticipation	0.398	متوجه کول
mortification	anticipation	0.398	مړینه
balm	anticipation	0.398	بام
simmer	anticipation	0.398	جوش کول
top	anticipation	0.398	پورته
obliging	anticipation	0.398	مکلف
efficient	anticipation	0.398	موثر
guillotine	anticipation	0.398	ګیلوټین
representing	anticipation	0.398	استازیتوب کوي
death	anticipation	0.398	مرګ
assurance	anticipation	0.391	ډاډ
familiarity	anticipation	0.391	پیژندنه
depraved	anticipation	0.391	خراب شوی
condemnation	anticipation	0.391	غندنه
undoubted	anticipation	0.391	بې له شکه
sanctify	anticipation	0.391	پاکول
diplomacy	anticipation	0.391	ډيپلوماسي
antidote	anticipation	0.391	ضد درمل
trust	anticipation	0.391	باور
linger	anticipation	0.391	اوږدېدل
objective	anticipation	0.391	هدف
chuckle	anticipation	0.391	خندا
poke	anticipation	0.391	وهل
abeyance	anticipation	0.391	ځنډ
maternal	anticipation	0.391	میندو
art	anticipation	0.391	هنر
unfulfilled	anticipation	0.391	نه پوره شوی
inoculation	anticipation	0.384	واکسین
simplify	anticipation	0.383	ساده کول
depend	anticipation	0.383	انحصار
chant	anticipation	0.383	نعره
ram	anticipation	0.383	رام
banger	anticipation	0.383	بنجر
playground	anticipation	0.383	د لوبې ډګر
labor	anticipation	0.383	کار
scientist	anticipation	0.383	ساینس پوه
good	anticipation	0.383	ښه
humanitarian	anticipation	0.383	بشردوستانه
failing	anticipation	0.383	ناکامي
hap	anticipation	0.383	هپ
dutiful	anticipation	0.383	فرض کونکی
hymn	anticipation	0.383	حمد
ship	anticipation	0.383	کښتۍ
discretion	anticipation	0.383	امتیاز
undecided	anticipation	0.383	بې پریکړه
gradual	anticipation	0.375	تدریجي
navigator	anticipation	0.375	نیویگیټر
track	anticipation	0.375	تعقیب
cradle	anticipation	0.375	زنګون
