English Word	Emotion	Emotion-Intensity-Score	Kurdish-Kurmanji Word
loathsome	disgust	0.773	nefret
toxic	disgust	0.773	toksîk
morgue	disgust	0.773	morgê
pus	disgust	0.773	kûl
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	kotî
insidious	disgust	0.773	xapînok
cruel	disgust	0.766	hovane
regurgitation	disgust	0.766	regurgîtasyon
anthrax	disgust	0.766	antrax
xenophobia	disgust	0.766	xenofobiya
repugnance	disgust	0.766	nefretkirin
lynch	disgust	0.766	lînc
revulsion	disgust	0.766	revulsion
whore	disgust	0.766	qehpik
dissection	disgust	0.759	dabeşkirin
mucous	disgust	0.758	mucous
canker	disgust	0.758	canker
slum	disgust	0.758	mehella belelngazan
infectious	disgust	0.758	derbasbar
evil	disgust	0.758	nebaş
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	hovîtî
perversion	disgust	0.758	perversion
sinister	disgust	0.750	sinister
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	fesad dikin
decomposition	disgust	0.750	decomposition
abomination	disgust	0.742	nefret
stinking	disgust	0.742	bîhnxweş
bile	disgust	0.742	bile
demonic	disgust	0.742	cinan
deranged	disgust	0.742	şaş kirin
abhorrence	disgust	0.742	nefretkirin
soiled	disgust	0.742	ax kirin
mucus	disgust	0.742	xwezî
septic	disgust	0.742	septîk
sickening	disgust	0.742	nexweşî
demon	disgust	0.742	xerfît
cancer	disgust	0.734	qansêr
obese	disgust	0.734	qelewî
degeneracy	disgust	0.734	dejenerasyon
despicable	disgust	0.734	nefret
atrocity	disgust	0.734	hovîtî
foul	disgust	0.734	foul
sicken	disgust	0.734	nexweş
crucifixion	disgust	0.734	xaçkirin
terrorism	disgust	0.734	terorîzm
repulsion	disgust	0.727	repulsion
morbidity	disgust	0.727	nexweşîbûn
dysentery	disgust	0.727	dîzenterî
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakterî
dirty	disgust	0.727	qirêjî
adultery	disgust	0.727	marşikandinî
contamination	disgust	0.727	gemarkirî
grisly	disgust	0.727	grisly
diabolical	disgust	0.727	şeytanî
autopsy	disgust	0.719	laşnerrînî
barbaric	disgust	0.719	bejîtî
vulgar	disgust	0.719	qebe
entrails	disgust	0.719	hundir
disgust	disgust	0.719	girêzî
lewd	disgust	0.719	lewd
muck	disgust	0.719	gemmar
bowels	disgust	0.719	rovî
garbage	disgust	0.719	zibil
deterioration	disgust	0.719	xirabûna
contagion	disgust	0.719	enfeksiyonê
vicious	disgust	0.719	vicious
disfigured	disgust	0.719	şikestî kirin
pungent	disgust	0.719	pungent
gross	disgust	0.719	gross
bloodshed	disgust	0.714	xwînrêjî
gag	disgust	0.711	gag
pollute	disgust	0.711	qirêjkirin
nausea	disgust	0.711	gewrîdanî
tyrant	disgust	0.711	zalim
wretched	disgust	0.711	belengaz
mortification	disgust	0.711	mortification
violent	disgust	0.711	cebrî
poisoned	disgust	0.711	jehrî kirin
nauseate	disgust	0.703	nauseate
slimy	disgust	0.703	slimy
grope	disgust	0.703	grope
slut	disgust	0.703	slut
nasty	disgust	0.703	bed
disgusting	disgust	0.703	girêze
depraved	disgust	0.703	xirav kirin
porn	disgust	0.703	porno
hateful	disgust	0.703	nifretane
vulgarity	disgust	0.703	vulgarity
noxious	disgust	0.703	xedar
grime	disgust	0.703	qirêj
constipation	disgust	0.703	xetimandinî
secretion	disgust	0.703	secretion
poisoning	disgust	0.703	axûbûnî
despotism	disgust	0.703	despotîzm
measles	disgust	0.696	sorik
contagious	disgust	0.695	perok
obesity	disgust	0.695	qelewbûn
wart	disgust	0.695	bêlûk
hate	disgust	0.695	nifret
hellish	disgust	0.695	dojeh
scum	disgust	0.695	scum
suicidal	disgust	0.695	xwekujî
wretch	disgust	0.695	belengaz
abuse	disgust	0.695	nebaşkaranî
waste	disgust	0.695	xûrdekirinî
intestinal	disgust	0.695	rovî
heartworm	disgust	0.688	kurmê dil
ooze	disgust	0.688	ooze
treason	disgust	0.688	îxanet
contaminated	disgust	0.688	qirêj kirin
smut	disgust	0.688	smut
disease	disgust	0.688	nexweşî
rabid	disgust	0.688	rabid
deformed	disgust	0.680	xiloxarî
hell	disgust	0.680	cehnem
soulless	disgust	0.680	bê ruh
cholera	disgust	0.680	qolêra
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	antichrist
freakish	disgust	0.680	freakish
germ	disgust	0.680	bizir
detest	disgust	0.680	nefret kirin
pollution	disgust	0.680	gemarî
grimy	disgust	0.680	grimy
abhorrent	disgust	0.680	nefret
hatred	disgust	0.680	nefret
abominate	disgust	0.680	nefret kirin
sickness	disgust	0.680	nexweşî
hideous	disgust	0.672	xedar
dictatorship	disgust	0.672	dîktatorî
loathful	disgust	0.672	loathful
greasy	disgust	0.672	bezî
dilapidated	disgust	0.672	hilweşandî
inhuman	disgust	0.672	nemirovî
loathing	disgust	0.672	nefret kirin
obscene	disgust	0.672	nebaş
cess	disgust	0.670	cess
devil	disgust	0.664	şeytan
deformity	disgust	0.664	deformasyon
nauseous	disgust	0.664	nauseous
deadly	disgust	0.664	mirarî
swine	disgust	0.664	beraz
discrimination	disgust	0.664	biçûkdîtinî
abominable	disgust	0.664	nefret
masochism	disgust	0.664	mazoşîzm
heretic	disgust	0.664	heretîk
latrines	disgust	0.656	latrines
corruption	disgust	0.656	bertîlgirî
poisonous	disgust	0.656	jarî
horror	disgust	0.656	xof
nefarious	disgust	0.656	nefarious
bacteria	disgust	0.656	bakterî
horrible	disgust	0.656	xofane
trash	disgust	0.656	zibil
abortion	disgust	0.656	ji berxwegirtin
death	disgust	0.656	mirin
prejudiced	disgust	0.656	pêşdarazî kirin
poison	disgust	0.656	axû
oppression	disgust	0.656	bindestî
goo	disgust	0.656	goo
victimized	disgust	0.656	mexdûr kirin
mange	disgust	0.656	mange
sludge	disgust	0.648	sludge
trashy	disgust	0.648	trashy
vindictive	disgust	0.648	serhevdekir
horrid	disgust	0.648	tirsnak
ugly	disgust	0.648	nerind
immoral	disgust	0.648	bêehlaqane
bitch	disgust	0.648	dêlik
outhouse	disgust	0.648	outhouse
detestation	disgust	0.648	nefretkirin
horrifying	disgust	0.641	horrifying
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	nebaş
derogatory	disgust	0.641	biçûkxistinê
slop	disgust	0.641	slop
malfeasance	disgust	0.641	malfeasance
spew	disgust	0.641	spew
pimple	disgust	0.641	pizik
criminality	disgust	0.641	sûcdar
indecency	disgust	0.641	bêedebî
cystic	disgust	0.641	kistîk
villainous	disgust	0.641	xerabkar
queasy	disgust	0.633	queasy
mildew	disgust	0.633	mildew
oppressive	disgust	0.633	zordar
prostitution	disgust	0.633	fuhûşê
secrete	disgust	0.633	veşartî
ulcer	disgust	0.633	werm
rat	disgust	0.633	cirdon
bigoted	disgust	0.633	bigotin
perpetrator	disgust	0.633	sûcdar
doomsday	disgust	0.633	roja qiyametê
sinful	disgust	0.633	gûnehkarî
degrading	disgust	0.625	riswakir
ghastly	disgust	0.625	xedar
suffering	disgust	0.625	êşandin
obscenity	disgust	0.625	xerabî
devilish	disgust	0.625	şeytanî
disgraceful	disgust	0.625	riswa
persecution	disgust	0.625	şopketinî
contemptible	disgust	0.625	riswane
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	stools
dastardly	disgust	0.625	hovane
sin	disgust	0.625	gûneh
gluttony	disgust	0.625	glûtony
bloated	disgust	0.625	nepixî
fungus	disgust	0.625	kivkarik
aghast	disgust	0.625	aghast
diaper	disgust	0.617	potikê zarokan
malicious	disgust	0.617	malicious
polygamy	disgust	0.617	pirzamî
dying	disgust	0.617	dimirin
termite	disgust	0.617	gêrîk
fat	disgust	0.617	rûn
deceit	disgust	0.617	şaşkirinî
atrocious	disgust	0.617	hovane
guillotine	disgust	0.617	giyotîn
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	delalîkirin
crusty	disgust	0.617	crusty
sickly	disgust	0.617	nexweşî
louse	disgust	0.617	spî
strangle	disgust	0.617	xeniqandin
betrayal	disgust	0.617	xîyanet
loathe	disgust	0.617	nefret kirin
wench	disgust	0.617	wenc
infect	disgust	0.617	derbaskirin
violently	disgust	0.609	bi tundî
brothel	disgust	0.609	bordelo
drool	disgust	0.609	drool
bleeding	disgust	0.609	bixwîn
deform	disgust	0.609	deform
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	hilweşîn
venomous	disgust	0.609	jehrî
abhor	disgust	0.609	nefret kirin
slander	disgust	0.609	derewî
hostile	disgust	0.609	neyar
musty	disgust	0.602	musty
illicit	disgust	0.602	neqanûnî
ugliness	disgust	0.602	nebaşî
unwashed	disgust	0.602	neşuştin
swampy	disgust	0.602	swampy
deprivation	disgust	0.602	mehrûmbûn
poaching	disgust	0.602	nêçîrê
hag	disgust	0.602	hag
infidel	disgust	0.602	nebawer
imprisonment	disgust	0.602	ceza sicnê
traitor	disgust	0.602	xayin
lunacy	disgust	0.602	dînîtî
queasiness	disgust	0.594	kêşe
hostility	disgust	0.594	neyarî
repelling	disgust	0.594	repelling
intoxicated	disgust	0.594	serxweş
thug	disgust	0.594	thug
catastrophe	disgust	0.594	hetik
lunatic	disgust	0.594	dînîtî
misery	disgust	0.594	belengazî
venom	disgust	0.594	jehr
butcher	disgust	0.594	serjêker
toilet	disgust	0.594	destav
blister	disgust	0.594	nepixoka
lurid	disgust	0.594	lurid
slug	disgust	0.594	şeytanok
gut	disgust	0.594	rêvî
sinner	disgust	0.594	gûnehkar
deceitful	disgust	0.594	qelpezane
epidemic	disgust	0.594	epîdemîk
deteriorated	disgust	0.586	xirab kirin
lavatory	disgust	0.586	lavatory
unclean	disgust	0.586	nepaqij
prostitute	disgust	0.586	qehpik
incubus	disgust	0.586	incubus
appalling	disgust	0.586	xofane
dreadful	disgust	0.586	tirsnak
pornography	disgust	0.586	suretên tazî
harass	disgust	0.586	nerehetkirin
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	derxistin
unfaithful	disgust	0.578	nedilsoz
offensive	disgust	0.578	êriş
hypocrite	disgust	0.578	derewîn
humiliating	disgust	0.578	rûreşkirin
larceny	disgust	0.578	dizî
ruinous	disgust	0.578	wêranker
retard	disgust	0.578	retard
rash	disgust	0.578	birîn
flea	disgust	0.578	kêç
debauchery	disgust	0.578	debauchery
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	kavil
conspirator	disgust	0.578	komploger
sick	disgust	0.578	nexweş
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	dogsick
egregious	disgust	0.570	egregious
flog	disgust	0.570	flog
despise	disgust	0.570	çepelkirin
treacherous	disgust	0.570	xayîn
oppress	disgust	0.570	bindestkirin
swamp	disgust	0.570	avî
messy	disgust	0.570	tevlihev
spit	disgust	0.570	tûkirin
dank	disgust	0.570	dank
bastard	disgust	0.570	bastard
devastating	disgust	0.570	wêranker
serpent	disgust	0.570	mar
loo	disgust	0.562	loo
indecent	disgust	0.562	bêşerm
insanity	disgust	0.562	rûhnexweşî
stealing	disgust	0.562	dizî
terrible	disgust	0.562	tirsgiran
tyrannical	disgust	0.562	zalim
humiliation	disgust	0.562	şermezarkirin
snake	disgust	0.562	mar
sloppy	disgust	0.562	bêbal
sinning	disgust	0.562	guneh kirin
harmful	disgust	0.562	zirarane
harlot	disgust	0.562	fahîşe
sordid	disgust	0.562	sordid
enemy	disgust	0.562	dijmin
alcoholism	disgust	0.562	alkolgirî
awful	disgust	0.562	xofane
ruthless	disgust	0.562	bêbal
scoundrel	disgust	0.562	rezîl
bloody	disgust	0.555	xûnî
flabby	disgust	0.555	sivik
odious	disgust	0.555	odious
beastly	disgust	0.555	cenawir
collusion	disgust	0.555	lihevkirin
ridicule	disgust	0.555	tinaz kirin
discriminating	disgust	0.555	cihêkariyê
unattractive	disgust	0.555	bêkêmasî
insufferable	disgust	0.555	bêserûber
segregate	disgust	0.555	jihevkirin
arsenic	disgust	0.555	arsenîk
threatening	disgust	0.555	tehdît dikin
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	qatil
distaste	disgust	0.555	nefret
coward	disgust	0.555	tirsonek
robbery	disgust	0.555	şêl
wickedness	disgust	0.555	xerabiyê
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	malevolent
sty	disgust	0.547	sty
pillage	disgust	0.547	talankirin
thief	disgust	0.547	diz
suffocating	disgust	0.547	difetisîne
condemnation	disgust	0.547	cezadanî
deleterious	disgust	0.547	zirardar
slur	disgust	0.547	slur
purgatory	disgust	0.547	purgatory
attacking	disgust	0.547	êrîş kirin
burglar	disgust	0.547	diz
ogre	disgust	0.547	ogre
coercion	disgust	0.547	zorê
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	belengazî
bitterly	disgust	0.547	bi bitterly
sneer	disgust	0.539	kenîn
greedy	disgust	0.539	çavteng
gob	disgust	0.539	gob
repellant	disgust	0.539	repellant
jealous	disgust	0.539	beecok
drunken	disgust	0.539	serxweş
shame	disgust	0.539	şerm
thrash	disgust	0.539	thrash
fatty	disgust	0.539	rûnzêde
liar	disgust	0.539	derewîn
imprisoned	disgust	0.539	girtî
sloth	disgust	0.539	sloth
repudiation	disgust	0.539	redkirin
disgrace	disgust	0.539	eyb
infidelity	disgust	0.539	nebawer
pig	disgust	0.539	beraz
lethal	disgust	0.536	kujyar
burnt	disgust	0.531	şewitandin
brawl	disgust	0.531	pevçûn
withered	disgust	0.531	ziwa kirin
blemish	disgust	0.531	kêmasî
hydrocephalus	disgust	0.531	hîdrocephalus
aberration	disgust	0.531	aberration
smuggler	disgust	0.531	qaçaxçî
painful	disgust	0.531	êşda
condescension	disgust	0.531	condescension
intolerant	disgust	0.531	dilteng
blasphemous	disgust	0.531	kufr
lying	disgust	0.531	derewîn
hanging	disgust	0.531	daliqandin
travesty	disgust	0.531	xapandin
ruined	disgust	0.531	wêran kirin
intrusive	disgust	0.531	intrusive
disintegrate	disgust	0.531	perçebûn
destructive	disgust	0.531	wêranker
neurotic	disgust	0.531	neurotic
disparaging	disgust	0.523	şermezar kirin
blighted	disgust	0.523	şewitandin
intolerance	disgust	0.523	bêtoleransê
mistress	disgust	0.523	mîr
avarice	disgust	0.523	hovîtî
disgraced	disgust	0.523	riswa kirin
derogation	disgust	0.523	derogation
rubbish	disgust	0.523	zibil
accusation	disgust	0.523	gilî
incarceration	disgust	0.523	girtîgehê
tortious	disgust	0.516	tortious
dishonor	disgust	0.516	bêrûmetî
stink	disgust	0.516	bînbed
grim	disgust	0.516	hêrsane
rob	disgust	0.516	şêlandin
defraud	disgust	0.516	xapandin
sump	disgust	0.516	sump
cringe	disgust	0.516	cringe
vulture	disgust	0.516	teyrelaş
deplorable	disgust	0.516	xemgîn
mite	disgust	0.516	mite
eradication	disgust	0.516	hilweşandin
degrade	disgust	0.516	degrade
gutter	disgust	0.516	gutter
convict	disgust	0.516	girtîya sucdar
remains	disgust	0.516	jibermayî
betray	disgust	0.516	xîyanetkirin
daemon	disgust	0.516	daemon
sham	disgust	0.509	sham
distasteful	disgust	0.508	nebaş
prisoner	disgust	0.508	girtî
dreadfully	disgust	0.508	tirsnak
worthless	disgust	0.508	bêqîmet
crude	disgust	0.508	xam
delirium	disgust	0.508	delirium
incurable	disgust	0.508	saxnabe
smelling	disgust	0.508	bîhnxweş
idiocy	disgust	0.508	idiocy
resentment	disgust	0.508	sergêjanî
bombed	disgust	0.508	bombe kirin
blob	disgust	0.508	blob
cheat	disgust	0.508	xapandin
schizophrenia	disgust	0.508	şîzofreniya
rejection	disgust	0.508	refz
belittle	disgust	0.508	daxistin
glut	disgust	0.508	glût
disaster	disgust	0.508	filaket
distress	disgust	0.508	tûnebûnî
pest	disgust	0.508	bela
endemic	disgust	0.508	endemîk
theft	disgust	0.500	dizîn
banish	disgust	0.500	jicihkirin
mire	disgust	0.500	mire
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	tinaz
dirt	disgust	0.500	gemmar
screaming	disgust	0.500	qîrîn
offense	disgust	0.500	pelixandin
jealousy	disgust	0.500	nekêşî
bribery	disgust	0.500	bertîlî
polemic	disgust	0.500	polemîk
blight	disgust	0.500	blight
impeach	disgust	0.500	sûcdarkirin
bitterness	disgust	0.500	talî
taboo	disgust	0.500	tabû
duress	disgust	0.500	zordarî
goblin	disgust	0.500	goblin
shackle	disgust	0.500	shackle
idolatry	disgust	0.500	pûtperestî
greed	disgust	0.500	çavtengî
impurity	disgust	0.500	nepakî
tirade	disgust	0.500	tirade
idiot	disgust	0.492	dînê
boil	disgust	0.492	kelandin
unconscionable	disgust	0.492	bêwijdanî
disreputable	disgust	0.492	bêrûmet
robber	disgust	0.492	diz
malign	disgust	0.492	malign
wreck	disgust	0.492	wreck
recession	disgust	0.492	karxerabî
gorge	disgust	0.492	newal
leer	disgust	0.492	leer
ill	disgust	0.492	nexweş
squirm	disgust	0.492	squirm
raging	disgust	0.484	raging
servile	disgust	0.484	xizmetkar
mess	disgust	0.484	mess
nappy	disgust	0.484	nappy
possessed	disgust	0.484	xwedî kirin
unbearable	disgust	0.484	nayekêş
occult	disgust	0.484	occult
contraband	disgust	0.484	malê reş
snarl	disgust	0.484	snarl
mutiny	disgust	0.484	serhildan
mad	disgust	0.484	bêbawer
affliction	disgust	0.484	dilêş
stain	disgust	0.484	leke
animosity	disgust	0.484	dijminatî
contempt	disgust	0.484	riswa
tramp	disgust	0.484	tolaz
nepotism	disgust	0.484	nepotîzm
disrespectful	disgust	0.484	bêhûrmet
defamation	disgust	0.484	defamation
inexcusable	disgust	0.484	bê efûkirin
aversation	disgust	0.484	aversation
wasteful	disgust	0.484	xûrdewar
offender	disgust	0.484	sûcdar
subjugation	disgust	0.484	bindestkirin
illegality	disgust	0.477	neqanûnî
dismal	disgust	0.477	xemgîn
criminal	disgust	0.477	emelxirab
unpleasant	disgust	0.477	naxoş
palsy	disgust	0.477	felcî
antagonistic	disgust	0.477	antagonîst
pathetic	disgust	0.477	pathetic
uncaring	disgust	0.477	bê xem
suppression	disgust	0.477	tepisandin
immorality	disgust	0.477	bêexlaqî
mockery	disgust	0.477	tinazkirin
outrage	disgust	0.469	acizî
mocking	disgust	0.469	tinaz kirin
wallow	disgust	0.469	daqurtînin
cough	disgust	0.469	kûxîn
arrogant	disgust	0.469	pozbilind
angry	disgust	0.469	hêrsbû
poverty	disgust	0.469	bêmalî
grating	disgust	0.469	grating
livid	disgust	0.469	livid
aggravation	disgust	0.469	xirabbûyî
repellent	disgust	0.469	paşveavêt
perspiration	disgust	0.469	xwêdan
banishment	disgust	0.469	qedexekirin
furious	disgust	0.469	hêrshat
shoddy	disgust	0.469	şikestî
banshee	disgust	0.469	banshee
deceive	disgust	0.461	xapandin
fool	disgust	0.461	dînê
quack	disgust	0.461	quack
distorted	disgust	0.461	berovajî kirin
spider	disgust	0.461	pîrê
unjustifiable	disgust	0.461	bêberpisîyar
deplore	disgust	0.461	şermezar dikin
spurious	disgust	0.461	sexte
perdition	disgust	0.461	perdition
muddy	disgust	0.461	muddy
fraudulent	disgust	0.461	sextekar
scar	disgust	0.461	birîn
prick	disgust	0.461	piçik
insulting	disgust	0.461	kêmkir
plunder	disgust	0.461	talankirin
recklessness	disgust	0.461	bêbawerî
stigma	disgust	0.453	stigma
disparage	disgust	0.453	şermezar kirin
unthinkable	disgust	0.453	hişnayê
disingenuous	disgust	0.453	bêbawer
bane	disgust	0.453	bane
dishonest	disgust	0.453	nerast
aphid	disgust	0.453	aphid
elimination	disgust	0.453	tasfiyekirin
cur	disgust	0.453	cur
selfish	disgust	0.453	xwehez
eschew	disgust	0.453	dûrketin
dire	disgust	0.453	dire
indignation	disgust	0.453	hêrsbûn
antipathy	disgust	0.453	antîpatî
alienate	disgust	0.453	xerîbkirin
mosquito	disgust	0.445	pêşû
piles	disgust	0.445	piles
pious	disgust	0.445	dîndar
lie	disgust	0.445	derew
opium	disgust	0.445	afyon
smell	disgust	0.445	bîn
iniquity	disgust	0.445	neheqî
caries	disgust	0.445	karies
despair	disgust	0.445	şaşmanî
recalcitrant	disgust	0.445	recalcitrant
egotistical	disgust	0.445	egoîstîk
wasted	disgust	0.445	winda kirin
vacuous	disgust	0.445	vacuous
bankruptcy	disgust	0.445	îflas
garish	disgust	0.445	garish
obnoxious	disgust	0.438	acizker
ashamed	disgust	0.438	şermezar
abject	disgust	0.438	abject
sticky	disgust	0.438	lezeqî
scream	disgust	0.438	qîrîn
hopelessness	disgust	0.438	bêhêvîbûn
homeless	disgust	0.438	bêmal
shun	disgust	0.438	dûrketin
inmate	disgust	0.438	rûneştevan
alien	disgust	0.438	alien
hog	disgust	0.438	beraz
aversion	disgust	0.438	dilnexwazî
abnormal	disgust	0.438	nenormal
cursing	disgust	0.430	nifir kirin
undesirable	disgust	0.430	nexwestî
denounce	disgust	0.430	îxbarkirin
witch	disgust	0.430	cadû
creature	disgust	0.430	ava
lusty	disgust	0.430	şehwet
illegal	disgust	0.430	neqanûnî
debris	disgust	0.430	xirbe
callous	disgust	0.430	callous
reflux	disgust	0.430	reflux
adverse	disgust	0.430	neyare
shameless	disgust	0.430	bêşerm
separatist	disgust	0.430	cudaxwaz
trickery	disgust	0.430	xapandin
falsity	disgust	0.430	derewîn
pall	disgust	0.430	pall
defiance	disgust	0.430	serhişkî
incredulous	disgust	0.430	incredulous
curse	disgust	0.430	nifir
pompous	disgust	0.422	pompous
socialist	disgust	0.422	sosyalîst
mistrust	disgust	0.422	bêbawerî
infantile	disgust	0.422	infantile
wasting	disgust	0.422	windakirin
hairy	disgust	0.422	pirçikî
nicotine	disgust	0.422	nîkotîn
denunciation	disgust	0.422	danasîn
collapse	disgust	0.422	jiberhevketin
untidy	disgust	0.422	nesaz
ferocious	disgust	0.422	ferocious
ammonia	disgust	0.422	amonyak
carelessness	disgust	0.422	jiseravêtinî
impure	disgust	0.422	nepak
contentious	disgust	0.422	nakokî
bum	disgust	0.422	kûlîmek
affront	disgust	0.422	affront
offend	disgust	0.422	êşandin
tarnish	disgust	0.422	tarî kirin
idiotic	disgust	0.422	dînî
badness	disgust	0.422	xerabî
delinquent	disgust	0.422	sûcdar
swarm	disgust	0.422	naxir
hypertrophy	disgust	0.422	hîpertrofî
gush	disgust	0.422	gush
tasteless	disgust	0.422	bêtam
bovine	disgust	0.422	bovine
slush	disgust	0.422	herrî
litigious	disgust	0.414	litigious
dishonesty	disgust	0.414	bêrûmetî
vegetative	disgust	0.414	nebatî
unfavorable	disgust	0.414	nebaş
displacency	disgust	0.414	jicîhûwarkirin
illegitimate	disgust	0.414	bêbavane
sour	disgust	0.414	tirş
socialism	disgust	0.414	sosyalîzm
disobey	disgust	0.414	gûhnedan
drivel	disgust	0.414	drivel
vampire	disgust	0.414	vampire
neglected	disgust	0.414	îhmal kirin
murky	disgust	0.414	tarî
ignorant	disgust	0.406	nezan
disgruntled	disgust	0.406	nerazî bûn
discontinuity	disgust	0.406	bêdawîbûn
dislike	disgust	0.406	hez nakin
unlawful	disgust	0.406	dijqanûn
wrongdoing	disgust	0.406	xelet kirin
shoplifting	disgust	0.406	dikana dikanan
recidivism	disgust	0.406	dubarekirin
outcast	disgust	0.406	derxistin
bogus	disgust	0.406	sexte
displeasure	disgust	0.406	nerazîbûn
repel	disgust	0.406	şûndeavêtin
falsify	disgust	0.406	sextekirin
ungrateful	disgust	0.406	nankor
unkind	disgust	0.406	nedost
phony	disgust	0.406	sexte
prosecution	disgust	0.406	şopajotinî
woe	disgust	0.398	wey
averse	disgust	0.398	averse
loon	disgust	0.398	loon
worsening	disgust	0.398	xerabtir dibe
paucity	disgust	0.398	kêmasî
unnatural	disgust	0.398	netabiî
amphetamines	disgust	0.398	amfetamîn
senseless	disgust	0.398	bêhîs
rigor	disgust	0.398	rigor
subvert	disgust	0.398	binxet kirin
failure	disgust	0.398	têkçûnî
lick	disgust	0.398	alastin
unruly	disgust	0.398	bêserûber
woefully	disgust	0.398	wey
stingy	disgust	0.398	stûr
crushing	disgust	0.398	perçiqandin
disdain	disgust	0.398	nefret kirin
insult	disgust	0.393	kêmkirinî
averseness	disgust	0.391	averseness
disrelish	disgust	0.391	bêhêvî kirin
punished	disgust	0.391	ceza kirin
critter	disgust	0.391	critter
damage	disgust	0.391	zirar
scorpion	disgust	0.391	dûpişk
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	muff
farcical	disgust	0.391	farsî
antisocial	disgust	0.391	antîsosyal
hardened	disgust	0.391	hişk kirin
punishment	disgust	0.391	cezakirin
bad	disgust	0.391	xerab
expel	disgust	0.391	qewitandin
surly	disgust	0.383	surly
lament	disgust	0.383	nalîn
illiterate	disgust	0.383	nexwende
divorce	disgust	0.383	telaqdanî
teeming	disgust	0.383	teeming
plagiarism	disgust	0.383	plagiarism
eviction	disgust	0.383	qewitandinî
orc	disgust	0.383	orc
disappoint	disgust	0.383	şaşhiştin
shabby	disgust	0.383	shabby
presumptuous	disgust	0.383	pozbilind
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	nakokî
guilt	disgust	0.383	sûc
fugitive	disgust	0.383	penaber
irrational	disgust	0.383	bêaqil
adder	disgust	0.383	adder
fulsome	disgust	0.383	fulsome
sacrifices	disgust	0.383	qurbaniyan
hypocritical	disgust	0.383	durû
shock	disgust	0.375	hûrmik
alienation	disgust	0.375	xerîbbûyî
scoff	disgust	0.375	tinazên xwe
plight	disgust	0.375	tengahî
irritation	disgust	0.375	qehirandin
unworthy	disgust	0.375	nelayiqî
misconduct	disgust	0.375	lênegirtin
defective	disgust	0.375	şaşîyane
blame	disgust	0.375	sûc
depressing	disgust	0.375	depresyon
dislocated	disgust	0.375	ji cih bûne
irritating	disgust	0.375	irritating
vainly	disgust	0.367	bêwate
toad	disgust	0.367	beq
powerless	disgust	0.367	bêerk
coerce	disgust	0.367	cebirkirin
shuddering	disgust	0.367	lerizîn
stripped	disgust	0.367	tazî kirin
revoke	disgust	0.367	betal kirin
wimpy	disgust	0.367	wimpy
unhealthy	disgust	0.367	nesax
exclusion	disgust	0.367	jinavderxistî
disillusionment	disgust	0.367	bêhêvîbûn
blatant	disgust	0.367	blatant
hurtful	disgust	0.367	birîndarkir
hoax	disgust	0.367	hoax
wimp	disgust	0.367	wimp
cad	disgust	0.367	cad
pitfall	disgust	0.367	pitfall
squelch	disgust	0.367	squelch
deserted	disgust	0.359	çolê
damn	disgust	0.359	lanet
incompatible	disgust	0.359	lihevnehat
dispose	disgust	0.359	avêtin
oddity	disgust	0.359	xerîbî
rebellion	disgust	0.359	şoreş
ineptitude	disgust	0.359	bêaqilî
bug	disgust	0.359	rûnask
disobedience	disgust	0.359	asêtî
inept	disgust	0.352	inept
litigate	disgust	0.352	dozkirin
dismissal	disgust	0.352	berdanî
cutting	disgust	0.352	birrîn
untoward	disgust	0.352	untoward
displeased	disgust	0.352	nerazî bûn
censor	disgust	0.352	sansorvan
ridiculous	disgust	0.352	pêkenî
compost	disgust	0.352	kompost
frustrate	disgust	0.352	şaşkirin
misbehavior	disgust	0.352	nebaş kirin
lawyer	disgust	0.352	parêzkar
crushed	disgust	0.352	perçiqandin
flesh	disgust	0.352	goşt
uncertain	disgust	0.352	bêgûman
obi	disgust	0.352	obi
flinch	disgust	0.352	flinch
fierce	disgust	0.352	hêrsane
wrongful	disgust	0.352	neheq
depreciate	disgust	0.344	bêqîmet kirin
disapprove	disgust	0.344	dilnerazîbûn
tearful	disgust	0.344	hêsir
grumble	disgust	0.336	gurr kirin
unsettled	disgust	0.336	bêserûber
annoy	disgust	0.336	xûlîkirin
exigent	disgust	0.336	exigent
heartsick	disgust	0.336	dilgiran
lawsuit	disgust	0.336	doz
discoloration	disgust	0.336	direng
lumpy	disgust	0.336	lumpy
daft	disgust	0.336	daft
blunder	disgust	0.336	xelet
