English Word	Emotion	Emotion-Intensity-Score	Sinhala Word
expectancy	anticipation	0.727	අපේක්ෂාව
expecting	anticipation	0.727	බලාපොරොත්තු වෙනවා
imminent	anticipation	0.727	ආසන්නයි
liberation	anticipation	0.727	විමුක්ති
urgent	anticipation	0.727	හදිසි
trepidation	anticipation	0.719	චකිතය
reunion	anticipation	0.719	නැවත එක්වීම
prospection	anticipation	0.719	අපේක්ෂාව
voyage	anticipation	0.719	මුහුදු ගමන
prospect	anticipation	0.719	අපේක්ෂාව
aspire	anticipation	0.719	අපේක්ෂා කරනවා
rapture	anticipation	0.711	ඔසවා ගැනීම
suspense	anticipation	0.711	සැකය
journey	anticipation	0.711	ගමන
kiss	anticipation	0.711	හාදුවක්
enthusiasm	anticipation	0.711	උද්යෝගය
yearning	anticipation	0.711	ආශාවෙන්
ecstasy	anticipation	0.711	ප්රීතිමත් බව
mystery	anticipation	0.711	අභිරහස
prospective	anticipation	0.703	අනාගත
frantic	anticipation	0.703	වියරු
destination	anticipation	0.703	ගමනාන්තය
excitation	anticipation	0.703	උද්දීපනය
lottery	anticipation	0.703	ලොතරැයිය
hopeful	anticipation	0.703	බලාපොරොත්තු සහගතයි
thrill	anticipation	0.703	ත්‍රාසජනකයි
progress	anticipation	0.703	ප්රගතිය
urgency	anticipation	0.703	හදිසි
tantalizing	anticipation	0.703	තුෂ්නිම්භූත කිරීම
liberate	anticipation	0.695	නිදහස් කරනවා
hurry	anticipation	0.695	ඉක්මන් කරන්න
explore	anticipation	0.695	ගවේෂණය කරන්න
advance	anticipation	0.695	අත්තිකාරම්
vacation	anticipation	0.695	නිවාඩු
sex	anticipation	0.695	ලිංගිකත්වය
achievement	anticipation	0.695	ජයග්රහණය
readiness	anticipation	0.695	සූදානම
expectation	anticipation	0.695	අපේක්ෂාව
prediction	anticipation	0.695	අනාවැකිය
arrival	anticipation	0.695	පැමිණීම
allure	anticipation	0.688	ආකර්ෂණය
ecstatic	anticipation	0.688	ප්රීතිමත්
approaching	anticipation	0.688	ළං වෙනවා
honeymoon	anticipation	0.680	මධුසමය
roulette	anticipation	0.680	roulette
uprising	anticipation	0.680	නැගිටීම
holiday	anticipation	0.672	නිවාඩු
crescendo	anticipation	0.672	crescendo
celebrating	anticipation	0.672	සමරනවා
wishful	anticipation	0.672	ප්රාර්ථනා කරන
waiting	anticipation	0.664	බලා සිටීම
invitation	anticipation	0.664	ආරාධනය
rescue	anticipation	0.664	ගැලවීම
impending	anticipation	0.664	ළඟදීම
winning	anticipation	0.664	දිනනවා
craving	anticipation	0.664	තෘෂ්ණාව
winnings	anticipation	0.664	ජයග්රහණ
triumph	anticipation	0.664	ජයග්රහණය
orgasm	anticipation	0.664	සුරාන්තය
marriage	anticipation	0.656	විවාහ
bridal	anticipation	0.656	මනාලිය
victory	anticipation	0.656	ජයග්රහණය
courtship	anticipation	0.656	ආලය
gain	anticipation	0.656	ලබාගන්නවා
aspiring	anticipation	0.656	අභිලාෂකාමී
strive	anticipation	0.656	උත්සාහ කරන්න
reward	anticipation	0.656	ත්යාගය
celebration	anticipation	0.656	සැමරුම
jackpot	anticipation	0.656	ජැක්පොට්
bridegroom	anticipation	0.656	මනාලයා
fortune	anticipation	0.656	වාසනාව
tomorrow	anticipation	0.648	හෙට
rising	anticipation	0.648	ඉහළ යනවා
inheritance	anticipation	0.648	උරුමය
alertness	anticipation	0.648	සීරුවෙන්
crowning	anticipation	0.648	ඔටුන්න හිමි
aspiration	anticipation	0.648	අභිලාෂය
delivery	anticipation	0.648	බෙදා හැරීම
opportunity	anticipation	0.648	අවස්ථාවක්
intrigue	anticipation	0.648	කුතුහලය
prescient	anticipation	0.648	පූර්වාදර්ශ
treasure	anticipation	0.648	නිධානය
erotic	anticipation	0.641	කාමුක
revolution	anticipation	0.641	විප්ලවය
launch	anticipation	0.641	දියත් කිරීම
reckoning	anticipation	0.641	ගණනය කිරීම
prognosis	anticipation	0.641	අනාවැකි
happiness	anticipation	0.641	සතුට
celebrated	anticipation	0.641	සමරනු ලැබුවා
receiving	anticipation	0.641	ලැබීම
possibility	anticipation	0.641	හැකියාව
expedition	anticipation	0.641	ගවේෂණ
bride	anticipation	0.641	මනමාලිය
engaged	anticipation	0.641	යෙදී ඇත
anxious	anticipation	0.641	කනස්සල්ලෙන්
hype	anticipation	0.641	උද්දීපනය
spectacular	anticipation	0.641	දර්ශනීය
award	anticipation	0.641	සම්මානය
prepare	anticipation	0.633	සූදානම් කරන්න
coming	anticipation	0.633	එනවා
graduation	anticipation	0.633	උපාධිය
destiny	anticipation	0.633	ඉරණම
miracle	anticipation	0.633	ආශ්චර්යය
beware	anticipation	0.633	පරෙස්සම් වන්න
succeed	anticipation	0.633	සාර්ථක වෙනවා
passionate	anticipation	0.633	උද්යෝගිමත්
birthday	anticipation	0.633	උපන් දිනය
passion	anticipation	0.633	ආශාව
ominous	anticipation	0.633	අශුභයි
captivate	anticipation	0.633	ආකර්ශනීය
vision	anticipation	0.633	දැක්ම
delight	anticipation	0.633	සතුටු වෙනවා
curious	anticipation	0.633	කුතුහලයෙන්
firstborn	anticipation	0.633	කුලුඳුල්
await	anticipation	0.633	බලාගෙන ඉන්නවා
triumphant	anticipation	0.625	ජයග්රාහී
escape	anticipation	0.625	ගැලවී යාම
optimism	anticipation	0.625	ශුභවාදී ය
retirement	anticipation	0.625	විශ්රාම ගැනීම
foresee	anticipation	0.625	පුරෝකථනය කරන්න
inspiration	anticipation	0.625	ආශ්වාදයක්
ripen	anticipation	0.625	ඉදවීමට
gift	anticipation	0.625	තෑග්ගක්
revival	anticipation	0.625	පුනර්ජීවනය
lust	anticipation	0.625	ආශාව
risky	anticipation	0.617	අවදානම් සහිතයි
foreboding	anticipation	0.617	පුරෝකථනය කිරීම
bloom	anticipation	0.617	පිපෙන
verge	anticipation	0.617	අද්දර
embrace	anticipation	0.617	වැළඳ ගන්නවා
destined	anticipation	0.617	දෛවය
surprisingly	anticipation	0.617	පුදුම සහගතයි
ambition	anticipation	0.617	අභිලාෂය
simmering	anticipation	0.617	ගැහෙනවා
enchanting	anticipation	0.617	වශීකරවන
foresight	anticipation	0.617	දුරදක්නා නුවණ
lookout	anticipation	0.609	ප්රවේසම් වන්න
anxiety	anticipation	0.609	කාංසාව
forecast	anticipation	0.609	අනාවැකිය
seductive	anticipation	0.609	වසඟ කරන
bonus	anticipation	0.609	ප්රසාද දීමනා
succeeding	anticipation	0.609	සාර්ථක වෙනවා
matrimony	anticipation	0.609	විවාහය
magical	anticipation	0.609	ඉන්ද්රජාලික
alerts	anticipation	0.609	අනතුරු ඇඟවීම්
winner	anticipation	0.602	ජයග්රාහකයා
applicant	anticipation	0.602	ඉල්ලුම්කරු
fulfillment	anticipation	0.602	ඉටුවීම
deserve	anticipation	0.602	සුදුසුයි
inspire	anticipation	0.602	ආශ්වාදයක්
foreseen	anticipation	0.602	පුරෝකථනය කර ඇත
intended	anticipation	0.602	අදහස් කර ඇත
boomerang	anticipation	0.602	බූමරන්ග්
picnic	anticipation	0.602	විනෝද චාරිකාව
longing	anticipation	0.602	ආශාව
revenge	anticipation	0.602	පළිගැනීම
success	anticipation	0.602	සාර්ථකත්වය
diagnosis	anticipation	0.602	රෝග විනිශ්චය
visionary	anticipation	0.602	දූරදර්ශී
prophetic	anticipation	0.602	අනාවැකිමය
entertaining	anticipation	0.602	විනෝදාත්මකයි
nervous	anticipation	0.602	ස්නායු
illuminate	anticipation	0.594	ආලෝකමත් කරන්න
accelerate	anticipation	0.594	වේගවත් කරන්න
advent	anticipation	0.594	පැමිණීම
romance	anticipation	0.594	ආදර
result	anticipation	0.594	ප්රතිඵලය
arrive	anticipation	0.594	පැමිණේ
momentum	anticipation	0.594	ගම්යතාව
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	නැවත දල්වන්න
preparedness	anticipation	0.594	සූදානම
acquiring	anticipation	0.594	අත්පත් කර ගැනීම
luck	anticipation	0.594	වාසනාව
marry	anticipation	0.594	විවාහ වෙනවා
predict	anticipation	0.589	අනාවැකි
money	anticipation	0.586	මුදල
auspices	anticipation	0.586	නැකත
uplift	anticipation	0.586	නඟා සිටුවීම
fiesta	anticipation	0.586	මංගල්යය
enjoying	anticipation	0.586	භුක්ති විඳිනවා
preparation	anticipation	0.586	සකස් කිරීම
raffle	anticipation	0.586	දිනුම් ඇදීම
investigation	anticipation	0.586	පරීක්ෂණයක්
progression	anticipation	0.586	ප්රගතිය
overdue	anticipation	0.586	කල් ඉකුත් වූ
crave	anticipation	0.586	ආශා කරනවා
impatient	anticipation	0.586	නොඉවසිලිමත්
enthusiast	anticipation	0.586	උද්යෝගිමත්
flirt	anticipation	0.586	ආලවන්ත හැඟීම් පෑම
seek	anticipation	0.586	සොයන්න
sequel	anticipation	0.586	අනුප්රාප්තිකය
presumption	anticipation	0.586	උපකල්පනය
delightful	anticipation	0.586	ප්රියජනකයි
gambling	anticipation	0.586	සූදුව
immerse	anticipation	0.586	ගිල්වන්න
endeavor	anticipation	0.586	උත්සාහය
experiment	anticipation	0.580	අත්හදා බැලීම
enjoy	anticipation	0.578	භුක්ති විඳින්න
completing	anticipation	0.578	සම්පූර්ණ කිරීම
clamor	anticipation	0.578	ඝෝෂාව
angling	anticipation	0.578	angling
majestic	anticipation	0.578	තේජාන්විත
divination	anticipation	0.578	පේන කීම
transcendence	anticipation	0.578	අතික්‍රමණය
thriving	anticipation	0.578	දියුණු වෙනවා
excavation	anticipation	0.578	කැණීම්
thirst	anticipation	0.578	පිපාසය
remedy	anticipation	0.578	පිළියමක්
harvest	anticipation	0.578	අස්වැන්න
risk	anticipation	0.578	අවදානම්
healing	anticipation	0.578	සුව කිරීම
heavenly	anticipation	0.578	ස්වර්ගික
inviting	anticipation	0.578	ආරාධනා කරනවා
precarious	anticipation	0.578	අවිනිශ්චිත
attainable	anticipation	0.578	ළඟා විය හැකි
blessing	anticipation	0.578	ආශිර්වාද කරනවා
prosper	anticipation	0.578	සමෘද්ධිමත් වේ
tease	anticipation	0.570	උසුළු විසුළු කරන්න
plan	anticipation	0.570	සැලැස්ම
sweetheart	anticipation	0.570	සොඳුරිය
zest	anticipation	0.570	zest
magnificence	anticipation	0.570	විශිෂ්ටත්වය
ultimate	anticipation	0.570	අවසාන
emancipation	anticipation	0.570	විමුක්තිය
restlessness	anticipation	0.570	අවිවේකී බව
finally	anticipation	0.570	අවසාන
intimate	anticipation	0.570	සමීපයි
omen	anticipation	0.570	නිමිත්ත
matchmaker	anticipation	0.570	matchmaker
gambler	anticipation	0.570	සූදුකාරයා
prospectively	anticipation	0.570	අනාගත
dare	anticipation	0.570	එඩිතරයි
warned	anticipation	0.570	අවවාද කළා
invite	anticipation	0.570	ආරාධනා කරන්න
mysterious	anticipation	0.562	අද්භූත
accolade	anticipation	0.562	සම්මානය
lover	anticipation	0.562	පෙම්වතා
expose	anticipation	0.562	හෙළිදරව් කරන්න
enchant	anticipation	0.562	වශී කරන්න
attempt	anticipation	0.562	උත්සාහය
festival	anticipation	0.562	උත්සවය
exalt	anticipation	0.562	උසස් කරන්න
rejoice	anticipation	0.562	ප්රීති වන්න
independence	anticipation	0.562	නිදහස
expected	anticipation	0.562	අපේක්ෂා කෙරේ
fanfare	anticipation	0.562	ඝෝෂාව
immortality	anticipation	0.562	අමරණීයත්වය
quicken	anticipation	0.562	ඉක්මන් කරන්න
parade	anticipation	0.562	පෙළපාලිය
fun	anticipation	0.562	විනෝද
predilection	anticipation	0.562	නැඹුරුව
champion	anticipation	0.562	ශූරයා
forewarned	anticipation	0.562	කලින් අනතුරු අඟවා ඇත
hypothesis	anticipation	0.562	උපකල්පනය
trophy	anticipation	0.562	කුසලානය
shopping	anticipation	0.555	සාප්පු සවාරි
salvation	anticipation	0.555	ගැලවීම
feeling	anticipation	0.555	හැඟීම
speculative	anticipation	0.555	සමපේක්ෂන
oracle	anticipation	0.555	ඔරකල්
heroism	anticipation	0.555	වීරත්වය
boisterous	anticipation	0.555	ඝෝෂාකාරී
grasping	anticipation	0.555	අල්ලා ගැනීම
uneasiness	anticipation	0.555	අසහනය
curiosity	anticipation	0.555	කුතුහලය
happy	anticipation	0.555	සතුටු
rejoicing	anticipation	0.555	සතුටු වෙනවා
fate	anticipation	0.555	ඉරණම
liberty	anticipation	0.555	නිදහස
unfold	anticipation	0.555	දිගහැරෙනවා
amour	anticipation	0.555	ආතල්
lovely	anticipation	0.555	ආදරණීය
splendor	anticipation	0.555	තේජස
grow	anticipation	0.555	වර්ධනය වේ
glimmer	anticipation	0.547	දිලිසෙන
incite	anticipation	0.547	උසිගන්වන්න
abundance	anticipation	0.547	බහුලත්වය
resultant	anticipation	0.547	ප්රතිඵලය
probability	anticipation	0.547	සම්භාවිතාව
recreational	anticipation	0.547	විනෝදාත්මක
glory	anticipation	0.547	මහිමය
agape	anticipation	0.547	agape
delighted	anticipation	0.547	සතුටුයි
changeable	anticipation	0.547	වෙනස් කළ හැකි
convergence	anticipation	0.547	අභිසාරී වීම
bountiful	anticipation	0.547	ත්යාගශීලී
warn	anticipation	0.547	අනතුරු අඟවයි
monetary	anticipation	0.547	මූල්ය
sorcery	anticipation	0.547	මන්තර ගුරුකම්
morrow	anticipation	0.547	හෙට
apprehensive	anticipation	0.547	තැතිගැන්මකි
hungry	anticipation	0.547	බඩගිනියි
vote	anticipation	0.547	ඡන්දය
suspicious	anticipation	0.547	සැක සහිතයි
pray	anticipation	0.547	යාච්ඤා කරන්න
leisure	anticipation	0.547	විවේකය
hunting	anticipation	0.539	දඞයම
sensual	anticipation	0.539	සංවේදී
tempest	anticipation	0.539	කුණාටුව
auction	anticipation	0.539	වෙන්දේසිය
ballot	anticipation	0.539	ඡන්දය
grandchildren	anticipation	0.539	මුණුබුරන්
hankering	anticipation	0.539	ආශාවෙන්
entertainment	anticipation	0.539	විනෝදාස්වාදය
merge	anticipation	0.539	ඒකාබද්ධ කරන්න
exceed	anticipation	0.539	ඉක්මවයි
vindication	anticipation	0.539	සනාථ කිරීම
blessings	anticipation	0.539	ආශීර්වාද
inquiry	anticipation	0.539	පරීක්ෂණයක්
bounty	anticipation	0.539	ත්යාගය
worrying	anticipation	0.539	කනස්සල්ලෙන්
contingent	anticipation	0.539	සංචිතය
glad	anticipation	0.536	සතුටුයි
harbinger	anticipation	0.531	පෙරනිමිති
magnificent	anticipation	0.531	අතිවිශිෂ්ට
virginity	anticipation	0.531	කන්යාභාවය
stealthy	anticipation	0.531	රහසිගත
appeal	anticipation	0.531	අභියාචනය
forming	anticipation	0.531	පිහිටුවීම
celestial	anticipation	0.531	ස්වර්ගීය
raving	anticipation	0.531	රාවණා කරනවා
deliverance	anticipation	0.531	ගැලවීම
feat	anticipation	0.531	දස්කම්
cheer	anticipation	0.531	ප්රීති වන්න
responsive	anticipation	0.531	ප්රතිචාරාත්මක
hurried	anticipation	0.531	ඉක්මන් කළා
betrothed	anticipation	0.531	විවාහ ගිවිස ගත්තා
overthrow	anticipation	0.531	පෙරලා දමන්න
spirits	anticipation	0.531	ආත්මයන්
dread	anticipation	0.531	භීතිය
visitor	anticipation	0.531	ආගන්තුකයා
wait	anticipation	0.523	ඉන්න
revive	anticipation	0.523	පුනර්ජීවනය
watch	anticipation	0.523	ඔරලෝසුව
hunter	anticipation	0.523	දඩයක්කාරයා
radiance	anticipation	0.523	දීප්තිය
planning	anticipation	0.523	සැලසුම්
germination	anticipation	0.523	ප්රරෝහන
competition	anticipation	0.523	තරඟ
preparatory	anticipation	0.523	සූදානම්
prognostic	anticipation	0.523	අනාවැකි
beaming	anticipation	0.523	දිලිසෙනවා
cheery	anticipation	0.523	සතුටු සිතින්
prevail	anticipation	0.523	පවතිනවා
importance	anticipation	0.523	වැදගත්කම
notification	anticipation	0.523	දැනුම්දීම
explosive	anticipation	0.523	පුපුරන සුලු
pleasant	anticipation	0.523	ප්රසන්න
ultimately	anticipation	0.523	අවසානයේ
child	anticipation	0.523	ළමා
haste	anticipation	0.523	ඉක්මන්
prophet	anticipation	0.523	අනාගතවක්තෘ
recreation	anticipation	0.516	විනෝදය
present	anticipation	0.516	වර්තමාන
time	anticipation	0.516	කාලය
sensuality	anticipation	0.516	කාමුකත්වය
owing	anticipation	0.516	ණයයි
loom	anticipation	0.516	රෙදි වියන
begun	anticipation	0.516	ආරම්භ විය
salary	anticipation	0.516	වැටුප
celebrity	anticipation	0.516	කීර්තිමත්
treat	anticipation	0.516	සලකන්න
chocolate	anticipation	0.516	චොකලට්
caution	anticipation	0.516	අවවාදයයි
fermentation	anticipation	0.516	පැසවීම
uncontrollable	anticipation	0.516	පාලනය කළ නොහැකි
precious	anticipation	0.516	වටිනා
compensate	anticipation	0.516	වන්දි ගෙවන්න
endanger	anticipation	0.516	අනතුරේ
renovation	anticipation	0.516	ප්රතිසංස්කරණය
signify	anticipation	0.508	හඟවන්න
vigilance	anticipation	0.508	සුපරීක්ෂාකාරී බව
prerequisite	anticipation	0.508	පූර්ව අවශ්යතාව
perfection	anticipation	0.508	පරිපූර්ණත්වය
cultivate	anticipation	0.508	වගා කරනවා
develop	anticipation	0.508	දියුණු කරනවා
cue	anticipation	0.508	ඉඟිය
exigent	anticipation	0.508	දැඩි
transitional	anticipation	0.508	සංක්රාන්ති
commemoration	anticipation	0.508	අනුස්මරණය
intermission	anticipation	0.508	අතරමැදි
elevation	anticipation	0.508	උන්නතාංශය
infant	anticipation	0.508	ළදරුවා
practise	anticipation	0.508	පුරුදු කරනවා
contemplation	anticipation	0.508	මෙනෙහි කිරීම
dreadful	anticipation	0.508	භයානකයි
wilderness	anticipation	0.508	පාළුකරය
horizon	anticipation	0.508	ක්ෂිතිජය
sneaking	anticipation	0.500	හොරෙන් යනවා
uphill	anticipation	0.500	ඉහළට
puppy	anticipation	0.500	බලු පැටියා
blindfold	anticipation	0.500	ඇස් බැඳ
unbridled	anticipation	0.500	අසීමිත
horoscope	anticipation	0.500	කේන්දර සටහන
airport	anticipation	0.500	ගුවන් තොටුපළ
reconciliation	anticipation	0.500	සංහිඳියාව
advocacy	anticipation	0.500	උපදේශනය
litigate	anticipation	0.500	නඩු පවරනවා
sunny	anticipation	0.500	අව්ව
intuitively	anticipation	0.500	intuitively
hero	anticipation	0.500	වීරයා
ardent	anticipation	0.500	උද්යෝගිමත්
commemorate	anticipation	0.500	අනුස්මරණය කරන්න
romantic	anticipation	0.500	රොමැන්ටික්
doomsday	anticipation	0.500	ලෝක විනාශය
ready	anticipation	0.500	සූදානම්
nascent	anticipation	0.500	නවසීය
invocation	anticipation	0.500	ආයාචනය
depart	anticipation	0.500	පිටත් වෙනවා
undisclosed	anticipation	0.500	අනාවරණය නොකළ
attendance	anticipation	0.500	පැමිණීම
peril	anticipation	0.500	අනතුර
income	anticipation	0.500	ආදායම්
calculation	anticipation	0.500	ගණනය කිරීම
zeal	anticipation	0.500	ජ්වලිතය
eventuality	anticipation	0.500	සිදුවීම
favorable	anticipation	0.500	හිතකර
utopian	anticipation	0.500	මනෝරාජික
swim	anticipation	0.500	පිහිනන්න
proceeding	anticipation	0.492	ඉදිරියට යනවා
eventual	anticipation	0.492	අවසානයේ
heyday	anticipation	0.492	උච්චතම අවස්ථාව
undertaking	anticipation	0.492	භාර ගැනීම
improvise	anticipation	0.492	improvise
inauguration	anticipation	0.492	සමාරම්භක
consequent	anticipation	0.492	එහි ප්රතිඵලයක්
perspective	anticipation	0.492	ඉදිරිදර්ශනය
defense	anticipation	0.492	ආරක්ෂක
repay	anticipation	0.492	ආපසු ගෙවන්න
gaping	anticipation	0.492	පරතරය
youth	anticipation	0.492	තරුණ
parole	anticipation	0.492	අවසරය
worry	anticipation	0.492	කනස්සල්ල
bless	anticipation	0.492	ආශිර්වාද කරනවා
restorative	anticipation	0.492	ප්රතිෂ්ඨාපනය
court	anticipation	0.492	අධිකරණය
highest	anticipation	0.491	ඉහළම
shortly	anticipation	0.484	කෙටි කලකින්
auspicious	anticipation	0.484	සුබදායකයි
princely	anticipation	0.484	කුමාරමය
correspondence	anticipation	0.484	ලිපි හුවමාරුව
generosity	anticipation	0.484	ත්යාගශීලීත්වය
sparkle	anticipation	0.484	දිලිසෙනවා
voluptuous	anticipation	0.484	කැමැත්තෙන් යුත්
happen	anticipation	0.484	සිදුවේ
tremor	anticipation	0.484	වෙව්ලීම
letter	anticipation	0.484	ලිපියක්
vow	anticipation	0.484	භාරය
sharpen	anticipation	0.484	තියුණු කරන්න
duel	anticipation	0.484	ද්වන්ද සටන
conjure	anticipation	0.484	සංකල්පනා කරන්න
threaten	anticipation	0.484	තර්ජනය
god	anticipation	0.484	දෙවි
engulf	anticipation	0.484	ගිල්වනවා
unexplained	anticipation	0.484	පැහැදිලි කළ නොහැකි
contagion	anticipation	0.484	බෝවීම
glorify	anticipation	0.477	උත්කර්ෂයට නංවයි
submit	anticipation	0.477	ඉදිරිපත් කරන්න
enroll	anticipation	0.477	ලියාපදිංචි කරන්න
unification	anticipation	0.477	එක්සත් කිරීම
gravitate	anticipation	0.477	ගුරුත්වාකර්ෂණය
glide	anticipation	0.477	ලිස්සා යනවා
accompaniment	anticipation	0.477	සහකාරිය
cherish	anticipation	0.477	අගය කරනවා
adore	anticipation	0.477	වන්දනා කරනවා
powerful	anticipation	0.477	බලවත්
clue	anticipation	0.477	ඉඟිය
medal	anticipation	0.477	පදක්කම
contemplate	anticipation	0.477	මෙනෙහි කරන්න
perilous	anticipation	0.477	අනතුරුදායක
determinate	anticipation	0.477	තීරණය කරන්න
arbitration	anticipation	0.477	බේරුම්කරණය
recipient	anticipation	0.477	ලබන්නා
onset	anticipation	0.477	ආරම්භය
predispose	anticipation	0.477	පෙරනිමිති
score	anticipation	0.477	ස්කෝර්
torture	anticipation	0.477	වධහිංසා පැමිණවීම
glow	anticipation	0.477	දිලිසෙනවා
praiseworthy	anticipation	0.473	ප්රශංසනීයයි
football	anticipation	0.469	පාපන්දු
scare	anticipation	0.469	බය කරනවා
elite	anticipation	0.469	ප්රභූ
unknown	anticipation	0.469	නොදන්නා
precursor	anticipation	0.469	පූර්වගාමියා
pry	anticipation	0.469	pry
providing	anticipation	0.469	සපයමින්
sweets	anticipation	0.469	රසකැවිලි
cautious	anticipation	0.469	ප්රවේශම් සහගතය
opera	anticipation	0.469	ඔපෙරා
motion	anticipation	0.469	චලනය
cash	anticipation	0.469	මුදල්
creeping	anticipation	0.469	බඩගාමින්
invoke	anticipation	0.469	ආයාචනා කරන්න
star	anticipation	0.469	තරුව
shaky	anticipation	0.469	සෙලවෙන
production	anticipation	0.469	නිෂ්පාදනය
successful	anticipation	0.469	සාර්ථක
immediately	anticipation	0.469	වහාම
dawn	anticipation	0.469	අලුයම
starry	anticipation	0.469	තරු සහිත
unsurpassed	anticipation	0.469	අසමසම
completion	anticipation	0.469	සම්පූර්ණ කිරීම
hire	anticipation	0.469	කුලියට
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	සමරු
shining	anticipation	0.461	දිලිසෙනවා
testament	anticipation	0.461	ගිවිසුම
pay	anticipation	0.461	ගෙවනවා
alive	anticipation	0.461	ජීවමානයි
plight	anticipation	0.461	දුක්ඛිත තත්වය
preliminary	anticipation	0.461	මූලික
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	අභයභූමිය
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	කෙටුම්පත
synchronize	anticipation	0.461	සමමුහුර්ත කරන්න
soundness	anticipation	0.461	නිහතමානී බව
extricate	anticipation	0.461	extricate
excel	anticipation	0.461	විශිෂ්ටයි
punt	anticipation	0.461	පුන්ට්
untold	anticipation	0.461	නොකියූ
brilliant	anticipation	0.461	දීප්තිමත්
cheerfulness	anticipation	0.461	සතුටු සිතින්
jeopardy	anticipation	0.461	අනතුරක්
friendly	anticipation	0.461	මිත්රශීලී
mail	anticipation	0.461	තැපෑල
unexpected	anticipation	0.453	අනපේක්ෂිත
basketball	anticipation	0.453	පැසිපන්දු
inaugural	anticipation	0.453	සමාරම්භක
supremacy	anticipation	0.453	උත්තරීතරත්වය
rehabilitation	anticipation	0.453	පුනරුත්ථාපන
intimately	anticipation	0.453	සමීපව
career	anticipation	0.453	වෘත්තීය
prevention	anticipation	0.453	වැළැක්වීම
renovate	anticipation	0.453	ප්රතිසංස්කරණය කරන්න
compliment	anticipation	0.453	ප්රශංසා කිරීම
prologue	anticipation	0.453	පෙරවදනක්
elegance	anticipation	0.453	අලංකාරය
complement	anticipation	0.453	අනුපූරකය
flinch	anticipation	0.453	flinch
infinity	anticipation	0.453	අනන්තය
perpetuity	anticipation	0.453	සදාකාලිකත්වය
sunset	anticipation	0.453	හිරු බැස යෑම
improve	anticipation	0.453	දියුණු වෙනවා
fitting	anticipation	0.445	සවි කිරීම
confidence	anticipation	0.445	විශ්වාසය
concealment	anticipation	0.445	සැඟවීම
sweet	anticipation	0.445	මිහිරි
perfect	anticipation	0.445	පරිපූර්ණ
epidemic	anticipation	0.445	වසංගතය
fain	anticipation	0.445	දුර්වලයි
volunteer	anticipation	0.445	ස්වේච්ඡා
share	anticipation	0.445	බෙදාගන්න
surround	anticipation	0.445	වටේ
conjecture	anticipation	0.445	අනුමානය
sun	anticipation	0.445	හිරු
veracity	anticipation	0.445	සත්යතාව
serial	anticipation	0.438	මාලාව
angel	anticipation	0.438	දේවදූතයා
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	සාන්තුවරයා
tickle	anticipation	0.438	කිති කවනවා
superstitious	anticipation	0.438	මිත්යාදෘෂ්ටික
ferment	anticipation	0.438	පැසවීම
conservation	anticipation	0.438	සංරක්ෂණ
devout	anticipation	0.438	භක්තිවන්ත
respect	anticipation	0.438	ගෞරවය
reconstruction	anticipation	0.438	නැවත ගොඩනැගීම
goodness	anticipation	0.438	යහපත්කම
reconstruct	anticipation	0.438	නැවත ගොඩනැංවීම
faith	anticipation	0.438	විශ්වාසය
recombination	anticipation	0.438	නැවත සංයෝජනය
prepared	anticipation	0.438	සකස් කර ඇත
rabid	anticipation	0.438	උමතු
plea	anticipation	0.438	අයැදීම
medical	anticipation	0.438	වෛද්ය
passenger	anticipation	0.438	මගියා
charitable	anticipation	0.430	පුණ්යායතනය
tabulate	anticipation	0.430	වගුගත කරන්න
peace	anticipation	0.430	සාමය
install	anticipation	0.430	ස්ථාපනය කරන්න
serenity	anticipation	0.430	සන්සුන් බව
venerable	anticipation	0.430	ගෞරවනීය
spa	anticipation	0.430	ස්පා
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	රසවත්
perpetuate	anticipation	0.430	සදාකාලික කරන්න
strategist	anticipation	0.430	උපායමාර්ගික
unverified	anticipation	0.430	තහවුරු නොකළ
tribunal	anticipation	0.430	විනිශ්චය සභාව
clap	anticipation	0.430	අත්පුඩි ගසන්න
peaceful	anticipation	0.422	සාමකාමී
patience	anticipation	0.422	ඉවසීම
unresolved	anticipation	0.422	නොවිසඳුනු
worship	anticipation	0.422	නමස්කාරය
edification	anticipation	0.422	සංස්කරණ
oasis	anticipation	0.422	ක්ෂේම භූමිය
grin	anticipation	0.422	සිනහව
revere	anticipation	0.422	ගරු කරනවා
candid	anticipation	0.422	අවංක
vista	anticipation	0.422	විස්ටා
conspirator	anticipation	0.422	කුමන්ත්රණය කරන්නා
adrift	anticipation	0.422	පාවෙන
recognizable	anticipation	0.422	හඳුනාගත හැකි ය
volatility	anticipation	0.422	අස්ථාවරත්වය
forestall	anticipation	0.422	වනගත
laughter	anticipation	0.422	සිනහව
continue	anticipation	0.414	දිගටම
ongoing	anticipation	0.414	සිදුවෙමින් පවතී
astrologer	anticipation	0.414	ජ්යෝතිඃ ශාස්ත්රඥයා
mediate	anticipation	0.414	මැදිහත් වෙනවා
punctual	anticipation	0.414	නිසි කලට වේලාවට
