English Word	Emotion	Emotion-Intensity-Score	Persian Word
retirement	anticipation	0.625	بازنشستگی
foresee	anticipation	0.625	پیش بینی
inspiration	anticipation	0.625	الهام گرفتن
ripen	anticipation	0.625	رسیدن
gift	anticipation	0.625	هدیه
revival	anticipation	0.625	احیای
lust	anticipation	0.625	شهوت
risky	anticipation	0.617	مخاطره آمیز
foreboding	anticipation	0.617	پیش بینی
bloom	anticipation	0.617	شکوفه
verge	anticipation	0.617	لبه
embrace	anticipation	0.617	پذیرفتن
destined	anticipation	0.617	مقدر شده است
surprisingly	anticipation	0.617	به طرز شگفت انگیزی
ambition	anticipation	0.617	هدف - آرزو
simmering	anticipation	0.617	جوشیدن
enchanting	anticipation	0.617	مسحور کننده
foresight	anticipation	0.617	آینده نگری
lookout	anticipation	0.609	مراقب باش
anxiety	anticipation	0.609	اضطراب
forecast	anticipation	0.609	پیش بینی
seductive	anticipation	0.609	اغوا کننده
bonus	anticipation	0.609	جایزه
succeeding	anticipation	0.609	موفق شدن
matrimony	anticipation	0.609	ازدواج
magical	anticipation	0.609	جادویی
alerts	anticipation	0.609	هشدارها
winner	anticipation	0.602	برنده
applicant	anticipation	0.602	درخواست کننده
fulfillment	anticipation	0.602	تحقق
deserve	anticipation	0.602	سزاوار
inspire	anticipation	0.602	الهام بخشیدن
foreseen	anticipation	0.602	پیش بینی شده است
intended	anticipation	0.602	مورد نظر
boomerang	anticipation	0.602	بومرنگ
picnic	anticipation	0.602	پیک نیک
longing	anticipation	0.602	اشتیاق
revenge	anticipation	0.602	انتقام گرفتن
success	anticipation	0.602	موفقیت
diagnosis	anticipation	0.602	تشخیص
visionary	anticipation	0.602	رویایی
prophetic	anticipation	0.602	نبوی
entertaining	anticipation	0.602	سرگرم کننده
nervous	anticipation	0.602	عصبی
illuminate	anticipation	0.594	روشن کردن
accelerate	anticipation	0.594	سرعت بخشیدن
advent	anticipation	0.594	ظهور
romance	anticipation	0.594	داستان عاشقانه
result	anticipation	0.594	نتیجه
arrive	anticipation	0.594	رسیدن
momentum	anticipation	0.594	تکانه
buzz	anticipation	0.594	وزوز
rekindle	anticipation	0.594	دوباره روشن کردن
preparedness	anticipation	0.594	آمادگی
acquiring	anticipation	0.594	بدست آوردن
luck	anticipation	0.594	شانس
marry	anticipation	0.594	ازدواج کن
predict	anticipation	0.589	پیش بینی
money	anticipation	0.586	پول
auspices	anticipation	0.586	حامی
uplift	anticipation	0.586	بالا بردن
fiesta	anticipation	0.586	فستا
enjoying	anticipation	0.586	لذت بردن
preparation	anticipation	0.586	آماده سازی
raffle	anticipation	0.586	قرعه کشی
investigation	anticipation	0.586	تحقیق و بررسی
progression	anticipation	0.586	پیشرفت
overdue	anticipation	0.586	عقب افتاده
crave	anticipation	0.586	هوس کردن
impatient	anticipation	0.586	بی صبر
enthusiast	anticipation	0.586	علاقهمند
flirt	anticipation	0.586	معاشقه
seek	anticipation	0.586	به دنبال
sequel	anticipation	0.586	عاقبت
presumption	anticipation	0.586	فرض
delightful	anticipation	0.586	لذت بخش
gambling	anticipation	0.586	قمار
immerse	anticipation	0.586	غوطه ور کردن
endeavor	anticipation	0.586	تلاش
experiment	anticipation	0.580	آزمایش
enjoy	anticipation	0.578	لذت ببرید
completing	anticipation	0.578	در حال تکمیل
clamor	anticipation	0.578	سر و صدا
angling	anticipation	0.578	ماهیگیری
majestic	anticipation	0.578	با شکوه
divination	anticipation	0.578	فال
transcendence	anticipation	0.578	تعالی
thriving	anticipation	0.578	پر رونق
excavation	anticipation	0.578	حفاری
thirst	anticipation	0.578	تشنگی
remedy	anticipation	0.578	درمان
harvest	anticipation	0.578	محصول
risk	anticipation	0.578	خطر
healing	anticipation	0.578	شفا
heavenly	anticipation	0.578	بهشتی
inviting	anticipation	0.578	دعوت کردن
precarious	anticipation	0.578	پرمخاطره
attainable	anticipation	0.578	قابل دستیابی
blessing	anticipation	0.578	برکت
prosper	anticipation	0.578	رونق
tease	anticipation	0.570	اذیت کردن
plan	anticipation	0.570	طرح
sweetheart	anticipation	0.570	عزیزم
zest	anticipation	0.570	شوق و شور
magnificence	anticipation	0.570	شکوه
ultimate	anticipation	0.570	نهایی
emancipation	anticipation	0.570	آزادی
restlessness	anticipation	0.570	بی قراری
finally	anticipation	0.570	سرانجام
intimate	anticipation	0.570	صمیمی
omen	anticipation	0.570	فال
matchmaker	anticipation	0.570	خواستگار
gambler	anticipation	0.570	قمار باز
prospectively	anticipation	0.570	آینده نگر
dare	anticipation	0.570	جرات
warned	anticipation	0.570	هشدار داد
invite	anticipation	0.570	دعوت
mysterious	anticipation	0.562	اسرار امیز
accolade	anticipation	0.562	تحسین
lover	anticipation	0.562	عاشق
expose	anticipation	0.562	در معرض گذاشتن
enchant	anticipation	0.562	مسحور کردن
attempt	anticipation	0.562	تلاش
festival	anticipation	0.562	جشنواره
exalt	anticipation	0.562	تعالی بخشید
rejoice	anticipation	0.562	شادی کردن
independence	anticipation	0.562	استقلال
expected	anticipation	0.562	انتظار می رود
fanfare	anticipation	0.562	هیاهو
immortality	anticipation	0.562	جاودانگی
quicken	anticipation	0.562	سریع کردن
parade	anticipation	0.562	رژه
fun	anticipation	0.562	سرگرم کننده
predilection	anticipation	0.562	تمایل
champion	anticipation	0.562	قهرمان
forewarned	anticipation	0.562	از قبل هشدار داد
hypothesis	anticipation	0.562	فرضیه
trophy	anticipation	0.562	جام
shopping	anticipation	0.555	خريد كردن
salvation	anticipation	0.555	رستگاری
feeling	anticipation	0.555	احساس
speculative	anticipation	0.555	نظری
oracle	anticipation	0.555	اوراکل
heroism	anticipation	0.555	قهرمانی
boisterous	anticipation	0.555	پر شور
grasping	anticipation	0.555	چنگ زدن
uneasiness	anticipation	0.555	ناراحتی
curiosity	anticipation	0.555	کنجکاوی
happy	anticipation	0.555	خوشحال
rejoicing	anticipation	0.555	شادی
fate	anticipation	0.555	سرنوشت
liberty	anticipation	0.555	آزادی
unfold	anticipation	0.555	گشودن
amour	anticipation	0.555	عشق
lovely	anticipation	0.555	دوست داشتني
splendor	anticipation	0.555	شکوه
grow	anticipation	0.555	رشد
glimmer	anticipation	0.547	با روشنایی ضعیف تابیدن
incite	anticipation	0.547	تحریک کردن
abundance	anticipation	0.547	فراوانی
resultant	anticipation	0.547	حاصل
probability	anticipation	0.547	احتمال
recreational	anticipation	0.547	تفریحی
glory	anticipation	0.547	شکوه
agape	anticipation	0.547	آگاپ
delighted	anticipation	0.547	خوشحال
changeable	anticipation	0.547	تغییر پذیر
convergence	anticipation	0.547	همگرایی
bountiful	anticipation	0.547	بخشنده
warn	anticipation	0.547	هشدار دهد
monetary	anticipation	0.547	پولی
sorcery	anticipation	0.547	جادوگری
morrow	anticipation	0.547	فردا
apprehensive	anticipation	0.547	دلهره آور
hungry	anticipation	0.547	گرسنه
vote	anticipation	0.547	رای
suspicious	anticipation	0.547	مشکوک
pray	anticipation	0.547	نماز خواندن
leisure	anticipation	0.547	اوقات فراغت
hunting	anticipation	0.539	شکار
sensual	anticipation	0.539	حسی
tempest	anticipation	0.539	طوفان
auction	anticipation	0.539	حراج
ballot	anticipation	0.539	ورقه رای
grandchildren	anticipation	0.539	نوه ها
hankering	anticipation	0.539	اشتیاق
entertainment	anticipation	0.539	سرگرمی
merge	anticipation	0.539	ادغام
exceed	anticipation	0.539	تجاوز
vindication	anticipation	0.539	توجیه
blessings	anticipation	0.539	برکات
inquiry	anticipation	0.539	استعلام
bounty	anticipation	0.539	فضل
worrying	anticipation	0.539	نگران کننده
contingent	anticipation	0.539	مشروط
glad	anticipation	0.536	خوشحالم
harbinger	anticipation	0.531	منادی
magnificent	anticipation	0.531	باشکوه
virginity	anticipation	0.531	باکرگی
stealthy	anticipation	0.531	یواشکی
appeal	anticipation	0.531	درخواست
forming	anticipation	0.531	تشکیل
celestial	anticipation	0.531	آسمانی
raving	anticipation	0.531	جسور
deliverance	anticipation	0.531	رهایی، رستگاری
feat	anticipation	0.531	شاهکار
cheer	anticipation	0.531	تشویق کردن
responsive	anticipation	0.531	پاسخگو
hurried	anticipation	0.531	عجله کرد
betrothed	anticipation	0.531	نامزد شده
overthrow	anticipation	0.531	سرنگونی
spirits	anticipation	0.531	ارواح
dread	anticipation	0.531	وحشت
visitor	anticipation	0.531	بازدید کننده
wait	anticipation	0.523	صبر کن
revive	anticipation	0.523	احیای
watch	anticipation	0.523	تماشا کردن
hunter	anticipation	0.523	شکارچی
radiance	anticipation	0.523	درخشندگی
planning	anticipation	0.523	برنامه ریزی
germination	anticipation	0.523	جوانه زنی
competition	anticipation	0.523	رقابت
preparatory	anticipation	0.523	مقدماتی
prognostic	anticipation	0.523	پیش آگهی
beaming	anticipation	0.523	پرتو زدن
cheery	anticipation	0.523	شاد
prevail	anticipation	0.523	غالب شدن پیروز شدن چیره شدن
importance	anticipation	0.523	اهمیت
notification	anticipation	0.523	اطلاع
explosive	anticipation	0.523	مواد منفجره
pleasant	anticipation	0.523	دلپذیر
ultimately	anticipation	0.523	در نهایت
child	anticipation	0.523	کودک
haste	anticipation	0.523	عجله
prophet	anticipation	0.523	نبی - پیامبر
recreation	anticipation	0.516	تفریحی
present	anticipation	0.516	حاضر
time	anticipation	0.516	زمان
sensuality	anticipation	0.516	حسی
owing	anticipation	0.516	مدیون
loom	anticipation	0.516	بافندگی
begun	anticipation	0.516	آغاز شد
salary	anticipation	0.516	حقوق
celebrity	anticipation	0.516	فرد مشهور
treat	anticipation	0.516	درمان شود
chocolate	anticipation	0.516	شکلات
caution	anticipation	0.516	احتیاط
fermentation	anticipation	0.516	تخمیر
uncontrollable	anticipation	0.516	غیر قابل کنترل
precious	anticipation	0.516	گرانبها
compensate	anticipation	0.516	جبران کردن
endanger	anticipation	0.516	به خطر انداختن
renovation	anticipation	0.516	نوسازی
signify	anticipation	0.508	دلالت کند
vigilance	anticipation	0.508	هوشیاری
prerequisite	anticipation	0.508	پيش نياز
perfection	anticipation	0.508	کمال
cultivate	anticipation	0.508	کشت کنند
develop	anticipation	0.508	توسعه دهد
cue	anticipation	0.508	نشانه
exigent	anticipation	0.508	ضروری
transitional	anticipation	0.508	انتقالی
commemoration	anticipation	0.508	بزرگداشت
intermission	anticipation	0.508	وقفه
elevation	anticipation	0.508	ارتفاع
infant	anticipation	0.508	نوزاد
practise	anticipation	0.508	تمرین
contemplation	anticipation	0.508	تفکر
dreadful	anticipation	0.508	وحشتناک
wilderness	anticipation	0.508	بیابان
horizon	anticipation	0.508	افق
sneaking	anticipation	0.500	یواشکی
uphill	anticipation	0.500	سربالایی
puppy	anticipation	0.500	توله سگ
blindfold	anticipation	0.500	چشم بسته
unbridled	anticipation	0.500	افسار گسیخته
horoscope	anticipation	0.500	طالع بینی
airport	anticipation	0.500	فرودگاه
reconciliation	anticipation	0.500	اصلاح
advocacy	anticipation	0.500	دفاع
litigate	anticipation	0.500	دادخواهی
sunny	anticipation	0.500	آفتابی
intuitively	anticipation	0.500	به طور شهودی
hero	anticipation	0.500	قهرمان
ardent	anticipation	0.500	پرشور
commemorate	anticipation	0.500	بزرگداشت
romantic	anticipation	0.500	رومانتیک
doomsday	anticipation	0.500	روز قیامت
ready	anticipation	0.500	آماده
nascent	anticipation	0.500	نوظهور
invocation	anticipation	0.500	فراخوانی
depart	anticipation	0.500	رفتن
undisclosed	anticipation	0.500	فاش نشده
attendance	anticipation	0.500	حضور
peril	anticipation	0.500	خطر
income	anticipation	0.500	درآمد
calculation	anticipation	0.500	محاسبه
zeal	anticipation	0.500	غیرت
eventuality	anticipation	0.500	احتمال
favorable	anticipation	0.500	مطلوب
utopian	anticipation	0.500	اتوپیایی
swim	anticipation	0.500	شنا کردن
proceeding	anticipation	0.492	اقدام
eventual	anticipation	0.492	نهایی
heyday	anticipation	0.492	اوج
undertaking	anticipation	0.492	تعهد
improvise	anticipation	0.492	بداهه
inauguration	anticipation	0.492	افتتاح
consequent	anticipation	0.492	در نتیجه
perspective	anticipation	0.492	چشم انداز
defense	anticipation	0.492	دفاع
repay	anticipation	0.492	بازپرداخت
gaping	anticipation	0.492	شکاف زدن
youth	anticipation	0.492	جوانان
parole	anticipation	0.492	آزادی مشروط
worry	anticipation	0.492	نگران بودن
bless	anticipation	0.492	برکت دادن
restorative	anticipation	0.492	مقوی
court	anticipation	0.492	دادگاه
highest	anticipation	0.491	بالاترین
shortly	anticipation	0.484	به زودی
auspicious	anticipation	0.484	خوشحالی
princely	anticipation	0.484	شاهزاده
correspondence	anticipation	0.484	مکاتبات
generosity	anticipation	0.484	سخاوت
sparkle	anticipation	0.484	درخشش
voluptuous	anticipation	0.484	شهوانی
happen	anticipation	0.484	رخ دادن
tremor	anticipation	0.484	لرزش
letter	anticipation	0.484	حرف
vow	anticipation	0.484	نذر
sharpen	anticipation	0.484	تیز کردن
duel	anticipation	0.484	دوئل
conjure	anticipation	0.484	التماس کردن
threaten	anticipation	0.484	تهدید کند
god	anticipation	0.484	خداوند
engulf	anticipation	0.484	غرق کردن
unexplained	anticipation	0.484	غیر قابل توضیح
contagion	anticipation	0.484	سرایت
glorify	anticipation	0.477	تجلیل کردن
submit	anticipation	0.477	ارسال
enroll	anticipation	0.477	ثبت نام کنید
unification	anticipation	0.477	اتحاد
gravitate	anticipation	0.477	جاذبه
glide	anticipation	0.477	سر خوردن
accompaniment	anticipation	0.477	همراهی
cherish	anticipation	0.477	گرامی داشتن
adore	anticipation	0.477	عشق ورزیدن
powerful	anticipation	0.477	قدرتمند
clue	anticipation	0.477	سرنخ
medal	anticipation	0.477	مدال
contemplate	anticipation	0.477	اندیشیدن
perilous	anticipation	0.477	خطرناک
determinate	anticipation	0.477	تعیین کنند
arbitration	anticipation	0.477	داوری
recipient	anticipation	0.477	گیرنده
onset	anticipation	0.477	شروع
predispose	anticipation	0.477	مستعد کردن
score	anticipation	0.477	نمره
torture	anticipation	0.477	شکنجه
glow	anticipation	0.477	درخشش
praiseworthy	anticipation	0.473	قابل ستایش
football	anticipation	0.469	فوتبال
scare	anticipation	0.469	ترساندن
elite	anticipation	0.469	نخبه
unknown	anticipation	0.469	ناشناس
precursor	anticipation	0.469	پیش ساز
pry	anticipation	0.469	کنجکاوی
providing	anticipation	0.469	فراهم آوردن
sweets	anticipation	0.469	شیرینی ها
cautious	anticipation	0.469	محتاط
opera	anticipation	0.469	اپرا
motion	anticipation	0.469	حرکت - جنبش
cash	anticipation	0.469	پول نقد
creeping	anticipation	0.469	خزنده
invoke	anticipation	0.469	استناد کردن
star	anticipation	0.469	ستاره
shaky	anticipation	0.469	لرزان
production	anticipation	0.469	تولید
successful	anticipation	0.469	موفقیت آمیز
immediately	anticipation	0.469	بلافاصله. مستقیما
dawn	anticipation	0.469	سپیده دم
starry	anticipation	0.469	ستاره دار
unsurpassed	anticipation	0.469	بی نظیر
completion	anticipation	0.469	تکمیل
hire	anticipation	0.469	استخدام
fete	anticipation	0.469	جشن
commemorative	anticipation	0.461	یادبود
shining	anticipation	0.461	درخشان
testament	anticipation	0.461	وصیت نامه
pay	anticipation	0.461	پرداخت
alive	anticipation	0.461	زنده
plight	anticipation	0.461	مصیبت
preliminary	anticipation	0.461	مقدماتی
overture	anticipation	0.461	اورتور
sanctuary	anticipation	0.461	جایگاه مقدس
regatta	anticipation	0.461	رگاتا
draft	anticipation	0.461	پیش نویس
synchronize	anticipation	0.461	همگام سازی
soundness	anticipation	0.461	سالم بودن
extricate	anticipation	0.461	خارج کردن
excel	anticipation	0.461	برتری داشتن
punt	anticipation	0.461	نقطه زدن
untold	anticipation	0.461	ناگفته
brilliant	anticipation	0.461	درخشان
cheerfulness	anticipation	0.461	نشاط
jeopardy	anticipation	0.461	خطر
friendly	anticipation	0.461	دوستانه
mail	anticipation	0.461	پست الکترونیکی
unexpected	anticipation	0.453	غیر منتظره
basketball	anticipation	0.453	بسکتبال
inaugural	anticipation	0.453	افتتاحیه
supremacy	anticipation	0.453	برتری
rehabilitation	anticipation	0.453	توانبخشی
intimately	anticipation	0.453	از نزدیک
career	anticipation	0.453	حرفه
prevention	anticipation	0.453	جلوگیری
renovate	anticipation	0.453	بازسازی کند
compliment	anticipation	0.453	تعریف و تمجید
prologue	anticipation	0.453	مقدمه
elegance	anticipation	0.453	ظرافت
complement	anticipation	0.453	متمم
flinch	anticipation	0.453	چشمک زدن
infinity	anticipation	0.453	بی نهایت
perpetuity	anticipation	0.453	جاودانگی
sunset	anticipation	0.453	غروب آفتاب
improve	anticipation	0.453	بهتر کردن
fitting	anticipation	0.445	مناسب
confidence	anticipation	0.445	اعتماد به نفس
concealment	anticipation	0.445	پنهان کاری
sweet	anticipation	0.445	شیرین
perfect	anticipation	0.445	کامل
epidemic	anticipation	0.445	بیماری همه گیر
fain	anticipation	0.445	غش کردن
volunteer	anticipation	0.445	داوطلب
share	anticipation	0.445	اشتراک گذاری
surround	anticipation	0.445	احاطه
conjecture	anticipation	0.445	حدس
sun	anticipation	0.445	آفتاب
veracity	anticipation	0.445	صحت
serial	anticipation	0.438	سریال
angel	anticipation	0.438	فرشته
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	قدیس
tickle	anticipation	0.438	قلقلک دادن
superstitious	anticipation	0.438	خرافاتی
ferment	anticipation	0.438	تخمیر
conservation	anticipation	0.438	حفاظت
devout	anticipation	0.438	عابد
respect	anticipation	0.438	توجه
reconstruction	anticipation	0.438	بازسازی
goodness	anticipation	0.438	خوبی
reconstruct	anticipation	0.438	بازسازی
faith	anticipation	0.438	ایمان
recombination	anticipation	0.438	نوترکیبی
prepared	anticipation	0.438	تهیه شده
rabid	anticipation	0.438	هار
plea	anticipation	0.438	درخواست
medical	anticipation	0.438	پزشکی
passenger	anticipation	0.438	مسافر
charitable	anticipation	0.430	خیریه
tabulate	anticipation	0.430	جدول بندی
peace	anticipation	0.430	صلح
install	anticipation	0.430	نصب
serenity	anticipation	0.430	آرامش
venerable	anticipation	0.430	ارجمند
spa	anticipation	0.430	آبگرم
labyrinth	anticipation	0.430	هزارتو
luscious	anticipation	0.430	خوش طعم
perpetuate	anticipation	0.430	ماندگار کردن
strategist	anticipation	0.430	استراتژیست
unverified	anticipation	0.430	تایید نشده
tribunal	anticipation	0.430	دادگاه
clap	anticipation	0.430	کف زدن
peaceful	anticipation	0.422	صلح آمیز
patience	anticipation	0.422	صبر
unresolved	anticipation	0.422	حل نشده
worship	anticipation	0.422	عبادت
edification	anticipation	0.422	ساخت و ساز
oasis	anticipation	0.422	واحه
grin	anticipation	0.422	پوزخند
revere	anticipation	0.422	احترام
candid	anticipation	0.422	صریح
vista	anticipation	0.422	چشم انداز
conspirator	anticipation	0.422	توطئه گر
adrift	anticipation	0.422	سرگردان
recognizable	anticipation	0.422	قابل تشخیص
volatility	anticipation	0.422	نوسان
forestall	anticipation	0.422	جلوگیر کردن
laughter	anticipation	0.422	خنده
continue	anticipation	0.414	ادامه هید
ongoing	anticipation	0.414	در دست اقدام
astrologer	anticipation	0.414	ستاره شناس
mediate	anticipation	0.414	واسطه
punctual	anticipation	0.414	وقت شناس
grant	anticipation	0.414	اعطا کردن
morn	anticipation	0.414	صبح
pretty	anticipation	0.414	بسیار
withstand	anticipation	0.414	مقاومت کند
frisky	anticipation	0.414	دمدمی مزاج
thought	anticipation	0.414	فکر
probation	anticipation	0.414	تحت مراقبت
ordination	anticipation	0.414	انتصاب
calls	anticipation	0.414	تماس می گیرد
detainee	anticipation	0.414	بازداشتی
craps	anticipation	0.414	تلخه
weigh	anticipation	0.414	وزن کردن
proficiency	anticipation	0.414	مهارت
sing	anticipation	0.411	آواز خواندن
continuation	anticipation	0.406	ادامه
university	anticipation	0.406	دانشگاه
chicane	anticipation	0.406	شیکن
nurture	anticipation	0.406	پرورش دادن
mother	anticipation	0.406	مادر
punished	anticipation	0.406	مجازات کرد
twinkle	anticipation	0.406	چشمک زدن
confession	anticipation	0.406	اعتراف
outdo	anticipation	0.406	پیشی گرفتن
prophylactic	anticipation	0.406	پیشگیری کننده
proud	anticipation	0.406	مغرور
midwife	anticipation	0.406	ماما
wizard	anticipation	0.406	جادوگر
headlight	anticipation	0.406	چراغ جلو
long	anticipation	0.406	طولانی
banquet	anticipation	0.406	ضیافت
comfort	anticipation	0.406	راحتی
navigable	anticipation	0.406	قابل کشتیرانی
subscribe	anticipation	0.406	اشتراک در
opponent	anticipation	0.406	حریف
debenture	anticipation	0.406	اوراق قرضه
deal	anticipation	0.402	معامله
symphony	anticipation	0.398	سمفونی
saintly	anticipation	0.398	مقدس
judiciary	anticipation	0.398	قوه قضاییه
lettered	anticipation	0.398	نامه دار
vigil	anticipation	0.398	بیداری
reliance	anticipation	0.398	تکیه
distracting	anticipation	0.398	منحرف کننده
mortification	anticipation	0.398	مرگ
balm	anticipation	0.398	مومیایی کردن
simmer	anticipation	0.398	جوشیدن
top	anticipation	0.398	بالا
obliging	anticipation	0.398	الزام آور
efficient	anticipation	0.398	کارآمد
guillotine	anticipation	0.398	گیوتین
representing	anticipation	0.398	نمایندگی
death	anticipation	0.398	مرگ
assurance	anticipation	0.391	اطمینان
familiarity	anticipation	0.391	آشنایی
depraved	anticipation	0.391	فاسد
condemnation	anticipation	0.391	محکومیت
undoubted	anticipation	0.391	بدون شک
sanctify	anticipation	0.391	تقدیس کردن
diplomacy	anticipation	0.391	دیپلماسی
antidote	anticipation	0.391	پادزهر
trust	anticipation	0.391	اعتماد
linger	anticipation	0.391	درنگ
objective	anticipation	0.391	هدف، واقعگرایانه
chuckle	anticipation	0.391	خندیدن
poke	anticipation	0.391	بهم زدن
abeyance	anticipation	0.391	معطل ماندن
maternal	anticipation	0.391	مادری
art	anticipation	0.391	هنر
unfulfilled	anticipation	0.391	محقق نشده است
inoculation	anticipation	0.384	تلقیح
simplify	anticipation	0.383	ساده کردن
depend	anticipation	0.383	بستگی دارد
chant	anticipation	0.383	شعار دادن
ram	anticipation	0.383	رم
banger	anticipation	0.383	بانگ
playground	anticipation	0.383	زمین بازی
labor	anticipation	0.383	کار یدی
scientist	anticipation	0.383	دانشمند
good	anticipation	0.383	خوب
humanitarian	anticipation	0.383	بشردوستانه
failing	anticipation	0.383	شکست خوردن
hap	anticipation	0.383	هپ
dutiful	anticipation	0.383	وظیفه شناس
hymn	anticipation	0.383	سرود
ship	anticipation	0.383	کشتی
discretion	anticipation	0.383	اختیار
undecided	anticipation	0.383	تصمیم نگرفتم
gradual	anticipation	0.375	تدریجی
navigator	anticipation	0.375	ناوبر
track	anticipation	0.375	مسیر
cradle	anticipation	0.375	گهواره
sterling	anticipation	0.375	استرلینگ
interim	anticipation	0.375	موقت
clock	anticipation	0.375	ساعت
mountain	anticipation	0.375	کوه
interminable	anticipation	0.375	پایان ناپذیر
public	anticipation	0.375	عمومی
recurrent	anticipation	0.375	عود کننده
savor	anticipation	0.375	مزه
abide	anticipation	0.367	پایبند بودن
concealed	anticipation	0.367	پنهان شده است
spear	anticipation	0.367	نیزه
lesson	anticipation	0.367	درس
instructions	anticipation	0.367	دستورالعمل ها
sonar	anticipation	0.367	ردیاب آوایی
biennial	anticipation	0.367	دوسالانه
convince	anticipation	0.367	متقاعد کردن
whim	anticipation	0.367	هوی و هوس
shiver	anticipation	0.367	لرزیدن
towering	anticipation	0.367	سر به فلک کشیده
musical	anticipation	0.367	موزیکال
offset	anticipation	0.359	انحراف
theory	anticipation	0.359	تئوری
theology	anticipation	0.359	الهیات
undying	anticipation	0.359	بی مرگ
timidity	anticipation	0.359	ترسو بودن
plump	anticipation	0.359	چاق
atone	anticipation	0.359	کفاره دادن
audience	anticipation	0.357	حضار
dietary	anticipation	0.352	غذایی
consecration	anticipation	0.352	تقدیس
localize	anticipation	0.352	بومی سازی
paragon	anticipation	0.352	پاراگراف
store	anticipation	0.352	فروشگاه
farm	anticipation	0.352	مزرعه
daily	anticipation	0.352	روزانه
cramp	anticipation	0.352	گرفتگی
nobility	anticipation	0.352	اشرافیت
closure	anticipation	0.352	بسته
edition	anticipation	0.352	نسخه
kindred	anticipation	0.352	خویشاوندی
stripped	anticipation	0.344	برهنه شده
errand	anticipation	0.344	کارهای محوله
archaeology	anticipation	0.344	باستان شناسی
mutable	anticipation	0.344	قابل تغییر
wireless	anticipation	0.344	بی سیم
meditate	anticipation	0.344	مدیتیشن
mobile	anticipation	0.344	سیار
germ	anticipation	0.336	ریشه
brotherly	anticipation	0.336	برادرانه
lessen	anticipation	0.336	کاهش دادن
unbeaten	anticipation	0.336	شکست ناپذیر
pare	anticipation	0.336	پاره کردن
buddy	anticipation	0.336	رفیق
unaccountable	anticipation	0.336	غیر قابل پاسخگویی
dove	anticipation	0.328	کبوتر
patient	anticipation	0.328	صبور
secular	anticipation	0.328	سکولار
digress	anticipation	0.328	منحرف شدن
chastity	anticipation	0.328	عفت
council	anticipation	0.328	شورا
olfactory	anticipation	0.328	بویایی
ribbon	anticipation	0.328	روبان
possess	anticipation	0.328	در اختیار داشتن
disposed	anticipation	0.320	بیرون انداخته شده
scrutinize	anticipation	0.320	مورد مداقه قرار دادن
immature	anticipation	0.320	نابالغ
mediator	anticipation	0.320	واسطه
regularity	anticipation	0.320	منظم بودن
cove	anticipation	0.320	خور
infanticide	anticipation	0.320	کودک کشی
paddle	anticipation	0.320	دست و پا زدن
heft	anticipation	0.320	سنگین
fancy	anticipation	0.320	تفننی
preservative	anticipation	0.320	نگهدارنده
unpublished	anticipation	0.312	منتشر نشده
church	anticipation	0.312	کلیسا
bugle	anticipation	0.312	بوق زدن
grim	anticipation	0.312	تلخ
denying	anticipation	0.312	انکار کردن
analyst	anticipation	0.312	تحلیلگر
judicial	anticipation	0.305	قضایی
priesthood	anticipation	0.305	کشیشی
broadside	anticipation	0.305	پهن
mill	anticipation	0.305	کارخانه
dismay	anticipation	0.297	ناراحتی
cap	anticipation	0.297	کلاه لبه دار
thermocouple	anticipation	0.297	ترموکوپل
tributary	anticipation	0.297	خراجی
instructor	anticipation	0.297	مربی
exhaustion	anticipation	0.297	فرسودگی
saliva	anticipation	0.297	بزاق
cataract	anticipation	0.289	آب مروارید
network	anticipation	0.289	شبکه
visor	anticipation	0.289	لبه پیش امده کلاه
shackle	anticipation	0.289	غل و زنجیر
wont	anticipation	0.289	عادت نمی کند
addresses	anticipation	0.289	آدرس ها
discreet	anticipation	0.289	با احتیاط
noncompliance	anticipation	0.289	عدم انطباق
bruise	anticipation	0.289	کبودی
homeless	anticipation	0.289	بی خانمان
astronomer	anticipation	0.281	ستاره شناس
skewed	anticipation	0.281	کج شده
neighbor	anticipation	0.281	همسایه
holiness	anticipation	0.273	تقدس
devil	anticipation	0.273	شیطان
picket	anticipation	0.273	قیچی
sentence	anticipation	0.273	جمله
latent	anticipation	0.273	نهفته
cream	anticipation	0.273	کرم رنگ
immaturity	anticipation	0.273	نابالغی
habitual	anticipation	0.266	معمولی
morals	anticipation	0.266	اخلاقیات
neighborhood	anticipation	0.266	محله
lull	anticipation	0.266	آرامش
bye	anticipation	0.258	خدا حافظ
weight	anticipation	0.258	وزن
organ	anticipation	0.250	عضو
clown	anticipation	0.250	دلقک
forearm	anticipation	0.250	ساعد
commonplace	anticipation	0.242	عادی
quote	anticipation	0.242	نقل قول
rail	anticipation	0.234	ریل
dictatorship	anticipation	0.234	دیکتاتوری
treadmill	anticipation	0.234	تردمیل
board	anticipation	0.234	هیئت مدیره
tree	anticipation	0.227	درخت
sundial	anticipation	0.227	ساعت آفتابی
paralysis	anticipation	0.211	فلج شدن
cement	anticipation	0.203	سیمان
worm	anticipation	0.203	کرم
organization	anticipation	0.203	سازمان
lagging	anticipation	0.180	عقب ماندن
neutral	anticipation	0.148	خنثی
cannibalism	disgust	0.953	ادم خواری
mutilation	disgust	0.930	مثله کردن
molestation	disgust	0.914	آزار و اذیت
incest	disgust	0.914	محارم
