English Word	Emotion	Emotion-Intensity-Score	Hebrew Word
renovation	anticipation	0.516	שיפוץ
signify	anticipation	0.508	לְסַמֵן
vigilance	anticipation	0.508	עֵרָנוּת
prerequisite	anticipation	0.508	תְנַאִי מוּקדָם
perfection	anticipation	0.508	שְׁלֵמוּת
cultivate	anticipation	0.508	לְטַפֵּחַ
develop	anticipation	0.508	לְפַתֵחַ
cue	anticipation	0.508	רְמִיזָה
exigent	anticipation	0.508	תוֹבְעָנִי
transitional	anticipation	0.508	מָעֳבָר
commemoration	anticipation	0.508	אַזכָּרָה
intermission	anticipation	0.508	הַפסָקָה
elevation	anticipation	0.508	גוֹבַה
infant	anticipation	0.508	תִינוֹק
practise	anticipation	0.508	תרגול
contemplation	anticipation	0.508	הִתבּוֹנְנוּת
dreadful	anticipation	0.508	אָיוֹם
wilderness	anticipation	0.508	מִדבָּר
horizon	anticipation	0.508	אופק
sneaking	anticipation	0.500	מתגנב
uphill	anticipation	0.500	בְּמַעֲלֶה הַהַר
puppy	anticipation	0.500	כלבלב
blindfold	anticipation	0.500	כיסוי עיניים
unbridled	anticipation	0.500	לֹא מְרוּסָן
horoscope	anticipation	0.500	הוֹרוֹסקוֹפּ
airport	anticipation	0.500	שדה תעופה
reconciliation	anticipation	0.500	פִּיוּס
advocacy	anticipation	0.500	פְּרַקְלִיטוּת
litigate	anticipation	0.500	להתדיין
sunny	anticipation	0.500	שִׁמשִׁי
intuitively	anticipation	0.500	באופן אינטואיטיבי
hero	anticipation	0.500	גיבור
ardent	anticipation	0.500	נִלהָב
commemorate	anticipation	0.500	לְהַזכִּיר
romantic	anticipation	0.500	רוֹמַנטִי
doomsday	anticipation	0.500	יום הדין
ready	anticipation	0.500	מוּכָן
nascent	anticipation	0.500	בהתהוות
invocation	anticipation	0.500	קְרִיאָה
depart	anticipation	0.500	לַעֲזוֹב
undisclosed	anticipation	0.500	לא נחשף
attendance	anticipation	0.500	נוֹכְחוּת
peril	anticipation	0.500	סַכָּנָה
income	anticipation	0.500	הַכנָסָה
calculation	anticipation	0.500	תַחשִׁיב
zeal	anticipation	0.500	התלהבות
eventuality	anticipation	0.500	אירוע
favorable	anticipation	0.500	מועדף
utopian	anticipation	0.500	אוּטוֹפִּי
swim	anticipation	0.500	לשחות
proceeding	anticipation	0.492	ממשיך
eventual	anticipation	0.492	בסופו של דבר
heyday	anticipation	0.492	תְקוּפַת הַשִׂיא
undertaking	anticipation	0.492	מְשִׁימָה
improvise	anticipation	0.492	לְאַלתֵר
inauguration	anticipation	0.492	חֲנוּכָּה
consequent	anticipation	0.492	עוֹקֵב
perspective	anticipation	0.492	נקודת מבט
defense	anticipation	0.492	הֲגָנָה
repay	anticipation	0.492	לְהַחזִיר
gaping	anticipation	0.492	פַּהֶקֶת
youth	anticipation	0.492	נוֹעַר
parole	anticipation	0.492	שחרור על תנאי
worry	anticipation	0.492	דאגה
bless	anticipation	0.492	לברך
restorative	anticipation	0.492	מַברִיא
court	anticipation	0.492	בית משפט
highest	anticipation	0.491	הֲכִי גָבוֹהַ
shortly	anticipation	0.484	בְּקָרוּב
auspicious	anticipation	0.484	מבשר טוב
princely	anticipation	0.484	נְסִיכִי
correspondence	anticipation	0.484	הִתכַּתְבוּת
generosity	anticipation	0.484	נדיבות
sparkle	anticipation	0.484	נִצנוּץ
voluptuous	anticipation	0.484	חוּשָׁנִי
happen	anticipation	0.484	לִקְרוֹת
tremor	anticipation	0.484	רַעַד
letter	anticipation	0.484	מִכְתָב
vow	anticipation	0.484	נדר
sharpen	anticipation	0.484	לְחַדֵד
duel	anticipation	0.484	דוּ קְרָב
conjure	anticipation	0.484	לְהַעֲלוֹת
threaten	anticipation	0.484	מאיים
god	anticipation	0.484	אלוהים
engulf	anticipation	0.484	לִבלוֹעַ
unexplained	anticipation	0.484	בלתי מוסבר
contagion	anticipation	0.484	הַדבָּקָה
glorify	anticipation	0.477	לְפַאֵר
submit	anticipation	0.477	שלח
enroll	anticipation	0.477	לְהִרָשֵׁם
unification	anticipation	0.477	הַאֲחָדָה
gravitate	anticipation	0.477	משיכה
glide	anticipation	0.477	לִדאוֹת
accompaniment	anticipation	0.477	לִוּוּי
cherish	anticipation	0.477	לְהוֹקִיר
adore	anticipation	0.477	לְהַעֲרִיץ
powerful	anticipation	0.477	חָזָק
clue	anticipation	0.477	רֶמֶז
medal	anticipation	0.477	מֵדַלִיָה
contemplate	anticipation	0.477	לְהַרהֵר
perilous	anticipation	0.477	מְסוּכָּן
determinate	anticipation	0.477	לקבוע
arbitration	anticipation	0.477	בוררות
recipient	anticipation	0.477	מקבל
onset	anticipation	0.477	הַתקָפָה
predispose	anticipation	0.477	לְהַטוֹת מְרֹאשׁ
score	anticipation	0.477	ציון
torture	anticipation	0.477	לַעֲנוֹת
glow	anticipation	0.477	לַהַט
praiseworthy	anticipation	0.473	רָאוּי לְשֶׁבַח
football	anticipation	0.469	כדורגל
scare	anticipation	0.469	לְהַפחִיד
elite	anticipation	0.469	עִלִית
unknown	anticipation	0.469	לא ידוע
precursor	anticipation	0.469	מבשר
pry	anticipation	0.469	לְחַטֵט
providing	anticipation	0.469	מתן
sweets	anticipation	0.469	דִברֵי מְתִיקָה
cautious	anticipation	0.469	זָהִיר
opera	anticipation	0.469	אוֹפֵּרָה
motion	anticipation	0.469	תְנוּעָה
cash	anticipation	0.469	כסף מזומן
creeping	anticipation	0.469	זְחִילָה
invoke	anticipation	0.469	לעורר
star	anticipation	0.469	כוכב
shaky	anticipation	0.469	רָעוּעַ
production	anticipation	0.469	הפקה
successful	anticipation	0.469	מוּצלָח
immediately	anticipation	0.469	מיד
dawn	anticipation	0.469	שַׁחַר
starry	anticipation	0.469	זָרוּעַ כּוֹכָבִים
unsurpassed	anticipation	0.469	ללא תחרות
completion	anticipation	0.469	סִיוּם
hire	anticipation	0.469	לִשְׂכּוֹר
fete	anticipation	0.469	חֲגִיגָה
commemorative	anticipation	0.461	הנצחה
shining	anticipation	0.461	קוֹרֵן
testament	anticipation	0.461	בְּרִית
pay	anticipation	0.461	לְשַׁלֵם
alive	anticipation	0.461	בחיים
plight	anticipation	0.461	מַצָב
preliminary	anticipation	0.461	מקדים
overture	anticipation	0.461	פְּתִיחָה
sanctuary	anticipation	0.461	מִקְלָט
regatta	anticipation	0.461	תַחֲרוּת שַׂיִט
draft	anticipation	0.461	טְיוּטָה
synchronize	anticipation	0.461	לְסַנכְרֵן
soundness	anticipation	0.461	תְקֵפוּת
extricate	anticipation	0.461	לְחַלֵץ
excel	anticipation	0.461	לְהִצטַיֵן
punt	anticipation	0.461	סִירָה שְׁטוּחָה
untold	anticipation	0.461	לא סופר
brilliant	anticipation	0.461	מַברִיק
cheerfulness	anticipation	0.461	עֲלִיזוּת
jeopardy	anticipation	0.461	סַכָּנָה
friendly	anticipation	0.461	יְדִידוּתִי
mail	anticipation	0.461	דוֹאַר
unexpected	anticipation	0.453	בלתי צפוי
basketball	anticipation	0.453	כדורסל
inaugural	anticipation	0.453	פתיחה
supremacy	anticipation	0.453	עֶליוֹנוּת
rehabilitation	anticipation	0.453	שיקום
intimately	anticipation	0.453	באופן אינטימי
career	anticipation	0.453	קריירה
prevention	anticipation	0.453	מְנִיעָה
renovate	anticipation	0.453	לְשַׁפֵּץ
compliment	anticipation	0.453	מַחֲמָאָה
prologue	anticipation	0.453	פּרוֹלוֹג
elegance	anticipation	0.453	אֵלֶגַנטִיוּת
complement	anticipation	0.453	מַשׁלִים
flinch	anticipation	0.453	לְהֵרָתַע
infinity	anticipation	0.453	אינסוף
perpetuity	anticipation	0.453	נִצחִיוּת
sunset	anticipation	0.453	שקיעת השמש
improve	anticipation	0.453	לְשַׁפֵּר
fitting	anticipation	0.445	הוֹלֵם
confidence	anticipation	0.445	אֵמוּן
concealment	anticipation	0.445	הַסתָרָה
sweet	anticipation	0.445	מתוק
perfect	anticipation	0.445	מושלם
epidemic	anticipation	0.445	מגפה
fain	anticipation	0.445	חלש
volunteer	anticipation	0.445	לְהִתְנַדֵב
share	anticipation	0.445	לַחֲלוֹק
surround	anticipation	0.445	לְהַקִיף
conjecture	anticipation	0.445	לְשַׁעֵר
sun	anticipation	0.445	שמש
veracity	anticipation	0.445	אֲמִתוּת
serial	anticipation	0.438	סידורי
angel	anticipation	0.438	מַלְאָך
aloha	anticipation	0.438	שלום
saint	anticipation	0.438	קָדוֹשׁ
tickle	anticipation	0.438	לְדַגדֵג
superstitious	anticipation	0.438	אמונות טפלות
ferment	anticipation	0.438	תְסִיסָה
conservation	anticipation	0.438	שימור
devout	anticipation	0.438	אָדוּק
respect	anticipation	0.438	הערכה
reconstruction	anticipation	0.438	שִׁחזוּר
goodness	anticipation	0.438	טוּב לֵב
reconstruct	anticipation	0.438	לְשַׁחְזֵר
faith	anticipation	0.438	אֱמוּנָה
recombination	anticipation	0.438	ריקומבינציה
prepared	anticipation	0.438	מוּכָן
rabid	anticipation	0.438	קַנָאִי
plea	anticipation	0.438	טַעֲנָה
medical	anticipation	0.438	רְפוּאִי
passenger	anticipation	0.438	נוֹסֵעַ
charitable	anticipation	0.430	נדבני
tabulate	anticipation	0.430	לְלַווֵחַ
peace	anticipation	0.430	שָׁלוֹם
install	anticipation	0.430	להתקין
serenity	anticipation	0.430	רוֹגַע
venerable	anticipation	0.430	נִכבָּד
spa	anticipation	0.430	ספָּא
labyrinth	anticipation	0.430	מָבוֹך
luscious	anticipation	0.430	טָעִים מְאוֹד
perpetuate	anticipation	0.430	לְהַנצִיחַ
strategist	anticipation	0.430	תַכסִיסָן
unverified	anticipation	0.430	לא מאומת
tribunal	anticipation	0.430	בֵּית דִין
clap	anticipation	0.430	לִטפּוֹחַ
peaceful	anticipation	0.422	שָׁקֶט
patience	anticipation	0.422	סבלנות
unresolved	anticipation	0.422	לא פתורה
worship	anticipation	0.422	פולחן
edification	anticipation	0.422	הַבהָרָה
oasis	anticipation	0.422	אואזיס
grin	anticipation	0.422	לְגַחֵך
revere	anticipation	0.422	לְהַעֲרִיץ
candid	anticipation	0.422	גָלוּי לֵב
vista	anticipation	0.422	נוֹף
conspirator	anticipation	0.422	קוֹשֵׁר
adrift	anticipation	0.422	נִסחָף
recognizable	anticipation	0.422	ניתן לזיהוי
volatility	anticipation	0.422	תנודתיות
forestall	anticipation	0.422	לִמְנוֹעַ
laughter	anticipation	0.422	צחוק
continue	anticipation	0.414	לְהַמשִׁיך
ongoing	anticipation	0.414	מתמשך
astrologer	anticipation	0.414	אַסטרוֹלוֹג
mediate	anticipation	0.414	לפשר
punctual	anticipation	0.414	דייקן
grant	anticipation	0.414	מענק
morn	anticipation	0.414	בוקר
pretty	anticipation	0.414	יפה
withstand	anticipation	0.414	לעמוד
frisky	anticipation	0.414	עַלִיז
thought	anticipation	0.414	מַחֲשָׁבָה
probation	anticipation	0.414	על תנאי
ordination	anticipation	0.414	הַסמָכָה
calls	anticipation	0.414	שיחות
detainee	anticipation	0.414	עָצִיר
craps	anticipation	0.414	שטויות
weigh	anticipation	0.414	לשקול
proficiency	anticipation	0.414	מְיוּמָנוּת
sing	anticipation	0.411	לָשִׁיר
continuation	anticipation	0.406	הֶמְשֵׁך
university	anticipation	0.406	אוּנִיבֶרְסִיטָה
chicane	anticipation	0.406	צ'יקן
nurture	anticipation	0.406	לְטַפֵּחַ
mother	anticipation	0.406	אִמָא
punished	anticipation	0.406	נענש
twinkle	anticipation	0.406	נִצנוּץ
confession	anticipation	0.406	הוֹדָאָה
outdo	anticipation	0.406	לַעֲלוֹת עַל
prophylactic	anticipation	0.406	מוֹנֵעַ
proud	anticipation	0.406	גאה
midwife	anticipation	0.406	מְיַלֶדֶת
wizard	anticipation	0.406	אַשָׁף
headlight	anticipation	0.406	פָּנָס קִדמִי
long	anticipation	0.406	ארוך
banquet	anticipation	0.406	סְעוּדָה
comfort	anticipation	0.406	נוחות
navigable	anticipation	0.406	עָבִיר
subscribe	anticipation	0.406	להירשם
opponent	anticipation	0.406	יָרִיב
debenture	anticipation	0.406	אִגֶרֶת חוֹב
deal	anticipation	0.402	עִסקָה
symphony	anticipation	0.398	סִימפוֹנִיָה
saintly	anticipation	0.398	קָדוֹשׁ
judiciary	anticipation	0.398	מַעֲרֶכֶת מִשׁפָּטִית
lettered	anticipation	0.398	מְלוּמָד
vigil	anticipation	0.398	עֵרוּת
reliance	anticipation	0.398	הסתמכות
distracting	anticipation	0.398	מסיח דעת
mortification	anticipation	0.398	הַשׁפָּלָה
balm	anticipation	0.398	צֳרִי
simmer	anticipation	0.398	רְתִיחָה
top	anticipation	0.398	חלק עליון
obliging	anticipation	0.398	אָדִיב
efficient	anticipation	0.398	יָעִיל
guillotine	anticipation	0.398	מַעֲרֶפֶת
representing	anticipation	0.398	מייצגים
death	anticipation	0.398	מוות
assurance	anticipation	0.391	הַבטָחָה
familiarity	anticipation	0.391	בְּקִיאוּת
depraved	anticipation	0.391	מושחת
condemnation	anticipation	0.391	הוֹקָעָה
undoubted	anticipation	0.391	ללא ספק
sanctify	anticipation	0.391	לְקַדֵשׁ
diplomacy	anticipation	0.391	דִיפּלוֹמָטִיָה
antidote	anticipation	0.391	תרופה נגד
trust	anticipation	0.391	אמון
linger	anticipation	0.391	לְהִשְׁתַהוֹת
objective	anticipation	0.391	מַטָרָה
chuckle	anticipation	0.391	צחקוק
poke	anticipation	0.391	לִתְקוֹעַ
abeyance	anticipation	0.391	מבוי סתום
maternal	anticipation	0.391	אִמָהִי
art	anticipation	0.391	אומנות
unfulfilled	anticipation	0.391	לא ממומש
inoculation	anticipation	0.384	הַרכָּבָה
simplify	anticipation	0.383	לפשט
depend	anticipation	0.383	לִסְמוֹך
chant	anticipation	0.383	לָשִׁיר
ram	anticipation	0.383	RAM
banger	anticipation	0.383	באנגר
playground	anticipation	0.383	גן שעשועים
labor	anticipation	0.383	עבודה
scientist	anticipation	0.383	מַדְעָן
good	anticipation	0.383	טוֹב
humanitarian	anticipation	0.383	הוּמָנִיטָרִי
failing	anticipation	0.383	כושל
hap	anticipation	0.383	האפ
dutiful	anticipation	0.383	צַיְתָן
hymn	anticipation	0.383	הִמנוֹן
ship	anticipation	0.383	ספינה
discretion	anticipation	0.383	שיקול דעת
undecided	anticipation	0.383	לֹא הֶחלֵטִי
gradual	anticipation	0.375	הַדרָגָתִי
navigator	anticipation	0.375	נווט
track	anticipation	0.375	מַסלוּל
cradle	anticipation	0.375	עֶרֶשׂ
sterling	anticipation	0.375	שׁטֶרלִינג
interim	anticipation	0.375	זְמַנִי
clock	anticipation	0.375	שָׁעוֹן
mountain	anticipation	0.375	הַר
interminable	anticipation	0.375	נִמשָׁך לְלֹא סוֹף
public	anticipation	0.375	פּוּמְבֵּי
recurrent	anticipation	0.375	חוזר ונשנה
savor	anticipation	0.375	טַעַם
abide	anticipation	0.367	לעמוד
concealed	anticipation	0.367	הסתיר
spear	anticipation	0.367	חנית
lesson	anticipation	0.367	שיעור
instructions	anticipation	0.367	הוראות
sonar	anticipation	0.367	סוֹנָר
biennial	anticipation	0.367	דוּ שְׁנָתִי
convince	anticipation	0.367	לְשַׁכְנֵעַ
whim	anticipation	0.367	גַחְמָה
shiver	anticipation	0.367	לִרְעוֹד
towering	anticipation	0.367	מִתנַשֵׂא
musical	anticipation	0.367	מוּסִיקָלִי
offset	anticipation	0.359	לְקַזֵז
theory	anticipation	0.359	תֵאוֹרִיָה
theology	anticipation	0.359	תֵאוֹלוֹגִיָה
undying	anticipation	0.359	נִצחִי
timidity	anticipation	0.359	הַסְסָנוּת
plump	anticipation	0.359	שְׁמַנמַן
atone	anticipation	0.359	לְכַפֵּר
audience	anticipation	0.357	קהל
dietary	anticipation	0.352	שֶׁל דִיאֵטָה
consecration	anticipation	0.352	הַקדָשָׁה
localize	anticipation	0.352	לְמַקֵם
paragon	anticipation	0.352	דוּגמָה וְמוֹפֵת
store	anticipation	0.352	חנות
farm	anticipation	0.352	חווה חקלאית
daily	anticipation	0.352	יום יומי
cramp	anticipation	0.352	לְהַגבִּיל
nobility	anticipation	0.352	אֲצוּלָה
closure	anticipation	0.352	סגירת מעגל
edition	anticipation	0.352	מַהֲדוּרָה
kindred	anticipation	0.352	קרובי משפחה
stripped	anticipation	0.344	חָשׂוּף
errand	anticipation	0.344	שְׁלִיחוּת
archaeology	anticipation	0.344	אַרכֵיאוֹלוֹגִיָה
mutable	anticipation	0.344	מִשְׁתַנֶה
wireless	anticipation	0.344	אַלחוּט
meditate	anticipation	0.344	לְהַרהֵר
mobile	anticipation	0.344	נייד
germ	anticipation	0.336	נֶבֶט
brotherly	anticipation	0.336	אחים
lessen	anticipation	0.336	לְהַקְטִין
unbeaten	anticipation	0.336	בִּלתִי מְנוּצָח
pare	anticipation	0.336	לְקַלֵף
buddy	anticipation	0.336	חבר
unaccountable	anticipation	0.336	בלתי אחראי
dove	anticipation	0.328	יוֹנָה
patient	anticipation	0.328	סבלני
secular	anticipation	0.328	חילוני
digress	anticipation	0.328	לִסְטוֹת
chastity	anticipation	0.328	צְנִיעוּת
council	anticipation	0.328	מועצה
olfactory	anticipation	0.328	חוש הריח
ribbon	anticipation	0.328	סֶרֶט
possess	anticipation	0.328	לְהַחזִיק
disposed	anticipation	0.320	נפטר
scrutinize	anticipation	0.320	לִבחוֹן
immature	anticipation	0.320	לֹא מְפוּתָח
mediator	anticipation	0.320	מתווך
regularity	anticipation	0.320	סְדִירוּת
cove	anticipation	0.320	מִפרָץ
infanticide	anticipation	0.320	רצח תינוקות
paddle	anticipation	0.320	מָשׁוֹט
heft	anticipation	0.320	משקל
fancy	anticipation	0.320	לְחַבֵּב
preservative	anticipation	0.320	מְשַׁמֵר
unpublished	anticipation	0.312	לא פורסם
church	anticipation	0.312	כְּנֵסִיָה
bugle	anticipation	0.312	חֲצוֹצְרָה
grim	anticipation	0.312	זוֹעֵף
denying	anticipation	0.312	מכחיש
analyst	anticipation	0.312	מְנַתֵחַ
judicial	anticipation	0.305	מִשׁפָּטִי
priesthood	anticipation	0.305	כּמוּרָה
broadside	anticipation	0.305	הַתקָפָה מְרוּכֶּזֶת
mill	anticipation	0.305	טחנה
dismay	anticipation	0.297	תַדְהֵמָה
cap	anticipation	0.297	כובע
thermocouple	anticipation	0.297	צמד תרמי
tributary	anticipation	0.297	יוּבַל
instructor	anticipation	0.297	מַדְרִיך
exhaustion	anticipation	0.297	תְשִׁישׁוּת
saliva	anticipation	0.297	רוֹק
cataract	anticipation	0.289	קָטָרַקט
network	anticipation	0.289	רֶשֶׁת
visor	anticipation	0.289	מִצחִיָה
shackle	anticipation	0.289	לִכבּוֹל
wont	anticipation	0.289	רָגִיל
addresses	anticipation	0.289	כתובות
discreet	anticipation	0.289	דִיסקרֶטִי
noncompliance	anticipation	0.289	אי ציות
bruise	anticipation	0.289	חבורה
homeless	anticipation	0.289	חֲסַר בַּיִת
astronomer	anticipation	0.281	אַסטרוֹנוֹם
skewed	anticipation	0.281	מוטה
neighbor	anticipation	0.281	שָׁכֵן
holiness	anticipation	0.273	קְדוּשָׁה
devil	anticipation	0.273	שָׂטָן
picket	anticipation	0.273	כלונסאות
sentence	anticipation	0.273	משפט
latent	anticipation	0.273	חָבוּי
cream	anticipation	0.273	קרם
immaturity	anticipation	0.273	חוֹסֶר בַּגרוּת
habitual	anticipation	0.266	רָגִיל
morals	anticipation	0.266	מוֹרָל
neighborhood	anticipation	0.266	שְׁכוּנָה
lull	anticipation	0.266	לְהַרְגִיעַ
bye	anticipation	0.258	ביי
weight	anticipation	0.258	מִשׁקָל
organ	anticipation	0.250	אֵיבָר
clown	anticipation	0.250	לֵיצָן
forearm	anticipation	0.250	אַמָה
commonplace	anticipation	0.242	דָבָר רָגִיל
quote	anticipation	0.242	ציטוט
rail	anticipation	0.234	רכבת
dictatorship	anticipation	0.234	רוֹדָנוּת
treadmill	anticipation	0.234	הליכון
board	anticipation	0.234	גלשן
tree	anticipation	0.227	עֵץ
sundial	anticipation	0.227	שָׁעוֹן שֶׁמֶשׁ
paralysis	anticipation	0.211	שיתוק
cement	anticipation	0.203	בטון
worm	anticipation	0.203	תוֹלַעַת
organization	anticipation	0.203	אִרגוּן
lagging	anticipation	0.180	הַשׁהָיָה
neutral	anticipation	0.148	ניטראלי
cannibalism	disgust	0.953	קָנִיבָּלִיוּת
mutilation	disgust	0.930	הַטָלַת מוּם
molestation	disgust	0.914	הַצָקָה
incest	disgust	0.914	גילוי עריות
rape	disgust	0.906	לֶאֱנוֹס
gonorrhea	disgust	0.906	זִיבָה
cannibal	disgust	0.898	קָנִיבָּל
rot	disgust	0.891	רָקָב
corpse	disgust	0.883	גוּפָה
massacre	disgust	0.883	טֶבַח
excrement	disgust	0.883	צוֹאָה
barf	disgust	0.875	בארף
slaughter	disgust	0.875	לִשְׁחוֹט
slaughterhouse	disgust	0.867	מִטבָּחַיִם
incestuous	disgust	0.859	עריות
sewerage	disgust	0.859	בִּיוּב
filth	disgust	0.859	זוּהֲמָה
bigot	disgust	0.859	קנאי
rancid	disgust	0.859	מְעוּפָּשׁ
infestation	disgust	0.852	שְׁרִיצָה
plague	disgust	0.852	מַגֵפָה
holocaust	disgust	0.852	שׁוֹאָה
bloodthirsty	disgust	0.852	צמא דם
rotting	disgust	0.844	נרקב
fecal	disgust	0.844	צואה
maggot	disgust	0.844	תוֹלַעַת
feces	disgust	0.844	צוֹאָה
murder	disgust	0.839	רֶצַח
asshole	disgust	0.836	מְטוּמטָם
homicide	disgust	0.836	רצח
enslaved	disgust	0.836	מְשׁוּעֲבָּד
infanticide	disgust	0.836	רצח תינוקות
perverted	disgust	0.828	מְסוּלָף
excretion	disgust	0.828	הַפרָשָׁה
gore	disgust	0.828	לִנְגוֹחַ
slaughtering	disgust	0.828	שחיטה
torture	disgust	0.828	לַעֲנוֹת
contaminate	disgust	0.821	לְזַהֵם
revolting	disgust	0.820	מַגְעִיל
gory	disgust	0.820	מְכוּסֶה בָּדָם
shit	disgust	0.820	לְחַרְבֵּן
terrorist	disgust	0.820	מְחַבֵּל
murderer	disgust	0.820	רוֹצֵחַ
repugnant	disgust	0.820	דוֹחֶה
manure	disgust	0.820	דשן
pervert	disgust	0.820	סוטה
diarrhoea	disgust	0.820	שִׁלשׁוּל
grotesque	disgust	0.820	גרוֹטֶסקִי
desecration	disgust	0.820	חילול קודש
faeces	disgust	0.812	צוֹאָה
slavery	disgust	0.812	עַבדוּת
sewer	disgust	0.812	בִּיב
cadaver	disgust	0.812	פֶּגֶר
manslaughter	disgust	0.812	הריגה
dismemberment	disgust	0.812	פירוק
vomit	disgust	0.812	לְהַקִיא
perverse	disgust	0.805	סוֹטֶה
repulsive	disgust	0.805	דוֹחֶה
hemorrhage	disgust	0.805	שטף דם
sewage	disgust	0.797	שְׁפָכִים
filthy	disgust	0.797	מלוכלך
diseased	disgust	0.797	נָגוּעַ
depravity	disgust	0.797	שְׁחִיתוּת
carcass	disgust	0.795	פֶּגֶר
decompose	disgust	0.789	לְפַרֵק
gruesome	disgust	0.789	מַבעִית
mutilated	disgust	0.789	מום
puke	disgust	0.789	לְהַקִיא
herpes	disgust	0.789	הֶרפֵּס
decayed	disgust	0.789	רָקוּב
dung	disgust	0.789	זֶבֶל
vermin	disgust	0.789	שְׁרָצִים
murderous	disgust	0.789	רַצחָנִי
parasite	disgust	0.789	טַפִּיל
horrific	disgust	0.789	מַחרִיד
carnage	disgust	0.781	טֶבַח
malaria	disgust	0.781	מָלַרִיָה
slime	disgust	0.781	סליים
flatulence	disgust	0.781	הֲפָחָה
pestilence	disgust	0.781	מַגֵפָה
crap	disgust	0.781	שְׁטוּיוֹת
monstrosity	disgust	0.781	מִפלֶצֶת
loathsome	disgust	0.773	נִתעָב
toxic	disgust	0.773	רַעִיל
morgue	disgust	0.773	חֲדַר מֵתִים
pus	disgust	0.773	מוּגלָה
herpesvirus	disgust	0.773	וירוס הרפס
leprosy	disgust	0.773	צָרַעַת
insidious	disgust	0.773	ערמומי
cruel	disgust	0.766	אַכְזָרִי
regurgitation	disgust	0.766	רגורגיטציה
anthrax	disgust	0.766	גַחֶלֶת
xenophobia	disgust	0.766	שנאת זרים
repugnance	disgust	0.766	סְלִידָה
lynch	disgust	0.766	לִינץ'
revulsion	disgust	0.766	סְלִידָה
whore	disgust	0.766	זוֹנָה
dissection	disgust	0.759	דיסקציה
mucous	disgust	0.758	רִירִי
canker	disgust	0.758	כִּיב
slum	disgust	0.758	שְׁכוּנַת עוֹנִי
infectious	disgust	0.758	מִדַבֵּק
evil	disgust	0.758	רשע
phlegm	disgust	0.758	כִּיחַ
cruelty	disgust	0.758	אַכְזָרִיוּת
perversion	disgust	0.758	סְטִיָה
sinister	disgust	0.750	מְרוּשָׁע
leeches	disgust	0.750	עלוקות
corrupting	disgust	0.750	משחית
decomposition	disgust	0.750	הִתפָּרְקוּת
abomination	disgust	0.742	תוֹעֵבָה
stinking	disgust	0.742	מַסרִיחַ
bile	disgust	0.742	מָרָה
demonic	disgust	0.742	שֵׁדִי
deranged	disgust	0.742	מטורלל
abhorrence	disgust	0.742	סלידה
soiled	disgust	0.742	מְלוּכלָך
mucus	disgust	0.742	רִיר
septic	disgust	0.742	רָקוּב
sickening	disgust	0.742	מַבְחִיל
demon	disgust	0.742	שֵׁד
cancer	disgust	0.734	סרטן
obese	disgust	0.734	שָׁמֵן מְאֹד
degeneracy	disgust	0.734	ניוון
despicable	disgust	0.734	בזוי
atrocity	disgust	0.734	זוועה
foul	disgust	0.734	מְגוּנֶה
sicken	disgust	0.734	לַחֲלוֹת
crucifixion	disgust	0.734	צְלִיבָה
terrorism	disgust	0.734	טֵרוֹר
repulsion	disgust	0.727	דְחִיָה
morbidity	disgust	0.727	תחלואה
dysentery	disgust	0.727	דִיזֶנטֶריָה
enema	disgust	0.727	חוֹקֶן
bacterium	disgust	0.727	חיידק
dirty	disgust	0.727	מְלוּכלָך
adultery	disgust	0.727	ניאוף
contamination	disgust	0.727	נְגִיעוּת
grisly	disgust	0.727	מַחרִיד
diabolical	disgust	0.727	שטני
autopsy	disgust	0.719	נתיחה
barbaric	disgust	0.719	בַּרבָּרִי
vulgar	disgust	0.719	ווּלגָרִי
entrails	disgust	0.719	קְרָבַיִם
disgust	disgust	0.719	גועל
lewd	disgust	0.719	זִמָתִי
muck	disgust	0.719	לְלַכְלֵך
bowels	disgust	0.719	מעיים
garbage	disgust	0.719	אַשׁפָּה
deterioration	disgust	0.719	הְתדַרדְרוּת
contagion	disgust	0.719	הַדבָּקָה
vicious	disgust	0.719	מרושע
disfigured	disgust	0.719	מעוות
pungent	disgust	0.719	חָרִיף
gross	disgust	0.719	דוחה
bloodshed	disgust	0.714	שפיכות דמים
gag	disgust	0.711	בְּדִיחָה
pollute	disgust	0.711	לְזַהֵם
nausea	disgust	0.711	בחילה
tyrant	disgust	0.711	רוֹדָן
wretched	disgust	0.711	אוּמלָל
mortification	disgust	0.711	הַשׁפָּלָה
violent	disgust	0.711	אַלִים
poisoned	disgust	0.711	מוּרעָל
nauseate	disgust	0.703	לְהַגעִיל
slimy	disgust	0.703	חֲלַקְלַק
grope	disgust	0.703	לְגַשֵׁשׁ
slut	disgust	0.703	זוֹנָה
nasty	disgust	0.703	מַגְעִיל
disgusting	disgust	0.703	מגעיל
depraved	disgust	0.703	מושחת
porn	disgust	0.703	פורנו
hateful	disgust	0.703	נִתעָב
vulgarity	disgust	0.703	ווּלגָרִיוּת
noxious	disgust	0.703	מַזִיק
grime	disgust	0.703	לְזַהֵם
constipation	disgust	0.703	עצירות
secretion	disgust	0.703	הַפרָשָׁה
poisoning	disgust	0.703	הַרעָלָה
despotism	disgust	0.703	עָרִיצוּת
measles	disgust	0.696	חַצֶבֶת
contagious	disgust	0.695	מדבק
obesity	disgust	0.695	הַשׁמָנָה
