English Word	Emotion	Emotion-Intensity-Score	German Word
labor	anticipation	0.383	Arbeit
scientist	anticipation	0.383	Wissenschaftler
good	anticipation	0.383	gut
humanitarian	anticipation	0.383	humanitär
failing	anticipation	0.383	Versagen
hap	anticipation	0.383	glück
dutiful	anticipation	0.383	pflichtbewusst
hymn	anticipation	0.383	Hymne
ship	anticipation	0.383	Schiff
discretion	anticipation	0.383	Diskretion
undecided	anticipation	0.383	unentschieden
gradual	anticipation	0.375	allmählich
navigator	anticipation	0.375	Navigator
track	anticipation	0.375	Spur
cradle	anticipation	0.375	Wiege
sterling	anticipation	0.375	Sterling
interim	anticipation	0.375	vorläufig
clock	anticipation	0.375	Uhr
mountain	anticipation	0.375	Berg
interminable	anticipation	0.375	endlos
public	anticipation	0.375	Öffentlichkeit
recurrent	anticipation	0.375	wiederkehrend
savor	anticipation	0.375	genießen
abide	anticipation	0.367	bleiben
concealed	anticipation	0.367	verborgen
spear	anticipation	0.367	Speer
lesson	anticipation	0.367	Lektion
instructions	anticipation	0.367	Anweisungen
sonar	anticipation	0.367	Sonar
biennial	anticipation	0.367	alle zwei Jahre
convince	anticipation	0.367	überzeugen
whim	anticipation	0.367	Laune
shiver	anticipation	0.367	Schauer
towering	anticipation	0.367	hoch aufragend
musical	anticipation	0.367	Musical
offset	anticipation	0.359	versetzt
theory	anticipation	0.359	Theorie
theology	anticipation	0.359	Theologie
undying	anticipation	0.359	unsterblich
timidity	anticipation	0.359	Schüchternheit
plump	anticipation	0.359	rundlich
atone	anticipation	0.359	büßen
audience	anticipation	0.357	Publikum
dietary	anticipation	0.352	diätetisch
consecration	anticipation	0.352	Weihe
localize	anticipation	0.352	lokalisieren
paragon	anticipation	0.352	Vorbild
store	anticipation	0.352	Laden
farm	anticipation	0.352	Bauernhof
daily	anticipation	0.352	Täglich
cramp	anticipation	0.352	Krampf
nobility	anticipation	0.352	Adel
closure	anticipation	0.352	Schließung
edition	anticipation	0.352	Auflage
kindred	anticipation	0.352	Verwandtschaft
stripped	anticipation	0.344	abgezogen
errand	anticipation	0.344	Auftrag
archaeology	anticipation	0.344	Archäologie
mutable	anticipation	0.344	veränderlich
wireless	anticipation	0.344	kabellos
meditate	anticipation	0.344	meditieren
mobile	anticipation	0.344	Handy, Mobiltelefon
germ	anticipation	0.336	Keim
brotherly	anticipation	0.336	brüderlich
lessen	anticipation	0.336	verringern
unbeaten	anticipation	0.336	ungeschlagen
pare	anticipation	0.336	parieren
buddy	anticipation	0.336	Kumpel
unaccountable	anticipation	0.336	unerklärlich
dove	anticipation	0.328	Taube
patient	anticipation	0.328	Geduldig
secular	anticipation	0.328	weltlich
digress	anticipation	0.328	abschweifen
chastity	anticipation	0.328	Keuschheit
council	anticipation	0.328	Rat
olfactory	anticipation	0.328	olfaktorisch
ribbon	anticipation	0.328	Schleife
possess	anticipation	0.328	besitzen
disposed	anticipation	0.320	entsorgt
scrutinize	anticipation	0.320	prüfen
immature	anticipation	0.320	unreif
mediator	anticipation	0.320	Vermittler
regularity	anticipation	0.320	Regelmäßigkeit
cove	anticipation	0.320	Bucht
infanticide	anticipation	0.320	Kindestötung
paddle	anticipation	0.320	Paddel
heft	anticipation	0.320	Gewicht
fancy	anticipation	0.320	schick
preservative	anticipation	0.320	Konservierungsmittel
unpublished	anticipation	0.312	unveröffentlicht
church	anticipation	0.312	Kirche
bugle	anticipation	0.312	Horn
grim	anticipation	0.312	grimmig
denying	anticipation	0.312	leugnen
analyst	anticipation	0.312	Analytiker
judicial	anticipation	0.305	gerichtlich
priesthood	anticipation	0.305	Priestertum
broadside	anticipation	0.305	Breitseite
mill	anticipation	0.305	Mühle
dismay	anticipation	0.297	Bestürzung
cap	anticipation	0.297	Deckel
thermocouple	anticipation	0.297	Thermoelement
tributary	anticipation	0.297	Nebenfluss
instructor	anticipation	0.297	Lehrer
exhaustion	anticipation	0.297	Erschöpfung
saliva	anticipation	0.297	Speichel
cataract	anticipation	0.289	Katarakt
network	anticipation	0.289	Netzwerk
visor	anticipation	0.289	Visier
shackle	anticipation	0.289	Schäkel
wont	anticipation	0.289	Gewohnheit
addresses	anticipation	0.289	Adressen
discreet	anticipation	0.289	diskret
noncompliance	anticipation	0.289	Nichteinhaltung
bruise	anticipation	0.289	Prellung
homeless	anticipation	0.289	obdachlos
astronomer	anticipation	0.281	Astronom
skewed	anticipation	0.281	schief
neighbor	anticipation	0.281	Nachbar
holiness	anticipation	0.273	Heiligkeit
devil	anticipation	0.273	Teufel
picket	anticipation	0.273	Streikposten
sentence	anticipation	0.273	Satz
latent	anticipation	0.273	latent
cream	anticipation	0.273	Creme
immaturity	anticipation	0.273	Unreife
habitual	anticipation	0.266	gewohnheitsmäßig
morals	anticipation	0.266	Moral
neighborhood	anticipation	0.266	Nachbarschaft
lull	anticipation	0.266	Flaute
bye	anticipation	0.258	Wiedersehen
weight	anticipation	0.258	Gewicht
organ	anticipation	0.250	Organ
clown	anticipation	0.250	Clown
forearm	anticipation	0.250	Unterarm
commonplace	anticipation	0.242	alltäglich
quote	anticipation	0.242	zitieren
rail	anticipation	0.234	Schiene
dictatorship	anticipation	0.234	Diktatur
treadmill	anticipation	0.234	Laufband
board	anticipation	0.234	Tafel
tree	anticipation	0.227	Baum
sundial	anticipation	0.227	Sonnenuhr
paralysis	anticipation	0.211	Lähmung
cement	anticipation	0.203	Zement
worm	anticipation	0.203	Wurm
organization	anticipation	0.203	Organisation
lagging	anticipation	0.180	zurückbleibend
neutral	anticipation	0.148	neutral
cannibalism	disgust	0.953	Kannibalismus
mutilation	disgust	0.930	Verstümmelung
molestation	disgust	0.914	Belästigung
incest	disgust	0.914	Inzest
rape	disgust	0.906	vergewaltigen
gonorrhea	disgust	0.906	Tripper
cannibal	disgust	0.898	Kannibale
rot	disgust	0.891	verrotten
corpse	disgust	0.883	Leichnam
massacre	disgust	0.883	Massaker
excrement	disgust	0.883	Kot
barf	disgust	0.875	Kotzen
slaughter	disgust	0.875	schlachten
slaughterhouse	disgust	0.867	Schlachthof
incestuous	disgust	0.859	inzestuös
sewerage	disgust	0.859	Kanalisation
filth	disgust	0.859	Schmutz
bigot	disgust	0.859	Frömmler
rancid	disgust	0.859	ranzig
infestation	disgust	0.852	Befall
plague	disgust	0.852	Pest
holocaust	disgust	0.852	Holocaust
bloodthirsty	disgust	0.852	blutrünstig
rotting	disgust	0.844	verrotten
fecal	disgust	0.844	Kot
maggot	disgust	0.844	Made
feces	disgust	0.844	Kot
murder	disgust	0.839	Mord
asshole	disgust	0.836	Arschloch
homicide	disgust	0.836	Tötung
enslaved	disgust	0.836	versklavt
infanticide	disgust	0.836	Kindestötung
perverted	disgust	0.828	pervertiert
excretion	disgust	0.828	Ausscheidung
gore	disgust	0.828	Blut
slaughtering	disgust	0.828	Schlachten
torture	disgust	0.828	Folter
contaminate	disgust	0.821	verunreinigen
revolting	disgust	0.820	abstoßend
gory	disgust	0.820	blutig
shit	disgust	0.820	Scheisse
terrorist	disgust	0.820	Terrorist
murderer	disgust	0.820	Mörder
repugnant	disgust	0.820	abstoßend
manure	disgust	0.820	düngen
pervert	disgust	0.820	pervers
diarrhoea	disgust	0.820	Durchfall
grotesque	disgust	0.820	grotesk
desecration	disgust	0.820	Entweihung
faeces	disgust	0.812	Kot
slavery	disgust	0.812	Sklaverei
sewer	disgust	0.812	Kanal
cadaver	disgust	0.812	Leiche
manslaughter	disgust	0.812	Totschlag
dismemberment	disgust	0.812	Zerstückelung
vomit	disgust	0.812	sich erbrechen
perverse	disgust	0.805	pervers
repulsive	disgust	0.805	abstoßend
hemorrhage	disgust	0.805	Blutung
sewage	disgust	0.797	Abwasser
filthy	disgust	0.797	schmutzig
diseased	disgust	0.797	krank
depravity	disgust	0.797	Verderbtheit
carcass	disgust	0.795	Karkasse
decompose	disgust	0.789	zersetzen
gruesome	disgust	0.789	grausam
mutilated	disgust	0.789	verstümmelt
puke	disgust	0.789	Kotzen
herpes	disgust	0.789	Herpes
decayed	disgust	0.789	verfallen
dung	disgust	0.789	Dung
vermin	disgust	0.789	Ungeziefer
murderous	disgust	0.789	mörderisch
parasite	disgust	0.789	Parasit
horrific	disgust	0.789	entsetzlich
carnage	disgust	0.781	Blutbad
malaria	disgust	0.781	Malaria
slime	disgust	0.781	Schleim
flatulence	disgust	0.781	Blähung
pestilence	disgust	0.781	Pest
crap	disgust	0.781	Mist
monstrosity	disgust	0.781	Ungeheuerlichkeit
loathsome	disgust	0.773	abscheulich
toxic	disgust	0.773	giftig
morgue	disgust	0.773	Leichenschauhaus
pus	disgust	0.773	Eiter
herpesvirus	disgust	0.773	Herpesvirus
leprosy	disgust	0.773	Lepra
insidious	disgust	0.773	heimtückisch
cruel	disgust	0.766	grausam
regurgitation	disgust	0.766	Aufstoßen
anthrax	disgust	0.766	Milzbrand
xenophobia	disgust	0.766	Fremdenfeindlichkeit
repugnance	disgust	0.766	Abscheu
lynch	disgust	0.766	lynchen
revulsion	disgust	0.766	Abscheu
whore	disgust	0.766	Hure
dissection	disgust	0.759	Präparation
mucous	disgust	0.758	schleimig
canker	disgust	0.758	Krebs
slum	disgust	0.758	Slum
infectious	disgust	0.758	ansteckend
evil	disgust	0.758	teuflisch
phlegm	disgust	0.758	Schleim
cruelty	disgust	0.758	Grausamkeit
perversion	disgust	0.758	Perversion
sinister	disgust	0.750	unheimlich
leeches	disgust	0.750	Blutegel
corrupting	disgust	0.750	korrumpieren
decomposition	disgust	0.750	Zersetzung
abomination	disgust	0.742	Gräuel
stinking	disgust	0.742	stinkend
bile	disgust	0.742	Galle
demonic	disgust	0.742	dämonisch
deranged	disgust	0.742	geistesgestört
abhorrence	disgust	0.742	Abscheu
soiled	disgust	0.742	verschmutzt
mucus	disgust	0.742	Schleim
septic	disgust	0.742	septisch
sickening	disgust	0.742	widerlich
demon	disgust	0.742	Dämon
cancer	disgust	0.734	Krebs
obese	disgust	0.734	übergewichtig
degeneracy	disgust	0.734	Entartung
despicable	disgust	0.734	Verabscheuungswürdig
atrocity	disgust	0.734	Grausamkeit
foul	disgust	0.734	Foul
sicken	disgust	0.734	erkranken
crucifixion	disgust	0.734	Kreuzigung
terrorism	disgust	0.734	Terrorismus
repulsion	disgust	0.727	Abstoßung
morbidity	disgust	0.727	Morbidität
dysentery	disgust	0.727	Ruhr
enema	disgust	0.727	Einlauf
bacterium	disgust	0.727	Bakterium
dirty	disgust	0.727	schmutzig
adultery	disgust	0.727	Ehebruch
contamination	disgust	0.727	Kontamination
grisly	disgust	0.727	grausig
diabolical	disgust	0.727	teuflisch
autopsy	disgust	0.719	Autopsie
barbaric	disgust	0.719	barbarisch
vulgar	disgust	0.719	vulgär
entrails	disgust	0.719	Eingeweide
disgust	disgust	0.719	der Ekel
lewd	disgust	0.719	Lewd
muck	disgust	0.719	Dreck
bowels	disgust	0.719	Eingeweide
garbage	disgust	0.719	Müll
deterioration	disgust	0.719	Verschlechterung
contagion	disgust	0.719	Ansteckung
vicious	disgust	0.719	bösartig
disfigured	disgust	0.719	entstellt
pungent	disgust	0.719	scharf
gross	disgust	0.719	grob
bloodshed	disgust	0.714	Blutvergießen
gag	disgust	0.711	Gag
pollute	disgust	0.711	verschmutzen
nausea	disgust	0.711	Brechreiz
tyrant	disgust	0.711	Tyrann
wretched	disgust	0.711	erbärmlich
mortification	disgust	0.711	Demütigung
violent	disgust	0.711	heftig
poisoned	disgust	0.711	vergiftet
nauseate	disgust	0.703	ekeln
slimy	disgust	0.703	schleimig
grope	disgust	0.703	tasten
slut	disgust	0.703	Schlampe
nasty	disgust	0.703	böse
disgusting	disgust	0.703	widerlich
depraved	disgust	0.703	verdorben
porn	disgust	0.703	Porno
hateful	disgust	0.703	hasserfüllt
vulgarity	disgust	0.703	Vulgarität
noxious	disgust	0.703	schädlich
grime	disgust	0.703	Schmutz
constipation	disgust	0.703	Verstopfung
secretion	disgust	0.703	Sekretion
poisoning	disgust	0.703	Vergiftung
despotism	disgust	0.703	Despotismus
measles	disgust	0.696	Masern
contagious	disgust	0.695	ansteckend
obesity	disgust	0.695	Fettleibigkeit
wart	disgust	0.695	Warze
hate	disgust	0.695	hassen
hellish	disgust	0.695	höllisch
scum	disgust	0.695	Abschaum
suicidal	disgust	0.695	lebensmüde
wretch	disgust	0.695	Elend
abuse	disgust	0.695	Missbrauch
waste	disgust	0.695	Abfall
intestinal	disgust	0.695	Darm-
heartworm	disgust	0.688	Herzwurm
ooze	disgust	0.688	Schlamm
treason	disgust	0.688	Verrat
contaminated	disgust	0.688	kontaminiert
smut	disgust	0.688	Schmutz
disease	disgust	0.688	Erkrankung
rabid	disgust	0.688	tollwütig
deformed	disgust	0.680	deformiert
hell	disgust	0.680	Hölle
soulless	disgust	0.680	seelenlos
cholera	disgust	0.680	Cholera
bestial	disgust	0.680	bestialisch
antichrist	disgust	0.680	Antichrist
freakish	disgust	0.680	verrückt
germ	disgust	0.680	Keim
detest	disgust	0.680	verabscheuen
pollution	disgust	0.680	Umweltverschmutzung
grimy	disgust	0.680	schmutzig
abhorrent	disgust	0.680	abscheulich
hatred	disgust	0.680	Hass
abominate	disgust	0.680	verabscheuen
sickness	disgust	0.680	Krankheit
hideous	disgust	0.672	abscheulich
dictatorship	disgust	0.672	Diktatur
loathful	disgust	0.672	abscheulich
greasy	disgust	0.672	fettig
dilapidated	disgust	0.672	baufällig
inhuman	disgust	0.672	unmenschlich
loathing	disgust	0.672	Abscheu
obscene	disgust	0.672	obszön
cess	disgust	0.670	prozess
devil	disgust	0.664	Teufel
deformity	disgust	0.664	Deformität
nauseous	disgust	0.664	übel
deadly	disgust	0.664	tötlich
swine	disgust	0.664	Schwein
discrimination	disgust	0.664	Diskriminierung
abominable	disgust	0.664	abscheulich
masochism	disgust	0.664	Masochismus
heretic	disgust	0.664	Ketzer
latrines	disgust	0.656	Latrinen
corruption	disgust	0.656	Korruption
poisonous	disgust	0.656	giftig
horror	disgust	0.656	Grusel
nefarious	disgust	0.656	schändlich
bacteria	disgust	0.656	Bakterien
horrible	disgust	0.656	entsetzlich
trash	disgust	0.656	Müll
abortion	disgust	0.656	Abbruch
death	disgust	0.656	Tod
prejudiced	disgust	0.656	voreingenommen
poison	disgust	0.656	Gift
oppression	disgust	0.656	Unterdrückung
goo	disgust	0.656	Schmiere
victimized	disgust	0.656	schikaniert
mange	disgust	0.656	Räude
sludge	disgust	0.648	Schlamm
trashy	disgust	0.648	trashig
vindictive	disgust	0.648	rachsüchtig
horrid	disgust	0.648	schrecklich
ugly	disgust	0.648	hässlich
immoral	disgust	0.648	unmoralisch
bitch	disgust	0.648	Hündin
outhouse	disgust	0.648	Nebengebäude
detestation	disgust	0.648	Verabscheuung
horrifying	disgust	0.641	erschreckend
laxative	disgust	0.641	Abführmittel
unsightly	disgust	0.641	unansehnlich
derogatory	disgust	0.641	abwertend
slop	disgust	0.641	schlapp
malfeasance	disgust	0.641	Fehlverhalten
spew	disgust	0.641	speien
pimple	disgust	0.641	Pickel
criminality	disgust	0.641	Kriminalität
indecency	disgust	0.641	Unanständigkeit
cystic	disgust	0.641	zystisch
villainous	disgust	0.641	schurkisch
queasy	disgust	0.633	mulmig
mildew	disgust	0.633	Mehltau
oppressive	disgust	0.633	bedrückend
prostitution	disgust	0.633	Prostitution
secrete	disgust	0.633	absondern
ulcer	disgust	0.633	Geschwür
rat	disgust	0.633	Ratte
bigoted	disgust	0.633	bigott
perpetrator	disgust	0.633	Täter
doomsday	disgust	0.633	Weltuntergang
sinful	disgust	0.633	sündig
degrading	disgust	0.625	erniedrigend
ghastly	disgust	0.625	grässlich
suffering	disgust	0.625	leiden
obscenity	disgust	0.625	Obszönität
devilish	disgust	0.625	teuflisch
disgraceful	disgust	0.625	schändlich
persecution	disgust	0.625	Verfolgung
contemptible	disgust	0.625	verächtlich
cuckold	disgust	0.625	Hahnrei
stools	disgust	0.625	Stühle
dastardly	disgust	0.625	heimtückisch
sin	disgust	0.625	Sünde
gluttony	disgust	0.625	Völlerei
bloated	disgust	0.625	aufgebläht
fungus	disgust	0.625	Pilz
aghast	disgust	0.625	entsetzt
diaper	disgust	0.617	Windel
malicious	disgust	0.617	bösartig
polygamy	disgust	0.617	Polygamie
dying	disgust	0.617	Absterben
termite	disgust	0.617	Termite
fat	disgust	0.617	fett
deceit	disgust	0.617	Täuschung
atrocious	disgust	0.617	scheußlich
guillotine	disgust	0.617	Guillotine
tetanus	disgust	0.617	Tetanus
spoil	disgust	0.617	verderben
crusty	disgust	0.617	knusprig
sickly	disgust	0.617	kränklich
louse	disgust	0.617	Laus
strangle	disgust	0.617	erwürgen
betrayal	disgust	0.617	Verrat
loathe	disgust	0.617	verabscheuen
wench	disgust	0.617	Weibsbild
infect	disgust	0.617	infizieren
violently	disgust	0.609	heftig
brothel	disgust	0.609	Bordell
drool	disgust	0.609	sabbern
bleeding	disgust	0.609	Blutung
deform	disgust	0.609	verformen
ghetto	disgust	0.609	Ghetto
sabotage	disgust	0.609	Sabotage
venomous	disgust	0.609	giftig
abhor	disgust	0.609	verabscheuen
slander	disgust	0.609	Verleumdung
hostile	disgust	0.609	feindlich
musty	disgust	0.602	muffig
illicit	disgust	0.602	unerlaubt
ugliness	disgust	0.602	Hässlichkeit
unwashed	disgust	0.602	ungewaschen
swampy	disgust	0.602	sumpfig
deprivation	disgust	0.602	Entbehrung
poaching	disgust	0.602	Wilderei
hag	disgust	0.602	Hexe
infidel	disgust	0.602	ungläubig
imprisonment	disgust	0.602	Haft
traitor	disgust	0.602	Verräter
lunacy	disgust	0.602	Wahnsinn
queasiness	disgust	0.594	Übelkeit
hostility	disgust	0.594	Feindseligkeit
repelling	disgust	0.594	abstoßend
intoxicated	disgust	0.594	berauscht
thug	disgust	0.594	Schurke
catastrophe	disgust	0.594	Katastrophe
lunatic	disgust	0.594	verrückt
misery	disgust	0.594	Elend
venom	disgust	0.594	Gift
butcher	disgust	0.594	Metzger
toilet	disgust	0.594	Toilette
blister	disgust	0.594	Blase
lurid	disgust	0.594	reißerisch
slug	disgust	0.594	Schnecke
gut	disgust	0.594	Darm
sinner	disgust	0.594	Sünder
deceitful	disgust	0.594	betrügerisch
epidemic	disgust	0.594	Epidemie
deteriorated	disgust	0.586	verschlechtert
lavatory	disgust	0.586	Toilette
unclean	disgust	0.586	unrein
prostitute	disgust	0.586	Prostituierte
incubus	disgust	0.586	Inkubus
appalling	disgust	0.586	entsetzlich
dreadful	disgust	0.586	furchtbar
pornography	disgust	0.586	Pornographie
harass	disgust	0.586	belästigen
squeamish	disgust	0.578	zimperlich
expulsion	disgust	0.578	Vertreibung
unfaithful	disgust	0.578	untreu
offensive	disgust	0.578	beleidigend
hypocrite	disgust	0.578	Heuchler
humiliating	disgust	0.578	demütigend
larceny	disgust	0.578	Diebstahl
ruinous	disgust	0.578	ruinös
retard	disgust	0.578	verzögern
rash	disgust	0.578	Ausschlag
flea	disgust	0.578	Floh
debauchery	disgust	0.578	Ausschweifung
fiend	disgust	0.578	Teufel
quagmire	disgust	0.578	Sumpf
conspirator	disgust	0.578	Verschwörer
sick	disgust	0.578	krank
mangle	disgust	0.578	Mangel
dogsick	disgust	0.570	hundekrank
egregious	disgust	0.570	ungeheuerlich
flog	disgust	0.570	prügeln
despise	disgust	0.570	verachten
treacherous	disgust	0.570	heimtückisch
oppress	disgust	0.570	unterdrücken
swamp	disgust	0.570	Sumpf
messy	disgust	0.570	chaotisch
spit	disgust	0.570	Spucke
dank	disgust	0.570	danke
bastard	disgust	0.570	Bastard
devastating	disgust	0.570	zerstörerisch
serpent	disgust	0.570	Schlange
loo	disgust	0.562	Klo
indecent	disgust	0.562	unanständig
insanity	disgust	0.562	Wahnsinn
stealing	disgust	0.562	stehlen
terrible	disgust	0.562	abscheulich
tyrannical	disgust	0.562	tyrannisch
humiliation	disgust	0.562	Erniedrigung
snake	disgust	0.562	Schlange
sloppy	disgust	0.562	schlampig
sinning	disgust	0.562	sündigen
harmful	disgust	0.562	schädlich
harlot	disgust	0.562	Hure
sordid	disgust	0.562	schmutzig
enemy	disgust	0.562	Feind
alcoholism	disgust	0.562	Alkoholismus
awful	disgust	0.562	furchtbar
ruthless	disgust	0.562	rücksichtslos
scoundrel	disgust	0.562	Schurke
bloody	disgust	0.555	blutig
flabby	disgust	0.555	schlaff
odious	disgust	0.555	abscheulich
beastly	disgust	0.555	tierisch
collusion	disgust	0.555	Absprache
ridicule	disgust	0.555	Spott
discriminating	disgust	0.555	diskriminierend
unattractive	disgust	0.555	unattraktiv
insufferable	disgust	0.555	unerträglich
segregate	disgust	0.555	trennen
arsenic	disgust	0.555	Arsen
threatening	disgust	0.555	bedrohlich
atrophy	disgust	0.555	Atrophie
varicella	disgust	0.555	Windpocken
slayer	disgust	0.555	Jägerin
distaste	disgust	0.555	Abneigung
coward	disgust	0.555	Feigling
robbery	disgust	0.555	Raub
wickedness	disgust	0.555	Bosheit
anathema	disgust	0.547	Anathema
malevolent	disgust	0.547	bösartig
sty	disgust	0.547	Stall
pillage	disgust	0.547	plündern
thief	disgust	0.547	Dieb
suffocating	disgust	0.547	erstickend
condemnation	disgust	0.547	Verurteilung
deleterious	disgust	0.547	schädlich
slur	disgust	0.547	Bogen
purgatory	disgust	0.547	Fegefeuer
attacking	disgust	0.547	angreifen
burglar	disgust	0.547	Einbrecher
ogre	disgust	0.547	Oger
coercion	disgust	0.547	Zwang
vesicular	disgust	0.547	vesikulär
miserable	disgust	0.547	miserabel
bitterly	disgust	0.547	bitterlich
sneer	disgust	0.539	spotten
greedy	disgust	0.539	gierig
gob	disgust	0.539	gob
repellant	disgust	0.539	abweisend
jealous	disgust	0.539	neidisch
drunken	disgust	0.539	betrunken
shame	disgust	0.539	Schande
thrash	disgust	0.539	Prügeln
fatty	disgust	0.539	fettig
liar	disgust	0.539	Lügner
imprisoned	disgust	0.539	eingesperrt
sloth	disgust	0.539	Trägheit
repudiation	disgust	0.539	Zurückweisung
disgrace	disgust	0.539	Schande
infidelity	disgust	0.539	Untreue
pig	disgust	0.539	Schwein
lethal	disgust	0.536	tödlich
burnt	disgust	0.531	verbrannt
brawl	disgust	0.531	Schlägerei
withered	disgust	0.531	verwelkt
blemish	disgust	0.531	Makel
hydrocephalus	disgust	0.531	Hydrozephalus
aberration	disgust	0.531	Abweichung
smuggler	disgust	0.531	Schmuggler
painful	disgust	0.531	schmerzlich
condescension	disgust	0.531	Herablassung
intolerant	disgust	0.531	intolerant
blasphemous	disgust	0.531	blasphemisch
lying	disgust	0.531	lügnerisch
hanging	disgust	0.531	hängend
travesty	disgust	0.531	Travestie
ruined	disgust	0.531	ruiniert
intrusive	disgust	0.531	aufdringlich
disintegrate	disgust	0.531	zerfallen
destructive	disgust	0.531	destruktiv
neurotic	disgust	0.531	neurotisch
disparaging	disgust	0.523	abwertend
blighted	disgust	0.523	verdorben
intolerance	disgust	0.523	Intoleranz
mistress	disgust	0.523	Herrin
avarice	disgust	0.523	Habsucht
disgraced	disgust	0.523	beschämt
derogation	disgust	0.523	Abweichung
rubbish	disgust	0.523	Müll
accusation	disgust	0.523	Anklage
incarceration	disgust	0.523	Inhaftierung
tortious	disgust	0.516	gewunden
dishonor	disgust	0.516	entehren
stink	disgust	0.516	stinken
grim	disgust	0.516	grimmig
rob	disgust	0.516	rauben
defraud	disgust	0.516	betrügen
sump	disgust	0.516	Sumpf
cringe	disgust	0.516	schaudern
vulture	disgust	0.516	Geier
deplorable	disgust	0.516	bedauerlich
mite	disgust	0.516	Milbe
eradication	disgust	0.516	Ausrottung
degrade	disgust	0.516	degradieren
gutter	disgust	0.516	Rinne
convict	disgust	0.516	Sträfling
remains	disgust	0.516	Überreste
betray	disgust	0.516	betrügen
daemon	disgust	0.516	Dämon
sham	disgust	0.509	Schein
distasteful	disgust	0.508	geschmacklos
prisoner	disgust	0.508	Häftling
dreadfully	disgust	0.508	schrecklich
worthless	disgust	0.508	wertlos
crude	disgust	0.508	grob
delirium	disgust	0.508	Delirium
incurable	disgust	0.508	unheilbar
smelling	disgust	0.508	riechen
idiocy	disgust	0.508	Idiotie
resentment	disgust	0.508	Ressentiment
bombed	disgust	0.508	bombardiert
blob	disgust	0.508	Klecks
cheat	disgust	0.508	schummeln
schizophrenia	disgust	0.508	Schizophrenie
rejection	disgust	0.508	Ablehnung
belittle	disgust	0.508	schmälern
glut	disgust	0.508	Glut
disaster	disgust	0.508	Katastrophe
distress	disgust	0.508	Not
pest	disgust	0.508	Pest
endemic	disgust	0.508	endemisch
theft	disgust	0.500	der Diebstahl
banish	disgust	0.500	verbannen
mire	disgust	0.500	Schlamm
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	Spott
dirt	disgust	0.500	Schmutz
screaming	disgust	0.500	schreiend
offense	disgust	0.500	Delikt
jealousy	disgust	0.500	Eifersucht
bribery	disgust	0.500	Bestechung
polemic	disgust	0.500	Polemik
blight	disgust	0.500	Fäulnis
impeach	disgust	0.500	anklagen
bitterness	disgust	0.500	Bitterkeit
taboo	disgust	0.500	Tabu
duress	disgust	0.500	Zwang
goblin	disgust	0.500	Kobold
shackle	disgust	0.500	Schäkel
idolatry	disgust	0.500	Götzendienst
greed	disgust	0.500	Gier
impurity	disgust	0.500	Verunreinigung
tirade	disgust	0.500	Tirade
idiot	disgust	0.492	Dummkopf
boil	disgust	0.492	Kochen
unconscionable	disgust	0.492	gewissenlos
disreputable	disgust	0.492	anrüchig
robber	disgust	0.492	Räuber
malign	disgust	0.492	verleumden
wreck	disgust	0.492	Wrack
recession	disgust	0.492	Rezession
gorge	disgust	0.492	Schlucht
leer	disgust	0.492	leer
ill	disgust	0.492	krank
squirm	disgust	0.492	winden
raging	disgust	0.484	tobt
servile	disgust	0.484	unterwürfig
mess	disgust	0.484	Chaos
nappy	disgust	0.484	Windel
possessed	disgust	0.484	besessen
unbearable	disgust	0.484	unerträglich
occult	disgust	0.484	Okkulte
contraband	disgust	0.484	Schmuggelware
snarl	disgust	0.484	Knurren
mutiny	disgust	0.484	Meuterei
mad	disgust	0.484	wütend
affliction	disgust	0.484	Gebrechen
stain	disgust	0.484	Fleck
animosity	disgust	0.484	Feindseligkeit
contempt	disgust	0.484	Verachtung
tramp	disgust	0.484	Tramp
nepotism	disgust	0.484	Vetternwirtschaft
disrespectful	disgust	0.484	respektlos
defamation	disgust	0.484	Diffamierung
inexcusable	disgust	0.484	unentschuldbar
aversation	disgust	0.484	Abneigung
wasteful	disgust	0.484	verschwenderisch
offender	disgust	0.484	Täter
subjugation	disgust	0.484	Unterwerfung
illegality	disgust	0.477	Rechtswidrigkeit
dismal	disgust	0.477	düster
criminal	disgust	0.477	kriminell
unpleasant	disgust	0.477	unangenehm
palsy	disgust	0.477	Lähmung
antagonistic	disgust	0.477	antagonistisch
pathetic	disgust	0.477	erbärmlich
uncaring	disgust	0.477	gleichgültig
suppression	disgust	0.477	Unterdrückung
immorality	disgust	0.477	Unmoral
mockery	disgust	0.477	Spott
outrage	disgust	0.469	Empörung
mocking	disgust	0.469	Verspottung
wallow	disgust	0.469	Suhle
cough	disgust	0.469	Husten
arrogant	disgust	0.469	arrogant
angry	disgust	0.469	wütend
poverty	disgust	0.469	Armut
grating	disgust	0.469	Gitter
livid	disgust	0.469	wütend
aggravation	disgust	0.469	Verschlimmerung
repellent	disgust	0.469	abweisend
perspiration	disgust	0.469	Schweiß
banishment	disgust	0.469	Verbannung
furious	disgust	0.469	wütend
shoddy	disgust	0.469	Shoddy
banshee	disgust	0.469	Banshee
deceive	disgust	0.461	täuschen
fool	disgust	0.461	täuschen
quack	disgust	0.461	Quacksalber
distorted	disgust	0.461	verzerrt
spider	disgust	0.461	Spinne
unjustifiable	disgust	0.461	nicht zu rechtfertigen
deplore	disgust	0.461	bedauern
spurious	disgust	0.461	falsch
