English Word	Emotion	Emotion-Intensity-Score	Turkish Word
intimate	anticipation	0.570	samimi
omen	anticipation	0.570	alamet
matchmaker	anticipation	0.570	çöpçatan
gambler	anticipation	0.570	kumarbaz
prospectively	anticipation	0.570	ileriye dönük olarak
dare	anticipation	0.570	cesaret etmek
warned	anticipation	0.570	uyardı
invite	anticipation	0.570	Davet et
mysterious	anticipation	0.562	gizemli
accolade	anticipation	0.562	övgü
lover	anticipation	0.562	sevgili
expose	anticipation	0.562	ortaya çıkarmak
enchant	anticipation	0.562	büyü
attempt	anticipation	0.562	teşebbüs
festival	anticipation	0.562	Festival
exalt	anticipation	0.562	yüceltmek
rejoice	anticipation	0.562	sevinmek
independence	anticipation	0.562	bağımsızlık
expected	anticipation	0.562	beklenen
fanfare	anticipation	0.562	tantana
immortality	anticipation	0.562	ölümsüzlük
quicken	anticipation	0.562	hızlandırmak
parade	anticipation	0.562	geçit töreni
fun	anticipation	0.562	eğlence
predilection	anticipation	0.562	tercih
champion	anticipation	0.562	şampiyon
forewarned	anticipation	0.562	önceden uyarılmış
hypothesis	anticipation	0.562	hipotez
trophy	anticipation	0.562	ganimet
shopping	anticipation	0.555	alışveriş
salvation	anticipation	0.555	kurtuluş
feeling	anticipation	0.555	his
speculative	anticipation	0.555	spekülatif
oracle	anticipation	0.555	kehanet
heroism	anticipation	0.555	kahramanlık
boisterous	anticipation	0.555	gürültülü
grasping	anticipation	0.555	kavrama
uneasiness	anticipation	0.555	huzursuzluk
curiosity	anticipation	0.555	merak
happy	anticipation	0.555	mutlu
rejoicing	anticipation	0.555	sevindirici
fate	anticipation	0.555	kader
liberty	anticipation	0.555	özgürlük
unfold	anticipation	0.555	açılmak
amour	anticipation	0.555	aşk
lovely	anticipation	0.555	sevimli
splendor	anticipation	0.555	ihtişam
grow	anticipation	0.555	büyümek
glimmer	anticipation	0.547	parıltı
incite	anticipation	0.547	tetiklemek
abundance	anticipation	0.547	bolluk
resultant	anticipation	0.547	sonuç
probability	anticipation	0.547	olasılık
recreational	anticipation	0.547	eğlence
glory	anticipation	0.547	görkem
agape	anticipation	0.547	agape
delighted	anticipation	0.547	memnun
changeable	anticipation	0.547	değiştirilebilir
convergence	anticipation	0.547	yakınsama
bountiful	anticipation	0.547	bol
warn	anticipation	0.547	uyarmak
monetary	anticipation	0.547	parasal
sorcery	anticipation	0.547	büyücülük
morrow	anticipation	0.547	yarın
apprehensive	anticipation	0.547	endişeli
hungry	anticipation	0.547	aç
vote	anticipation	0.547	oy
suspicious	anticipation	0.547	şüpheli
pray	anticipation	0.547	dua etmek
leisure	anticipation	0.547	boş vakit
hunting	anticipation	0.539	avlanma
sensual	anticipation	0.539	şehvetli
tempest	anticipation	0.539	fırtına
auction	anticipation	0.539	açık arttırma
ballot	anticipation	0.539	oy pusulası
grandchildren	anticipation	0.539	torunlar
hankering	anticipation	0.539	hasret
entertainment	anticipation	0.539	eğlence
merge	anticipation	0.539	birleştirmek
exceed	anticipation	0.539	aşmak
vindication	anticipation	0.539	haklı çıkarma
blessings	anticipation	0.539	nimetler
inquiry	anticipation	0.539	soruşturma
bounty	anticipation	0.539	ödül
worrying	anticipation	0.539	endişe verici
contingent	anticipation	0.539	şarta bağlı
glad	anticipation	0.536	memnun
harbinger	anticipation	0.531	habercisi
magnificent	anticipation	0.531	muhteşem
virginity	anticipation	0.531	bekaret
stealthy	anticipation	0.531	gizli
appeal	anticipation	0.531	çekici
forming	anticipation	0.531	oluşturan
celestial	anticipation	0.531	göksel
raving	anticipation	0.531	çılgın
deliverance	anticipation	0.531	kurtuluş
feat	anticipation	0.531	başarı
cheer	anticipation	0.531	tezahürat
responsive	anticipation	0.531	duyarlı
hurried	anticipation	0.531	acele
betrothed	anticipation	0.531	nişanlı
overthrow	anticipation	0.531	devirmek
spirits	anticipation	0.531	ruhlar
dread	anticipation	0.531	korku
visitor	anticipation	0.531	ziyaretçi
wait	anticipation	0.523	Bekle
revive	anticipation	0.523	canlandırmak
watch	anticipation	0.523	izlemek
hunter	anticipation	0.523	avcı
radiance	anticipation	0.523	parlaklık
planning	anticipation	0.523	planlama
germination	anticipation	0.523	çimlenme
competition	anticipation	0.523	yarışma
preparatory	anticipation	0.523	hazırlık
prognostic	anticipation	0.523	prognostik
beaming	anticipation	0.523	ışık saçan
cheery	anticipation	0.523	neşeli
prevail	anticipation	0.523	üstün gelmek
importance	anticipation	0.523	önem
notification	anticipation	0.523	bildirim
explosive	anticipation	0.523	patlayıcı
pleasant	anticipation	0.523	güzel
ultimately	anticipation	0.523	sonuçta
child	anticipation	0.523	çocuk
haste	anticipation	0.523	acele
prophet	anticipation	0.523	peygamber
recreation	anticipation	0.516	yeniden yaratma
present	anticipation	0.516	Sunmak
time	anticipation	0.516	zaman
sensuality	anticipation	0.516	duygusallık
owing	anticipation	0.516	borçlu
loom	anticipation	0.516	dokuma tezgahı
begun	anticipation	0.516	başladı
salary	anticipation	0.516	aylık maaş
celebrity	anticipation	0.516	ünlü
treat	anticipation	0.516	davranmak
chocolate	anticipation	0.516	çikolata
caution	anticipation	0.516	Dikkat
fermentation	anticipation	0.516	fermantasyon
uncontrollable	anticipation	0.516	kontrol edilemez
precious	anticipation	0.516	değerli
compensate	anticipation	0.516	tazmin etmek
endanger	anticipation	0.516	tehlikeye atmak
renovation	anticipation	0.516	yenileme
signify	anticipation	0.508	belirtmek
vigilance	anticipation	0.508	uyanıklık
prerequisite	anticipation	0.508	ön koşul
perfection	anticipation	0.508	mükemmellik
cultivate	anticipation	0.508	yetiştirmek
develop	anticipation	0.508	geliştirmek
cue	anticipation	0.508	isteka
exigent	anticipation	0.508	acil
transitional	anticipation	0.508	geçiş
commemoration	anticipation	0.508	anma
intermission	anticipation	0.508	ara
elevation	anticipation	0.508	yükseklik
infant	anticipation	0.508	bebek
practise	anticipation	0.508	uygulama
contemplation	anticipation	0.508	tefekkür
dreadful	anticipation	0.508	korkunç
wilderness	anticipation	0.508	el değmemiş doğa
horizon	anticipation	0.508	ufuk
sneaking	anticipation	0.500	gizlice
uphill	anticipation	0.500	yokuş yukarı
puppy	anticipation	0.500	köpek yavrusu
blindfold	anticipation	0.500	körü körüne
unbridled	anticipation	0.500	dizginsiz
horoscope	anticipation	0.500	Burçlar
airport	anticipation	0.500	havalimanı
reconciliation	anticipation	0.500	mutabakat
advocacy	anticipation	0.500	savunuculuk
litigate	anticipation	0.500	dava açmak
sunny	anticipation	0.500	güneşli
intuitively	anticipation	0.500	sezgisel olarak
hero	anticipation	0.500	kahraman
ardent	anticipation	0.500	ateşli
commemorate	anticipation	0.500	anmak
romantic	anticipation	0.500	romantik
doomsday	anticipation	0.500	kiyamet gunu
ready	anticipation	0.500	hazır
nascent	anticipation	0.500	doğmakta olan
invocation	anticipation	0.500	çağırma
depart	anticipation	0.500	yola çıkmak
undisclosed	anticipation	0.500	açıklanmayan
attendance	anticipation	0.500	katılım
peril	anticipation	0.500	tehlike
income	anticipation	0.500	Gelir
calculation	anticipation	0.500	hesaplama
zeal	anticipation	0.500	gayret
eventuality	anticipation	0.500	olasılık
favorable	anticipation	0.500	elverişli
utopian	anticipation	0.500	ütopik
swim	anticipation	0.500	yüzmek
proceeding	anticipation	0.492	devam ediyor
eventual	anticipation	0.492	nihai
heyday	anticipation	0.492	parlak gün
undertaking	anticipation	0.492	taahhüt
improvise	anticipation	0.492	doğaçlama yapmak
inauguration	anticipation	0.492	resmen işe başlama
consequent	anticipation	0.492	sonuç olarak
perspective	anticipation	0.492	perspektif
defense	anticipation	0.492	savunma
repay	anticipation	0.492	geri ödemek
gaping	anticipation	0.492	ağzı açık
youth	anticipation	0.492	gençlik
parole	anticipation	0.492	şartlı tahliye
worry	anticipation	0.492	endişe etmek
bless	anticipation	0.492	korusun
restorative	anticipation	0.492	onarıcı
court	anticipation	0.492	mahkeme
highest	anticipation	0.491	en yüksek
shortly	anticipation	0.484	kısaca
auspicious	anticipation	0.484	uğurlu
princely	anticipation	0.484	prens
correspondence	anticipation	0.484	yazışma
generosity	anticipation	0.484	cömertlik
sparkle	anticipation	0.484	ışıltı
voluptuous	anticipation	0.484	şehvetli
happen	anticipation	0.484	olmak
tremor	anticipation	0.484	titreme
letter	anticipation	0.484	mektup
vow	anticipation	0.484	yemin
sharpen	anticipation	0.484	keskinleştirmek
duel	anticipation	0.484	düello
conjure	anticipation	0.484	çağrı yapmak
threaten	anticipation	0.484	tehdit etmek
god	anticipation	0.484	tanrı
engulf	anticipation	0.484	yutmak
unexplained	anticipation	0.484	açıklanamayan
contagion	anticipation	0.484	bulaşma
glorify	anticipation	0.477	yüceltmek
submit	anticipation	0.477	Sunmak
enroll	anticipation	0.477	kaydolmak
unification	anticipation	0.477	birleşme
gravitate	anticipation	0.477	yerçekimi
glide	anticipation	0.477	kayma
accompaniment	anticipation	0.477	eşlik
cherish	anticipation	0.477	beslemek
adore	anticipation	0.477	hayranlık duymak
powerful	anticipation	0.477	güçlü
clue	anticipation	0.477	ipucu
medal	anticipation	0.477	madalya
contemplate	anticipation	0.477	düşünmek
perilous	anticipation	0.477	tehlikeli
determinate	anticipation	0.477	belirli
arbitration	anticipation	0.477	Tahkim
recipient	anticipation	0.477	alıcı
onset	anticipation	0.477	başlangıç
predispose	anticipation	0.477	yatkınlık
score	anticipation	0.477	Puan
torture	anticipation	0.477	işkence
glow	anticipation	0.477	parıltı
praiseworthy	anticipation	0.473	övgüye değer
football	anticipation	0.469	Futbol
scare	anticipation	0.469	Korkmak
elite	anticipation	0.469	seçkinler
unknown	anticipation	0.469	Bilinmeyen
precursor	anticipation	0.469	haberci
pry	anticipation	0.469	gözetlemek
providing	anticipation	0.469	sağlama
sweets	anticipation	0.469	tatlılar
cautious	anticipation	0.469	dikkatli
opera	anticipation	0.469	opera
motion	anticipation	0.469	hareket
cash	anticipation	0.469	nakit
creeping	anticipation	0.469	sürünen
invoke	anticipation	0.469	çağırmak
star	anticipation	0.469	yıldız
shaky	anticipation	0.469	titrek
production	anticipation	0.469	üretme
successful	anticipation	0.469	başarılı
immediately	anticipation	0.469	hemen
dawn	anticipation	0.469	şafak
starry	anticipation	0.469	yıldızlı
unsurpassed	anticipation	0.469	eşsiz
completion	anticipation	0.469	tamamlama
hire	anticipation	0.469	kiralamak
fete	anticipation	0.469	bayram
commemorative	anticipation	0.461	hatıra
shining	anticipation	0.461	parlıyor
testament	anticipation	0.461	vasiyet
pay	anticipation	0.461	ödemek
alive	anticipation	0.461	canlı
plight	anticipation	0.461	vâât
preliminary	anticipation	0.461	ön hazırlık
overture	anticipation	0.461	uvertür
sanctuary	anticipation	0.461	barınak
regatta	anticipation	0.461	yarış
draft	anticipation	0.461	taslak
synchronize	anticipation	0.461	senkronize etmek
soundness	anticipation	0.461	sağlamlık
extricate	anticipation	0.461	çıkarmak
excel	anticipation	0.461	mükemmel
punt	anticipation	0.461	punt
untold	anticipation	0.461	anlatılmamış
brilliant	anticipation	0.461	muhteşem
cheerfulness	anticipation	0.461	neşe
jeopardy	anticipation	0.461	tehlike
friendly	anticipation	0.461	arkadaş canlısı
mail	anticipation	0.461	posta
unexpected	anticipation	0.453	beklenmedik
basketball	anticipation	0.453	Basketbol
inaugural	anticipation	0.453	açılış
supremacy	anticipation	0.453	üstünlük
rehabilitation	anticipation	0.453	rehabilitasyon
intimately	anticipation	0.453	yakından
career	anticipation	0.453	kariyer
prevention	anticipation	0.453	önleme
renovate	anticipation	0.453	yenilemek
compliment	anticipation	0.453	iltifat
prologue	anticipation	0.453	prolog
elegance	anticipation	0.453	zarafet
complement	anticipation	0.453	Tamamlayıcı
flinch	anticipation	0.453	çekinmek
infinity	anticipation	0.453	sonsuzluk
perpetuity	anticipation	0.453	sonsuzluk
sunset	anticipation	0.453	gün batımı
improve	anticipation	0.453	geliştirmek
fitting	anticipation	0.445	uydurma
confidence	anticipation	0.445	kendinden emin
concealment	anticipation	0.445	gizleme
sweet	anticipation	0.445	tatlı
perfect	anticipation	0.445	mükemmel
epidemic	anticipation	0.445	epidemi
fain	anticipation	0.445	baygınlık
volunteer	anticipation	0.445	gönüllü
share	anticipation	0.445	Paylaş
surround	anticipation	0.445	çevrelemek
conjecture	anticipation	0.445	varsayım
sun	anticipation	0.445	güneş
veracity	anticipation	0.445	doğruluk
serial	anticipation	0.438	seri
angel	anticipation	0.438	melek
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	aziz
tickle	anticipation	0.438	gıdıklamak
superstitious	anticipation	0.438	batıl inançlı
ferment	anticipation	0.438	maya
conservation	anticipation	0.438	koruma
devout	anticipation	0.438	dindar
respect	anticipation	0.438	saygı
reconstruction	anticipation	0.438	yeniden yapılanma
goodness	anticipation	0.438	iyilik
reconstruct	anticipation	0.438	yeniden inşa etmek
faith	anticipation	0.438	inanç
recombination	anticipation	0.438	rekombinasyon
prepared	anticipation	0.438	tedarikli
rabid	anticipation	0.438	kuduz
plea	anticipation	0.438	savunma
medical	anticipation	0.438	tıbbi
passenger	anticipation	0.438	yolcu
charitable	anticipation	0.430	yardımsever
tabulate	anticipation	0.430	tablolamak
peace	anticipation	0.430	Barış
install	anticipation	0.430	Yüklemek
serenity	anticipation	0.430	sakinlik
venerable	anticipation	0.430	saygıdeğer
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirent
luscious	anticipation	0.430	tatlı
perpetuate	anticipation	0.430	sürdürmek
strategist	anticipation	0.430	stratejist
unverified	anticipation	0.430	doğrulanmamış
tribunal	anticipation	0.430	mahkeme
clap	anticipation	0.430	alkış
peaceful	anticipation	0.422	huzurlu
patience	anticipation	0.422	sabır
unresolved	anticipation	0.422	çözülmemiş
worship	anticipation	0.422	tapmak
edification	anticipation	0.422	düzenleme
oasis	anticipation	0.422	vaha
grin	anticipation	0.422	sırıtış
revere	anticipation	0.422	saygı duymak
candid	anticipation	0.422	samimi
vista	anticipation	0.422	manzara
conspirator	anticipation	0.422	komplocu
adrift	anticipation	0.422	sürüklenmek
recognizable	anticipation	0.422	tanınabilir
volatility	anticipation	0.422	oynaklık
forestall	anticipation	0.422	önlemek
laughter	anticipation	0.422	kahkaha
continue	anticipation	0.414	devam et
ongoing	anticipation	0.414	devam eden
astrologer	anticipation	0.414	astrolog
mediate	anticipation	0.414	aracılık etmek
punctual	anticipation	0.414	dakik
grant	anticipation	0.414	hibe
morn	anticipation	0.414	sabah
pretty	anticipation	0.414	tatlı
withstand	anticipation	0.414	dayanmak
frisky	anticipation	0.414	enerjik
thought	anticipation	0.414	düşünce
probation	anticipation	0.414	şartlı serbestlik
ordination	anticipation	0.414	emretmek
calls	anticipation	0.414	aramalar
detainee	anticipation	0.414	tutuklu
craps	anticipation	0.414	barbut
weigh	anticipation	0.414	tartmak
proficiency	anticipation	0.414	yeterlilik
sing	anticipation	0.411	şarkı söyle
continuation	anticipation	0.406	devam
university	anticipation	0.406	Üniversite
chicane	anticipation	0.406	şike
nurture	anticipation	0.406	beslemek
mother	anticipation	0.406	anne
punished	anticipation	0.406	cezalandırılmış
twinkle	anticipation	0.406	pırıltı
confession	anticipation	0.406	itiraf
outdo	anticipation	0.406	geçmek
prophylactic	anticipation	0.406	profilaktik
proud	anticipation	0.406	gurur duymak
midwife	anticipation	0.406	ebe
wizard	anticipation	0.406	sihirbaz
headlight	anticipation	0.406	far
long	anticipation	0.406	uzun
banquet	anticipation	0.406	ziyafet
comfort	anticipation	0.406	konfor
navigable	anticipation	0.406	gezilebilir
subscribe	anticipation	0.406	abone olmak
opponent	anticipation	0.406	rakip
debenture	anticipation	0.406	tahvil
deal	anticipation	0.402	anlaştık mı
symphony	anticipation	0.398	senfoni
saintly	anticipation	0.398	aziz
judiciary	anticipation	0.398	yargı
lettered	anticipation	0.398	harfli
vigil	anticipation	0.398	nöbet
reliance	anticipation	0.398	güven
distracting	anticipation	0.398	dikkat dağıtıcı
mortification	anticipation	0.398	küçük düşürme
balm	anticipation	0.398	balsam
simmer	anticipation	0.398	kaynatma
top	anticipation	0.398	tepe
obliging	anticipation	0.398	mecbur
efficient	anticipation	0.398	verimli
guillotine	anticipation	0.398	giyotin
representing	anticipation	0.398	temsil eden
death	anticipation	0.398	ölüm
assurance	anticipation	0.391	güvence
familiarity	anticipation	0.391	aşinalık
depraved	anticipation	0.391	ahlaksız
condemnation	anticipation	0.391	kınama
undoubted	anticipation	0.391	şüphesiz
sanctify	anticipation	0.391	kutsallaştırmak
diplomacy	anticipation	0.391	diplomasi
antidote	anticipation	0.391	panzehir
trust	anticipation	0.391	güven
linger	anticipation	0.391	oyalanmak
objective	anticipation	0.391	amaç
chuckle	anticipation	0.391	kıkırdama
poke	anticipation	0.391	dürtmek
abeyance	anticipation	0.391	bekleme
maternal	anticipation	0.391	anne
art	anticipation	0.391	Sanat
unfulfilled	anticipation	0.391	yerine getirilmemiş
inoculation	anticipation	0.384	aşılama
simplify	anticipation	0.383	basitleştirmek
depend	anticipation	0.383	bağımlı
chant	anticipation	0.383	ilahi
ram	anticipation	0.383	Veri deposu
banger	anticipation	0.383	vurucu
playground	anticipation	0.383	oyun alanı
labor	anticipation	0.383	iş gücü
scientist	anticipation	0.383	Bilim insanı
good	anticipation	0.383	iyi
humanitarian	anticipation	0.383	insancıl
failing	anticipation	0.383	başarısız
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	saygılı
hymn	anticipation	0.383	ilahi
ship	anticipation	0.383	gemi
discretion	anticipation	0.383	takdir yetkisi
undecided	anticipation	0.383	kararsız
gradual	anticipation	0.375	kademeli
navigator	anticipation	0.375	gezgin
track	anticipation	0.375	Izlemek
cradle	anticipation	0.375	beşik
sterling	anticipation	0.375	sterlin
interim	anticipation	0.375	geçici
clock	anticipation	0.375	saat
mountain	anticipation	0.375	dağ
interminable	anticipation	0.375	bitmez tükenmez
public	anticipation	0.375	halka açık
recurrent	anticipation	0.375	tekrarlayan
savor	anticipation	0.375	tadı
abide	anticipation	0.367	uymak
concealed	anticipation	0.367	gizli
spear	anticipation	0.367	mızrak
lesson	anticipation	0.367	ders
instructions	anticipation	0.367	Talimatlar
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	bienal
convince	anticipation	0.367	ikna etmek
whim	anticipation	0.367	heves
shiver	anticipation	0.367	titreme
towering	anticipation	0.367	yükselen
musical	anticipation	0.367	müzikal
offset	anticipation	0.359	telafi etmek
theory	anticipation	0.359	teori
theology	anticipation	0.359	ilahiyat
undying	anticipation	0.359	ölümsüz
timidity	anticipation	0.359	çekingenlik
plump	anticipation	0.359	Tombul
atone	anticipation	0.359	kefaret
audience	anticipation	0.357	kitle
dietary	anticipation	0.352	diyet
consecration	anticipation	0.352	kutsama
localize	anticipation	0.352	yerelleştirmek
paragon	anticipation	0.352	mükemmel
store	anticipation	0.352	mağaza
farm	anticipation	0.352	çiftlik
daily	anticipation	0.352	günlük
cramp	anticipation	0.352	kramp
nobility	anticipation	0.352	asalet
closure	anticipation	0.352	kapatma
edition	anticipation	0.352	baskı
kindred	anticipation	0.352	akraba
stripped	anticipation	0.344	soyulmuş
errand	anticipation	0.344	ayak işi
archaeology	anticipation	0.344	arkeoloji
mutable	anticipation	0.344	değişken
wireless	anticipation	0.344	kablosuz
meditate	anticipation	0.344	meditasyon yapmak
mobile	anticipation	0.344	mobil
germ	anticipation	0.336	mikrop
brotherly	anticipation	0.336	kardeşçe
lessen	anticipation	0.336	azaltmak
unbeaten	anticipation	0.336	yenilmez
pare	anticipation	0.336	pare
buddy	anticipation	0.336	ahbap
unaccountable	anticipation	0.336	sorumsuz
dove	anticipation	0.328	güvercin
patient	anticipation	0.328	hasta
secular	anticipation	0.328	laik
digress	anticipation	0.328	konu dışına çıkmak
chastity	anticipation	0.328	iffet
council	anticipation	0.328	konsey
olfactory	anticipation	0.328	koku alma
ribbon	anticipation	0.328	kurdele
possess	anticipation	0.328	elinde bulundurmak
disposed	anticipation	0.320	bertaraf
scrutinize	anticipation	0.320	incelemek
immature	anticipation	0.320	olgunlaşmamış
mediator	anticipation	0.320	arabulucu
regularity	anticipation	0.320	düzenlilik
cove	anticipation	0.320	koy
infanticide	anticipation	0.320	bebek öldürme
paddle	anticipation	0.320	kürek
heft	anticipation	0.320	ağırlık
fancy	anticipation	0.320	süslü
preservative	anticipation	0.320	koruyucu
unpublished	anticipation	0.312	yayınlanmamış
church	anticipation	0.312	kilise
bugle	anticipation	0.312	borazan
grim	anticipation	0.312	acımasız
denying	anticipation	0.312	inkar
analyst	anticipation	0.312	analist
judicial	anticipation	0.305	adli
priesthood	anticipation	0.305	rahiplik
broadside	anticipation	0.305	borda
mill	anticipation	0.305	değirmen
dismay	anticipation	0.297	dehşet
cap	anticipation	0.297	kap
thermocouple	anticipation	0.297	termokupl
tributary	anticipation	0.297	kol
instructor	anticipation	0.297	eğitmen
exhaustion	anticipation	0.297	yorgunluk
saliva	anticipation	0.297	tükürük
cataract	anticipation	0.289	katarakt
network	anticipation	0.289	ağ
visor	anticipation	0.289	vizör
shackle	anticipation	0.289	kelepçe
wont	anticipation	0.289	alışkanlık
addresses	anticipation	0.289	adresler
discreet	anticipation	0.289	sağduyulu
noncompliance	anticipation	0.289	uyumsuzluk
bruise	anticipation	0.289	çürük
homeless	anticipation	0.289	evsiz
astronomer	anticipation	0.281	astronom
skewed	anticipation	0.281	çarpitilmis
neighbor	anticipation	0.281	komşu
holiness	anticipation	0.273	kutsallık
devil	anticipation	0.273	şeytan
picket	anticipation	0.273	kazık
sentence	anticipation	0.273	cümle
latent	anticipation	0.273	gizli
cream	anticipation	0.273	krem
immaturity	anticipation	0.273	olgunlaşmamışlık
habitual	anticipation	0.266	alışılmış
morals	anticipation	0.266	ahlak
neighborhood	anticipation	0.266	komşu
lull	anticipation	0.266	sükunet
bye	anticipation	0.258	Hoşçakal
weight	anticipation	0.258	ağırlık
organ	anticipation	0.250	organ
clown	anticipation	0.250	palyaço
forearm	anticipation	0.250	kolun ön kısmı
commonplace	anticipation	0.242	sıradan
quote	anticipation	0.242	alıntı
rail	anticipation	0.234	Demiryolu
dictatorship	anticipation	0.234	diktatörlük
treadmill	anticipation	0.234	koşu bandı
board	anticipation	0.234	yazı tahtası
tree	anticipation	0.227	ağaç
sundial	anticipation	0.227	güneş saati
paralysis	anticipation	0.211	felç
cement	anticipation	0.203	çimento
worm	anticipation	0.203	solucan
organization	anticipation	0.203	organizasyon
lagging	anticipation	0.180	gecikme
neutral	anticipation	0.148	doğal
cannibalism	disgust	0.953	yamyamlık
mutilation	disgust	0.930	sakatlama
molestation	disgust	0.914	sarkıntılık
incest	disgust	0.914	ensest
rape	disgust	0.906	tecavüz
gonorrhea	disgust	0.906	bel soğukluğu
cannibal	disgust	0.898	yamyam
rot	disgust	0.891	çürümek
corpse	disgust	0.883	ceset
massacre	disgust	0.883	katliam
excrement	disgust	0.883	dışkı
barf	disgust	0.875	kusmuk
slaughter	disgust	0.875	Katliam
slaughterhouse	disgust	0.867	kesimhane
incestuous	disgust	0.859	ensest
sewerage	disgust	0.859	kanalizasyon
filth	disgust	0.859	pislik
bigot	disgust	0.859	bağnaz
rancid	disgust	0.859	kokmuş
infestation	disgust	0.852	istila
plague	disgust	0.852	veba
holocaust	disgust	0.852	soykırım
bloodthirsty	disgust	0.852	kana susamış
rotting	disgust	0.844	çürüyen
fecal	disgust	0.844	dışkı
maggot	disgust	0.844	kurtçuk
feces	disgust	0.844	dışkı
murder	disgust	0.839	cinayet
asshole	disgust	0.836	Pislik
homicide	disgust	0.836	cinayet
enslaved	disgust	0.836	köleleştirilmiş
infanticide	disgust	0.836	bebek öldürme
perverted	disgust	0.828	sapık
excretion	disgust	0.828	boşaltım
gore	disgust	0.828	kan
slaughtering	disgust	0.828	kesim
torture	disgust	0.828	işkence
contaminate	disgust	0.821	kirletmek
revolting	disgust	0.820	isyankar
gory	disgust	0.820	kanlı
shit	disgust	0.820	bok
terrorist	disgust	0.820	terörist
murderer	disgust	0.820	katil
repugnant	disgust	0.820	iğrenç
manure	disgust	0.820	gübre
pervert	disgust	0.820	sapık
diarrhoea	disgust	0.820	ishal
grotesque	disgust	0.820	grotesk
desecration	disgust	0.820	hürmetsizlik
faeces	disgust	0.812	dışkı
slavery	disgust	0.812	kölelik
sewer	disgust	0.812	kanalizasyon
cadaver	disgust	0.812	kadavra
manslaughter	disgust	0.812	adam öldürme
dismemberment	disgust	0.812	parçalanma
vomit	disgust	0.812	kusmak
perverse	disgust	0.805	sapık
repulsive	disgust	0.805	itici
hemorrhage	disgust	0.805	kanama
sewage	disgust	0.797	kanalizasyon
filthy	disgust	0.797	pis
diseased	disgust	0.797	hastalıklı
depravity	disgust	0.797	ahlaksızlık
carcass	disgust	0.795	karkas
decompose	disgust	0.789	çürümek
gruesome	disgust	0.789	korkunç
mutilated	disgust	0.789	sakatlanmış
puke	disgust	0.789	kusmak
herpes	disgust	0.789	uçuk
decayed	disgust	0.789	çürümüş
dung	disgust	0.789	gübre
vermin	disgust	0.789	haşarat
murderous	disgust	0.789	öldürücü
parasite	disgust	0.789	parazit
horrific	disgust	0.789	korkunç
carnage	disgust	0.781	katliam
malaria	disgust	0.781	sıtma
slime	disgust	0.781	balçık
flatulence	disgust	0.781	şişkinlik
pestilence	disgust	0.781	salgın hastalık
crap	disgust	0.781	saçmalık
monstrosity	disgust	0.781	canavarlık
loathsome	disgust	0.773	iğrenç
toxic	disgust	0.773	toksik
morgue	disgust	0.773	morg
pus	disgust	0.773	irin
herpesvirus	disgust	0.773	herpes virüsü
leprosy	disgust	0.773	cüzzam
insidious	disgust	0.773	sinsi
cruel	disgust	0.766	zalim
regurgitation	disgust	0.766	yetersizlik
anthrax	disgust	0.766	şarbon
xenophobia	disgust	0.766	yabancı düşmanlığı
repugnance	disgust	0.766	tiksinme
lynch	disgust	0.766	linç
revulsion	disgust	0.766	tiksinti
whore	disgust	0.766	fahişe
dissection	disgust	0.759	diseksiyon
mucous	disgust	0.758	mukoza
canker	disgust	0.758	kanser
slum	disgust	0.758	gecekondu
infectious	disgust	0.758	bulaşıcı
evil	disgust	0.758	fenalık
phlegm	disgust	0.758	balgam
cruelty	disgust	0.758	zulüm
perversion	disgust	0.758	sapıklık
sinister	disgust	0.750	uğursuz
leeches	disgust	0.750	sülükler
corrupting	disgust	0.750	yozlaştırıcı
decomposition	disgust	0.750	ayrışma
abomination	disgust	0.742	iğrenç
stinking	disgust	0.742	kokuşmuş
bile	disgust	0.742	safra
demonic	disgust	0.742	şeytani
deranged	disgust	0.742	dengesiz
abhorrence	disgust	0.742	tiksinme
soiled	disgust	0.742	kirli
mucus	disgust	0.742	mukus
septic	disgust	0.742	septik
sickening	disgust	0.742	mide bulandırıcı
demon	disgust	0.742	iblis
cancer	disgust	0.734	kanser
obese	disgust	0.734	obez
degeneracy	disgust	0.734	yozlaşma
despicable	disgust	0.734	aşağılık
atrocity	disgust	0.734	vahşet
foul	disgust	0.734	faul
sicken	disgust	0.734	hastalanmak
crucifixion	disgust	0.734	çarmıha germe
terrorism	disgust	0.734	terörizm
repulsion	disgust	0.727	itme
morbidity	disgust	0.727	hastalık
dysentery	disgust	0.727	dizanteri
enema	disgust	0.727	lavman
bacterium	disgust	0.727	bakteri
dirty	disgust	0.727	kirli
adultery	disgust	0.727	zina
contamination	disgust	0.727	bulaşma
grisly	disgust	0.727	ürkütücü
diabolical	disgust	0.727	şeytani
autopsy	disgust	0.719	otopsi
barbaric	disgust	0.719	barbarca
vulgar	disgust	0.719	kaba
entrails	disgust	0.719	bağırsaklar
disgust	disgust	0.719	iğrenme
lewd	disgust	0.719	iffetsiz
muck	disgust	0.719	çamur
bowels	disgust	0.719	bağırsaklar
garbage	disgust	0.719	çöp
deterioration	disgust	0.719	bozulma
contagion	disgust	0.719	bulaşma
vicious	disgust	0.719	kısır
