English Word	Emotion	Emotion-Intensity-Score	Malayalam Word
unfaithful	disgust	0.578	അവിശ്വസ്തൻ
offensive	disgust	0.578	കുറ്റകരമായ
hypocrite	disgust	0.578	കപടഭക്തൻ
humiliating	disgust	0.578	അപമാനിക്കുന്നു
larceny	disgust	0.578	മോഷണം
ruinous	disgust	0.578	വിനാശകരമായ
retard	disgust	0.578	മന്ദബുദ്ധി
rash	disgust	0.578	ചുണങ്ങു
flea	disgust	0.578	ചെള്ള്
debauchery	disgust	0.578	ധിക്കാരം
fiend	disgust	0.578	ക്രൂരൻ
quagmire	disgust	0.578	കാടത്തം
conspirator	disgust	0.578	ഗൂഢാലോചനക്കാരൻ
sick	disgust	0.578	രോഗിയായ
mangle	disgust	0.578	മാംഗിൾ
dogsick	disgust	0.570	നായ്ക്കുട്ടി
egregious	disgust	0.570	അതിഗംഭീരമായ
flog	disgust	0.570	ചമ്മട്ടി
despise	disgust	0.570	നിന്ദിക്കുക
treacherous	disgust	0.570	വഞ്ചകൻ
oppress	disgust	0.570	അടിച്ചമർത്തുക
swamp	disgust	0.570	ചതുപ്പ്
messy	disgust	0.570	കുഴപ്പം
spit	disgust	0.570	തുപ്പി
dank	disgust	0.570	ഡാങ്ക്
bastard	disgust	0.570	തന്തയില്ലാത്തവൻ
devastating	disgust	0.570	വിനാശകരമായ
serpent	disgust	0.570	സർപ്പം
loo	disgust	0.562	ലൂ
indecent	disgust	0.562	നീചമായ
insanity	disgust	0.562	ഭ്രാന്ത്
stealing	disgust	0.562	മോഷ്ടിക്കുന്നു
terrible	disgust	0.562	ഭയങ്കരം
tyrannical	disgust	0.562	സ്വേച്ഛാധിപത്യം
humiliation	disgust	0.562	അപമാനം
snake	disgust	0.562	പാമ്പ്
sloppy	disgust	0.562	മന്ദബുദ്ധി
sinning	disgust	0.562	പാപം ചെയ്യുന്നു
harmful	disgust	0.562	ഹാനികരമായ
harlot	disgust	0.562	വേശ്യ
sordid	disgust	0.562	വൃത്തികെട്ട
enemy	disgust	0.562	ശത്രു
alcoholism	disgust	0.562	മദ്യപാനം
awful	disgust	0.562	ഭയങ്കരം
ruthless	disgust	0.562	നിഷ്കരുണം
scoundrel	disgust	0.562	തെമ്മാടി
bloody	disgust	0.555	രക്തരൂക്ഷിതമായ
flabby	disgust	0.555	മങ്ങിയ
odious	disgust	0.555	നിന്ദ്യമായ
beastly	disgust	0.555	മൃഗീയമായി
collusion	disgust	0.555	ഒത്തുകളി
ridicule	disgust	0.555	പരിഹാസം
discriminating	disgust	0.555	വിവേചനം
unattractive	disgust	0.555	ആകർഷകമല്ലാത്ത
insufferable	disgust	0.555	സഹിക്കാനാവാത്ത
segregate	disgust	0.555	വേർതിരിക്കുക
arsenic	disgust	0.555	ആഴ്സനിക്
threatening	disgust	0.555	ഭീഷണിപ്പെടുത്തുന്നു
atrophy	disgust	0.555	അട്രോഫി
varicella	disgust	0.555	വരിസെല്ല
slayer	disgust	0.555	കൊലയാളി
distaste	disgust	0.555	അനിഷ്ടം
coward	disgust	0.555	ഭീരു
robbery	disgust	0.555	കവർച്ച
wickedness	disgust	0.555	ദുഷ്ടത
anathema	disgust	0.547	അനാഥത്വം
malevolent	disgust	0.547	ദ്രോഹകരമായ
sty	disgust	0.547	ഭംഗിയുള്ള
pillage	disgust	0.547	കൊള്ള
thief	disgust	0.547	കള്ളൻ
suffocating	disgust	0.547	ശ്വാസം മുട്ടിക്കുന്നു
condemnation	disgust	0.547	അപലപനം
deleterious	disgust	0.547	വിനാശകരമായ
slur	disgust	0.547	അപവാദം
purgatory	disgust	0.547	ശുദ്ധീകരണസ്ഥലം
attacking	disgust	0.547	ആക്രമിക്കുന്നു
burglar	disgust	0.547	കള്ളൻ
ogre	disgust	0.547	രാക്ഷസൻ
coercion	disgust	0.547	നിർബന്ധം
vesicular	disgust	0.547	വെസിക്കുലാർ
miserable	disgust	0.547	ദയനീയമായ
bitterly	disgust	0.547	കയ്പേറിയ
sneer	disgust	0.539	പരിഹസിക്കുക
greedy	disgust	0.539	അത്യാഗ്രഹി
gob	disgust	0.539	ഗോബ്
repellant	disgust	0.539	റിപ്പല്ലന്റ്
jealous	disgust	0.539	അസൂയയുള്ള
drunken	disgust	0.539	മദ്യപിച്ചു
shame	disgust	0.539	നാണക്കേട്
thrash	disgust	0.539	തല്ലുക
fatty	disgust	0.539	കൊഴുപ്പുള്ള
liar	disgust	0.539	നുണയൻ
imprisoned	disgust	0.539	തടവിലാക്കി
sloth	disgust	0.539	മടിയൻ
repudiation	disgust	0.539	നിരാകരണം
disgrace	disgust	0.539	അപമാനം
infidelity	disgust	0.539	അവിശ്വാസം
pig	disgust	0.539	പന്നി
lethal	disgust	0.536	മാരകമായ
burnt	disgust	0.531	ചുട്ടുകളഞ്ഞു
brawl	disgust	0.531	ബഹളം
withered	disgust	0.531	വാടിപ്പോയി
blemish	disgust	0.531	കളങ്കം
hydrocephalus	disgust	0.531	ഹൈഡ്രോസെഫാലസ്
aberration	disgust	0.531	അപഭ്രംശം
smuggler	disgust	0.531	കള്ളക്കടത്തുകാരൻ
painful	disgust	0.531	വേദനാജനകമായ
condescension	disgust	0.531	condescension
intolerant	disgust	0.531	അസഹിഷ്ണുത
blasphemous	disgust	0.531	ദൈവദൂഷണം
lying	disgust	0.531	കള്ളം പറയുന്നു
hanging	disgust	0.531	തൂങ്ങിക്കിടക്കുന്നു
travesty	disgust	0.531	പരിഹാസം
ruined	disgust	0.531	നശിച്ചു
intrusive	disgust	0.531	അത്യധികമായിരിക്കും
disintegrate	disgust	0.531	ശിഥിലമാക്കുക
destructive	disgust	0.531	വിനാശകരമായ
neurotic	disgust	0.531	നാഡീസംബന്ധമായ
disparaging	disgust	0.523	ഇകഴ്ത്തുന്നു
blighted	disgust	0.523	ക്ഷയിച്ചു
intolerance	disgust	0.523	അസഹിഷ്ണുത
mistress	disgust	0.523	യജമാനത്തി
avarice	disgust	0.523	അത്യാഗ്രഹം
disgraced	disgust	0.523	അപമാനിതനായി
derogation	disgust	0.523	അവഹേളനം
rubbish	disgust	0.523	ചവറുകൾ
accusation	disgust	0.523	ആരോപണം
incarceration	disgust	0.523	തടവ്
tortious	disgust	0.516	ക്രൂരമായ
dishonor	disgust	0.516	മാനക്കേട്
stink	disgust	0.516	ദുർഗന്ധം
grim	disgust	0.516	കഠിനമായ
rob	disgust	0.516	കവര്ച്ച
defraud	disgust	0.516	വഞ്ചിക്കുക
sump	disgust	0.516	സംപ്
cringe	disgust	0.516	വിറയ്ക്കുക
vulture	disgust	0.516	കഴുകൻ
deplorable	disgust	0.516	പരിതാപകരം
mite	disgust	0.516	കാശ്
eradication	disgust	0.516	ഉന്മൂലനം
degrade	disgust	0.516	തരംതാഴ്ത്തുക
gutter	disgust	0.516	ഗട്ടർ
convict	disgust	0.516	കുറ്റവാളി
remains	disgust	0.516	അവശേഷിക്കുന്നു
betray	disgust	0.516	ഒറ്റിക്കൊടുക്കുന്നു
daemon	disgust	0.516	പിശാച്
sham	disgust	0.509	വ്യാജം
distasteful	disgust	0.508	അരോചകമായ
prisoner	disgust	0.508	തടവുകാരൻ
dreadfully	disgust	0.508	ഭയങ്കരമായി
worthless	disgust	0.508	വിലയില്ലാത്ത
crude	disgust	0.508	ക്രൂഡ്
delirium	disgust	0.508	ഭ്രമം
incurable	disgust	0.508	ഭേദമാക്കാനാവാത്ത
smelling	disgust	0.508	മണക്കുന്നു
idiocy	disgust	0.508	വിഡ്ഢിത്തം
resentment	disgust	0.508	നീരസം
bombed	disgust	0.508	ബോംബെറിഞ്ഞു
blob	disgust	0.508	ബ്ലബ്
cheat	disgust	0.508	ചതിക്കുക
schizophrenia	disgust	0.508	സ്കീസോഫ്രീനിയ
rejection	disgust	0.508	തിരസ്കരണം
belittle	disgust	0.508	നികൃഷ്ടമായ
glut	disgust	0.508	അത്യാഗ്രഹം
disaster	disgust	0.508	ദുരന്തം
distress	disgust	0.508	ദുരിതം
pest	disgust	0.508	കീടനാശിനി
endemic	disgust	0.508	പ്രാദേശികമായ
theft	disgust	0.500	മോഷണം
banish	disgust	0.500	നാടുകടത്തുക
mire	disgust	0.500	ചെളി
flagrant	disgust	0.500	കൊടിയ
derision	disgust	0.500	പരിഹാസം
dirt	disgust	0.500	അഴുക്ക്
screaming	disgust	0.500	അലറുന്നു
offense	disgust	0.500	കുറ്റമായാണ്
jealousy	disgust	0.500	അസൂയ
bribery	disgust	0.500	കൈക്കൂലി
polemic	disgust	0.500	തർക്കപരമായ
blight	disgust	0.500	വരൾച്ച
impeach	disgust	0.500	ഇംപീച്ച്
bitterness	disgust	0.500	കയ്പ്പ്
taboo	disgust	0.500	നിഷിദ്ധം
duress	disgust	0.500	നിർബന്ധിക്കുക
goblin	disgust	0.500	ഗോബ്ലിൻ
shackle	disgust	0.500	ചങ്ങല
idolatry	disgust	0.500	വിഗ്രഹാരാധന
greed	disgust	0.500	അത്യാഗ്രഹം
impurity	disgust	0.500	അശുദ്ധി
tirade	disgust	0.500	ക്രൂരത
idiot	disgust	0.492	പോട്ടൻ
boil	disgust	0.492	തിളപ്പിക്കുക
unconscionable	disgust	0.492	മനസ്സാക്ഷിയില്ലാത്ത
disreputable	disgust	0.492	അപകീർത്തികരമായ
robber	disgust	0.492	കൊള്ളക്കാരൻ
malign	disgust	0.492	ദോഷകരമായ
wreck	disgust	0.492	നാശം
recession	disgust	0.492	മാന്ദ്യം
gorge	disgust	0.492	തോട്
leer	disgust	0.492	ലീർ
ill	disgust	0.492	അസുഖം
squirm	disgust	0.492	പിണങ്ങുക
raging	disgust	0.484	റാഗിംഗ്
servile	disgust	0.484	അടിമത്തം
mess	disgust	0.484	കുഴപ്പം
nappy	disgust	0.484	നാപ്പി
possessed	disgust	0.484	കൈവശമാക്കി
unbearable	disgust	0.484	അസഹനീയം
occult	disgust	0.484	നിഗൂഢവിദ്യ
contraband	disgust	0.484	കള്ളക്കടത്ത്
snarl	disgust	0.484	മുറുമുറുക്കുക
mutiny	disgust	0.484	കലാപം
mad	disgust	0.484	ഭ്രാന്തൻ
affliction	disgust	0.484	കഷ്ടത
stain	disgust	0.484	കറ
animosity	disgust	0.484	ശത്രുത
contempt	disgust	0.484	നിന്ദ
tramp	disgust	0.484	ചവിട്ടി
nepotism	disgust	0.484	സ്വജനപക്ഷപാതം
disrespectful	disgust	0.484	അനാദരവ്
defamation	disgust	0.484	അപകീർത്തിപ്പെടുത്തൽ
inexcusable	disgust	0.484	പൊറുക്കാനാവാത്ത
aversation	disgust	0.484	വെറുപ്പ്
wasteful	disgust	0.484	പാഴായത്
offender	disgust	0.484	കുറ്റവാളി
subjugation	disgust	0.484	കീഴ്പ്പെടുത്തൽ
illegality	disgust	0.477	നിയമവിരുദ്ധത
dismal	disgust	0.477	മോശം
criminal	disgust	0.477	കുറ്റവാളി
unpleasant	disgust	0.477	അസുഖകരമായ
palsy	disgust	0.477	പക്ഷാഘാതം
antagonistic	disgust	0.477	വിരുദ്ധമായ
pathetic	disgust	0.477	ദയനീയമായ
uncaring	disgust	0.477	അശ്രദ്ധ
suppression	disgust	0.477	അടിച്ചമർത്തൽ
immorality	disgust	0.477	അധാർമികത
mockery	disgust	0.477	പരിഹാസം
outrage	disgust	0.469	രോഷം
mocking	disgust	0.469	പരിഹസിക്കുക
wallow	disgust	0.469	ഭിത്തി
cough	disgust	0.469	ചുമ
arrogant	disgust	0.469	അഹങ്കാരി
angry	disgust	0.469	ദേഷ്യം
poverty	disgust	0.469	ദാരിദ്ര്യം
grating	disgust	0.469	ഗ്രേറ്റിംഗ്
livid	disgust	0.469	ലിവിഡ്
aggravation	disgust	0.469	തീവ്രത
repellent	disgust	0.469	അകറ്റുന്ന
perspiration	disgust	0.469	വിയർപ്പ്
banishment	disgust	0.469	നാടുകടത്തൽ
furious	disgust	0.469	ഉഗ്രകോപം
shoddy	disgust	0.469	നിലവാരമില്ലാത്ത
banshee	disgust	0.469	ബാൻഷീ
deceive	disgust	0.461	വഞ്ചിക്കുക
fool	disgust	0.461	വിഡ്ഢി
quack	disgust	0.461	കള്ളൻ
distorted	disgust	0.461	വികലമാക്കി
spider	disgust	0.461	ചിലന്തി
unjustifiable	disgust	0.461	ന്യായീകരിക്കാനാവാത്ത
deplore	disgust	0.461	ഖേദിക്കുന്നു
spurious	disgust	0.461	വ്യാജം
perdition	disgust	0.461	നാശം
muddy	disgust	0.461	ചെളി നിറഞ്ഞ
fraudulent	disgust	0.461	വഞ്ചനാപരമായ
scar	disgust	0.461	വടു
prick	disgust	0.461	കുത്തുക
insulting	disgust	0.461	അപമാനിക്കുന്നു
plunder	disgust	0.461	കൊള്ളയടിക്കുക
recklessness	disgust	0.461	അശ്രദ്ധ
stigma	disgust	0.453	കളങ്കം
disparage	disgust	0.453	ഇകഴ്ത്തൽ
unthinkable	disgust	0.453	അചിന്തനീയം
disingenuous	disgust	0.453	വിവേകശൂന്യമായ
bane	disgust	0.453	വിലക്ക്
dishonest	disgust	0.453	സത്യസന്ധതയില്ലാത്ത
aphid	disgust	0.453	മുഞ്ഞ
elimination	disgust	0.453	ഉന്മൂലനം
cur	disgust	0.453	കർ
selfish	disgust	0.453	സ്വാർത്ഥ
eschew	disgust	0.453	ഒഴിവാക്കുക
dire	disgust	0.453	ദാരുണമായ
indignation	disgust	0.453	രോഷം
antipathy	disgust	0.453	വിരോധം
alienate	disgust	0.453	അന്യമാക്കുക
mosquito	disgust	0.445	കൊതുക്
piles	disgust	0.445	പൈൽസ്
pious	disgust	0.445	ഭക്തിയുള്ള
lie	disgust	0.445	കള്ളം
opium	disgust	0.445	കറുപ്പ്
smell	disgust	0.445	മണം
iniquity	disgust	0.445	അധർമ്മം
caries	disgust	0.445	ക്ഷയം
despair	disgust	0.445	നിരാശ
recalcitrant	disgust	0.445	പ്രതിലോമകാരി
egotistical	disgust	0.445	അഹംഭാവം
wasted	disgust	0.445	പാഴായി
vacuous	disgust	0.445	ശൂന്യമായ
bankruptcy	disgust	0.445	പാപ്പരത്തം
garish	disgust	0.445	garish
obnoxious	disgust	0.438	മ്ലേച്ഛമായ
ashamed	disgust	0.438	ലജ്ജിച്ചു
abject	disgust	0.438	നികൃഷ്ടമായ
sticky	disgust	0.438	പശിമയുള്ള
scream	disgust	0.438	അലറുക
hopelessness	disgust	0.438	നിരാശ
homeless	disgust	0.438	ഭവനരഹിതർ
shun	disgust	0.438	ഒഴിവാക്കുക
inmate	disgust	0.438	അന്തേവാസി
alien	disgust	0.438	അന്യൻ
hog	disgust	0.438	പന്നി
aversion	disgust	0.438	വെറുപ്പ്
abnormal	disgust	0.438	അസാധാരണമായ
cursing	disgust	0.430	ശപിക്കുന്നു
undesirable	disgust	0.430	അനഭിലഷണീയമായ
denounce	disgust	0.430	അപലപിക്കുക
witch	disgust	0.430	മന്ത്രവാദിനി
creature	disgust	0.430	ജീവി
lusty	disgust	0.430	മോഹമുള്ള
illegal	disgust	0.430	നിയമവിരുദ്ധമായ
debris	disgust	0.430	അവശിഷ്ടങ്ങൾ
callous	disgust	0.430	നിഷ്കളങ്കമായ
reflux	disgust	0.430	പ്രത്യാഘാതം
adverse	disgust	0.430	പ്രതികൂലമായ
shameless	disgust	0.430	ലജ്ജയില്ലാത്ത
separatist	disgust	0.430	വിഘടനവാദി
trickery	disgust	0.430	തന്ത്രം
falsity	disgust	0.430	വ്യാജം
pall	disgust	0.430	മല്ലിടുക
defiance	disgust	0.430	ധിക്കാരം
incredulous	disgust	0.430	അവിശ്വസനീയമായ
curse	disgust	0.430	ശാപം
pompous	disgust	0.422	പൊങ്ങച്ചം
socialist	disgust	0.422	സോഷ്യലിസ്റ്റ്
mistrust	disgust	0.422	അവിശ്വാസം
infantile	disgust	0.422	ശിശു
wasting	disgust	0.422	പാഴാക്കുന്നു
hairy	disgust	0.422	രോമമുള്ള
nicotine	disgust	0.422	നിക്കോട്ടിൻ
denunciation	disgust	0.422	അപലപനം
collapse	disgust	0.422	തകർച്ച
untidy	disgust	0.422	വൃത്തിഹീനമായ
ferocious	disgust	0.422	ഉഗ്രൻ
ammonia	disgust	0.422	അമോണിയ
carelessness	disgust	0.422	അശ്രദ്ധ
impure	disgust	0.422	അശുദ്ധമായ
contentious	disgust	0.422	വിവാദമായ
bum	disgust	0.422	ബം
affront	disgust	0.422	അപമാനിക്കുക
offend	disgust	0.422	കുറ്റപ്പെടുത്തുക
tarnish	disgust	0.422	കളങ്കപ്പെടുത്തുക
idiotic	disgust	0.422	വിഡ്ഢി
badness	disgust	0.422	മോശം
delinquent	disgust	0.422	കുറ്റവാളി
swarm	disgust	0.422	കൂട്ടം
hypertrophy	disgust	0.422	ഹൈപ്പർട്രോഫി
gush	disgust	0.422	ഒഴുകുക
tasteless	disgust	0.422	രുചിയില്ലാത്ത
bovine	disgust	0.422	പശു
slush	disgust	0.422	ചെളി
litigious	disgust	0.414	വ്യവഹാരം
dishonesty	disgust	0.414	സത്യസന്ധതയില്ലായ്മ
vegetative	disgust	0.414	സസ്യഭക്ഷണം
unfavorable	disgust	0.414	അനുകൂലമല്ലാത്ത
displacency	disgust	0.414	സ്ഥാനചലനം
illegitimate	disgust	0.414	നിയമവിരുദ്ധം
sour	disgust	0.414	പുളിച്ച
socialism	disgust	0.414	സോഷ്യലിസം
disobey	disgust	0.414	അനുസരണക്കേട്
drivel	disgust	0.414	ഡ്രൈവ്
vampire	disgust	0.414	വാമ്പയർ
neglected	disgust	0.414	അവഗണിക്കപ്പെട്ടു
murky	disgust	0.414	മങ്ങിയ
ignorant	disgust	0.406	അറിവില്ലാത്തവൻ
disgruntled	disgust	0.406	അസംതൃപ്തി
discontinuity	disgust	0.406	നിർത്തലാക്കൽ
dislike	disgust	0.406	ഇഷ്ടപ്പെടാത്തത്
unlawful	disgust	0.406	നിയമവിരുദ്ധമായ
wrongdoing	disgust	0.406	തെറ്റായ പ്രവൃത്തി
shoplifting	disgust	0.406	കട മോഷണം
recidivism	disgust	0.406	ആവർത്തനവാദം
outcast	disgust	0.406	പുറത്താക്കപ്പെട്ട
bogus	disgust	0.406	വ്യാജം
displeasure	disgust	0.406	അപ്രീതി
repel	disgust	0.406	പിന്തിരിപ്പിക്കുക
falsify	disgust	0.406	വ്യാജമാക്കുക
ungrateful	disgust	0.406	നന്ദികെട്ടവൻ
unkind	disgust	0.406	നിര്ദ്ദയമായ
phony	disgust	0.406	വ്യാജൻ
prosecution	disgust	0.406	പ്രോസിക്യൂഷൻ
woe	disgust	0.398	കഷ്ടം
averse	disgust	0.398	വിമുഖത
loon	disgust	0.398	ലൂൺ
worsening	disgust	0.398	വഷളാകുന്നു
paucity	disgust	0.398	ദാരിദ്ര്യം
unnatural	disgust	0.398	പ്രകൃതിവിരുദ്ധം
amphetamines	disgust	0.398	ആംഫെറ്റാമൈനുകൾ
senseless	disgust	0.398	ബുദ്ധിശൂന്യമായ
rigor	disgust	0.398	കാഠിന്യം
subvert	disgust	0.398	അട്ടിമറിക്കുക
failure	disgust	0.398	പരാജയം
lick	disgust	0.398	നക്കുക
unruly	disgust	0.398	അനിയന്ത്രിതമായ
woefully	disgust	0.398	ദയനീയമായി
stingy	disgust	0.398	പിശുക്കൻ
crushing	disgust	0.398	തകർത്തു
disdain	disgust	0.398	പുച്ഛം
insult	disgust	0.393	അപമാനിക്കുക
averseness	disgust	0.391	വിമുഖത
disrelish	disgust	0.391	അനിഷ്ടം
punished	disgust	0.391	ശിക്ഷിച്ചു
critter	disgust	0.391	ക്രിറ്റർ
damage	disgust	0.391	കേടുപാടുകൾ
scorpion	disgust	0.391	തേൾ
diatribe	disgust	0.391	ഡയട്രിബ്
muff	disgust	0.391	മഫ്
farcical	disgust	0.391	പ്രഹസനമായ
antisocial	disgust	0.391	സാമൂഹ്യവിരുദ്ധ
hardened	disgust	0.391	കഠിനമാക്കി
punishment	disgust	0.391	ശിക്ഷ
bad	disgust	0.391	മോശം
expel	disgust	0.391	പുറത്താക്കുക
surly	disgust	0.383	ഗർജ്ജനം
lament	disgust	0.383	വിലപിക്കുന്നു
illiterate	disgust	0.383	നിരക്ഷരൻ
divorce	disgust	0.383	വിവാഹമോചനം
teeming	disgust	0.383	തിങ്ങിനിറയുന്നു
plagiarism	disgust	0.383	കോപ്പിയടി
eviction	disgust	0.383	കുടിയൊഴിപ്പിക്കൽ
orc	disgust	0.383	orc
disappoint	disgust	0.383	നിരാശപ്പെടുത്തുക
shabby	disgust	0.383	ചീഞ്ഞളിഞ്ഞ
presumptuous	disgust	0.383	ധാർഷ്ട്യമുള്ള
anaconda	disgust	0.383	അനക്കോണ്ട
discord	disgust	0.383	ഭിന്നത
guilt	disgust	0.383	കുറ്റബോധം
fugitive	disgust	0.383	പലായനം
irrational	disgust	0.383	യുക്തിരഹിതമായ
adder	disgust	0.383	ചേർക്കുന്നയാൾ
fulsome	disgust	0.383	പൂർണ്ണമായ
sacrifices	disgust	0.383	ത്യാഗങ്ങൾ
hypocritical	disgust	0.383	കാപട്യമുള്ള
shock	disgust	0.375	ഞെട്ടൽ
alienation	disgust	0.375	അന്യവൽക്കരണം
scoff	disgust	0.375	പരിഹസിക്കുക
plight	disgust	0.375	ദുരവസ്ഥ
irritation	disgust	0.375	പ്രകോപനം
unworthy	disgust	0.375	അയോഗ്യൻ
misconduct	disgust	0.375	തെറ്റായ പെരുമാറ്റം
defective	disgust	0.375	വികലമായ
blame	disgust	0.375	കുറ്റപ്പെടുത്തുക
depressing	disgust	0.375	വിഷാദം
dislocated	disgust	0.375	സ്ഥാനഭ്രംശം സംഭവിച്ചു
irritating	disgust	0.375	പ്രകോപിപ്പിക്കുന്ന
vainly	disgust	0.367	വെറുതെ
toad	disgust	0.367	തവള
powerless	disgust	0.367	ശക്തിയില്ലാത്ത
coerce	disgust	0.367	നിർബന്ധിക്കുക
shuddering	disgust	0.367	വിറയ്ക്കുന്നു
stripped	disgust	0.367	ഉരിഞ്ഞു
revoke	disgust	0.367	റദ്ദാക്കുക
wimpy	disgust	0.367	വിംപി
unhealthy	disgust	0.367	അനാരോഗ്യം
exclusion	disgust	0.367	ഒഴിവാക്കൽ
disillusionment	disgust	0.367	മോഹഭംഗം
blatant	disgust	0.367	നഗ്നമായ
hurtful	disgust	0.367	വേദനിപ്പിക്കുന്ന
hoax	disgust	0.367	തട്ടിപ്പ്
wimp	disgust	0.367	വിമ്പ്
cad	disgust	0.367	കാഡ്
pitfall	disgust	0.367	ചതിക്കുഴി
squelch	disgust	0.367	squelch
deserted	disgust	0.359	വിജനമായ
damn	disgust	0.359	കഷ്ടം
incompatible	disgust	0.359	പൊരുത്തമില്ലാത്ത
dispose	disgust	0.359	കളയുക
oddity	disgust	0.359	വിചിത്രത
rebellion	disgust	0.359	കലാപം
ineptitude	disgust	0.359	നിസ്സംഗത
bug	disgust	0.359	ബഗ്
disobedience	disgust	0.359	അനുസരണക്കേട്
inept	disgust	0.352	കഴിവില്ലാത്ത
litigate	disgust	0.352	വ്യവഹാരം നടത്തുക
dismissal	disgust	0.352	പിരിച്ചുവിടൽ
cutting	disgust	0.352	മുറിക്കൽ
untoward	disgust	0.352	പ്രതികൂലമായ
displeased	disgust	0.352	അതൃപ്തി
censor	disgust	0.352	സെൻസർ
ridiculous	disgust	0.352	പരിഹാസ്യമായ
compost	disgust	0.352	കമ്പോസ്റ്റ്
frustrate	disgust	0.352	നിരാശപ്പെടുത്തുക
misbehavior	disgust	0.352	തെറ്റായ പെരുമാറ്റം
lawyer	disgust	0.352	അഭിഭാഷകൻ
crushed	disgust	0.352	തകർത്തു
flesh	disgust	0.352	മാംസം
uncertain	disgust	0.352	അനിശ്ചിതത്വം
obi	disgust	0.352	ഒബി
flinch	disgust	0.352	ഫ്ലിഞ്ച്
fierce	disgust	0.352	ഉഗ്രമായ
wrongful	disgust	0.352	തെറ്റായ
depreciate	disgust	0.344	മൂല്യത്തകർച്ച
disapprove	disgust	0.344	അംഗീകരിക്കുന്നില്ല
tearful	disgust	0.344	കണ്ണുനീർ
grumble	disgust	0.336	പിറുപിറുക്കുക
unsettled	disgust	0.336	സ്ഥിരതയില്ലാത്ത
annoy	disgust	0.336	ശല്യപ്പെടുത്തുക
exigent	disgust	0.336	അനിവാര്യമായ
heartsick	disgust	0.336	ഹൃദയവേദന
lawsuit	disgust	0.336	കേസ്
discoloration	disgust	0.336	നിറവ്യത്യാസം
lumpy	disgust	0.336	പിണ്ഡമുള്ള
daft	disgust	0.336	ഡാഫ്റ്റ്
blunder	disgust	0.336	മണ്ടത്തരം
discontent	disgust	0.336	അസംതൃപ്തി
bickering	disgust	0.336	കലഹിക്കുന്നു
thoughtless	disgust	0.336	ചിന്താശൂന്യമായ
disliked	disgust	0.336	ഇഷ്ടപ്പെട്ടില്ല
disinclination	disgust	0.336	വിവേചനം
distrust	disgust	0.336	അവിശ്വാസം
disallowed	disgust	0.336	അനുവദനീയമല്ല
instability	disgust	0.328	അസ്ഥിരത
hydrophobia	disgust	0.328	ഹൈഡ്രോഫോബിയ
whine	disgust	0.328	തേങ്ങുക
inhibit	disgust	0.328	തടയുക
excluded	disgust	0.328	ഒഴിവാക്കി
provoking	disgust	0.328	പ്രകോപിപ്പിക്കുന്നത്
grievance	disgust	0.328	പരാതി
unmanageable	disgust	0.328	കൈകാര്യം ചെയ്യാനാവാത്ത
sly	disgust	0.328	തന്ത്രശാലിയായ
exasperation	disgust	0.328	പ്രകോപനം
cacophony	disgust	0.328	cacophony
unsatisfactory	disgust	0.328	തൃപ്തികരമല്ല
disappointed	disgust	0.328	നിരാശനായി
materialist	disgust	0.328	ഭൗതികവാദി
misleading	disgust	0.321	തെറ്റിദ്ധരിപ്പിക്കുന്നത്
mishap	disgust	0.320	അപകടം
soot	disgust	0.320	അഴുക്കുപുരണ്ട
humbug	disgust	0.320	ഹംബഗ്
disclaim	disgust	0.320	നിരാകരണം
annoyance	disgust	0.320	ശല്യം
disapproving	disgust	0.320	അംഗീകരിക്കുന്നില്ല
disservice	disgust	0.320	ദ്രോഹം
reproach	disgust	0.320	നിന്ദ
confined	disgust	0.320	ഒതുക്കി
unequal	disgust	0.320	അസമമായ
rags	disgust	0.320	തുണിക്കഷണങ്ങൾ
groan	disgust	0.320	ഞരങ്ങുക
soil	disgust	0.312	മണ്ണ്
inappropriate	disgust	0.312	അനുചിതമായ
criticize	disgust	0.312	വിമർശിക്കുക
disincline	disgust	0.312	നിരാകരിക്കുക
theism	disgust	0.312	ഈശ്വരവാദം
depreciated	disgust	0.312	മൂല്യത്തകർച്ച
inconsiderate	disgust	0.312	അശ്രദ്ധ
overpriced	disgust	0.312	അമിതവില
stomach	disgust	0.312	ആമാശയം
burke	disgust	0.312	ബർക്ക്
sneeze	disgust	0.312	തുമ്മുക
gall	disgust	0.305	പിത്താശയം
bang	disgust	0.305	ബാംഗ്
inadmissible	disgust	0.305	അസ്വീകാര്യമായ
unfriendly	disgust	0.305	സൗഹൃദപരമല്ലാത്ത
unaccountable	disgust	0.305	കണക്കില്ല
disparity	disgust	0.305	അസമത്വം
latent	disgust	0.305	ഒളിഞ്ഞിരിക്കുന്ന
disliking	disgust	0.305	ഇഷ്ടപ്പെടാത്തത്
shack	disgust	0.305	കുടിൽ
grumpy	disgust	0.305	മുഷിഞ്ഞ
coop	disgust	0.304	കൂട്
disappointment	disgust	0.297	നിരാശ
scold	disgust	0.297	ശകാരിക്കുക
delay	disgust	0.297	കാലതാമസം
congress	disgust	0.297	കോൺഗ്രസ്
growling	disgust	0.297	മുരളുന്നു
backwards	disgust	0.297	പിന്നിലേക്ക്
soreness	disgust	0.297	വല്ലാത്ത വേദന
disregarded	disgust	0.297	അവഗണിക്കപ്പെട്ടു
rogue	disgust	0.297	തെമ്മാടി
lonely	disgust	0.297	ഏകാന്തമായ
