English Word	Emotion	Emotion-Intensity-Score	Kyrgyz Word
abeyance	anticipation	0.391	токтоп калуу
maternal	anticipation	0.391	энелик
art	anticipation	0.391	ст
unfulfilled	anticipation	0.391	аткарылбаган
inoculation	anticipation	0.384	эмдөө
simplify	anticipation	0.383	жөнөкөйлөтүү
depend	anticipation	0.383	көз каранды
chant	anticipation	0.383	ырдоо
ram	anticipation	0.383	RAM
banger	anticipation	0.383	бангер
playground	anticipation	0.383	оюн аянтчасы
labor	anticipation	0.383	эмгек
scientist	anticipation	0.383	окумуштуу
good	anticipation	0.383	жакшы
humanitarian	anticipation	0.383	гуманитардык
failing	anticipation	0.383	ийгиликсиз
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	милдеттуу
hymn	anticipation	0.383	гимн
ship	anticipation	0.383	кеме
discretion	anticipation	0.383	дискреция
undecided	anticipation	0.383	чечкинсиз
gradual	anticipation	0.375	акырындык менен
navigator	anticipation	0.375	навигатор
track	anticipation	0.375	трек
cradle	anticipation	0.375	бешик
sterling	anticipation	0.375	стерлинг
interim	anticipation	0.375	убактылуу
clock	anticipation	0.375	саат
mountain	anticipation	0.375	тоо
interminable	anticipation	0.375	чексиз
public	anticipation	0.375	коомдук
recurrent	anticipation	0.375	кайталануучу
savor	anticipation	0.375	даам
abide	anticipation	0.367	туруу
concealed	anticipation	0.367	жашырылган
spear	anticipation	0.367	найза
lesson	anticipation	0.367	сабак
instructions	anticipation	0.367	көрсөтмөлөр
sonar	anticipation	0.367	сонар
biennial	anticipation	0.367	эки жылдык
convince	anticipation	0.367	ынандыруу
whim	anticipation	0.367	каприз
shiver	anticipation	0.367	титиреп
towering	anticipation	0.367	бийик
musical	anticipation	0.367	музыкалык
offset	anticipation	0.359	офсет
theory	anticipation	0.359	теория
theology	anticipation	0.359	теология
undying	anticipation	0.359	өлбөс
timidity	anticipation	0.359	тартынчаак
plump	anticipation	0.359	толмоч
atone	anticipation	0.359	кечирүү
audience	anticipation	0.357	аудитория
dietary	anticipation	0.352	диеталык
consecration	anticipation	0.352	ыйыктоо
localize	anticipation	0.352	локалдаштыруу
paragon	anticipation	0.352	парагон
store	anticipation	0.352	дүкөн
farm	anticipation	0.352	чарба
daily	anticipation	0.352	күн сайын
cramp	anticipation	0.352	карышуу
nobility	anticipation	0.352	асылдык
closure	anticipation	0.352	жабуу
edition	anticipation	0.352	басылышы
kindred	anticipation	0.352	тууган
stripped	anticipation	0.344	ажыратылган
errand	anticipation	0.344	тапшырма
archaeology	anticipation	0.344	археология
mutable	anticipation	0.344	өзгөрмөлүү
wireless	anticipation	0.344	зымсыз
meditate	anticipation	0.344	медитация кыл
mobile	anticipation	0.344	мобилдик
germ	anticipation	0.336	микроб
brotherly	anticipation	0.336	бир тууган
lessen	anticipation	0.336	азайтуу
unbeaten	anticipation	0.336	жеңилбеген
pare	anticipation	0.336	паре
buddy	anticipation	0.336	дос
unaccountable	anticipation	0.336	жоопсуз
dove	anticipation	0.328	көгүчкөн
patient	anticipation	0.328	сабырдуу
secular	anticipation	0.328	светтик
digress	anticipation	0.328	чегинүү
chastity	anticipation	0.328	тазалык
council	anticipation	0.328	кеңеш
olfactory	anticipation	0.328	жыт сезүү
ribbon	anticipation	0.328	лента
possess	anticipation	0.328	ээ болуу
disposed	anticipation	0.320	ташталган
scrutinize	anticipation	0.320	кылдаттык менен кароо
immature	anticipation	0.320	жетилген эмес
mediator	anticipation	0.320	ортомчу
regularity	anticipation	0.320	мыйзамдуулук
cove	anticipation	0.320	кок
infanticide	anticipation	0.320	наристе өлтүрүү
paddle	anticipation	0.320	калак
heft	anticipation	0.320	салмак
fancy	anticipation	0.320	кооз
preservative	anticipation	0.320	консервант
unpublished	anticipation	0.312	жарыяланбаган
church	anticipation	0.312	чиркөө
bugle	anticipation	0.312	бугле
grim	anticipation	0.312	кайгылуу
denying	anticipation	0.312	четке кагуу
analyst	anticipation	0.312	аналитик
judicial	anticipation	0.305	соттук
priesthood	anticipation	0.305	ыйык кызмат кылуу
broadside	anticipation	0.305	кең тарап
mill	anticipation	0.305	тегирмен
dismay	anticipation	0.297	коркуу
cap	anticipation	0.297	кап
thermocouple	anticipation	0.297	термопар
tributary	anticipation	0.297	куймасы
instructor	anticipation	0.297	инструктор
exhaustion	anticipation	0.297	чарчоо
saliva	anticipation	0.297	шилекей
cataract	anticipation	0.289	катаракта
network	anticipation	0.289	тармак
visor	anticipation	0.289	визор
shackle	anticipation	0.289	кишен
wont	anticipation	0.289	болбойт
addresses	anticipation	0.289	даректер
discreet	anticipation	0.289	акылдуу
noncompliance	anticipation	0.289	ылайык келбегендик
bruise	anticipation	0.289	көгүш
homeless	anticipation	0.289	үйсүз
astronomer	anticipation	0.281	астроном
skewed	anticipation	0.281	кыйшайган
neighbor	anticipation	0.281	кошуна
holiness	anticipation	0.273	ыйыктык
devil	anticipation	0.273	шайтан
picket	anticipation	0.273	пикет
sentence	anticipation	0.273	өкүм
latent	anticipation	0.273	жашыруун
cream	anticipation	0.273	каймак
immaturity	anticipation	0.273	жетилбегендик
habitual	anticipation	0.266	көнүмүш
morals	anticipation	0.266	моралдык
neighborhood	anticipation	0.266	кошуна колоң
lull	anticipation	0.266	тынч
bye	anticipation	0.258	кош болуңуз
weight	anticipation	0.258	салмак
organ	anticipation	0.250	орган
clown	anticipation	0.250	клоун
forearm	anticipation	0.250	билек
commonplace	anticipation	0.242	кадимки
quote	anticipation	0.242	цитата
rail	anticipation	0.234	темир жол
dictatorship	anticipation	0.234	диктатура
treadmill	anticipation	0.234	чуркоо жолу
board	anticipation	0.234	такта
tree	anticipation	0.227	дарак
sundial	anticipation	0.227	күн сааты
paralysis	anticipation	0.211	шал
cement	anticipation	0.203	цемент
worm	anticipation	0.203	курт
organization	anticipation	0.203	уюштуруу
lagging	anticipation	0.180	артта калуу
neutral	anticipation	0.148	нейтралдуу
cannibalism	disgust	0.953	каннибализм
mutilation	disgust	0.930	кыйноо
molestation	disgust	0.914	зордуктоо
incest	disgust	0.914	инцест
rape	disgust	0.906	зордуктоо
gonorrhea	disgust	0.906	гонорея
cannibal	disgust	0.898	жегич
rot	disgust	0.891	чиритүү
corpse	disgust	0.883	өлүк
massacre	disgust	0.883	кыргын
excrement	disgust	0.883	экскремент
barf	disgust	0.875	барф
slaughter	disgust	0.875	союу
slaughterhouse	disgust	0.867	касапкана
incestuous	disgust	0.859	туугандык
sewerage	disgust	0.859	канализация
filth	disgust	0.859	ыпластык
bigot	disgust	0.859	фанат
rancid	disgust	0.859	ачуу
infestation	disgust	0.852	инвазия
plague	disgust	0.852	чума
holocaust	disgust	0.852	Холокост
bloodthirsty	disgust	0.852	канкор
rotting	disgust	0.844	чиритүү
fecal	disgust	0.844	фекалдык
maggot	disgust	0.844	курт
feces	disgust	0.844	заң
murder	disgust	0.839	өлтүрүү
asshole	disgust	0.836	эшек
homicide	disgust	0.836	киши өлтүрүү
enslaved	disgust	0.836	кул болгон
infanticide	disgust	0.836	наристе өлтүрүү
perverted	disgust	0.828	бузуку
excretion	disgust	0.828	бөлүп чыгаруу
gore	disgust	0.828	гор
slaughtering	disgust	0.828	союу
torture	disgust	0.828	кыйноо
contaminate	disgust	0.821	булгоо
revolting	disgust	0.820	козголоңчу
gory	disgust	0.820	горы
shit	disgust	0.820	бок
terrorist	disgust	0.820	террорист
murderer	disgust	0.820	канкор
repugnant	disgust	0.820	жийиркеничтүү
manure	disgust	0.820	кык
pervert	disgust	0.820	бузуку
diarrhoea	disgust	0.820	ич өтүү
grotesque	disgust	0.820	гротеск
desecration	disgust	0.820	кемсинтүү
faeces	disgust	0.812	заң
slavery	disgust	0.812	кулчулук
sewer	disgust	0.812	канализация
cadaver	disgust	0.812	өлүк
manslaughter	disgust	0.812	киши өлтүрүү
dismemberment	disgust	0.812	бөлүү
vomit	disgust	0.812	кусуу
perverse	disgust	0.805	бузуку
repulsive	disgust	0.805	жийиркеничтүү
hemorrhage	disgust	0.805	кан агуу
sewage	disgust	0.797	канализация
filthy	disgust	0.797	ыплас
diseased	disgust	0.797	оорулуу
depravity	disgust	0.797	бузукулук
carcass	disgust	0.795	өлүгү
decompose	disgust	0.789	ажыратуу
gruesome	disgust	0.789	коркунучтуу
mutilated	disgust	0.789	кесилген
puke	disgust	0.789	куса
herpes	disgust	0.789	герпес
decayed	disgust	0.789	чириген
dung	disgust	0.789	тезек
vermin	disgust	0.789	зыянкечтер
murderous	disgust	0.789	канкор
parasite	disgust	0.789	мите
horrific	disgust	0.789	коркунучтуу
carnage	disgust	0.781	кыргын
malaria	disgust	0.781	безгек
slime	disgust	0.781	былжыр
flatulence	disgust	0.781	метеоризм
pestilence	disgust	0.781	жугуштуу оору
crap	disgust	0.781	бок
monstrosity	disgust	0.781	желмогуздук
loathsome	disgust	0.773	жийиркеничтүү
toxic	disgust	0.773	уулуу
morgue	disgust	0.773	өлүккана
pus	disgust	0.773	ириң
herpesvirus	disgust	0.773	герпес вирусу
leprosy	disgust	0.773	пес оорусу
insidious	disgust	0.773	тымызын
cruel	disgust	0.766	таш боор
regurgitation	disgust	0.766	регургитация
anthrax	disgust	0.766	күйдүргү
xenophobia	disgust	0.766	ксенофобия
repugnance	disgust	0.766	жек көрүү
lynch	disgust	0.766	линч
revulsion	disgust	0.766	жек көрүү
whore	disgust	0.766	сойку
dissection	disgust	0.759	диссекция
mucous	disgust	0.758	былжырлуу
canker	disgust	0.758	рак
slum	disgust	0.758	караңгы жер
infectious	disgust	0.758	жугуштуу
evil	disgust	0.758	жаман
phlegm	disgust	0.758	какырык
cruelty	disgust	0.758	ырайымсыздык
perversion	disgust	0.758	бузукулук
sinister	disgust	0.750	жаман
leeches	disgust	0.750	сүлүктөр
corrupting	disgust	0.750	бузуку
decomposition	disgust	0.750	ажыроо
abomination	disgust	0.742	жийиркеничтүү
stinking	disgust	0.742	сасыган
bile	disgust	0.742	өт
demonic	disgust	0.742	шайтандык
deranged	disgust	0.742	бузулган
abhorrence	disgust	0.742	жек көрүү
soiled	disgust	0.742	булганган
mucus	disgust	0.742	былжыр
septic	disgust	0.742	септик
sickening	disgust	0.742	оорутуу
demon	disgust	0.742	жин
cancer	disgust	0.734	рак
obese	disgust	0.734	семирүү
degeneracy	disgust	0.734	бузулуу
despicable	disgust	0.734	жийиркеничтүү
atrocity	disgust	0.734	мыкаачылык
foul	disgust	0.734	бузуку
sicken	disgust	0.734	оорулуу
crucifixion	disgust	0.734	айкаш жыгачка кадоо
terrorism	disgust	0.734	терроризм
repulsion	disgust	0.727	түртүү
morbidity	disgust	0.727	оорулуу
dysentery	disgust	0.727	дизентерия
enema	disgust	0.727	клизма
bacterium	disgust	0.727	бактерия
dirty	disgust	0.727	кир
adultery	disgust	0.727	ойноштук
contamination	disgust	0.727	булгануу
grisly	disgust	0.727	коркунучтуу
diabolical	disgust	0.727	шайтандык
autopsy	disgust	0.719	аутопсия
barbaric	disgust	0.719	жапайы
vulgar	disgust	0.719	адепсиз
entrails	disgust	0.719	ичегилер
disgust	disgust	0.719	жийиркенүү
lewd	disgust	0.719	бузуку
muck	disgust	0.719	мук
bowels	disgust	0.719	ичегилер
garbage	disgust	0.719	таштанды
deterioration	disgust	0.719	начарлашы
contagion	disgust	0.719	жугуштуу
vicious	disgust	0.719	каардуу
disfigured	disgust	0.719	бузулган
pungent	disgust	0.719	курч
gross	disgust	0.719	одоно
bloodshed	disgust	0.714	кан төгүү
gag	disgust	0.711	гаг
pollute	disgust	0.711	булгоо
nausea	disgust	0.711	жүрөк айлануу
tyrant	disgust	0.711	тиран
wretched	disgust	0.711	байкуш
mortification	disgust	0.711	кыжырдануу
violent	disgust	0.711	зордук-зомбулук
poisoned	disgust	0.711	ууланган
nauseate	disgust	0.703	жүрөк айлануу
slimy	disgust	0.703	былжырлуу
grope	disgust	0.703	сүртүү
slut	disgust	0.703	шлюха
nasty	disgust	0.703	жаман
disgusting	disgust	0.703	жийиркеничтүү
depraved	disgust	0.703	бузулган
porn	disgust	0.703	порно
hateful	disgust	0.703	жек көрүүчү
vulgarity	disgust	0.703	адепсиздик
noxious	disgust	0.703	зыяндуу
grime	disgust	0.703	кир
constipation	disgust	0.703	ич катуу
secretion	disgust	0.703	секреция
poisoning	disgust	0.703	уулануу
despotism	disgust	0.703	деспотизм
measles	disgust	0.696	кызамык
contagious	disgust	0.695	жугуштуу
obesity	disgust	0.695	семирүү
wart	disgust	0.695	сөөл
hate	disgust	0.695	жек көрүү
hellish	disgust	0.695	тозок
scum	disgust	0.695	таштанды
suicidal	disgust	0.695	жанкечтилик
wretch	disgust	0.695	байкуш
abuse	disgust	0.695	кыянаттык
waste	disgust	0.695	таштанды
intestinal	disgust	0.695	ичеги
heartworm	disgust	0.688	жүрөк курту
ooze	disgust	0.688	агып кетүү
treason	disgust	0.688	чыккынчылык
contaminated	disgust	0.688	булганган
smut	disgust	0.688	мышык
disease	disgust	0.688	оору
rabid	disgust	0.688	кутурган
deformed	disgust	0.680	деформацияланган
hell	disgust	0.680	тозок
soulless	disgust	0.680	жансыз
cholera	disgust	0.680	холера
bestial	disgust	0.680	айбан
antichrist	disgust	0.680	антихрист
freakish	disgust	0.680	укмуштуу
germ	disgust	0.680	микроб
detest	disgust	0.680	жек көрүү
pollution	disgust	0.680	булганышы
grimy	disgust	0.680	кирдүү
abhorrent	disgust	0.680	жийиркеничтүү
hatred	disgust	0.680	жек көрүү
abominate	disgust	0.680	жийиркеничтүү
sickness	disgust	0.680	оору
hideous	disgust	0.672	жийиркеничтүү
dictatorship	disgust	0.672	диктатура
loathful	disgust	0.672	жийиркеничтүү
greasy	disgust	0.672	майлуу
dilapidated	disgust	0.672	бузулган
inhuman	disgust	0.672	адамкерчиликсиз
loathing	disgust	0.672	жек көрүү
obscene	disgust	0.672	уятсыз
cess	disgust	0.670	cess
devil	disgust	0.664	шайтан
deformity	disgust	0.664	деформация
nauseous	disgust	0.664	жүрөк айлануу
deadly	disgust	0.664	өлүмчүл
swine	disgust	0.664	чочко
discrimination	disgust	0.664	дискриминация
abominable	disgust	0.664	жийиркеничтүү
masochism	disgust	0.664	мазохизм
heretic	disgust	0.664	еретик
latrines	disgust	0.656	ажатканалар
corruption	disgust	0.656	коррупция
poisonous	disgust	0.656	уулуу
horror	disgust	0.656	коркунуч
nefarious	disgust	0.656	жаман
bacteria	disgust	0.656	бактериялар
horrible	disgust	0.656	коркунучтуу
trash	disgust	0.656	таштанды
abortion	disgust	0.656	аборт
death	disgust	0.656	өлүм
prejudiced	disgust	0.656	бейкалыс
poison	disgust	0.656	уу
oppression	disgust	0.656	эзүү
goo	disgust	0.656	goo
victimized	disgust	0.656	курман болгон
mange	disgust	0.656	манж
sludge	disgust	0.648	ылай
trashy	disgust	0.648	таштанды
vindictive	disgust	0.648	кекчил
horrid	disgust	0.648	коркунучтуу
ugly	disgust	0.648	чиркин
immoral	disgust	0.648	адепсиз
bitch	disgust	0.648	канчык
outhouse	disgust	0.648	сыртта
detestation	disgust	0.648	жек көрүү
horrifying	disgust	0.641	үрөй учурарлык
laxative	disgust	0.641	ич алдыруучу
unsightly	disgust	0.641	көрксүз
derogatory	disgust	0.641	кемсинтүү
slop	disgust	0.641	ийилчээк
malfeasance	disgust	0.641	кыянатчылык
spew	disgust	0.641	чачуу
pimple	disgust	0.641	безетки
criminality	disgust	0.641	кылмыштуулук
indecency	disgust	0.641	адепсиздик
cystic	disgust	0.641	цистикалык
villainous	disgust	0.641	кара ниет
queasy	disgust	0.633	кыжырдануу
mildew	disgust	0.633	көгөрүп кетүү
oppressive	disgust	0.633	эзүүчү
prostitution	disgust	0.633	сойкулук
secrete	disgust	0.633	бөлүп чыгаруу
ulcer	disgust	0.633	жара
rat	disgust	0.633	келемиш
bigoted	disgust	0.633	фанат
perpetrator	disgust	0.633	кылмышкер
doomsday	disgust	0.633	кыямат
sinful	disgust	0.633	күнөөкөр
degrading	disgust	0.625	деградациялоочу
ghastly	disgust	0.625	коркунучтуу
suffering	disgust	0.625	азап
obscenity	disgust	0.625	уятсыздык
devilish	disgust	0.625	шайтан
disgraceful	disgust	0.625	уятсыз
persecution	disgust	0.625	куугунтук
contemptible	disgust	0.625	кемсинтүү
cuckold	disgust	0.625	бойдок
stools	disgust	0.625	табуреткалар
dastardly	disgust	0.625	уятсыз
sin	disgust	0.625	күнөө
gluttony	disgust	0.625	тойбостук
bloated	disgust	0.625	шишип кеткен
fungus	disgust	0.625	козу карын
aghast	disgust	0.625	үрөй учурарлык
diaper	disgust	0.617	жалаяк
malicious	disgust	0.617	зыяндуу
polygamy	disgust	0.617	көп аял алуу
dying	disgust	0.617	өлүп жатат
termite	disgust	0.617	термит
fat	disgust	0.617	семиз
deceit	disgust	0.617	алдамчылык
atrocious	disgust	0.617	ырайымсыз
guillotine	disgust	0.617	гильотина
tetanus	disgust	0.617	селейме
spoil	disgust	0.617	бузуу
crusty	disgust	0.617	кычыктуу
sickly	disgust	0.617	оорулуу
louse	disgust	0.617	бит
strangle	disgust	0.617	муунтуп өлтүрүү
betrayal	disgust	0.617	чыккынчылык
loathe	disgust	0.617	жек көрүү
wench	disgust	0.617	канч
infect	disgust	0.617	жугузуу
violently	disgust	0.609	күч менен
brothel	disgust	0.609	сойкукана
drool	disgust	0.609	аккан
bleeding	disgust	0.609	кан агуу
deform	disgust	0.609	деформация
ghetto	disgust	0.609	гетто
sabotage	disgust	0.609	саботаж
venomous	disgust	0.609	уулуу
abhor	disgust	0.609	жийиркенүү
slander	disgust	0.609	жалаа жабуу
hostile	disgust	0.609	душмандык
musty	disgust	0.602	кычыраган
illicit	disgust	0.602	мыйзамсыз
ugliness	disgust	0.602	чиркин
unwashed	disgust	0.602	жуулбаган
swampy	disgust	0.602	саздуу
deprivation	disgust	0.602	ажыратуу
poaching	disgust	0.602	браконьерлик
hag	disgust	0.602	ак
infidel	disgust	0.602	каапыр
imprisonment	disgust	0.602	камоо
traitor	disgust	0.602	чыккынчы
lunacy	disgust	0.602	акылсыздык
queasiness	disgust	0.594	кусуу
hostility	disgust	0.594	кастык
repelling	disgust	0.594	кайтаруучу
intoxicated	disgust	0.594	мас
thug	disgust	0.594	бандит
catastrophe	disgust	0.594	катастрофа
lunatic	disgust	0.594	жинди
misery	disgust	0.594	азап
venom	disgust	0.594	уу
butcher	disgust	0.594	касапчы
toilet	disgust	0.594	туалет
blister	disgust	0.594	ыйлаакча
lurid	disgust	0.594	коркунучтуу
slug	disgust	0.594	слаг
gut	disgust	0.594	ичеги
sinner	disgust	0.594	күнөөкөр
deceitful	disgust	0.594	алдамчы
epidemic	disgust	0.594	эпидемия
deteriorated	disgust	0.586	начарлаган
lavatory	disgust	0.586	даараткана
unclean	disgust	0.586	таза эмес
prostitute	disgust	0.586	сойку
incubus	disgust	0.586	инкубус
appalling	disgust	0.586	коркунучтуу
dreadful	disgust	0.586	коркунучтуу
pornography	disgust	0.586	порнография
harass	disgust	0.586	куугунтуктоо
squeamish	disgust	0.578	кычыраган
expulsion	disgust	0.578	чыгаруу
unfaithful	disgust	0.578	ишенимсиз
offensive	disgust	0.578	чабуулчу
hypocrite	disgust	0.578	эки жүздүү
humiliating	disgust	0.578	кемсинтүү
larceny	disgust	0.578	уурулук
ruinous	disgust	0.578	кыйратуучу
retard	disgust	0.578	артта калуу
rash	disgust	0.578	исиркектер
flea	disgust	0.578	бүргө
debauchery	disgust	0.578	бузукулук
fiend	disgust	0.578	шайтан
quagmire	disgust	0.578	саз
conspirator	disgust	0.578	кутумчу
sick	disgust	0.578	оорулуу
mangle	disgust	0.578	манкурт
dogsick	disgust	0.570	ит оорулуу
egregious	disgust	0.570	коркунучтуу
flog	disgust	0.570	камчы
despise	disgust	0.570	жек көрүү
treacherous	disgust	0.570	чыккынчы
oppress	disgust	0.570	эзүү
swamp	disgust	0.570	саз
messy	disgust	0.570	баш аламан
spit	disgust	0.570	түкүрүү
dank	disgust	0.570	данк
bastard	disgust	0.570	сволоч
devastating	disgust	0.570	кыйратуучу
serpent	disgust	0.570	жылан
loo	disgust	0.562	loo
indecent	disgust	0.562	адепсиз
insanity	disgust	0.562	жиндилик
stealing	disgust	0.562	уурдоо
terrible	disgust	0.562	коркунучтуу
tyrannical	disgust	0.562	тирандык
humiliation	disgust	0.562	кемсинтүү
snake	disgust	0.562	жылан
sloppy	disgust	0.562	шалаакы
sinning	disgust	0.562	күнөө кылуу
harmful	disgust	0.562	зыяндуу
harlot	disgust	0.562	сойку
sordid	disgust	0.562	жаман
enemy	disgust	0.562	душман
alcoholism	disgust	0.562	аракечтик
awful	disgust	0.562	коркунучтуу
ruthless	disgust	0.562	ырайымсыз
scoundrel	disgust	0.562	шылуун
bloody	disgust	0.555	кандуу
flabby	disgust	0.555	жалбырак
odious	disgust	0.555	жийиркеничтүү
beastly	disgust	0.555	жырткыч
collusion	disgust	0.555	макулдашуу
ridicule	disgust	0.555	шылдыңдоо
discriminating	disgust	0.555	дискриминациялоочу
unattractive	disgust	0.555	жагымсыз
insufferable	disgust	0.555	чыдагыс
segregate	disgust	0.555	бөлүү
arsenic	disgust	0.555	мышьяк
threatening	disgust	0.555	коркутуу
atrophy	disgust	0.555	атрофия
varicella	disgust	0.555	varicella
slayer	disgust	0.555	өлтүргүч
distaste	disgust	0.555	жактырбоо
coward	disgust	0.555	коркок
robbery	disgust	0.555	тоноо
wickedness	disgust	0.555	жамандык
anathema	disgust	0.547	анатема
malevolent	disgust	0.547	кара ниет
sty	disgust	0.547	сти
pillage	disgust	0.547	талап-тоноо
thief	disgust	0.547	ууру
suffocating	disgust	0.547	муунтуу
condemnation	disgust	0.547	айыптоо
deleterious	disgust	0.547	зыяндуу
slur	disgust	0.547	шылдыңдоо
purgatory	disgust	0.547	тазалоочу
attacking	disgust	0.547	кол салуу
burglar	disgust	0.547	ууру
ogre	disgust	0.547	дөө
coercion	disgust	0.547	мажбурлоо
vesicular	disgust	0.547	везикулярдуу
miserable	disgust	0.547	аянычтуу
bitterly	disgust	0.547	ачуу
sneer	disgust	0.539	мыскылдоо
greedy	disgust	0.539	ачкөз
gob	disgust	0.539	гоб
repellant	disgust	0.539	репеллент
jealous	disgust	0.539	көрө албастык
drunken	disgust	0.539	мас
shame	disgust	0.539	уят
thrash	disgust	0.539	таштоо
fatty	disgust	0.539	майлуу
liar	disgust	0.539	жалганчы
imprisoned	disgust	0.539	камалган
sloth	disgust	0.539	жалкоо
repudiation	disgust	0.539	баш тартуу
disgrace	disgust	0.539	уят
infidelity	disgust	0.539	ишенимсиздик
pig	disgust	0.539	чочко
lethal	disgust	0.536	өлүмгө алып келүүчү
burnt	disgust	0.531	күйгөн
brawl	disgust	0.531	мушташ
withered	disgust	0.531	куурап калган
blemish	disgust	0.531	кемчилик
hydrocephalus	disgust	0.531	гидроцефалия
aberration	disgust	0.531	аберация
smuggler	disgust	0.531	контрабандачы
painful	disgust	0.531	оорутуу
condescension	disgust	0.531	басынтуу
intolerant	disgust	0.531	сабырсыз
blasphemous	disgust	0.531	акарат кылуучу
lying	disgust	0.531	калп айтуу
hanging	disgust	0.531	илинген
travesty	disgust	0.531	травести
ruined	disgust	0.531	талкаланган
intrusive	disgust	0.531	интрузивдик
disintegrate	disgust	0.531	ажыратуу
destructive	disgust	0.531	кыйратуучу
neurotic	disgust	0.531	невротикалык
disparaging	disgust	0.523	кемсинтүү
blighted	disgust	0.523	күйгөн
intolerance	disgust	0.523	чыдамсыздык
mistress	disgust	0.523	мырзайым
avarice	disgust	0.523	ач көздүк
disgraced	disgust	0.523	маскараланган
derogation	disgust	0.523	четтетүү
rubbish	disgust	0.523	таштанды
accusation	disgust	0.523	айыптоо
incarceration	disgust	0.523	камоо
tortious	disgust	0.516	кыйноочу
dishonor	disgust	0.516	абийирсиздик
stink	disgust	0.516	сасык
grim	disgust	0.516	кайгылуу
rob	disgust	0.516	тоноо
defraud	disgust	0.516	алдоо
sump	disgust	0.516	суу соргуч
cringe	disgust	0.516	кыжырдануу
vulture	disgust	0.516	карышкыр
deplorable	disgust	0.516	аянычтуу
mite	disgust	0.516	кене
eradication	disgust	0.516	жок кылуу
degrade	disgust	0.516	деградациялоо
gutter	disgust	0.516	арык
convict	disgust	0.516	соттолгон
remains	disgust	0.516	калат
betray	disgust	0.516	чыккынчылык кылуу
daemon	disgust	0.516	демон
sham	disgust	0.509	жасалма
distasteful	disgust	0.508	жагымсыз
prisoner	disgust	0.508	туткун
dreadfully	disgust	0.508	коркунучтуу
worthless	disgust	0.508	арзыбаган
crude	disgust	0.508	чийки
delirium	disgust	0.508	делирий
incurable	disgust	0.508	айыккыс
smelling	disgust	0.508	жыттуу
idiocy	disgust	0.508	акмакчылык
resentment	disgust	0.508	таарыныч
bombed	disgust	0.508	бомбаланган
blob	disgust	0.508	тамчы
cheat	disgust	0.508	алдоо
schizophrenia	disgust	0.508	шизофрения
rejection	disgust	0.508	четке кагуу
belittle	disgust	0.508	басынтуу
glut	disgust	0.508	ашказан
disaster	disgust	0.508	кырсык
distress	disgust	0.508	кыйынчылык
pest	disgust	0.508	зыянкеч
endemic	disgust	0.508	эндемикалык
theft	disgust	0.500	уурулук
banish	disgust	0.500	сүрүп салуу
mire	disgust	0.500	баткак
flagrant	disgust	0.500	ачык
derision	disgust	0.500	шылдыңдоо
dirt	disgust	0.500	кир
screaming	disgust	0.500	кыйкырып
offense	disgust	0.500	кылмыш
jealousy	disgust	0.500	көрө албастык
bribery	disgust	0.500	паракорлук
polemic	disgust	0.500	полемикалык
blight	disgust	0.500	оору
impeach	disgust	0.500	импичмент
bitterness	disgust	0.500	ачуу
taboo	disgust	0.500	тыюу
duress	disgust	0.500	мажбурлоо
goblin	disgust	0.500	гоблин
shackle	disgust	0.500	кишен
idolatry	disgust	0.500	бутка табынуу
greed	disgust	0.500	ач көздүк
impurity	disgust	0.500	ыпластык
tirade	disgust	0.500	тирад
idiot	disgust	0.492	акмак
boil	disgust	0.492	кайнатуу
unconscionable	disgust	0.492	акылга сыйбас
disreputable	disgust	0.492	кадыр-барксыз
robber	disgust	0.492	каракчы
malign	disgust	0.492	зыяндуу
wreck	disgust	0.492	кыйроо
recession	disgust	0.492	рецессия
gorge	disgust	0.492	капчыгай
leer	disgust	0.492	сабаттуу
ill	disgust	0.492	оорулуу
squirm	disgust	0.492	кычыратуу
raging	disgust	0.484	ачууланууда
servile	disgust	0.484	кулчулук
mess	disgust	0.484	баш аламандык
nappy	disgust	0.484	жалаяк
possessed	disgust	0.484	ээ болгон
unbearable	disgust	0.484	чыдагыс
occult	disgust	0.484	оккульт
contraband	disgust	0.484	контрабанда
snarl	disgust	0.484	коңгуроо
mutiny	disgust	0.484	козголоң
mad	disgust	0.484	жинди
affliction	disgust	0.484	азап
stain	disgust	0.484	тагы
animosity	disgust	0.484	кастык
contempt	disgust	0.484	жек көрүү
tramp	disgust	0.484	селсаяк
nepotism	disgust	0.484	непотизм
disrespectful	disgust	0.484	сыйлабастык
defamation	disgust	0.484	жалаа жабуу
inexcusable	disgust	0.484	кечирилгис
aversation	disgust	0.484	жек көрүү
wasteful	disgust	0.484	ысырапкор
offender	disgust	0.484	кылмышкер
subjugation	disgust	0.484	багындыруу
illegality	disgust	0.477	мыйзамсыздык
dismal	disgust	0.477	кайгылуу
criminal	disgust	0.477	кылмышкер
unpleasant	disgust	0.477	жагымсыз
palsy	disgust	0.477	шал
antagonistic	disgust	0.477	антагонисттик
pathetic	disgust	0.477	аянычтуу
uncaring	disgust	0.477	кайдыгер
suppression	disgust	0.477	басуу
immorality	disgust	0.477	адепсиздик
mockery	disgust	0.477	шылдыңдоо
outrage	disgust	0.469	кыжырдануу
mocking	disgust	0.469	шылдыңдоо
wallow	disgust	0.469	жулкулда
cough	disgust	0.469	жөтөл
arrogant	disgust	0.469	текебер
