English Word	Emotion	Emotion-Intensity-Score	Arabic Word
pry	anticipation	0.469	نقب
providing	anticipation	0.469	توفير
sweets	anticipation	0.469	حلويات
cautious	anticipation	0.469	الحذر
opera	anticipation	0.469	الأوبرا
motion	anticipation	0.469	حركة
cash	anticipation	0.469	السيولة النقدية
creeping	anticipation	0.469	زحف
invoke	anticipation	0.469	يستحضر
star	anticipation	0.469	نجمة
shaky	anticipation	0.469	مهتزة
production	anticipation	0.469	إنتاج
successful	anticipation	0.469	ناجح
immediately	anticipation	0.469	في الحال
dawn	anticipation	0.469	فَجر
starry	anticipation	0.469	مرصع بالنجوم
unsurpassed	anticipation	0.469	لا نظير لهما
completion	anticipation	0.469	إكمال
hire	anticipation	0.469	يؤجر
fete	anticipation	0.469	فيت
commemorative	anticipation	0.461	تذكاري
shining	anticipation	0.461	ساطع
testament	anticipation	0.461	وصية
pay	anticipation	0.461	يدفع
alive	anticipation	0.461	على قيد الحياة
plight	anticipation	0.461	مأزق
preliminary	anticipation	0.461	أولية
overture	anticipation	0.461	عرض
sanctuary	anticipation	0.461	الملاذ الآمن
regatta	anticipation	0.461	سباق القوارب
draft	anticipation	0.461	مسودة
synchronize	anticipation	0.461	تزامن
soundness	anticipation	0.461	صلابة
extricate	anticipation	0.461	خالص
excel	anticipation	0.461	تتفوق
punt	anticipation	0.461	بونت
untold	anticipation	0.461	لا توصف
brilliant	anticipation	0.461	متألق
cheerfulness	anticipation	0.461	البهجة
jeopardy	anticipation	0.461	خطر
friendly	anticipation	0.461	ودي
mail	anticipation	0.461	بريد
unexpected	anticipation	0.453	غير متوقع
basketball	anticipation	0.453	كرة سلة
inaugural	anticipation	0.453	الافتتاحي
supremacy	anticipation	0.453	السيادة
rehabilitation	anticipation	0.453	إعادة تأهيل
intimately	anticipation	0.453	متصل عاطفيا
career	anticipation	0.453	مسار مهني مسار وظيفي
prevention	anticipation	0.453	منع
renovate	anticipation	0.453	ترميم
compliment	anticipation	0.453	إطراء
prologue	anticipation	0.453	مقدمة
elegance	anticipation	0.453	أناقة
complement	anticipation	0.453	مديح
flinch	anticipation	0.453	جفل
infinity	anticipation	0.453	ما لا نهاية
perpetuity	anticipation	0.453	إلى الأبد
sunset	anticipation	0.453	غروب الشمس
improve	anticipation	0.453	تحسن
fitting	anticipation	0.445	مناسب
confidence	anticipation	0.445	الثقة
concealment	anticipation	0.445	إخفاء
sweet	anticipation	0.445	حلو
perfect	anticipation	0.445	في احسن الاحوال
epidemic	anticipation	0.445	وبائي
fain	anticipation	0.445	خيبة
volunteer	anticipation	0.445	تطوع
share	anticipation	0.445	شارك
surround	anticipation	0.445	تحيط
conjecture	anticipation	0.445	تخمين
sun	anticipation	0.445	الشمس
veracity	anticipation	0.445	الموثوقية
serial	anticipation	0.438	مسلسل
angel	anticipation	0.438	ملاك
aloha	anticipation	0.438	الوها
saint	anticipation	0.438	القديس
tickle	anticipation	0.438	دغدغة
superstitious	anticipation	0.438	مؤمن بالخرافات
ferment	anticipation	0.438	تخمر
conservation	anticipation	0.438	الحفاظ على
devout	anticipation	0.438	ورع
respect	anticipation	0.438	احترام
reconstruction	anticipation	0.438	إعادة الإعمار
goodness	anticipation	0.438	صلاح
reconstruct	anticipation	0.438	إعادة البناء
faith	anticipation	0.438	إيمان
recombination	anticipation	0.438	إعادة التركيب
prepared	anticipation	0.438	أعدت
rabid	anticipation	0.438	مصاب بداء الكلب
plea	anticipation	0.438	نداء
medical	anticipation	0.438	طبي
passenger	anticipation	0.438	راكب
charitable	anticipation	0.430	الخيرية
tabulate	anticipation	0.430	جدولة
peace	anticipation	0.430	سلام
install	anticipation	0.430	تثبيت
serenity	anticipation	0.430	راحة نفسية
venerable	anticipation	0.430	جليل
spa	anticipation	0.430	منتجع صحي
labyrinth	anticipation	0.430	متاهة
luscious	anticipation	0.430	فاتنة
perpetuate	anticipation	0.430	تخليد
strategist	anticipation	0.430	استراتيجي
unverified	anticipation	0.430	لم يتم التحقق منه
tribunal	anticipation	0.430	محكمة
clap	anticipation	0.430	صفق
peaceful	anticipation	0.422	امن
patience	anticipation	0.422	الصبر
unresolved	anticipation	0.422	لم تحل
worship	anticipation	0.422	يعبد
edification	anticipation	0.422	التنوير
oasis	anticipation	0.422	واحه
grin	anticipation	0.422	ابتسامة
revere	anticipation	0.422	احترام
candid	anticipation	0.422	صريح
vista	anticipation	0.422	مشهد من خلال
conspirator	anticipation	0.422	متآمر
adrift	anticipation	0.422	على غير هدى
recognizable	anticipation	0.422	يمكن التعرف عليها
volatility	anticipation	0.422	التقلب
forestall	anticipation	0.422	إحباط
laughter	anticipation	0.422	ضحك
continue	anticipation	0.414	استمر
ongoing	anticipation	0.414	جاري التنفيذ
astrologer	anticipation	0.414	منجم
mediate	anticipation	0.414	توسط
punctual	anticipation	0.414	منضبط
grant	anticipation	0.414	منحة
morn	anticipation	0.414	الضحى
pretty	anticipation	0.414	جميل
withstand	anticipation	0.414	الصمود
frisky	anticipation	0.414	لعوب
thought	anticipation	0.414	يفكر
probation	anticipation	0.414	فترة التجربة
ordination	anticipation	0.414	سيامة
calls	anticipation	0.414	المكالمات
detainee	anticipation	0.414	محتجز
craps	anticipation	0.414	الفضلات
weigh	anticipation	0.414	وزن
proficiency	anticipation	0.414	الكفاءة
sing	anticipation	0.411	يغنى
continuation	anticipation	0.406	استمرار
university	anticipation	0.406	جامعة
chicane	anticipation	0.406	منعطف صناعي
nurture	anticipation	0.406	تنشئة
mother	anticipation	0.406	أم
punished	anticipation	0.406	يعاقب
twinkle	anticipation	0.406	وميض
confession	anticipation	0.406	اعتراف
outdo	anticipation	0.406	تفوق
prophylactic	anticipation	0.406	وقائي
proud	anticipation	0.406	فخور
midwife	anticipation	0.406	قابلة
wizard	anticipation	0.406	ساحر
headlight	anticipation	0.406	المصباح
long	anticipation	0.406	طويل
banquet	anticipation	0.406	مأدبة
comfort	anticipation	0.406	راحة
navigable	anticipation	0.406	صالح للملاحة
subscribe	anticipation	0.406	الإشتراك
opponent	anticipation	0.406	الخصم
debenture	anticipation	0.406	السند
deal	anticipation	0.402	صفقة
symphony	anticipation	0.398	سمفونية
saintly	anticipation	0.398	قديس
judiciary	anticipation	0.398	القضاء
lettered	anticipation	0.398	مكتوب
vigil	anticipation	0.398	يقظة
reliance	anticipation	0.398	الاعتماد
distracting	anticipation	0.398	تشتيت الانتباه
mortification	anticipation	0.398	الإماتة
balm	anticipation	0.398	بلسم
simmer	anticipation	0.398	طبخ بنار هادئة
top	anticipation	0.398	أعلى
obliging	anticipation	0.398	مستعد لتقديم المساعدة
efficient	anticipation	0.398	فعالة
guillotine	anticipation	0.398	مقصلة
representing	anticipation	0.398	يمثل
death	anticipation	0.398	الموت
assurance	anticipation	0.391	توكيد
familiarity	anticipation	0.391	معرفة
depraved	anticipation	0.391	فاسد
condemnation	anticipation	0.391	إدانة
undoubted	anticipation	0.391	لا شك فيه
sanctify	anticipation	0.391	قدس
diplomacy	anticipation	0.391	الدبلوماسية
antidote	anticipation	0.391	مضاد سمي
trust	anticipation	0.391	ثقة
linger	anticipation	0.391	بقي
objective	anticipation	0.391	هدف
chuckle	anticipation	0.391	ضحكة مكتومة
poke	anticipation	0.391	نكز
abeyance	anticipation	0.391	تعليق
maternal	anticipation	0.391	الأم
art	anticipation	0.391	فن
unfulfilled	anticipation	0.391	لم تتحقق
inoculation	anticipation	0.384	تحصين
simplify	anticipation	0.383	تبسيط
depend	anticipation	0.383	تعتمد
chant	anticipation	0.383	ترنيمة
ram	anticipation	0.383	الرامات  الذاكرة العشوائية في الهواتف والحواسيب
banger	anticipation	0.383	السجق
playground	anticipation	0.383	ملعب
labor	anticipation	0.383	العمل
scientist	anticipation	0.383	عالم
good	anticipation	0.383	جيد
humanitarian	anticipation	0.383	إنساني
failing	anticipation	0.383	فشل
hap	anticipation	0.383	هاب
dutiful	anticipation	0.383	مطيع
hymn	anticipation	0.383	ترنيمة
ship	anticipation	0.383	سفينة
discretion	anticipation	0.383	حرية التصرف
undecided	anticipation	0.383	متردد
gradual	anticipation	0.375	تدريجي
navigator	anticipation	0.375	الملاح
track	anticipation	0.375	مسار
cradle	anticipation	0.375	مهد الحضارة
sterling	anticipation	0.375	الجنيه الاسترليني
interim	anticipation	0.375	مؤقت
clock	anticipation	0.375	ساعة حائط
mountain	anticipation	0.375	جبل
interminable	anticipation	0.375	لا نهاية له
public	anticipation	0.375	عام
recurrent	anticipation	0.375	متكرر
savor	anticipation	0.375	تذوق
abide	anticipation	0.367	يلتزم
concealed	anticipation	0.367	مخفي
spear	anticipation	0.367	رمح
lesson	anticipation	0.367	درس
instructions	anticipation	0.367	تعليمات
sonar	anticipation	0.367	السونار
biennial	anticipation	0.367	كل سنتين
convince	anticipation	0.367	يقنع
whim	anticipation	0.367	نزوة
shiver	anticipation	0.367	بقشعريرة
towering	anticipation	0.367	شاهق
musical	anticipation	0.367	موسيقي
offset	anticipation	0.359	عوض
theory	anticipation	0.359	نظرية
theology	anticipation	0.359	علم اللاهوت
undying	anticipation	0.359	لا يموت
timidity	anticipation	0.359	الخجل
plump	anticipation	0.359	ممتلئ الجسم
atone	anticipation	0.359	تكفير
audience	anticipation	0.357	جمهور
dietary	anticipation	0.352	ذو علاقة بالحمية
consecration	anticipation	0.352	تكريس
localize	anticipation	0.352	توطين
paragon	anticipation	0.352	باراغون
store	anticipation	0.352	متجر
farm	anticipation	0.352	مزرعة
daily	anticipation	0.352	اليومي
cramp	anticipation	0.352	شد عضلي
nobility	anticipation	0.352	نبل
closure	anticipation	0.352	إنهاء
edition	anticipation	0.352	الإصدار
kindred	anticipation	0.352	عشير
stripped	anticipation	0.344	جردت
errand	anticipation	0.344	مأمورية
archaeology	anticipation	0.344	علم الآثار
mutable	anticipation	0.344	متقلب
wireless	anticipation	0.344	لاسلكي
meditate	anticipation	0.344	يتأمل
mobile	anticipation	0.344	التليفون المحمول
germ	anticipation	0.336	جرثومة
brotherly	anticipation	0.336	أخوي
lessen	anticipation	0.336	يقلل
unbeaten	anticipation	0.336	لم يهزم
pare	anticipation	0.336	حلل
buddy	anticipation	0.336	صاحب
unaccountable	anticipation	0.336	غير خاضع للمساءلة
dove	anticipation	0.328	حمامة
patient	anticipation	0.328	صبور
secular	anticipation	0.328	علماني
digress	anticipation	0.328	استطرادا
chastity	anticipation	0.328	العفة
council	anticipation	0.328	مجلس
olfactory	anticipation	0.328	شمي
ribbon	anticipation	0.328	شريط
possess	anticipation	0.328	يمتلك
disposed	anticipation	0.320	استبعاده
scrutinize	anticipation	0.320	يفحص، يدقق
immature	anticipation	0.320	غير ناضج
mediator	anticipation	0.320	الوسيط
regularity	anticipation	0.320	انتظام
cove	anticipation	0.320	كوف
infanticide	anticipation	0.320	وأد الأطفال
paddle	anticipation	0.320	مجداف
heft	anticipation	0.320	ثقل
fancy	anticipation	0.320	مولع ب
preservative	anticipation	0.320	مادة حافظة
unpublished	anticipation	0.312	غير منشورة
church	anticipation	0.312	كنيسة
bugle	anticipation	0.312	بوق
grim	anticipation	0.312	متجهم
denying	anticipation	0.312	إنكار
analyst	anticipation	0.312	المحلل
judicial	anticipation	0.305	قضائي
priesthood	anticipation	0.305	كهنوت
broadside	anticipation	0.305	انتقاد
mill	anticipation	0.305	مطحنة
dismay	anticipation	0.297	الفزع
cap	anticipation	0.297	قبعة
thermocouple	anticipation	0.297	الحرارية
tributary	anticipation	0.297	الرافد
instructor	anticipation	0.297	معلم
exhaustion	anticipation	0.297	إنهاك
saliva	anticipation	0.297	اللعاب
cataract	anticipation	0.289	إعتمام عدسة العين
network	anticipation	0.289	شبكة الاتصال
visor	anticipation	0.289	قناع
shackle	anticipation	0.289	قيد
wont	anticipation	0.289	متعود
addresses	anticipation	0.289	عناوين
discreet	anticipation	0.289	متحفظ
noncompliance	anticipation	0.289	عدم الامتثال
bruise	anticipation	0.289	كدمة
homeless	anticipation	0.289	بلا مأوى
astronomer	anticipation	0.281	عالم الفلك
skewed	anticipation	0.281	منحرف
neighbor	anticipation	0.281	الجار
holiness	anticipation	0.273	قداسة
devil	anticipation	0.273	شيطان
picket	anticipation	0.273	اعتصام
sentence	anticipation	0.273	جملة او حكم على
latent	anticipation	0.273	كامن
cream	anticipation	0.273	كريم
immaturity	anticipation	0.273	عدم النضج
habitual	anticipation	0.266	معتاد
morals	anticipation	0.266	أخلاق
neighborhood	anticipation	0.266	حي
lull	anticipation	0.266	هدوء مؤقت
bye	anticipation	0.258	وداعا
weight	anticipation	0.258	وزن
organ	anticipation	0.250	عضو
clown	anticipation	0.250	مهرج
forearm	anticipation	0.250	ساعد
commonplace	anticipation	0.242	مكان مألوف
quote	anticipation	0.242	يقتبس
rail	anticipation	0.234	سكة حديدية
dictatorship	anticipation	0.234	دكتاتورية
treadmill	anticipation	0.234	جهاز السير المتحرك
board	anticipation	0.234	مجلس
tree	anticipation	0.227	شجرة
sundial	anticipation	0.227	مزولة
paralysis	anticipation	0.211	شلل
cement	anticipation	0.203	يبني
worm	anticipation	0.203	الفيروس المتنقل
organization	anticipation	0.203	منظمة
lagging	anticipation	0.180	متخلفة
neutral	anticipation	0.148	محايد
cannibalism	disgust	0.953	أكل لحوم البشر
mutilation	disgust	0.930	تشويه
molestation	disgust	0.914	التحرش
incest	disgust	0.914	سفاح القربى
rape	disgust	0.906	اغتصاب
gonorrhea	disgust	0.906	السيلان
cannibal	disgust	0.898	آكلي لحوم البشر
rot	disgust	0.891	تعفن
corpse	disgust	0.883	جثة
massacre	disgust	0.883	مذبحة
excrement	disgust	0.883	فضلات
barf	disgust	0.875	يتقيأ
slaughter	disgust	0.875	ذبح
slaughterhouse	disgust	0.867	مسلخ
incestuous	disgust	0.859	سفاح القربى
sewerage	disgust	0.859	الصرف الصحي
filth	disgust	0.859	رجس
bigot	disgust	0.859	متعصب
rancid	disgust	0.859	زنخ
infestation	disgust	0.852	الإصابة
plague	disgust	0.852	طاعون
holocaust	disgust	0.852	محرقة
bloodthirsty	disgust	0.852	متعطش للدماء
rotting	disgust	0.844	متعفنة
fecal	disgust	0.844	برازي
maggot	disgust	0.844	يرقة
feces	disgust	0.844	البراز
murder	disgust	0.839	قتل
asshole	disgust	0.836	الأحمق
homicide	disgust	0.836	القتل
enslaved	disgust	0.836	مستعبدون
infanticide	disgust	0.836	وأد الأطفال
perverted	disgust	0.828	منحرفة
excretion	disgust	0.828	إفراز
gore	disgust	0.828	جور
slaughtering	disgust	0.828	الذبح
torture	disgust	0.828	تعذيب
contaminate	disgust	0.821	تلوث
revolting	disgust	0.820	اشمئزاز
gory	disgust	0.820	دموي
shit	disgust	0.820	القرف
terrorist	disgust	0.820	إرهابي
murderer	disgust	0.820	قاتل
repugnant	disgust	0.820	بغيضة
manure	disgust	0.820	السماد
pervert	disgust	0.820	منحرف
diarrhoea	disgust	0.820	إسهال
grotesque	disgust	0.820	شىء متنافر
desecration	disgust	0.820	تدنيس
faeces	disgust	0.812	الفضلات
slavery	disgust	0.812	عبودية
sewer	disgust	0.812	الصرف الصحي
cadaver	disgust	0.812	الجثة
manslaughter	disgust	0.812	القتل غير العمد
dismemberment	disgust	0.812	التقطيع
vomit	disgust	0.812	القيء
perverse	disgust	0.805	المنحرف
repulsive	disgust	0.805	تنافرى
hemorrhage	disgust	0.805	نزف
sewage	disgust	0.797	مياه المجاري
filthy	disgust	0.797	قذرة
diseased	disgust	0.797	مريض
depravity	disgust	0.797	الفساد
carcass	disgust	0.795	الذبيحة
decompose	disgust	0.789	تتحلل
gruesome	disgust	0.789	شنيع
mutilated	disgust	0.789	مشوه
puke	disgust	0.789	تقيؤ
herpes	disgust	0.789	الهربس
decayed	disgust	0.789	متحللة
dung	disgust	0.789	روث
vermin	disgust	0.789	الهوام
murderous	disgust	0.789	قاتلة
parasite	disgust	0.789	طفيلي
horrific	disgust	0.789	مروع
carnage	disgust	0.781	مذبحة
malaria	disgust	0.781	ملاريا
slime	disgust	0.781	الوحل
flatulence	disgust	0.781	انتفاخ
pestilence	disgust	0.781	الوباء
crap	disgust	0.781	حماقة
monstrosity	disgust	0.781	وحشية
loathsome	disgust	0.773	بغيض
toxic	disgust	0.773	سامة
morgue	disgust	0.773	المشرحة
pus	disgust	0.773	صديد
herpesvirus	disgust	0.773	فيروس الهربس
leprosy	disgust	0.773	جذام
insidious	disgust	0.773	أخبث
cruel	disgust	0.766	قاسية
regurgitation	disgust	0.766	ارتجاع
anthrax	disgust	0.766	الجمرة الخبيثة
xenophobia	disgust	0.766	كراهية الأجانب
repugnance	disgust	0.766	الاشمئزاز
lynch	disgust	0.766	شنق
revulsion	disgust	0.766	اشمئزاز
whore	disgust	0.766	عاهرة
dissection	disgust	0.759	تشريح
mucous	disgust	0.758	مخاطي
canker	disgust	0.758	آفة
slum	disgust	0.758	الأحياء الفقيرة
infectious	disgust	0.758	معد
evil	disgust	0.758	شر
phlegm	disgust	0.758	البلغم
cruelty	disgust	0.758	القسوة
perversion	disgust	0.758	الانحراف
sinister	disgust	0.750	شرير
leeches	disgust	0.750	العلق
corrupting	disgust	0.750	مفسد
decomposition	disgust	0.750	تقسيم
abomination	disgust	0.742	رجس - مقت شديد، عمل بغيض
stinking	disgust	0.742	كريه الرائحة
bile	disgust	0.742	الصفراء
demonic	disgust	0.742	شيطاني
deranged	disgust	0.742	مختل
abhorrence	disgust	0.742	اشمئزاز
soiled	disgust	0.742	ملطخ
mucus	disgust	0.742	مخاط
septic	disgust	0.742	تعفن
sickening	disgust	0.742	مقزز
demon	disgust	0.742	شيطان
cancer	disgust	0.734	سرطان
obese	disgust	0.734	سمنة
degeneracy	disgust	0.734	انحطاط
despicable	disgust	0.734	حقير، خسيس
atrocity	disgust	0.734	فظاعة
foul	disgust	0.734	خطأ
sicken	disgust	0.734	يمرض
crucifixion	disgust	0.734	صلب
terrorism	disgust	0.734	الإرهاب
repulsion	disgust	0.727	تنافر
morbidity	disgust	0.727	المرض
dysentery	disgust	0.727	الزحار
enema	disgust	0.727	حقنة شرجية
bacterium	disgust	0.727	بكتيريا
dirty	disgust	0.727	متسخ
adultery	disgust	0.727	الزنا
contamination	disgust	0.727	تلوث اشعاعى
grisly	disgust	0.727	مروع
diabolical	disgust	0.727	شيطاني
autopsy	disgust	0.719	تشريح الجثة
barbaric	disgust	0.719	بربري
vulgar	disgust	0.719	مبتذلة
entrails	disgust	0.719	أحشاء
disgust	disgust	0.719	الاشمئزاز
lewd	disgust	0.719	بذيئة
muck	disgust	0.719	طين
bowels	disgust	0.719	أحشاء
garbage	disgust	0.719	قمامة
deterioration	disgust	0.719	تدهور
contagion	disgust	0.719	مرض معد
vicious	disgust	0.719	وحشي
disfigured	disgust	0.719	مشوه
pungent	disgust	0.719	لاذع
gross	disgust	0.719	أزداد
bloodshed	disgust	0.714	إراقة الدماء
gag	disgust	0.711	أسكت
pollute	disgust	0.711	تلوث
nausea	disgust	0.711	غثيان
tyrant	disgust	0.711	طاغية
wretched	disgust	0.711	بائس
mortification	disgust	0.711	الإماتة
violent	disgust	0.711	عنيف
poisoned	disgust	0.711	تسمم
nauseate	disgust	0.703	أصاب بالغثيان
slimy	disgust	0.703	غروي
grope	disgust	0.703	تلمس
slut	disgust	0.703	وقحة
nasty	disgust	0.703	مقرف
disgusting	disgust	0.703	مقزز
depraved	disgust	0.703	فاسد
porn	disgust	0.703	الإباحية
hateful	disgust	0.703	مكروه
vulgarity	disgust	0.703	الابتذال
noxious	disgust	0.703	ضار
grime	disgust	0.703	وسخ
constipation	disgust	0.703	إمساك
secretion	disgust	0.703	إفراز
poisoning	disgust	0.703	تسمم
despotism	disgust	0.703	الاستبداد
measles	disgust	0.696	مرض الحصبة
contagious	disgust	0.695	معدي
obesity	disgust	0.695	بدانة
wart	disgust	0.695	ثؤلول
hate	disgust	0.695	يكره
hellish	disgust	0.695	جهنمي
scum	disgust	0.695	حثالة
suicidal	disgust	0.695	انتحاري
wretch	disgust	0.695	البائس
abuse	disgust	0.695	تعاطي
waste	disgust	0.695	المخلفات
intestinal	disgust	0.695	معوي
heartworm	disgust	0.688	دودة القلب
ooze	disgust	0.688	طين
treason	disgust	0.688	خيانة
contaminated	disgust	0.688	ملوثة
smut	disgust	0.688	بذيء
disease	disgust	0.688	مرض
rabid	disgust	0.688	مصاب بداء الكلب
deformed	disgust	0.680	مشوه
hell	disgust	0.680	الجحيم
soulless	disgust	0.680	بلا روح
cholera	disgust	0.680	كوليرا
bestial	disgust	0.680	بهيمي
antichrist	disgust	0.680	عدو للمسيح
freakish	disgust	0.680	عجيب
germ	disgust	0.680	جرثومة
detest	disgust	0.680	يكرهون
pollution	disgust	0.680	التلوث
grimy	disgust	0.680	وسخ
abhorrent	disgust	0.680	مقيت
hatred	disgust	0.680	كراهية
abominate	disgust	0.680	مكروه
sickness	disgust	0.680	المرض
hideous	disgust	0.672	بشعة
dictatorship	disgust	0.672	دكتاتورية
loathful	disgust	0.672	بغيض
greasy	disgust	0.672	دهني
dilapidated	disgust	0.672	متداعية
inhuman	disgust	0.672	غير إنساني
loathing	disgust	0.672	اشمئزاز
obscene	disgust	0.672	فاحشة
cess	disgust	0.670	ضريبة
devil	disgust	0.664	شيطان
deformity	disgust	0.664	تشوه
nauseous	disgust	0.664	بالغثيان
deadly	disgust	0.664	مميت
swine	disgust	0.664	انثي خنزير
discrimination	disgust	0.664	تمييز
abominable	disgust	0.664	بغيضة
masochism	disgust	0.664	الماسوشية
heretic	disgust	0.664	زنديق
latrines	disgust	0.656	المراحيض
corruption	disgust	0.656	فساد
poisonous	disgust	0.656	سامة
horror	disgust	0.656	رعب
nefarious	disgust	0.656	شائنة
bacteria	disgust	0.656	بكتيريا
horrible	disgust	0.656	رهيب
trash	disgust	0.656	قمامة، يدمر، يهدم
abortion	disgust	0.656	إجهاض
death	disgust	0.656	الموت
prejudiced	disgust	0.656	متحامل
poison	disgust	0.656	سم
oppression	disgust	0.656	القهر
goo	disgust	0.656	لزج
victimized	disgust	0.656	ضحية
mange	disgust	0.656	الجرب
sludge	disgust	0.648	الحمأة الناتجة
trashy	disgust	0.648	ملىء بالقمامة
vindictive	disgust	0.648	انتقامي
horrid	disgust	0.648	بشع
ugly	disgust	0.648	البشع
immoral	disgust	0.648	عديم الاخلاق
bitch	disgust	0.648	عاهرة
outhouse	disgust	0.648	مبنى خارجي
detestation	disgust	0.648	الكراهية
horrifying	disgust	0.641	مرعب
laxative	disgust	0.641	ملين
unsightly	disgust	0.641	بشع
derogatory	disgust	0.641	ازدراء
slop	disgust	0.641	سلوب
malfeasance	disgust	0.641	المخالفات
spew	disgust	0.641	تقيأ
pimple	disgust	0.641	بثرة
criminality	disgust	0.641	الإجرام
indecency	disgust	0.641	بذاءة
cystic	disgust	0.641	كيسي
villainous	disgust	0.641	خسيس
queasy	disgust	0.633	مغثي
mildew	disgust	0.633	العفن الفطري
oppressive	disgust	0.633	جائرة
prostitution	disgust	0.633	بغاء
secrete	disgust	0.633	تفرز
ulcer	disgust	0.633	قرحة
rat	disgust	0.633	فأر
bigoted	disgust	0.633	متعصب
perpetrator	disgust	0.633	مرتكب الجريمة
doomsday	disgust	0.633	يوم القيامة
sinful	disgust	0.633	شرير
degrading	disgust	0.625	تدهور
ghastly	disgust	0.625	مروع
suffering	disgust	0.625	معاناة
obscenity	disgust	0.625	الفحش
devilish	disgust	0.625	شيطانية
disgraceful	disgust	0.625	مخز
persecution	disgust	0.625	اضطهاد
contemptible	disgust	0.625	حقير
cuckold	disgust	0.625	ديوث
stools	disgust	0.625	كرسي بلا ظهر أو ذراعين
dastardly	disgust	0.625	غذر
sin	disgust	0.625	الخطيئة
gluttony	disgust	0.625	الشراهة
bloated	disgust	0.625	منتفخة
fungus	disgust	0.625	فطر
aghast	disgust	0.625	مذعور
diaper	disgust	0.617	حفاضات
malicious	disgust	0.617	ضار
polygamy	disgust	0.617	تعدد الزوجات
dying	disgust	0.617	الموت
termite	disgust	0.617	النمل الأبيض
fat	disgust	0.617	سمين
deceit	disgust	0.617	خداع
atrocious	disgust	0.617	فظيع
guillotine	disgust	0.617	مقصلة
tetanus	disgust	0.617	كُزاز
spoil	disgust	0.617	يفسد
crusty	disgust	0.617	يابس
sickly	disgust	0.617	مريض
louse	disgust	0.617	قملة
strangle	disgust	0.617	خنق
betrayal	disgust	0.617	خيانة
loathe	disgust	0.617	يكره
wench	disgust	0.617	بغي
infect	disgust	0.617	تصيب
violently	disgust	0.609	بعنف
brothel	disgust	0.609	بيت دعارة
drool	disgust	0.609	سال لعابه
bleeding	disgust	0.609	نزيف
deform	disgust	0.609	تشوه
ghetto	disgust	0.609	الغيت حي اليهود
sabotage	disgust	0.609	تخريب
venomous	disgust	0.609	سام
abhor	disgust	0.609	يبغض
slander	disgust	0.609	القذف
hostile	disgust	0.609	عدائي
musty	disgust	0.602	عفن
illicit	disgust	0.602	غير شرعي
ugliness	disgust	0.602	قبح
unwashed	disgust	0.602	غير مغسول
swampy	disgust	0.602	مستنقع
deprivation	disgust	0.602	الحرمان
poaching	disgust	0.602	الصيد الجائر
hag	disgust	0.602	حاج
infidel	disgust	0.602	كافر
imprisonment	disgust	0.602	السجن
traitor	disgust	0.602	خائن
lunacy	disgust	0.602	جنون
queasiness	disgust	0.594	الغثيان
hostility	disgust	0.594	العداء
repelling	disgust	0.594	صد
intoxicated	disgust	0.594	سكران
thug	disgust	0.594	سفاح
catastrophe	disgust	0.594	نكبة
lunatic	disgust	0.594	مجنون
misery	disgust	0.594	بؤس
venom	disgust	0.594	السم
butcher	disgust	0.594	قصاب
toilet	disgust	0.594	الحمام
blister	disgust	0.594	نفطة
lurid	disgust	0.594	متوهج
slug	disgust	0.594	سبيكة
gut	disgust	0.594	القناة الهضمية
sinner	disgust	0.594	كافر
deceitful	disgust	0.594	مخادع
epidemic	disgust	0.594	وبائي
deteriorated	disgust	0.586	تدهورت
lavatory	disgust	0.586	مرحاض
unclean	disgust	0.586	غير نظيفة
prostitute	disgust	0.586	بائعة هوى
incubus	disgust	0.586	حضانة
appalling	disgust	0.586	مروعة
dreadful	disgust	0.586	مروع
pornography	disgust	0.586	المواد الإباحية
harass	disgust	0.586	مضايقة
squeamish	disgust	0.578	شديد الحساسية
expulsion	disgust	0.578	طرد
unfaithful	disgust	0.578	غير مخلص
offensive	disgust	0.578	مسيئة
hypocrite	disgust	0.578	منافق
humiliating	disgust	0.578	مهين
larceny	disgust	0.578	السرقة
ruinous	disgust	0.578	مدمر
retard	disgust	0.578	يؤخر
rash	disgust	0.578	متسرع
flea	disgust	0.578	برغوث
debauchery	disgust	0.578	الفجور
fiend	disgust	0.578	مدمن
quagmire	disgust	0.578	مستنقع
conspirator	disgust	0.578	متآمر
sick	disgust	0.578	مرض
mangle	disgust	0.578	فسد
dogsick	disgust	0.570	كلاب
egregious	disgust	0.570	فظيع
flog	disgust	0.570	جلد
despise	disgust	0.570	يحتقر
treacherous	disgust	0.570	غادر
oppress	disgust	0.570	الظلم
swamp	disgust	0.570	مستنقع
messy	disgust	0.570	فوضوي
spit	disgust	0.570	بصق
dank	disgust	0.570	رطب
bastard	disgust	0.570	نذل
devastating	disgust	0.570	مدمر
serpent	disgust	0.570	ثعبان
loo	disgust	0.562	مرحاض
indecent	disgust	0.562	غير لائق
insanity	disgust	0.562	جنون
stealing	disgust	0.562	سرقة
terrible	disgust	0.562	كريه
tyrannical	disgust	0.562	طاغية
humiliation	disgust	0.562	الذل
snake	disgust	0.562	ثعبان
sloppy	disgust	0.562	قذرة
sinning	disgust	0.562	آثم
harmful	disgust	0.562	ضار
harlot	disgust	0.562	عاهرة
sordid	disgust	0.562	قذر
enemy	disgust	0.562	العدو
alcoholism	disgust	0.562	إدمان الكحول
awful	disgust	0.562	مريع
ruthless	disgust	0.562	قاس
