English Word	Emotion	Emotion-Intensity-Score	Malay Word
rekindle	anticipation	0.594	menghidupkan semula
preparedness	anticipation	0.594	kesediaan
acquiring	anticipation	0.594	memperoleh
luck	anticipation	0.594	nasib baik
marry	anticipation	0.594	kahwin
predict	anticipation	0.589	menjangkakan
money	anticipation	0.586	wang
auspices	anticipation	0.586	naungan
uplift	anticipation	0.586	menaikkan semangat
fiesta	anticipation	0.586	hari raya
enjoying	anticipation	0.586	menikmati
preparation	anticipation	0.586	persiapan
raffle	anticipation	0.586	undian
investigation	anticipation	0.586	penyiasatan
progression	anticipation	0.586	kemajuan
overdue	anticipation	0.586	tertunggak
crave	anticipation	0.586	mengidam
impatient	anticipation	0.586	tidak sabar
enthusiast	anticipation	0.586	peminat
flirt	anticipation	0.586	bercumbu
seek	anticipation	0.586	mencari
sequel	anticipation	0.586	sekuel
presumption	anticipation	0.586	anggapan
delightful	anticipation	0.586	menarik
gambling	anticipation	0.586	perjudian
immerse	anticipation	0.586	tenggelamkan
endeavor	anticipation	0.586	berusaha
experiment	anticipation	0.580	eksperimen
enjoy	anticipation	0.578	nikmatilah
completing	anticipation	0.578	melengkapkan
clamor	anticipation	0.578	keriuhan
angling	anticipation	0.578	memancing
majestic	anticipation	0.578	megah
divination	anticipation	0.578	tilikan
transcendence	anticipation	0.578	transendensi
thriving	anticipation	0.578	berkembang maju
excavation	anticipation	0.578	penggalian
thirst	anticipation	0.578	dahaga
remedy	anticipation	0.578	remedi
harvest	anticipation	0.578	menuai
risk	anticipation	0.578	risiko
healing	anticipation	0.578	penyembuhan
heavenly	anticipation	0.578	syurgawi
inviting	anticipation	0.578	mengundang
precarious	anticipation	0.578	tidak menentu
attainable	anticipation	0.578	boleh dicapai
blessing	anticipation	0.578	berkat
prosper	anticipation	0.578	makmur
tease	anticipation	0.570	mengusik
plan	anticipation	0.570	rancangan
sweetheart	anticipation	0.570	sayang
zest	anticipation	0.570	semangat
magnificence	anticipation	0.570	kehebatan
ultimate	anticipation	0.570	muktamad
emancipation	anticipation	0.570	emansipasi
restlessness	anticipation	0.570	kegelisahan
finally	anticipation	0.570	akhirnya
intimate	anticipation	0.570	intim
omen	anticipation	0.570	petanda
matchmaker	anticipation	0.570	pencari jodoh
gambler	anticipation	0.570	penjudi
prospectively	anticipation	0.570	secara prospektif
dare	anticipation	0.570	berani
warned	anticipation	0.570	diberi amaran
invite	anticipation	0.570	jemput
mysterious	anticipation	0.562	misteri
accolade	anticipation	0.562	pujian
lover	anticipation	0.562	kekasih
expose	anticipation	0.562	dedahkan
enchant	anticipation	0.562	mempesonakan
attempt	anticipation	0.562	percubaan
festival	anticipation	0.562	perayaan
exalt	anticipation	0.562	mengagungkan
rejoice	anticipation	0.562	bergembiralah
independence	anticipation	0.562	kemerdekaan
expected	anticipation	0.562	dijangka
fanfare	anticipation	0.562	kemeriahan
immortality	anticipation	0.562	keabadian
quicken	anticipation	0.562	cepatkan
parade	anticipation	0.562	perarakan
fun	anticipation	0.562	seronok
predilection	anticipation	0.562	kecenderungan
champion	anticipation	0.562	juara
forewarned	anticipation	0.562	diberi amaran dahulu
hypothesis	anticipation	0.562	hipotesis
trophy	anticipation	0.562	trofi
shopping	anticipation	0.555	membeli belah
salvation	anticipation	0.555	keselamatan
feeling	anticipation	0.555	perasaan
speculative	anticipation	0.555	spekulatif
oracle	anticipation	0.555	oracle
heroism	anticipation	0.555	kepahlawanan
boisterous	anticipation	0.555	riuh rendah
grasping	anticipation	0.555	menggenggam
uneasiness	anticipation	0.555	kegelisahan
curiosity	anticipation	0.555	rasa ingin tahu
happy	anticipation	0.555	gembira
rejoicing	anticipation	0.555	bergembira
fate	anticipation	0.555	nasib
liberty	anticipation	0.555	kebebasan
unfold	anticipation	0.555	terbongkar
amour	anticipation	0.555	percintaan
lovely	anticipation	0.555	indah
splendor	anticipation	0.555	kemegahan
grow	anticipation	0.555	membesar
glimmer	anticipation	0.547	kilauan
incite	anticipation	0.547	menghasut
abundance	anticipation	0.547	banyak
resultant	anticipation	0.547	terhasil
probability	anticipation	0.547	kebarangkalian
recreational	anticipation	0.547	rekreasi
glory	anticipation	0.547	kemuliaan
agape	anticipation	0.547	agape
delighted	anticipation	0.547	gembira
changeable	anticipation	0.547	boleh ubah
convergence	anticipation	0.547	penumpuan
bountiful	anticipation	0.547	melimpah ruah
warn	anticipation	0.547	memberi amaran
monetary	anticipation	0.547	kewangan
sorcery	anticipation	0.547	ilmu sihir
morrow	anticipation	0.547	esok
apprehensive	anticipation	0.547	khuatir
hungry	anticipation	0.547	lapar
vote	anticipation	0.547	mengundi
suspicious	anticipation	0.547	mencurigakan
pray	anticipation	0.547	berdoa
leisure	anticipation	0.547	masa lapang
hunting	anticipation	0.539	memburu
sensual	anticipation	0.539	berahi
tempest	anticipation	0.539	ribut
auction	anticipation	0.539	lelong
ballot	anticipation	0.539	undi
grandchildren	anticipation	0.539	cucu-cucu
hankering	anticipation	0.539	teringin
entertainment	anticipation	0.539	hiburan
merge	anticipation	0.539	bercantum
exceed	anticipation	0.539	melebihi
vindication	anticipation	0.539	pembenaran
blessings	anticipation	0.539	berkat
inquiry	anticipation	0.539	siasatan
bounty	anticipation	0.539	kurniaan
worrying	anticipation	0.539	membimbangkan
contingent	anticipation	0.539	kontinjen
glad	anticipation	0.536	gembira
harbinger	anticipation	0.531	petanda
magnificent	anticipation	0.531	tersergam indah
virginity	anticipation	0.531	dara
stealthy	anticipation	0.531	senyap-senyap
appeal	anticipation	0.531	rayuan
forming	anticipation	0.531	membentuk
celestial	anticipation	0.531	samawi
raving	anticipation	0.531	meracau
deliverance	anticipation	0.531	pembebasan
feat	anticipation	0.531	feat
cheer	anticipation	0.531	bersorak
responsive	anticipation	0.531	responsif
hurried	anticipation	0.531	tergesa-gesa
betrothed	anticipation	0.531	bertunang
overthrow	anticipation	0.531	menggulingkan
spirits	anticipation	0.531	semangat
dread	anticipation	0.531	ketakutan
visitor	anticipation	0.531	pelawat
wait	anticipation	0.523	tunggu
revive	anticipation	0.523	menghidupkan semula
watch	anticipation	0.523	menonton
hunter	anticipation	0.523	pemburu
radiance	anticipation	0.523	sinaran
planning	anticipation	0.523	perancangan
germination	anticipation	0.523	percambahan
competition	anticipation	0.523	persaingan
preparatory	anticipation	0.523	persediaan
prognostic	anticipation	0.523	prognostik
beaming	anticipation	0.523	berseri-seri
cheery	anticipation	0.523	ceria
prevail	anticipation	0.523	menang
importance	anticipation	0.523	kepentingan
notification	anticipation	0.523	pemberitahuan
explosive	anticipation	0.523	bahan letupan
pleasant	anticipation	0.523	menyenangkan
ultimately	anticipation	0.523	akhirnya
child	anticipation	0.523	anak
haste	anticipation	0.523	tergesa-gesa
prophet	anticipation	0.523	nabi
recreation	anticipation	0.516	rekreasi
present	anticipation	0.516	hadir
time	anticipation	0.516	masa
sensuality	anticipation	0.516	keghairahan
owing	anticipation	0.516	terhutang
loom	anticipation	0.516	alat tenun
begun	anticipation	0.516	bermula
salary	anticipation	0.516	gaji
celebrity	anticipation	0.516	selebriti
treat	anticipation	0.516	merawat
chocolate	anticipation	0.516	coklat
caution	anticipation	0.516	berhati-hati
fermentation	anticipation	0.516	penapaian
uncontrollable	anticipation	0.516	tidak terkawal
precious	anticipation	0.516	berharga
compensate	anticipation	0.516	memberi pampasan
endanger	anticipation	0.516	membahayakan
renovation	anticipation	0.516	pengubahsuaian
signify	anticipation	0.508	menandakan
vigilance	anticipation	0.508	kewaspadaan
prerequisite	anticipation	0.508	prasyarat
perfection	anticipation	0.508	kesempurnaan
cultivate	anticipation	0.508	bercucuk tanam
develop	anticipation	0.508	membangun
cue	anticipation	0.508	isyarat
exigent	anticipation	0.508	mendesak
transitional	anticipation	0.508	peralihan
commemoration	anticipation	0.508	peringatan
intermission	anticipation	0.508	rehat
elevation	anticipation	0.508	ketinggian
infant	anticipation	0.508	bayi
practise	anticipation	0.508	berlatih
contemplation	anticipation	0.508	renungan
dreadful	anticipation	0.508	ngeri
wilderness	anticipation	0.508	hutan belantara
horizon	anticipation	0.508	ufuk
sneaking	anticipation	0.500	menyelinap
uphill	anticipation	0.500	menanjak
puppy	anticipation	0.500	anak anjing
blindfold	anticipation	0.500	penutup mata
unbridled	anticipation	0.500	tidak terkawal
horoscope	anticipation	0.500	horoskop
airport	anticipation	0.500	lapangan terbang
reconciliation	anticipation	0.500	pendamaian
advocacy	anticipation	0.500	advokasi
litigate	anticipation	0.500	mengadili
sunny	anticipation	0.500	cerah
intuitively	anticipation	0.500	secara intuitif
hero	anticipation	0.500	wira
ardent	anticipation	0.500	bersemangat
commemorate	anticipation	0.500	memperingati
romantic	anticipation	0.500	romantik
doomsday	anticipation	0.500	hari kiamat
ready	anticipation	0.500	sedia
nascent	anticipation	0.500	baru lahir
invocation	anticipation	0.500	seruan
depart	anticipation	0.500	berlepas
undisclosed	anticipation	0.500	tidak didedahkan
attendance	anticipation	0.500	kehadiran
peril	anticipation	0.500	bahaya
income	anticipation	0.500	pendapatan
calculation	anticipation	0.500	pengiraan
zeal	anticipation	0.500	semangat
eventuality	anticipation	0.500	kemungkinan
favorable	anticipation	0.500	menguntungkan
utopian	anticipation	0.500	utopia
swim	anticipation	0.500	berenang
proceeding	anticipation	0.492	meneruskan
eventual	anticipation	0.492	akhirnya
heyday	anticipation	0.492	zaman kegemilangan
undertaking	anticipation	0.492	usaha
improvise	anticipation	0.492	berimprovisasi
inauguration	anticipation	0.492	perasmian
consequent	anticipation	0.492	akibat
perspective	anticipation	0.492	perspektif
defense	anticipation	0.492	pertahanan
repay	anticipation	0.492	bayar balik
gaping	anticipation	0.492	ternganga
youth	anticipation	0.492	belia
parole	anticipation	0.492	parol
worry	anticipation	0.492	risau
bless	anticipation	0.492	memberkati
restorative	anticipation	0.492	pemulihan
court	anticipation	0.492	mahkamah
highest	anticipation	0.491	tertinggi
shortly	anticipation	0.484	sebentar lagi
auspicious	anticipation	0.484	bertuah
princely	anticipation	0.484	putera raja
correspondence	anticipation	0.484	surat menyurat
generosity	anticipation	0.484	kemurahan hati
sparkle	anticipation	0.484	berkilau
voluptuous	anticipation	0.484	menggairahkan
happen	anticipation	0.484	berlaku
tremor	anticipation	0.484	gegaran
letter	anticipation	0.484	surat
vow	anticipation	0.484	bersumpah
sharpen	anticipation	0.484	mengasah
duel	anticipation	0.484	pertarungan
conjure	anticipation	0.484	tenung
threaten	anticipation	0.484	mengancam
god	anticipation	0.484	tuhan
engulf	anticipation	0.484	menelan
unexplained	anticipation	0.484	tidak dapat dijelaskan
contagion	anticipation	0.484	penularan
glorify	anticipation	0.477	bertasbih
submit	anticipation	0.477	serahkan
enroll	anticipation	0.477	mendaftar
unification	anticipation	0.477	penyatuan
gravitate	anticipation	0.477	graviti
glide	anticipation	0.477	meluncur
accompaniment	anticipation	0.477	iringan
cherish	anticipation	0.477	hargai
adore	anticipation	0.477	memuja
powerful	anticipation	0.477	berkuasa
clue	anticipation	0.477	petunjuk
medal	anticipation	0.477	pingat
contemplate	anticipation	0.477	renung-renungkan
perilous	anticipation	0.477	bahaya
determinate	anticipation	0.477	tekad
arbitration	anticipation	0.477	timbang tara
recipient	anticipation	0.477	penerima
onset	anticipation	0.477	permulaan
predispose	anticipation	0.477	predispose
score	anticipation	0.477	skor
torture	anticipation	0.477	penyeksaan
glow	anticipation	0.477	bersinar
praiseworthy	anticipation	0.473	terpuji
football	anticipation	0.469	bola sepak
scare	anticipation	0.469	menakutkan
elite	anticipation	0.469	elit
unknown	anticipation	0.469	tidak diketahui
precursor	anticipation	0.469	pendahulu
pry	anticipation	0.469	mengungkit
providing	anticipation	0.469	menyediakan
sweets	anticipation	0.469	gula-gula
cautious	anticipation	0.469	berhati-hati
opera	anticipation	0.469	opera
motion	anticipation	0.469	gerakan
cash	anticipation	0.469	tunai
creeping	anticipation	0.469	merayap
invoke	anticipation	0.469	menyeru
star	anticipation	0.469	bintang
shaky	anticipation	0.469	goyah
production	anticipation	0.469	pengeluaran
successful	anticipation	0.469	berjaya
immediately	anticipation	0.469	serta merta
dawn	anticipation	0.469	subuh
starry	anticipation	0.469	berbintang
unsurpassed	anticipation	0.469	tiada tandingannya
completion	anticipation	0.469	selesai
hire	anticipation	0.469	mengupah
fete	anticipation	0.469	pesta
commemorative	anticipation	0.461	peringatan
shining	anticipation	0.461	bersinar
testament	anticipation	0.461	wasiat
pay	anticipation	0.461	bayar
alive	anticipation	0.461	hidup
plight	anticipation	0.461	kesusahan
preliminary	anticipation	0.461	pendahuluan
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	tempat perlindungan
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	draf
synchronize	anticipation	0.461	menyegerakkan
soundness	anticipation	0.461	kemantapan
extricate	anticipation	0.461	keluarkan
excel	anticipation	0.461	cemerlang
punt	anticipation	0.461	tebuk
untold	anticipation	0.461	tak terkata
brilliant	anticipation	0.461	cemerlang
cheerfulness	anticipation	0.461	keceriaan
jeopardy	anticipation	0.461	bahaya
friendly	anticipation	0.461	mesra
mail	anticipation	0.461	mel
unexpected	anticipation	0.453	tidak dijangka
basketball	anticipation	0.453	bola keranjang
inaugural	anticipation	0.453	perasmian
supremacy	anticipation	0.453	ketuanan
rehabilitation	anticipation	0.453	pemulihan
intimately	anticipation	0.453	secara intim
career	anticipation	0.453	kerjaya
prevention	anticipation	0.453	pencegahan
renovate	anticipation	0.453	mengubahsuai
compliment	anticipation	0.453	pujian
prologue	anticipation	0.453	prolog
elegance	anticipation	0.453	keanggunan
complement	anticipation	0.453	pelengkap
flinch	anticipation	0.453	tersentak
infinity	anticipation	0.453	infiniti
perpetuity	anticipation	0.453	keabadian
sunset	anticipation	0.453	matahari terbenam
improve	anticipation	0.453	bertambah baik
fitting	anticipation	0.445	sesuai
confidence	anticipation	0.445	keyakinan diri
concealment	anticipation	0.445	penyembunyian
sweet	anticipation	0.445	manis
perfect	anticipation	0.445	sempurna
epidemic	anticipation	0.445	epidemik
fain	anticipation	0.445	pengsan
volunteer	anticipation	0.445	sukarelawan
share	anticipation	0.445	kongsi
surround	anticipation	0.445	mengelilingi
conjecture	anticipation	0.445	sangkaan
sun	anticipation	0.445	matahari
veracity	anticipation	0.445	kebenaran
serial	anticipation	0.438	bersiri
angel	anticipation	0.438	malaikat
aloha	anticipation	0.438	sayang
saint	anticipation	0.438	orang suci
tickle	anticipation	0.438	menggeletek
superstitious	anticipation	0.438	khurafat
ferment	anticipation	0.438	menapai
conservation	anticipation	0.438	pemuliharaan
devout	anticipation	0.438	khusyuk
respect	anticipation	0.438	hormat
reconstruction	anticipation	0.438	pembinaan semula
goodness	anticipation	0.438	kebaikan
reconstruct	anticipation	0.438	membina semula
faith	anticipation	0.438	iman
recombination	anticipation	0.438	penggabungan semula
prepared	anticipation	0.438	disediakan
rabid	anticipation	0.438	mengamuk
plea	anticipation	0.438	rayuan
medical	anticipation	0.438	perubatan
passenger	anticipation	0.438	penumpang
charitable	anticipation	0.430	amal kebajikan
tabulate	anticipation	0.430	jadual
peace	anticipation	0.430	kedamaian
install	anticipation	0.430	pasang
serenity	anticipation	0.430	ketenangan
venerable	anticipation	0.430	dihormati
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirin
luscious	anticipation	0.430	lazat
perpetuate	anticipation	0.430	kekalkan
strategist	anticipation	0.430	ahli strategi
unverified	anticipation	0.430	tidak disahkan
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	tepuk tangan
peaceful	anticipation	0.422	aman damai
patience	anticipation	0.422	sabar
unresolved	anticipation	0.422	tidak dapat diselesaikan
worship	anticipation	0.422	ibadah
edification	anticipation	0.422	pembangunan
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	tersengih
revere	anticipation	0.422	hormat
candid	anticipation	0.422	berterus terang
vista	anticipation	0.422	pemandangan
conspirator	anticipation	0.422	konspirator
adrift	anticipation	0.422	hanyut
recognizable	anticipation	0.422	boleh dikenali
volatility	anticipation	0.422	turun naik
forestall	anticipation	0.422	menghalang
laughter	anticipation	0.422	gelak ketawa
continue	anticipation	0.414	teruskan
ongoing	anticipation	0.414	berterusan
astrologer	anticipation	0.414	ahli nujum
mediate	anticipation	0.414	perantara
punctual	anticipation	0.414	menepati masa
grant	anticipation	0.414	pemberian
morn	anticipation	0.414	pagi
pretty	anticipation	0.414	cantik
withstand	anticipation	0.414	tahan
frisky	anticipation	0.414	lincah
thought	anticipation	0.414	terfikir
probation	anticipation	0.414	percubaan
ordination	anticipation	0.414	pentahbisan
calls	anticipation	0.414	panggilan
detainee	anticipation	0.414	tahanan
craps	anticipation	0.414	karut
weigh	anticipation	0.414	timbang
proficiency	anticipation	0.414	kemahiran
sing	anticipation	0.411	menyanyi
continuation	anticipation	0.406	sambungan
university	anticipation	0.406	universiti
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	memupuk
mother	anticipation	0.406	ibu
punished	anticipation	0.406	dihukum
twinkle	anticipation	0.406	kejap
confession	anticipation	0.406	pengakuan
outdo	anticipation	0.406	mengatasi
prophylactic	anticipation	0.406	profilaksis
proud	anticipation	0.406	bangga
midwife	anticipation	0.406	bidan
wizard	anticipation	0.406	ahli sihir
headlight	anticipation	0.406	lampu hadapan
long	anticipation	0.406	panjang
banquet	anticipation	0.406	jamuan
comfort	anticipation	0.406	keselesaan
navigable	anticipation	0.406	boleh dilayari
subscribe	anticipation	0.406	melanggan
opponent	anticipation	0.406	lawan
debenture	anticipation	0.406	debentur
deal	anticipation	0.402	perjanjian
symphony	anticipation	0.398	simfoni
saintly	anticipation	0.398	secara suci
judiciary	anticipation	0.398	badan kehakiman
lettered	anticipation	0.398	bersurat
vigil	anticipation	0.398	berjaga-jaga
reliance	anticipation	0.398	pergantungan
distracting	anticipation	0.398	mengganggu
mortification	anticipation	0.398	rasa malu
balm	anticipation	0.398	balm
simmer	anticipation	0.398	reneh
top	anticipation	0.398	atas
obliging	anticipation	0.398	mewajibkan
efficient	anticipation	0.398	cekap
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	mewakili
death	anticipation	0.398	kematian
assurance	anticipation	0.391	jaminan
familiarity	anticipation	0.391	kebiasaan
depraved	anticipation	0.391	rosak akhlak
condemnation	anticipation	0.391	kutukan
undoubted	anticipation	0.391	tidak diragukan lagi
sanctify	anticipation	0.391	menyucikan
diplomacy	anticipation	0.391	diplomasi
antidote	anticipation	0.391	penawar
trust	anticipation	0.391	amanah
linger	anticipation	0.391	berlama-lama
objective	anticipation	0.391	objektif
chuckle	anticipation	0.391	ketawa kecil
poke	anticipation	0.391	mencucuk
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	ibu
art	anticipation	0.391	seni
unfulfilled	anticipation	0.391	tidak dipenuhi
inoculation	anticipation	0.384	inokulasi
simplify	anticipation	0.383	memudahkan
depend	anticipation	0.383	bergantung
chant	anticipation	0.383	berzikir
ram	anticipation	0.383	Ram
banger	anticipation	0.383	banger
playground	anticipation	0.383	taman permainan
labor	anticipation	0.383	buruh
scientist	anticipation	0.383	ahli sains
good	anticipation	0.383	baik
humanitarian	anticipation	0.383	kemanusiaan
failing	anticipation	0.383	gagal
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	berbakti
hymn	anticipation	0.383	lagu raya
ship	anticipation	0.383	kapal
discretion	anticipation	0.383	budi bicara
undecided	anticipation	0.383	belum tentu
gradual	anticipation	0.375	beransur-ansur
navigator	anticipation	0.375	pelayar
track	anticipation	0.375	trek
cradle	anticipation	0.375	buaian
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	sementara
clock	anticipation	0.375	jam
mountain	anticipation	0.375	gunung
interminable	anticipation	0.375	tidak berkesudahan
public	anticipation	0.375	awam
recurrent	anticipation	0.375	berulang
savor	anticipation	0.375	rasa
abide	anticipation	0.367	akur
concealed	anticipation	0.367	disembunyikan
spear	anticipation	0.367	lembing
lesson	anticipation	0.367	pelajaran
instructions	anticipation	0.367	arahan
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	dwitahunan
convince	anticipation	0.367	meyakinkan
whim	anticipation	0.367	sesuka hati
shiver	anticipation	0.367	menggigil
towering	anticipation	0.367	menjulang tinggi
musical	anticipation	0.367	muzikal
offset	anticipation	0.359	mengimbangi
theory	anticipation	0.359	teori
theology	anticipation	0.359	teologi
undying	anticipation	0.359	abadi
timidity	anticipation	0.359	rasa malu
plump	anticipation	0.359	tembam
atone	anticipation	0.359	menebus dosa
audience	anticipation	0.357	penonton
dietary	anticipation	0.352	pemakanan
consecration	anticipation	0.352	penyucian
localize	anticipation	0.352	menyetempatkan
paragon	anticipation	0.352	teladan
store	anticipation	0.352	kedai
farm	anticipation	0.352	ladang
daily	anticipation	0.352	setiap hari
cramp	anticipation	0.352	kekejangan
nobility	anticipation	0.352	bangsawan
closure	anticipation	0.352	penutupan
edition	anticipation	0.352	edisi
kindred	anticipation	0.352	kerabat
stripped	anticipation	0.344	dibogelkan
errand	anticipation	0.344	tugasan
archaeology	anticipation	0.344	arkeologi
mutable	anticipation	0.344	boleh ubah
wireless	anticipation	0.344	tanpa wayar
meditate	anticipation	0.344	bermeditasi
mobile	anticipation	0.344	mudah alih
germ	anticipation	0.336	kuman
brotherly	anticipation	0.336	bersaudara
lessen	anticipation	0.336	kurangkan
unbeaten	anticipation	0.336	tak terkalahkan
pare	anticipation	0.336	pare
buddy	anticipation	0.336	kawan
unaccountable	anticipation	0.336	tidak boleh dipertanggungjawabkan
dove	anticipation	0.328	burung merpati
patient	anticipation	0.328	sabar
secular	anticipation	0.328	sekular
digress	anticipation	0.328	menyimpang
chastity	anticipation	0.328	kesucian
council	anticipation	0.328	majlis
olfactory	anticipation	0.328	penciuman
ribbon	anticipation	0.328	riben
possess	anticipation	0.328	memiliki
disposed	anticipation	0.320	dilupuskan
scrutinize	anticipation	0.320	teliti
immature	anticipation	0.320	tidak matang
mediator	anticipation	0.320	pengantara
regularity	anticipation	0.320	keteraturan
cove	anticipation	0.320	teluk
infanticide	anticipation	0.320	pembunuhan bayi
paddle	anticipation	0.320	dayung
heft	anticipation	0.320	berat
fancy	anticipation	0.320	mewah
preservative	anticipation	0.320	bahan pengawet
unpublished	anticipation	0.312	tidak diterbitkan
church	anticipation	0.312	gereja
bugle	anticipation	0.312	terompet
grim	anticipation	0.312	suram
denying	anticipation	0.312	menafikan
analyst	anticipation	0.312	penganalisis
judicial	anticipation	0.305	kehakiman
priesthood	anticipation	0.305	keimamatan
broadside	anticipation	0.305	sisi lebar
mill	anticipation	0.305	kilang
dismay	anticipation	0.297	kecewa
cap	anticipation	0.297	topi
thermocouple	anticipation	0.297	termokopel
tributary	anticipation	0.297	anak sungai
instructor	anticipation	0.297	pengajar
exhaustion	anticipation	0.297	keletihan
saliva	anticipation	0.297	air liur
cataract	anticipation	0.289	katarak
network	anticipation	0.289	rangkaian
visor	anticipation	0.289	visor
shackle	anticipation	0.289	belenggu
wont	anticipation	0.289	takkan
addresses	anticipation	0.289	alamat
discreet	anticipation	0.289	bijaksana
noncompliance	anticipation	0.289	ketidakpatuhan
bruise	anticipation	0.289	lebam
homeless	anticipation	0.289	gelandangan
astronomer	anticipation	0.281	ahli astronomi
skewed	anticipation	0.281	senget
neighbor	anticipation	0.281	jiran
holiness	anticipation	0.273	kesucian
devil	anticipation	0.273	syaitan
picket	anticipation	0.273	piket
sentence	anticipation	0.273	ayat
latent	anticipation	0.273	terpendam
cream	anticipation	0.273	krim
immaturity	anticipation	0.273	ketidakmatangan
habitual	anticipation	0.266	kebiasaan
morals	anticipation	0.266	akhlak
neighborhood	anticipation	0.266	kejiranan
lull	anticipation	0.266	mengantuk
bye	anticipation	0.258	selamat tinggal
weight	anticipation	0.258	berat badan
organ	anticipation	0.250	organ
clown	anticipation	0.250	badut
forearm	anticipation	0.250	lengan
commonplace	anticipation	0.242	perkara biasa
quote	anticipation	0.242	petikan
rail	anticipation	0.234	kereta api
dictatorship	anticipation	0.234	pemerintahan diktator
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	papan
tree	anticipation	0.227	pokok
sundial	anticipation	0.227	jam matahari
paralysis	anticipation	0.211	lumpuh
cement	anticipation	0.203	simen
worm	anticipation	0.203	cacing
organization	anticipation	0.203	organisasi
lagging	anticipation	0.180	ketinggalan
neutral	anticipation	0.148	neutral
cannibalism	disgust	0.953	kanibalisme
mutilation	disgust	0.930	pencacatan
molestation	disgust	0.914	pencabulan
incest	disgust	0.914	sumbang mahram
rape	disgust	0.906	rogol
gonorrhea	disgust	0.906	gonorea
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	reput
corpse	disgust	0.883	mayat
massacre	disgust	0.883	pembunuhan beramai-ramai
excrement	disgust	0.883	najis
barf	disgust	0.875	barf
slaughter	disgust	0.875	penyembelihan
slaughterhouse	disgust	0.867	rumah penyembelihan
incestuous	disgust	0.859	sumbang mahram
sewerage	disgust	0.859	pembetungan
filth	disgust	0.859	kekotoran
bigot	disgust	0.859	taksub
rancid	disgust	0.859	tengik
infestation	disgust	0.852	serangan
plague	disgust	0.852	wabak
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	dahagakan darah
rotting	disgust	0.844	mereput
fecal	disgust	0.844	berak
maggot	disgust	0.844	ulat
feces	disgust	0.844	najis
murder	disgust	0.839	pembunuhan
asshole	disgust	0.836	bangang
homicide	disgust	0.836	pembunuhan
enslaved	disgust	0.836	diperhambakan
infanticide	disgust	0.836	pembunuhan bayi
perverted	disgust	0.828	sesat
excretion	disgust	0.828	perkumuhan
gore	disgust	0.828	gore
slaughtering	disgust	0.828	penyembelihan
torture	disgust	0.828	penyeksaan
contaminate	disgust	0.821	mencemarkan
revolting	disgust	0.820	memberontak
gory	disgust	0.820	berdarah
shit	disgust	0.820	sial
terrorist	disgust	0.820	pengganas
murderer	disgust	0.820	pembunuh
repugnant	disgust	0.820	menjijikkan
manure	disgust	0.820	baja
pervert	disgust	0.820	sesat
diarrhoea	disgust	0.820	cirit-birit
grotesque	disgust	0.820	ngeri
desecration	disgust	0.820	penodaan
faeces	disgust	0.812	najis
slavery	disgust	0.812	perhambaan
sewer	disgust	0.812	pembetung
cadaver	disgust	0.812	mayat
manslaughter	disgust	0.812	pembunuhan beramai-ramai
dismemberment	disgust	0.812	pemotongan
vomit	disgust	0.812	muntah
perverse	disgust	0.805	songsang
repulsive	disgust	0.805	menjijikkan
hemorrhage	disgust	0.805	pendarahan
sewage	disgust	0.797	kumbahan
filthy	disgust	0.797	kotor
diseased	disgust	0.797	berpenyakit
depravity	disgust	0.797	kebejatan
carcass	disgust	0.795	bangkai
decompose	disgust	0.789	mereput
gruesome	disgust	0.789	ngeri
mutilated	disgust	0.789	dicacatkan
puke	disgust	0.789	muntah
herpes	disgust	0.789	herpes
decayed	disgust	0.789	reput
dung	disgust	0.789	tahi
vermin	disgust	0.789	kutu
murderous	disgust	0.789	pembunuh
parasite	disgust	0.789	parasit
horrific	disgust	0.789	ngeri
carnage	disgust	0.781	pembunuhan beramai-ramai
malaria	disgust	0.781	malaria
slime	disgust	0.781	lendir
flatulence	disgust	0.781	kembung perut
pestilence	disgust	0.781	wabak
crap	disgust	0.781	karut
monstrosity	disgust	0.781	raksasa
loathsome	disgust	0.773	menjijikkan
toxic	disgust	0.773	toksik
morgue	disgust	0.773	bilik mayat
pus	disgust	0.773	nanah
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	penyakit kusta
insidious	disgust	0.773	licik
cruel	disgust	0.766	kejam
regurgitation	disgust	0.766	memuntahkan
anthrax	disgust	0.766	antraks
xenophobia	disgust	0.766	xenofobia
repugnance	disgust	0.766	rasa jijik
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	rasa jijik
whore	disgust	0.766	pelacur
