English Word	Emotion	Emotion-Intensity-Score	Thai Word
depreciate	anger	0.315	ค่าเสื่อมราคา
dismissal	anger	0.312	เลิกจ้าง
chaff	anger	0.312	แกลบ
dramaqueen	anger	0.312	ละครราชินี
poverty	anger	0.312	ความยากจน
carelessness	anger	0.312	ความประมาท
deflate	anger	0.312	ยุบ
dumps	anger	0.312	ทิ้ง
dupe	anger	0.312	หลอก
mortality	anger	0.312	การตาย
revving	anger	0.309	revving
disallowed	anger	0.308	ไม่อนุญาต
boisterous	anger	0.307	อึกทึก
thoughtless	anger	0.307	ไร้ความคิด
burial	anger	0.304	ฝังศพ
wince	anger	0.303	สะดุ้ง
theocratic	anger	0.303	เทววิทยา
sullen	anger	0.303	บูดบึ้ง
involution	anger	0.300	การมีส่วนร่วม
misuse	anger	0.297	ใช้ผิดวิธี
taxed	anger	0.297	เก็บภาษี
senseless	anger	0.297	ไร้สาระ
talons	anger	0.297	กรงเล็บ
stalemate	anger	0.297	ทางตัน
getyourown	anger	0.297	รับของคุณเอง
hoax	anger	0.297	หลอกลวง
depreciated	anger	0.297	คิดค่าเสื่อมราคา
depressed	anger	0.297	หดหู่
wasteful	anger	0.297	สิ้นเปลือง
paralysis	anger	0.295	อัมพาต
displaced	anger	0.294	พลัดถิ่น
limited	anger	0.292	ถูก จำกัด
disapointment	anger	0.290	ความผิดหวัง
orc	anger	0.289	orc
ridiculous	anger	0.289	น่าขัน
homeless	anger	0.288	ไม่มีที่อยู่อาศัย
spine	anger	0.288	กระดูกสันหลัง
teasing	anger	0.288	ล้อเล่น
presumptuous	anger	0.288	เกรงใจ
react	anger	0.288	ตอบสนอง
sharpen	anger	0.288	ลับคม
barrier	anger	0.287	อุปสรรค
hoot	anger	0.287	บีบแตร
twitchy	anger	0.287	กระตุก
myopia	anger	0.283	สายตาสั้น
flexin	anger	0.281	flexin
lagging	anger	0.281	ล้าหลัง
contraband	anger	0.281	ของเถื่อน
incompatible	anger	0.281	เข้ากันไม่ได้
shiver	anger	0.281	สั่น
spam	anger	0.281	สแปม
agh	anger	0.281	อ๊าก
disconnects	anger	0.281	ตัดการเชื่อมต่อ
delinquent	anger	0.281	ผู้กระทำผิด
restitution	anger	0.281	การชดใช้ค่าเสียหาย
foray	anger	0.279	จู่โจม
troll	anger	0.279	โทรลล์
unfairness	anger	0.279	ความไม่เป็นธรรม
buffering	anger	0.279	บัฟเฟอร์
noncompliance	anger	0.279	ไม่ปฏิบัติตาม
nether	anger	0.278	เนเธอร์แลนด์
bogus	anger	0.273	ปลอม
immaturity	anger	0.273	ยังไม่บรรลุนิติภาวะ
uncaring	anger	0.273	ไม่สนใจ
bugaboo	anger	0.273	ผี
feisty	anger	0.269	ซ่าส์
shock	anger	0.269	ช็อก
humbug	anger	0.266	ฮัมบัก
notamorningperson	anger	0.266	notorningperson
feminism	anger	0.266	สตรีนิยม
inoperative	anger	0.266	ใช้งานไม่ได้
bear	anger	0.266	หมี
inconvenient	anger	0.266	ไม่สะดวก
latent	anger	0.266	แฝง
defendant	anger	0.266	จำเลย
nopoint	anger	0.266	ไม่มีจุด
rapping	anger	0.266	แร็ป
pry	anger	0.266	แงะ
quandary	anger	0.266	ความลังเลใจ
interrupts	anger	0.265	ขัดจังหวะ
fluctuation	anger	0.265	ความผันผวน
exaggerate	anger	0.263	พูดเกินจริง
lose	anger	0.261	แพ้
patter	anger	0.258	แพตเตอร์
furnace	anger	0.258	เตาหลอม
stone	anger	0.258	หิน
tease	anger	0.258	หยอกล้อ
shoplifting	anger	0.258	ขโมยของในร้าน
soldier	anger	0.258	ทหาร
incompetent	anger	0.257	ไร้ความสามารถ
indoctrination	anger	0.255	การปลูกฝัง
rocket	anger	0.250	จรวด
skid	anger	0.250	ลื่นไถล
noisy	anger	0.250	เสียงดัง
notoriety	anger	0.250	ความอื้อฉาว
cane	anger	0.250	อ้อย
unfollow	anger	0.250	เลิกติดตาม
tripping	anger	0.250	สะดุด
attentionseeker	anger	0.250	คนเรียกร้องความสนใจ
mastery	anger	0.250	เชี่ยวชาญ
socialist	anger	0.250	สังคมนิยม
falsehood	anger	0.250	ความเท็จ
complicate	anger	0.250	ซับซ้อน
lawyer	anger	0.250	ทนายความ
untrue	anger	0.250	ไม่จริง
nonsense	anger	0.250	เรื่องไร้สาระ
pouting	anger	0.250	มุ่ย
witch	anger	0.242	แม่มด
detract	anger	0.242	เบี่ยงเบน
obstacle	anger	0.242	อุปสรรค
halter	anger	0.242	เชือกแขวนคอ
fenced	anger	0.242	ล้อมรั้ว
capslock	anger	0.242	capslock
dontunderstand	anger	0.242	ไม่เข้าใจ
vampire	anger	0.242	แวมไพร์
ringer	anger	0.242	เสียงเรียกเข้า
frowning	anger	0.239	หน้าบึ้ง
saber	anger	0.238	กระบี่
hunger	anger	0.235	ความหิว
shell	anger	0.234	เปลือก
wokemeup	anger	0.234	ปลุกฉัน
recession	anger	0.234	ภาวะถดถอย
failing	anger	0.234	ล้มเหลว
dabbling	anger	0.234	เล่นน้ำ
politics	anger	0.234	การเมือง
lava	anger	0.234	ลาวา
rascal	anger	0.234	คนพาล
imtryingtosleep	anger	0.234	imtryingtosleep
tariff	anger	0.234	อัตราค่าไฟฟ้า
undesirable	anger	0.231	ไม่เป็นที่พึงปรารถนา
darkness	anger	0.227	ความมืด
versus	anger	0.227	เทียบกับ
copycat	anger	0.227	เลียนแบบ
resign	anger	0.227	ลาออก
soaked	anger	0.226	เปียกโชก
unfulfilled	anger	0.225	ไม่ได้ผล
abandoned	anger	0.222	ถูกทอดทิ้ง
unattainable	anger	0.221	ไม่สามารถบรรลุได้
owing	anger	0.221	เนื่องจาก
bankruptcy	anger	0.221	การล้มละลาย
misconception	anger	0.219	ความเข้าใจผิด
tool	anger	0.219	เครื่องมือ
warden	anger	0.219	ผู้คุม
compress	anger	0.219	ประคบ
mosquito	anger	0.219	ยุง
whiny	anger	0.219	เสียงหอน
somethingigetalot	anger	0.219	บางสิ่งบางอย่างigetalot
confusion	anger	0.219	ความสับสน
unhelpful	anger	0.219	ไม่ช่วยเหลือ
twitching	anger	0.219	กระตุก
nosey	anger	0.213	มีจมูกยาว
overpriced	anger	0.212	แพงเกินไป
adder	anger	0.212	แอดเดอร์
harry	anger	0.212	แฮร์รี่
shortage	anger	0.212	ขาดแคลน
melodrama	anger	0.212	ประโลมโลก
possession	anger	0.206	การครอบครอง
desert	anger	0.206	ทะเลทราย
overplayed	anger	0.206	เล่นมากเกินไป
unpaid	anger	0.203	ค้างชำระ
powerless	anger	0.203	ไม่มีอำนาจ
sentence	anger	0.203	ประโยค
inefficient	anger	0.203	ไม่มีประสิทธิภาพ
arraignment	anger	0.203	การฟ้องร้อง
pout	anger	0.203	หน้ามุ่ย
unlucky	anger	0.203	โชคร้าย
rook	anger	0.203	โกง
backbone	anger	0.203	กระดูกสันหลัง
uninvited	anger	0.203	ไม่ได้รับเชิญ
court	anger	0.199	สนาม
endless	anger	0.198	ไม่มีที่สิ้นสุด
adverts	anger	0.197	โฆษณา
distracted	anger	0.197	ฟุ้งซ่าน
delay	anger	0.197	ล่าช้า
misstatement	anger	0.197	การแสดงข้อมูลที่ขัดต่อข้อเท็จจริง
misunderstanding	anger	0.195	เข้าใจผิด
inadmissible	anger	0.191	รับไม่ได้
excite	anger	0.191	excite
lightning	anger	0.189	ฟ้าผ่า
preclude	anger	0.188	กีดกัน
mournful	anger	0.188	โศกเศร้า
insecure	anger	0.188	ไม่ปลอดภัย
incase	anger	0.188	เผื่อ
mutter	anger	0.182	พึมพำ
pare	anger	0.182	pare
rating	anger	0.182	เรตติ้ง
claimant	anger	0.182	โจทก์
insist	anger	0.182	ยืนกราน
mistress	anger	0.182	นายหญิง
distracting	anger	0.182	ทำให้เสียสมาธิ
opium	anger	0.180	ฝิ่น
deserve	anger	0.176	สมควรได้รับ
willful	anger	0.176	ตั้งใจ
treat	anger	0.175	รักษา
insists	anger	0.175	ยืนยัน
excitation	anger	0.172	กระตุ้น
mighty	anger	0.172	ทรงพลัง
liberate	anger	0.172	ปลดปล่อย
indecisive	anger	0.172	ไม่แน่ใจ
hormonal	anger	0.172	ฮอร์โมน
peice	anger	0.172	ชิ้น
gibberish	anger	0.172	พูดพล่อยๆ
misplace	anger	0.172	ผิดที่
fee	anger	0.172	ค่าธรรมเนียม
thanksalot	anger	0.172	ขอบคุณมาก
fleece	anger	0.172	ขนแกะ
yelp	anger	0.168	ร้องเอ๋ง
mule	anger	0.167	ล่อ
unequal	anger	0.167	ไม่เท่ากัน
hamstring	anger	0.167	เอ็นร้อยหวาย
bargaining	anger	0.167	การเจรจาต่อรอง
insufficiency	anger	0.167	ไม่เพียงพอ
insignificant	anger	0.167	ไม่สำคัญ
attentionseekers	anger	0.163	คนเรียกร้องความสนใจ
coop	anger	0.156	สุ่ม
rheumatism	anger	0.156	โรคไขข้อ
forearm	anger	0.156	ปลายแขน
indifference	anger	0.156	ไม่แยแส
underpaid	anger	0.152	ค่าจ้างน้อยไป
involvement	anger	0.152	การมีส่วนร่วม
justthebeginning	anger	0.152	เพิ่งเริ่มต้น
disinformation	anger	0.152	บิดเบือนข้อมูล
uncertain	anger	0.152	ไม่แน่นอน
bee	anger	0.152	ผึ้ง
attorney	anger	0.152	อัยการ
pretending	anger	0.152	แกล้งทำเป็น
campaigning	anger	0.151	รณรงค์
hopelessness	anger	0.149	ความสิ้นหวัง
feeling	anger	0.147	ความรู้สึก
legalized	anger	0.145	ถูกกฎหมาย
caution	anger	0.145	คำเตือน
sterling	anger	0.141	สเตอร์ลิง
morals	anger	0.141	ศีลธรรม
subsidy	anger	0.141	เงินอุดหนุน
obliging	anger	0.141	มีน้ำใจ
wimpy	anger	0.140	wimpy
bummer	anger	0.139	คนเกียจคร้าน
saloon	anger	0.136	รถเก๋ง
blemish	anger	0.136	ฝ้า
misspell	anger	0.136	สะกดผิด
repay	anger	0.136	ชำระคืน
surcharge	anger	0.136	ค่าธรรมเนียม
geez	anger	0.136	geez
birch	anger	0.135	ไม้เรียว
noob	anger	0.133	อ่อนหัด
honk	anger	0.133	บีบแตร
orchestra	anger	0.132	วงออเคสตรา
wireless	anger	0.125	ไร้สาย
competitive	anger	0.125	การแข่งขัน
standstill	anger	0.125	หยุดนิ่ง
inattention	anger	0.121	ไม่ตั้งใจ
reversal	anger	0.121	การกลับรายการ
lace	anger	0.118	ลูกไม้
elbow	anger	0.117	ข้อศอก
instinctive	anger	0.112	สัญชาตญาณ
chant	anger	0.111	สวดมนต์
gnome	anger	0.109	gnome
lonely	anger	0.109	เหงา
tolerate	anger	0.106	ทนต่อ
management	anger	0.102	การจัดการ
advocacy	anger	0.100	การสนับสนุน
moral	anger	0.094	ศีลธรรม
roadworks	anger	0.091	งานซ่อมถนน
honest	anger	0.087	ซื่อสัตย์
gent	anger	0.076	สุภาพบุรุษ
forgetful	anger	0.076	ขี้ลืม
liquor	anger	0.075	สุรา
money	anger	0.074	เงิน
hood	anger	0.071	เครื่องดูดควัน
curriculum	anger	0.063	หลักสูตร
words	anger	0.062	คำ
smell	anger	0.061	กลิ่น
playful	anger	0.061	ขี้เล่น
opera	anger	0.061	โอเปร่า
elf	anger	0.061	เอลฟ์
nurture	anger	0.059	หล่อเลี้ยง
trumpet	anger	0.059	ทรัมเป็ต
counsellor	anger	0.059	ที่ปรึกษา
asleeep	anger	0.059	หลับ
birthplace	anger	0.051	บ้านเกิด
ribbon	anger	0.047	ริบบิ้น
youth	anger	0.045	ความเยาว์
vote	anger	0.045	โหวต
cash	anger	0.039	เงินสด
wannasleep	anger	0.031	อยากนอน
waffle	anger	0.030	วาฟเฟิล
dame	anger	0.030	นาง
buffet	anger	0.029	บุฟเฟ่ต์
celebrity	anger	0.026	คนดัง
sisterhood	anger	0.015	ความเป็นพี่น้องกัน
autocorrect	anger	0.015	แก้ไขอัตโนมัติ
musical	anger	0.011	ดนตรี
tree	anger	0.000	ต้นไม้
anticipation	anticipation	0.859	ความคาดหวัง
excited	anticipation	0.859	ตื่นเต้น
excitement	anticipation	0.820	ความตื่นเต้น
anticipate	anticipation	0.820	คาดหวัง
eagerness	anticipation	0.812	ความกระตือรือร้น
exciting	anticipation	0.797	น่าตื่นเต้น
expectant	anticipation	0.789	คาดหวัง
thrilling	anticipation	0.781	น่าตื่นเต้น
hope	anticipation	0.773	หวัง
quest	anticipation	0.766	เควส
countdown	anticipation	0.750	นับถอยหลัง
start	anticipation	0.750	เริ่ม
anticipatory	anticipation	0.750	คาดการณ์ล่วงหน้า
adventure	anticipation	0.750	การผจญภัย
expectance	anticipation	0.750	ความคาดหวัง
climax	anticipation	0.742	จุดสำคัญ
prophecy	anticipation	0.742	คำทำนาย
expect	anticipation	0.742	คาดหวัง
excite	anticipation	0.742	excite
arouse	anticipation	0.742	ปลุกเร้า
eager	anticipation	0.742	กระตือรือร้น
ejaculation	anticipation	0.734	พุ่งออกมา
birth	anticipation	0.734	การเกิด
announcement	anticipation	0.734	ประกาศ
expectancy	anticipation	0.727	ความคาดหวัง
expecting	anticipation	0.727	คาดหวัง
imminent	anticipation	0.727	ใกล้
liberation	anticipation	0.727	การปลดปล่อย
urgent	anticipation	0.727	ด่วน
trepidation	anticipation	0.719	ความกังวลใจ
reunion	anticipation	0.719	เรอูนียง
prospection	anticipation	0.719	การคาดการณ์
voyage	anticipation	0.719	การเดินทาง
prospect	anticipation	0.719	โอกาส
aspire	anticipation	0.719	ทะเยอทะยาน
rapture	anticipation	0.711	ความปีติ
suspense	anticipation	0.711	ใจจดใจจ่อ
journey	anticipation	0.711	การเดินทาง
kiss	anticipation	0.711	จูบ
enthusiasm	anticipation	0.711	ความกระตือรือร้น
yearning	anticipation	0.711	ความปรารถนา
ecstasy	anticipation	0.711	ความปีติยินดี
mystery	anticipation	0.711	ความลึกลับ
prospective	anticipation	0.703	อนาคต
frantic	anticipation	0.703	คลั่ง
destination	anticipation	0.703	ปลายทาง
excitation	anticipation	0.703	กระตุ้น
lottery	anticipation	0.703	หวย
hopeful	anticipation	0.703	มีความหวัง
thrill	anticipation	0.703	ตื่นเต้น
progress	anticipation	0.703	ความคืบหน้า
urgency	anticipation	0.703	เร่งด่วน
tantalizing	anticipation	0.703	ยั่วเย้า
liberate	anticipation	0.695	ปลดปล่อย
hurry	anticipation	0.695	รีบ
explore	anticipation	0.695	สำรวจ
advance	anticipation	0.695	ก้าวหน้า
vacation	anticipation	0.695	วันหยุด
sex	anticipation	0.695	เพศ
achievement	anticipation	0.695	ความสำเร็จ
readiness	anticipation	0.695	ความพร้อม
expectation	anticipation	0.695	ความคาดหวัง
prediction	anticipation	0.695	คาดการณ์
arrival	anticipation	0.695	การมาถึง
allure	anticipation	0.688	จูงใจ
ecstatic	anticipation	0.688	สุขสันต์
approaching	anticipation	0.688	ใกล้เข้ามาแล้ว
honeymoon	anticipation	0.680	ฮันนีมูน
roulette	anticipation	0.680	รูเล็ต
uprising	anticipation	0.680	การจลาจล
holiday	anticipation	0.672	วันหยุด
crescendo	anticipation	0.672	เครสเซนโด
celebrating	anticipation	0.672	ฉลอง
wishful	anticipation	0.672	ปรารถนา
waiting	anticipation	0.664	การรอคอย
invitation	anticipation	0.664	การเชิญ
rescue	anticipation	0.664	กู้ภัย
impending	anticipation	0.664	กำลังจะเกิดขึ้น
winning	anticipation	0.664	ชนะ
craving	anticipation	0.664	ความอยาก
winnings	anticipation	0.664	ชัยชนะ
triumph	anticipation	0.664	ชัยชนะ
orgasm	anticipation	0.664	ถึงจุดสุดยอด
marriage	anticipation	0.656	การแต่งงาน
bridal	anticipation	0.656	เจ้าสาว
victory	anticipation	0.656	ชัยชนะ
courtship	anticipation	0.656	การเกี้ยวพาราสี
gain	anticipation	0.656	ได้รับ
aspiring	anticipation	0.656	ทะเยอทะยาน
strive	anticipation	0.656	มุ่งมั่น
reward	anticipation	0.656	รางวัล
celebration	anticipation	0.656	การเฉลิมฉลอง
jackpot	anticipation	0.656	แจ็คพอต
bridegroom	anticipation	0.656	เจ้าบ่าว
fortune	anticipation	0.656	โชค
tomorrow	anticipation	0.648	พรุ่งนี้
rising	anticipation	0.648	เพิ่มขึ้น
inheritance	anticipation	0.648	มรดก
alertness	anticipation	0.648	ความตื่นตัว
crowning	anticipation	0.648	สวมมงกุฎ
aspiration	anticipation	0.648	ความทะเยอทะยาน
delivery	anticipation	0.648	จัดส่ง
opportunity	anticipation	0.648	โอกาส
intrigue	anticipation	0.648	วางอุบาย
prescient	anticipation	0.648	ปรีชาญาณ
treasure	anticipation	0.648	สมบัติ
erotic	anticipation	0.641	อีโรติก
revolution	anticipation	0.641	การปฎิวัติ
launch	anticipation	0.641	ปล่อย
reckoning	anticipation	0.641	การคำนวณ
prognosis	anticipation	0.641	การพยากรณ์โรค
happiness	anticipation	0.641	ความสุข
celebrated	anticipation	0.641	เฉลิมฉลอง
receiving	anticipation	0.641	รับ
possibility	anticipation	0.641	ความเป็นไปได้
expedition	anticipation	0.641	การเดินทาง
bride	anticipation	0.641	เจ้าสาว
engaged	anticipation	0.641	มีส่วนร่วม
anxious	anticipation	0.641	กังวล
hype	anticipation	0.641	hype
spectacular	anticipation	0.641	งดงาม
award	anticipation	0.641	รางวัล
prepare	anticipation	0.633	เตรียมตัว
coming	anticipation	0.633	มา
graduation	anticipation	0.633	การสำเร็จการศึกษา
destiny	anticipation	0.633	โชคชะตา
miracle	anticipation	0.633	ความมหัศจรรย์
beware	anticipation	0.633	ระวัง
succeed	anticipation	0.633	ประสบความสำเร็จ
passionate	anticipation	0.633	หลงใหล
birthday	anticipation	0.633	วันเกิด
passion	anticipation	0.633	ความชอบ
ominous	anticipation	0.633	เป็นลางร้าย
captivate	anticipation	0.633	หลงเสน่ห์
vision	anticipation	0.633	วิสัยทัศน์
delight	anticipation	0.633	ความสุข
curious	anticipation	0.633	อยากรู้
firstborn	anticipation	0.633	ลูกคนหัวปี
await	anticipation	0.633	รอคอย
triumphant	anticipation	0.625	ชัยชนะ
escape	anticipation	0.625	หนี
optimism	anticipation	0.625	มองในแง่ดี
retirement	anticipation	0.625	เกษียณอายุ
foresee	anticipation	0.625	คาด
inspiration	anticipation	0.625	แรงบันดาลใจ
ripen	anticipation	0.625	ทำให้สุก
gift	anticipation	0.625	ของขวัญ
revival	anticipation	0.625	การฟื้นฟู
lust	anticipation	0.625	ความต้องการทางเพศ
risky	anticipation	0.617	เสี่ยง
foreboding	anticipation	0.617	ลางสังหรณ์
bloom	anticipation	0.617	เบ่งบาน
verge	anticipation	0.617	หมิ่น
embrace	anticipation	0.617	โอบกอด
destined	anticipation	0.617	ลิขิต
surprisingly	anticipation	0.617	แปลกใจ
ambition	anticipation	0.617	ความทะเยอทะยาน
simmering	anticipation	0.617	เคี่ยว
enchanting	anticipation	0.617	มีเสน่ห์
foresight	anticipation	0.617	มองการณ์ไกล
lookout	anticipation	0.609	ระวัง
anxiety	anticipation	0.609	ความวิตกกังวล
forecast	anticipation	0.609	พยากรณ์
seductive	anticipation	0.609	เย้ายวน
bonus	anticipation	0.609	โบนัส
succeeding	anticipation	0.609	ประสบความสำเร็จ
matrimony	anticipation	0.609	การแต่งงาน
magical	anticipation	0.609	วิเศษ
alerts	anticipation	0.609	alerts
winner	anticipation	0.602	ผู้ชนะ
applicant	anticipation	0.602	ผู้สมัคร
fulfillment	anticipation	0.602	สมหวัง
deserve	anticipation	0.602	สมควรได้รับ
inspire	anticipation	0.602	สร้างแรงบันดาลใจ
foreseen	anticipation	0.602	เล็งเห็น
intended	anticipation	0.602	ตั้งใจ
boomerang	anticipation	0.602	บูมเมอแรง
picnic	anticipation	0.602	ปิกนิก
longing	anticipation	0.602	ความปรารถนา
revenge	anticipation	0.602	แก้แค้น
success	anticipation	0.602	ความสำเร็จ
diagnosis	anticipation	0.602	การวินิจฉัย
visionary	anticipation	0.602	ช่างมีวิสัยทัศน์
prophetic	anticipation	0.602	คำทำนาย
entertaining	anticipation	0.602	ความบันเทิง
nervous	anticipation	0.602	ประหม่า
illuminate	anticipation	0.594	ส่องสว่าง
accelerate	anticipation	0.594	เร่งความเร็ว
advent	anticipation	0.594	จุติ
romance	anticipation	0.594	โรแมนติก
result	anticipation	0.594	ผลลัพธ์
arrive	anticipation	0.594	มาถึง
momentum	anticipation	0.594	โมเมนตัม
buzz	anticipation	0.594	ฉวัดเฉวียน
rekindle	anticipation	0.594	จุดไฟอีกครั้ง
preparedness	anticipation	0.594	ความพร้อม
acquiring	anticipation	0.594	การรับ
luck	anticipation	0.594	โชค
marry	anticipation	0.594	แต่งงาน
predict	anticipation	0.589	ทำนาย
money	anticipation	0.586	เงิน
auspices	anticipation	0.586	อุปถัมภ์
uplift	anticipation	0.586	ยกระดับ
fiesta	anticipation	0.586	เฟียสต้า
enjoying	anticipation	0.586	เพลิดเพลิน
preparation	anticipation	0.586	การตระเตรียม
raffle	anticipation	0.586	หวย
investigation	anticipation	0.586	ตรวจสอบ
progression	anticipation	0.586	ความก้าวหน้า
overdue	anticipation	0.586	หนี้ที่ค้างชำระ
crave	anticipation	0.586	กระหาย
impatient	anticipation	0.586	ใจร้อน
enthusiast	anticipation	0.586	ผู้ที่ชื่นชอบ
flirt	anticipation	0.586	เจ้าชู้
seek	anticipation	0.586	แสวงหา
sequel	anticipation	0.586	ภาคต่อ
presumption	anticipation	0.586	ข้อสันนิษฐาน
delightful	anticipation	0.586	รื่นรมย์
gambling	anticipation	0.586	การพนัน
immerse	anticipation	0.586	ดื่มด่ำ
endeavor	anticipation	0.586	ความพยายาม
experiment	anticipation	0.580	การทดลอง
enjoy	anticipation	0.578	เพลิดเพลิน
completing	anticipation	0.578	เสร็จสิ้น
clamor	anticipation	0.578	เสียงโห่ร้อง
angling	anticipation	0.578	ตกปลา
majestic	anticipation	0.578	ตระหง่าน
divination	anticipation	0.578	ดูดวง
transcendence	anticipation	0.578	วิชชา
thriving	anticipation	0.578	เจริญรุ่งเรือง
excavation	anticipation	0.578	การขุด
thirst	anticipation	0.578	ความกระหายน้ำ
remedy	anticipation	0.578	วิธีการรักษา
harvest	anticipation	0.578	เก็บเกี่ยว
risk	anticipation	0.578	เสี่ยง
healing	anticipation	0.578	การรักษา
heavenly	anticipation	0.578	สวรรค์
inviting	anticipation	0.578	เชิญ
precarious	anticipation	0.578	ล่อแหลม
attainable	anticipation	0.578	บรรลุได้
blessing	anticipation	0.578	พร
prosper	anticipation	0.578	เจริญรุ่งเรือง
tease	anticipation	0.570	หยอกล้อ
plan	anticipation	0.570	วางแผน
sweetheart	anticipation	0.570	หวานใจ
zest	anticipation	0.570	ความเอร็ดอร่อย
magnificence	anticipation	0.570	ความงดงาม
ultimate	anticipation	0.570	สุดยอด
emancipation	anticipation	0.570	การปลดปล่อย
restlessness	anticipation	0.570	กระสับกระส่าย
finally	anticipation	0.570	ในที่สุด
intimate	anticipation	0.570	สนิทสนม
omen	anticipation	0.570	ลาง
matchmaker	anticipation	0.570	คนจับคู่
gambler	anticipation	0.570	นักพนัน
prospectively	anticipation	0.570	ในอนาคต
dare	anticipation	0.570	กล้า
warned	anticipation	0.570	เตือน
invite	anticipation	0.570	เชิญชวน
mysterious	anticipation	0.562	ลึกลับ
accolade	anticipation	0.562	รางวัล
lover	anticipation	0.562	คนรัก
expose	anticipation	0.562	เปิดเผย
enchant	anticipation	0.562	เคลิบเคลิ้ม
attempt	anticipation	0.562	พยายาม
festival	anticipation	0.562	งานเทศกาล
exalt	anticipation	0.562	สูงส่ง
rejoice	anticipation	0.562	ชื่นชมยินดี
independence	anticipation	0.562	ความเป็นอิสระ
expected	anticipation	0.562	ที่คาดหวัง
fanfare	anticipation	0.562	ประโคม
immortality	anticipation	0.562	ความเป็นอมตะ
quicken	anticipation	0.562	เร่ง
parade	anticipation	0.562	ขบวนพาเหรด
fun	anticipation	0.562	สนุก
predilection	anticipation	0.562	ความสมัครใจ
champion	anticipation	0.562	แชมป์
forewarned	anticipation	0.562	เตือนล่วงหน้า
hypothesis	anticipation	0.562	สมมติฐาน
trophy	anticipation	0.562	ถ้วยรางวัล
shopping	anticipation	0.555	ช้อปปิ้ง
salvation	anticipation	0.555	ความรอด
feeling	anticipation	0.555	ความรู้สึก
speculative	anticipation	0.555	เก็งกำไร
oracle	anticipation	0.555	oracle
heroism	anticipation	0.555	ความกล้าหาญ
boisterous	anticipation	0.555	อึกทึก
grasping	anticipation	0.555	โลภ
uneasiness	anticipation	0.555	ความไม่สบายใจ
curiosity	anticipation	0.555	ความอยากรู้
happy	anticipation	0.555	มีความสุข
rejoicing	anticipation	0.555	ชื่นชมยินดี
fate	anticipation	0.555	โชคชะตา
liberty	anticipation	0.555	เสรีภาพ
unfold	anticipation	0.555	แฉ
amour	anticipation	0.555	ความรัก
lovely	anticipation	0.555	น่ารัก
splendor	anticipation	0.555	ความงดงาม
grow	anticipation	0.555	เติบโต
glimmer	anticipation	0.547	ริบหรี่
incite	anticipation	0.547	ปลุกระดม
abundance	anticipation	0.547	ความอุดมสมบูรณ์
resultant	anticipation	0.547	ผลลัพธ์
probability	anticipation	0.547	ความน่าจะเป็น
recreational	anticipation	0.547	สันทนาการ
glory	anticipation	0.547	ความรุ่งโรจน์
agape	anticipation	0.547	อ้าปากค้าง
delighted	anticipation	0.547	ดีใจ
changeable	anticipation	0.547	เปลี่ยนได้
convergence	anticipation	0.547	บรรจบกัน
bountiful	anticipation	0.547	อุดมสมบูรณ์
warn	anticipation	0.547	เตือน
monetary	anticipation	0.547	การเงิน
sorcery	anticipation	0.547	เวทมนตร์
morrow	anticipation	0.547	พรุ่งนี้
apprehensive	anticipation	0.547	หวาดหวั่น
hungry	anticipation	0.547	หิว
vote	anticipation	0.547	โหวต
suspicious	anticipation	0.547	สงสัย
pray	anticipation	0.547	อธิษฐาน
leisure	anticipation	0.547	เวลาว่าง
hunting	anticipation	0.539	การล่าสัตว์
sensual	anticipation	0.539	เย้ายวน
tempest	anticipation	0.539	พายุ
auction	anticipation	0.539	ประมูล
ballot	anticipation	0.539	บัตรลงคะแนน
grandchildren	anticipation	0.539	หลาน
hankering	anticipation	0.539	ความทะเยอทะยาน
entertainment	anticipation	0.539	ความบันเทิง
merge	anticipation	0.539	ผสาน
exceed	anticipation	0.539	เกิน
vindication	anticipation	0.539	แก้ตัว
blessings	anticipation	0.539	พร
inquiry	anticipation	0.539	สอบถามรายละเอียดเพิ่มเติม
bounty	anticipation	0.539	เงินรางวัล
worrying	anticipation	0.539	กังวล
contingent	anticipation	0.539	โดยบังเอิญ
glad	anticipation	0.536	ยินดี
harbinger	anticipation	0.531	ลางสังหรณ์
magnificent	anticipation	0.531	งดงาม
virginity	anticipation	0.531	ความบริสุทธิ์
stealthy	anticipation	0.531	ลับๆล่อๆ
appeal	anticipation	0.531	อุทธรณ์
forming	anticipation	0.531	การขึ้นรูป
celestial	anticipation	0.531	สวรรค์
raving	anticipation	0.531	เพ้อ
deliverance	anticipation	0.531	การปลดปล่อย
feat	anticipation	0.531	ความสำเร็จ
cheer	anticipation	0.531	เชียร์
responsive	anticipation	0.531	ตอบสนอง
hurried	anticipation	0.531	รีบ
betrothed	anticipation	0.531	คู่หมั้น
overthrow	anticipation	0.531	ปลดจากตำแหน่ง
spirits	anticipation	0.531	สุรา
dread	anticipation	0.531	กลัว
visitor	anticipation	0.531	ผู้มาเยือน
wait	anticipation	0.523	รอ
revive	anticipation	0.523	ชุบชีวิต
watch	anticipation	0.523	นาฬิกา
hunter	anticipation	0.523	นักล่า
radiance	anticipation	0.523	ความสดชื่น
planning	anticipation	0.523	การวางแผน
germination	anticipation	0.523	การงอก
competition	anticipation	0.523	การแข่งขัน
preparatory	anticipation	0.523	เตรียมความพร้อม
prognostic	anticipation	0.523	พยากรณ์
beaming	anticipation	0.523	ยิ้มแย้มแจ่มใส
