English Word	Emotion	Emotion-Intensity-Score	Sindhi Word
harbinger	anticipation	0.531	هاربنجر
magnificent	anticipation	0.531	شاندار
virginity	anticipation	0.531	ڪنواريت
stealthy	anticipation	0.531	چوري
appeal	anticipation	0.531	اپيل
forming	anticipation	0.531	ٺهڻ
celestial	anticipation	0.531	آسماني
raving	anticipation	0.531	روئڻ
deliverance	anticipation	0.531	نجات
feat	anticipation	0.531	ڪارنامو
cheer	anticipation	0.531	خوشي
responsive	anticipation	0.531	جوابدار
hurried	anticipation	0.531	جلدي
betrothed	anticipation	0.531	شادي ڪئي
overthrow	anticipation	0.531	ختم ڪرڻ
spirits	anticipation	0.531	روح
dread	anticipation	0.531	خوف
visitor	anticipation	0.531	گهمڻ وارو
wait	anticipation	0.523	انتظار ڪرڻ
revive	anticipation	0.523	بحال ڪرڻ
watch	anticipation	0.523	واچ
hunter	anticipation	0.523	شڪاري
radiance	anticipation	0.523	روشني
planning	anticipation	0.523	رٿابندي ڪرڻ
germination	anticipation	0.523	ڄمڻ
competition	anticipation	0.523	مقابلو
preparatory	anticipation	0.523	تياري ڪندڙ
prognostic	anticipation	0.523	اڳڪٿي ڪندڙ
beaming	anticipation	0.523	چمڪندڙ
cheery	anticipation	0.523	خوشگوار
prevail	anticipation	0.523	غالب ٿيڻ
importance	anticipation	0.523	اهميت
notification	anticipation	0.523	نوٽيفڪيشن
explosive	anticipation	0.523	ڌماڪيدار
pleasant	anticipation	0.523	خوشگوار
ultimately	anticipation	0.523	آخرڪار
child	anticipation	0.523	ٻار
haste	anticipation	0.523	جلدي
prophet	anticipation	0.523	نبي
recreation	anticipation	0.516	تفريح
present	anticipation	0.516	حاضر
time	anticipation	0.516	وقت
sensuality	anticipation	0.516	حساسيت
owing	anticipation	0.516	سبب
loom	anticipation	0.516	ڪاٺ
begun	anticipation	0.516	شروع ڪيو
salary	anticipation	0.516	تنخواه
celebrity	anticipation	0.516	مشهور شخصيت
treat	anticipation	0.516	علاج ڪرڻ
chocolate	anticipation	0.516	چاڪليٽ
caution	anticipation	0.516	احتياط
fermentation	anticipation	0.516	خمير ڪرڻ
uncontrollable	anticipation	0.516	بي قابو
precious	anticipation	0.516	قيمتي
compensate	anticipation	0.516	معاوضو ڏيڻ
endanger	anticipation	0.516	خطرو
renovation	anticipation	0.516	بحالي
signify	anticipation	0.508	اشارو ڪرڻ
vigilance	anticipation	0.508	نگراني
prerequisite	anticipation	0.508	شرط
perfection	anticipation	0.508	تڪميل
cultivate	anticipation	0.508	پوکڻ
develop	anticipation	0.508	ترقي ڪرڻ
cue	anticipation	0.508	اشارو
exigent	anticipation	0.508	ضرورتمند
transitional	anticipation	0.508	عبوري
commemoration	anticipation	0.508	يادگار
intermission	anticipation	0.508	وقفو
elevation	anticipation	0.508	بلندي
infant	anticipation	0.508	ٻار
practise	anticipation	0.508	مشق
contemplation	anticipation	0.508	غور ڪرڻ
dreadful	anticipation	0.508	خوفناڪ
wilderness	anticipation	0.508	بيابان
horizon	anticipation	0.508	افق
sneaking	anticipation	0.500	چپ ڪرڻ
uphill	anticipation	0.500	مٿي چڙهڻ
puppy	anticipation	0.500	ڪتو
blindfold	anticipation	0.500	اکين تي پٽي
unbridled	anticipation	0.500	بي لگام
horoscope	anticipation	0.500	horoscope
airport	anticipation	0.500	ايئرپورٽ
reconciliation	anticipation	0.500	صلح
advocacy	anticipation	0.500	وکالت
litigate	anticipation	0.500	مقدمو ڪرڻ
sunny	anticipation	0.500	سج
intuitively	anticipation	0.500	وجداني طور تي
hero	anticipation	0.500	هيرو
ardent	anticipation	0.500	پرجوش
commemorate	anticipation	0.500	ياد ڪرڻ
romantic	anticipation	0.500	رومانوي
doomsday	anticipation	0.500	قيامت
ready	anticipation	0.500	تيار
nascent	anticipation	0.500	پيدائش
invocation	anticipation	0.500	دعوت
depart	anticipation	0.500	وڃڻ
undisclosed	anticipation	0.500	اڻ ڄاڻايل
attendance	anticipation	0.500	حاضري
peril	anticipation	0.500	خطرو
income	anticipation	0.500	آمدني
calculation	anticipation	0.500	حساب ڪتاب
zeal	anticipation	0.500	جوش
eventuality	anticipation	0.500	واقعي
favorable	anticipation	0.500	سازگار
utopian	anticipation	0.500	يوٽوپيائي
swim	anticipation	0.500	ترڻ
proceeding	anticipation	0.492	اڳتي وڌڻ
eventual	anticipation	0.492	واقعي
heyday	anticipation	0.492	هيڊ
undertaking	anticipation	0.492	انجام ڏيڻ
improvise	anticipation	0.492	سڌارڻ
inauguration	anticipation	0.492	افتتاح
consequent	anticipation	0.492	نتيجي ۾
perspective	anticipation	0.492	نقطه نظر
defense	anticipation	0.492	دفاع
repay	anticipation	0.492	ادا ڪرڻ
gaping	anticipation	0.492	فاصلو
youth	anticipation	0.492	جوان
parole	anticipation	0.492	پيرول
worry	anticipation	0.492	پريشان ٿيڻ
bless	anticipation	0.492	نعمت
restorative	anticipation	0.492	بحالي وارو
court	anticipation	0.492	ڪورٽ
highest	anticipation	0.491	سڀ کان وڌيڪ
shortly	anticipation	0.484	جلد
auspicious	anticipation	0.484	نيڪ
princely	anticipation	0.484	شاهي
correspondence	anticipation	0.484	خط و ڪتابت
generosity	anticipation	0.484	سخاوت
sparkle	anticipation	0.484	چمڪ
voluptuous	anticipation	0.484	خواهشمند
happen	anticipation	0.484	ٿيڻ
tremor	anticipation	0.484	زلزلو
letter	anticipation	0.484	خط
vow	anticipation	0.484	واعدو
sharpen	anticipation	0.484	تيز ڪرڻ
duel	anticipation	0.484	تڪرار
conjure	anticipation	0.484	جادو ڪرڻ
threaten	anticipation	0.484	ڌمڪيون ڏيڻ
god	anticipation	0.484	خدا
engulf	anticipation	0.484	ڀرڻ
unexplained	anticipation	0.484	اڻ واضح
contagion	anticipation	0.484	وبائي مرض
glorify	anticipation	0.477	تسبيح ڪرڻ
submit	anticipation	0.477	جمع ڪرائڻ
enroll	anticipation	0.477	داخل ٿيڻ
unification	anticipation	0.477	متحد ٿيڻ
gravitate	anticipation	0.477	ڪشش ثقل ڪرڻ
glide	anticipation	0.477	چمڪائڻ
accompaniment	anticipation	0.477	سنگت
cherish	anticipation	0.477	پالڻ
adore	anticipation	0.477	پيار ڪرڻ
powerful	anticipation	0.477	طاقتور
clue	anticipation	0.477	اشارو
medal	anticipation	0.477	ميڊل
contemplate	anticipation	0.477	غور ڪرڻ
perilous	anticipation	0.477	خطرناڪ
determinate	anticipation	0.477	مقرر ڪرڻ
arbitration	anticipation	0.477	ثالثي
recipient	anticipation	0.477	وصول ڪندڙ
onset	anticipation	0.477	شروعات
predispose	anticipation	0.477	اڳڪٿي ڪرڻ
score	anticipation	0.477	اسڪور
torture	anticipation	0.477	تشدد
glow	anticipation	0.477	چمڪ
praiseworthy	anticipation	0.473	ساراهه جي لائق
football	anticipation	0.469	فوٽ بال
scare	anticipation	0.469	ڊڄڻ
elite	anticipation	0.469	اشرافيه
unknown	anticipation	0.469	اڻڄاتل
precursor	anticipation	0.469	اڳوڻو
pry	anticipation	0.469	پري
providing	anticipation	0.469	مهيا ڪرڻ
sweets	anticipation	0.469	مٺايون
cautious	anticipation	0.469	محتاط
opera	anticipation	0.469	اوپيرا
motion	anticipation	0.469	حرڪت
cash	anticipation	0.469	نقد
creeping	anticipation	0.469	چرڻ
invoke	anticipation	0.469	سڏڻ
star	anticipation	0.469	تارو
shaky	anticipation	0.469	لرزش
production	anticipation	0.469	پيداوار
successful	anticipation	0.469	ڪامياب
immediately	anticipation	0.469	فوري طور
dawn	anticipation	0.469	صبح
starry	anticipation	0.469	تارن وارو
unsurpassed	anticipation	0.469	بي مثال
completion	anticipation	0.469	مڪمل ٿيڻ
hire	anticipation	0.469	ڀرتي ڪرڻ
fete	anticipation	0.469	عيد
commemorative	anticipation	0.461	يادگار
shining	anticipation	0.461	چمڪندڙ
testament	anticipation	0.461	وصيت
pay	anticipation	0.461	ادا
alive	anticipation	0.461	زنده
plight	anticipation	0.461	حالت
preliminary	anticipation	0.461	ابتدائي
overture	anticipation	0.461	اوورچر
sanctuary	anticipation	0.461	پناهه گاهه
regatta	anticipation	0.461	ريگٽا
draft	anticipation	0.461	مسودو
synchronize	anticipation	0.461	هم وقت سازي ڪرڻ
soundness	anticipation	0.461	تندرستي
extricate	anticipation	0.461	ڪڍڻ
excel	anticipation	0.461	Excel
punt	anticipation	0.461	ڌڪ
untold	anticipation	0.461	اڻ ٻڌايل
brilliant	anticipation	0.461	شاندار
cheerfulness	anticipation	0.461	خوش مزاجي
jeopardy	anticipation	0.461	خطرو
friendly	anticipation	0.461	دوستانه
mail	anticipation	0.461	ٽپال
unexpected	anticipation	0.453	غير متوقع
basketball	anticipation	0.453	باسڪيٽ بال
inaugural	anticipation	0.453	افتتاح
supremacy	anticipation	0.453	بالادستي
rehabilitation	anticipation	0.453	بحالي
intimately	anticipation	0.453	ويجهي سان
career	anticipation	0.453	ڪيريئر
prevention	anticipation	0.453	روڪٿام
renovate	anticipation	0.453	بحال ڪرڻ
compliment	anticipation	0.453	تعريف
prologue	anticipation	0.453	prologue
elegance	anticipation	0.453	خوبصورتي
complement	anticipation	0.453	مڪمل ڪرڻ
flinch	anticipation	0.453	چمڪائڻ
infinity	anticipation	0.453	لاتعداد
perpetuity	anticipation	0.453	دائميت
sunset	anticipation	0.453	غروب
improve	anticipation	0.453	بهتر ڪرڻ
fitting	anticipation	0.445	مناسب
confidence	anticipation	0.445	اعتماد
concealment	anticipation	0.445	لڪائڻ
sweet	anticipation	0.445	مٺو
perfect	anticipation	0.445	مڪمل
epidemic	anticipation	0.445	‍‍وچڙندڙ
fain	anticipation	0.445	ڪمزور
volunteer	anticipation	0.445	رضاڪار
share	anticipation	0.445	حصيداري
surround	anticipation	0.445	چوڌاري
conjecture	anticipation	0.445	گمان
sun	anticipation	0.445	سج
veracity	anticipation	0.445	سچائي
serial	anticipation	0.438	سيريل
angel	anticipation	0.438	فرشتو
aloha	anticipation	0.438	الاهو
saint	anticipation	0.438	سائين
tickle	anticipation	0.438	گدگدائي
superstitious	anticipation	0.438	وهم پرست
ferment	anticipation	0.438	خمير
conservation	anticipation	0.438	تحفظ
devout	anticipation	0.438	عقيدتمند
respect	anticipation	0.438	عزت
reconstruction	anticipation	0.438	بحالي
goodness	anticipation	0.438	ڀلائي
reconstruct	anticipation	0.438	ٻيهر ٺاهڻ
faith	anticipation	0.438	ايمان
recombination	anticipation	0.438	ٻيهر ملائڻ
prepared	anticipation	0.438	تيار ڪيل
rabid	anticipation	0.438	چريو
plea	anticipation	0.438	درخواست
medical	anticipation	0.438	طبي
passenger	anticipation	0.438	مسافر
charitable	anticipation	0.430	خيراتي
tabulate	anticipation	0.430	ٽيبل ڪرڻ
peace	anticipation	0.430	امن
install	anticipation	0.430	انسٽال ڪريو
serenity	anticipation	0.430	سڪون
venerable	anticipation	0.430	قابل احترام
spa	anticipation	0.430	اسپا
labyrinth	anticipation	0.430	ليبارينٿ
luscious	anticipation	0.430	خوشبودار
perpetuate	anticipation	0.430	قائم رکڻ
strategist	anticipation	0.430	حڪمت عملي
unverified	anticipation	0.430	اڻ تصديق ٿيل
tribunal	anticipation	0.430	ٽربيونل
clap	anticipation	0.430	تاڙيون وڄائڻ
peaceful	anticipation	0.422	پرامن
patience	anticipation	0.422	صبر
unresolved	anticipation	0.422	حل ٿيل
worship	anticipation	0.422	عبادت ڪرڻ
edification	anticipation	0.422	ترميم
oasis	anticipation	0.422	نخلستان
grin	anticipation	0.422	مسڪرائي
revere	anticipation	0.422	عزت ڪرڻ
candid	anticipation	0.422	صاف گو
vista	anticipation	0.422	نظارو
conspirator	anticipation	0.422	سازش ڪندڙ
adrift	anticipation	0.422	اڳتي وڌڻ
recognizable	anticipation	0.422	سڃاڻڻ لائق
volatility	anticipation	0.422	عدم استحڪام
forestall	anticipation	0.422	روڪڻ
laughter	anticipation	0.422	کلڻ
continue	anticipation	0.414	جاري رکڻ
ongoing	anticipation	0.414	جاري
astrologer	anticipation	0.414	نجومي
mediate	anticipation	0.414	ثالثي ڪرڻ
punctual	anticipation	0.414	وقت جو پابند
grant	anticipation	0.414	عطا ڪرڻ
morn	anticipation	0.414	صبح
pretty	anticipation	0.414	پيارو
withstand	anticipation	0.414	برداشت ڪرڻ
frisky	anticipation	0.414	تيز
thought	anticipation	0.414	سوچيو
probation	anticipation	0.414	امتحان
ordination	anticipation	0.414	ترتيب ڏيڻ
calls	anticipation	0.414	ڪال
detainee	anticipation	0.414	قيدي
craps	anticipation	0.414	ڪڪڙ
weigh	anticipation	0.414	وزن
proficiency	anticipation	0.414	مهارت
sing	anticipation	0.411	ڳائڻ
continuation	anticipation	0.406	تسلسل
university	anticipation	0.406	يونيورسٽي
chicane	anticipation	0.406	چيڪي
nurture	anticipation	0.406	پرورش ڪرڻ
mother	anticipation	0.406	ماءُ
punished	anticipation	0.406	سزا ڏني
twinkle	anticipation	0.406	چمڪائڻ
confession	anticipation	0.406	اعتراف
outdo	anticipation	0.406	ٻاهر
prophylactic	anticipation	0.406	روڪٿام
proud	anticipation	0.406	فخر
midwife	anticipation	0.406	دائي
wizard	anticipation	0.406	جادوگر
headlight	anticipation	0.406	هيڊ لائيٽ
long	anticipation	0.406	ڊگهو
banquet	anticipation	0.406	ضيافت
comfort	anticipation	0.406	آرام
navigable	anticipation	0.406	بحري قابل
subscribe	anticipation	0.406	رڪنيت حاصل ڪرڻ
opponent	anticipation	0.406	مخالف
debenture	anticipation	0.406	ڊيبينچر
deal	anticipation	0.402	سودا
symphony	anticipation	0.398	سمفوني
saintly	anticipation	0.398	پاڪيزه
judiciary	anticipation	0.398	عدليه
lettered	anticipation	0.398	خط لکيل
vigil	anticipation	0.398	نگراني
reliance	anticipation	0.398	ڀروسو
distracting	anticipation	0.398	ڌيان ڇڪائيندڙ
mortification	anticipation	0.398	مايوسي
balm	anticipation	0.398	بام
simmer	anticipation	0.398	سياري ڪرڻ
top	anticipation	0.398	مٿي
obliging	anticipation	0.398	واجبي
efficient	anticipation	0.398	موثر
guillotine	anticipation	0.398	گليلوٽين
representing	anticipation	0.398	نمائندگي ڪرڻ
death	anticipation	0.398	موت
assurance	anticipation	0.391	اطمينان
familiarity	anticipation	0.391	واقفيت
depraved	anticipation	0.391	خراب ٿيل
condemnation	anticipation	0.391	مذمت
undoubted	anticipation	0.391	بي شڪ
sanctify	anticipation	0.391	پاڪ ڪرڻ
diplomacy	anticipation	0.391	سفارتڪاري
antidote	anticipation	0.391	ضد
trust	anticipation	0.391	ڀروسو
linger	anticipation	0.391	دير ڪرڻ
objective	anticipation	0.391	مقصد
chuckle	anticipation	0.391	مسڪرائڻ
poke	anticipation	0.391	ڇڪڻ
abeyance	anticipation	0.391	بيهڻ
maternal	anticipation	0.391	مادري
art	anticipation	0.391	فن
unfulfilled	anticipation	0.391	اڻپورو
inoculation	anticipation	0.384	انووليشن
simplify	anticipation	0.383	آسان ڪرڻ
depend	anticipation	0.383	انحصار ڪرڻ
chant	anticipation	0.383	نعرو
ram	anticipation	0.383	رام
banger	anticipation	0.383	ڌاڙيل
playground	anticipation	0.383	راند جو ميدان
labor	anticipation	0.383	محنت
scientist	anticipation	0.383	سائنسدان
good	anticipation	0.383	سٺو
humanitarian	anticipation	0.383	انسانيت پسند
failing	anticipation	0.383	ناڪام ٿيڻ
hap	anticipation	0.383	هپ
dutiful	anticipation	0.383	فرض شناس
hymn	anticipation	0.383	گيت
ship	anticipation	0.383	ٻيڙي
discretion	anticipation	0.383	صوابديد
undecided	anticipation	0.383	اڻ فيصلو
gradual	anticipation	0.375	بتدريج
navigator	anticipation	0.375	نيويگيٽر
track	anticipation	0.375	ٽريڪ
cradle	anticipation	0.375	جهنڊو
sterling	anticipation	0.375	اسٽرلنگ
interim	anticipation	0.375	عبوري
clock	anticipation	0.375	ڪلاڪ
mountain	anticipation	0.375	جبل
interminable	anticipation	0.375	لاتعداد
public	anticipation	0.375	عوامي
recurrent	anticipation	0.375	بار بار
savor	anticipation	0.375	ذائقو
abide	anticipation	0.367	رهڻ
concealed	anticipation	0.367	لڪايل
spear	anticipation	0.367	ٻاجهه
lesson	anticipation	0.367	سبق
instructions	anticipation	0.367	هدايتون
sonar	anticipation	0.367	سونار
biennial	anticipation	0.367	ٻه ساله
convince	anticipation	0.367	قائل ڪرڻ
whim	anticipation	0.367	وهم
shiver	anticipation	0.367	ڌڙڪڻ
towering	anticipation	0.367	بلندي وارو
musical	anticipation	0.367	موسيقي
offset	anticipation	0.359	بند ڪرڻ
theory	anticipation	0.359	نظريو
theology	anticipation	0.359	نظريو
undying	anticipation	0.359	لازوال
timidity	anticipation	0.359	ڊپٽي
plump	anticipation	0.359	ٿلهو
atone	anticipation	0.359	ڪفارو
audience	anticipation	0.357	سامعين
dietary	anticipation	0.352	غذائي
consecration	anticipation	0.352	تقدس
localize	anticipation	0.352	مقامي ڪرڻ
paragon	anticipation	0.352	پيراگون
store	anticipation	0.352	اسٽور
farm	anticipation	0.352	فارم
daily	anticipation	0.352	روزاني
cramp	anticipation	0.352	درد
nobility	anticipation	0.352	شرافت
closure	anticipation	0.352	بندش
edition	anticipation	0.352	ايڊيشن
kindred	anticipation	0.352	مائٽ
stripped	anticipation	0.344	ڇڪيل
errand	anticipation	0.344	ڪم
archaeology	anticipation	0.344	آثار قديمه
mutable	anticipation	0.344	تبديل ٿيندڙ
wireless	anticipation	0.344	وائرليس
meditate	anticipation	0.344	غور ڪرڻ
mobile	anticipation	0.344	موبائل
germ	anticipation	0.336	جراثيم
brotherly	anticipation	0.336	ڀاءُ
lessen	anticipation	0.336	گھٽائڻ
unbeaten	anticipation	0.336	ناقابل شڪست
pare	anticipation	0.336	پار
buddy	anticipation	0.336	دوست
unaccountable	anticipation	0.336	بي حساب
dove	anticipation	0.328	ڪبوتر
patient	anticipation	0.328	مريض
secular	anticipation	0.328	سيڪيولر
digress	anticipation	0.328	ڇڪڻ
chastity	anticipation	0.328	عفت
council	anticipation	0.328	ڪائونسل
olfactory	anticipation	0.328	گھڻائي وارو
ribbon	anticipation	0.328	ربن
possess	anticipation	0.328	حاصل ڪرڻ
disposed	anticipation	0.320	ڊسپوز ٿيل
scrutinize	anticipation	0.320	ڇنڊڇاڻ ڪرڻ
immature	anticipation	0.320	نابالغ
mediator	anticipation	0.320	ثالث
regularity	anticipation	0.320	باقاعدگي
cove	anticipation	0.320	کوهه
infanticide	anticipation	0.320	ٻار جو قتل
paddle	anticipation	0.320	پيادل
heft	anticipation	0.320	اونچائي
fancy	anticipation	0.320	پسند
preservative	anticipation	0.320	بچاءُ وارو
unpublished	anticipation	0.312	اڻ ڇپيل
church	anticipation	0.312	چرچ
bugle	anticipation	0.312	بگل
grim	anticipation	0.312	گندو
denying	anticipation	0.312	انڪار ڪرڻ
analyst	anticipation	0.312	تجزيه نگار
judicial	anticipation	0.305	عدالتي
priesthood	anticipation	0.305	پادري
broadside	anticipation	0.305	چوٽي طرف
mill	anticipation	0.305	مل
dismay	anticipation	0.297	مايوسي
cap	anticipation	0.297	ٽوپي
thermocouple	anticipation	0.297	Thermocouple
tributary	anticipation	0.297	شاخ
instructor	anticipation	0.297	استاد
exhaustion	anticipation	0.297	ٿڪڻ
saliva	anticipation	0.297	لعاب
cataract	anticipation	0.289	موتیا
network	anticipation	0.289	نيٽ ورڪ
visor	anticipation	0.289	ويزر
shackle	anticipation	0.289	زنجير
wont	anticipation	0.289	نه
addresses	anticipation	0.289	ايڊريس
discreet	anticipation	0.289	سمجھدار
noncompliance	anticipation	0.289	عدم تعميل
bruise	anticipation	0.289	زخم
homeless	anticipation	0.289	بي گهر
astronomer	anticipation	0.281	نجومي
skewed	anticipation	0.281	ڇڪيل
neighbor	anticipation	0.281	پاڙيسري
holiness	anticipation	0.273	تقدس
devil	anticipation	0.273	شيطان
picket	anticipation	0.273	پڪيٽ
sentence	anticipation	0.273	سزا
latent	anticipation	0.273	پوشيده
cream	anticipation	0.273	ڪريم
immaturity	anticipation	0.273	ناپختگي
habitual	anticipation	0.266	عادتي
morals	anticipation	0.266	اخلاق
neighborhood	anticipation	0.266	پاڙو
lull	anticipation	0.266	لل
bye	anticipation	0.258	خدا حافظ
weight	anticipation	0.258	وزن
organ	anticipation	0.250	عضوو
clown	anticipation	0.250	مسخره
forearm	anticipation	0.250	بازو
commonplace	anticipation	0.242	عام
quote	anticipation	0.242	اقتباس
rail	anticipation	0.234	ريل
dictatorship	anticipation	0.234	آمريت
treadmill	anticipation	0.234	ٽريڊمل
board	anticipation	0.234	بورڊ
tree	anticipation	0.227	وڻ
sundial	anticipation	0.227	سجيل
paralysis	anticipation	0.211	فالج
cement	anticipation	0.203	سيمينٽ
worm	anticipation	0.203	ڪيڙو
organization	anticipation	0.203	تنظيم
lagging	anticipation	0.180	دير ٿيڻ
neutral	anticipation	0.148	غير جانبدار
cannibalism	disgust	0.953	cannibalism
mutilation	disgust	0.930	ميٽيليشن
molestation	disgust	0.914	زيادتي
incest	disgust	0.914	بي عزتي
rape	disgust	0.906	ريپ
gonorrhea	disgust	0.906	سوزاڪ
cannibal	disgust	0.898	نانگ
rot	disgust	0.891	سڙڻ
corpse	disgust	0.883	لاش
massacre	disgust	0.883	قتل عام
excrement	disgust	0.883	اخراج
barf	disgust	0.875	بارف
slaughter	disgust	0.875	ذبح ڪرڻ
slaughterhouse	disgust	0.867	ذبح خانو
incestuous	disgust	0.859	بي حيائي
sewerage	disgust	0.859	نيڪال
filth	disgust	0.859	گندگي
bigot	disgust	0.859	وڏائي
rancid	disgust	0.859	گندو
infestation	disgust	0.852	انفيڪشن
plague	disgust	0.852	طاعون
holocaust	disgust	0.852	هولوڪاسٽ
bloodthirsty	disgust	0.852	خونخوار
rotting	disgust	0.844	سڙڻ
fecal	disgust	0.844	فيڪل
maggot	disgust	0.844	ڪڪڙ
feces	disgust	0.844	مال
murder	disgust	0.839	قتل
asshole	disgust	0.836	گدا
homicide	disgust	0.836	قتل
enslaved	disgust	0.836	غلامي
infanticide	disgust	0.836	ٻار جو قتل
perverted	disgust	0.828	بگاڙيل
excretion	disgust	0.828	اخراج
gore	disgust	0.828	گور
slaughtering	disgust	0.828	ذبح ڪرڻ
torture	disgust	0.828	تشدد
contaminate	disgust	0.821	آلوده ڪرڻ
revolting	disgust	0.820	بغاوت ڪرڻ
gory	disgust	0.820	گوري
shit	disgust	0.820	گندو
terrorist	disgust	0.820	دهشتگرد
murderer	disgust	0.820	قاتل
repugnant	disgust	0.820	مخالف
manure	disgust	0.820	کير
pervert	disgust	0.820	خراب ڪرڻ
diarrhoea	disgust	0.820	دستن
grotesque	disgust	0.820	عجيب
desecration	disgust	0.820	بي حرمتي
faeces	disgust	0.812	مال
slavery	disgust	0.812	غلامي
sewer	disgust	0.812	گندو پاڻي
cadaver	disgust	0.812	لاش
manslaughter	disgust	0.812	قتل عام
dismemberment	disgust	0.812	ورهائڻ
vomit	disgust	0.812	الٽي
perverse	disgust	0.805	بگڙيل
repulsive	disgust	0.805	نفرت ڪندڙ
hemorrhage	disgust	0.805	رت وهڻ
sewage	disgust	0.797	گندو پاڻي
filthy	disgust	0.797	گندو
diseased	disgust	0.797	بيمار
depravity	disgust	0.797	بدحالي
carcass	disgust	0.795	لاش
decompose	disgust	0.789	سڙڻ
gruesome	disgust	0.789	خوفناڪ
mutilated	disgust	0.789	مسخ ٿيل
puke	disgust	0.789	پڪو
herpes	disgust	0.789	هرپس
decayed	disgust	0.789	سڙيل
dung	disgust	0.789	گوبر
vermin	disgust	0.789	ڪيڙا
murderous	disgust	0.789	قاتل
parasite	disgust	0.789	پرازي
horrific	disgust	0.789	خوفناڪ
carnage	disgust	0.781	قتل عام
malaria	disgust	0.781	مليريا
slime	disgust	0.781	سلم
flatulence	disgust	0.781	ڦڦڙن
pestilence	disgust	0.781	موذي مرض
crap	disgust	0.781	گندو
monstrosity	disgust	0.781	وحشيت
loathsome	disgust	0.773	نفرت انگيز
toxic	disgust	0.773	زهريلو
morgue	disgust	0.773	مرده خانو
pus	disgust	0.773	پَس
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	ڪوڙهه جو مرض
insidious	disgust	0.773	ڪوڙو
cruel	disgust	0.766	ظالم
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	اينٿراڪس
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	نفرت
lynch	disgust	0.766	لنچ
revulsion	disgust	0.766	بغاوت
whore	disgust	0.766	ويري
dissection	disgust	0.759	جدا ڪرڻ
mucous	disgust	0.758	مغز
canker	disgust	0.758	ڪينسر
slum	disgust	0.758	ڪچي آبادي
infectious	disgust	0.758	انفيڪشن وارو
evil	disgust	0.758	بڇڙو
phlegm	disgust	0.758	بلغم
cruelty	disgust	0.758	ظلم
perversion	disgust	0.758	بگاڙ
sinister	disgust	0.750	خطرناڪ
leeches	disgust	0.750	ليچس
corrupting	disgust	0.750	خراب ڪرڻ
decomposition	disgust	0.750	سڙڻ
abomination	disgust	0.742	نفرت
stinking	disgust	0.742	بدبودار
bile	disgust	0.742	بائل
demonic	disgust	0.742	شيطاني
deranged	disgust	0.742	مايوس
abhorrence	disgust	0.742	نفرت
soiled	disgust	0.742	مٽي ٿيل
mucus	disgust	0.742	بلغم
septic	disgust	0.742	سيپٽڪ
sickening	disgust	0.742	بيمار ڪرڻ
demon	disgust	0.742	شيطان
cancer	disgust	0.734	ڪينسر
obese	disgust	0.734	ٿلهو
degeneracy	disgust	0.734	زوال
despicable	disgust	0.734	نفرت جوڳو
atrocity	disgust	0.734	ظلم
foul	disgust	0.734	گندو
sicken	disgust	0.734	بيمار
crucifixion	disgust	0.734	صليب تي چڙهڻ
terrorism	disgust	0.734	دهشتگردي
repulsion	disgust	0.727	رد ڪرڻ
morbidity	disgust	0.727	بيماري
dysentery	disgust	0.727	پيچش
enema	disgust	0.727	اينيما
bacterium	disgust	0.727	بيڪٽيريا
dirty	disgust	0.727	گندو
adultery	disgust	0.727	زنا
contamination	disgust	0.727	آلودگي
grisly	disgust	0.727	سخت
diabolical	disgust	0.727	شيطاني
autopsy	disgust	0.719	پوسٽ مارٽم
barbaric	disgust	0.719	وحشي
vulgar	disgust	0.719	فحش
entrails	disgust	0.719	اندريون
disgust	disgust	0.719	نفرت
lewd	disgust	0.719	فحش
muck	disgust	0.719	مٽي
bowels	disgust	0.719	آنڊا
garbage	disgust	0.719	ڪچرو
deterioration	disgust	0.719	خراب ٿيڻ
contagion	disgust	0.719	وبائي مرض
vicious	disgust	0.719	شيطاني
disfigured	disgust	0.719	بگاڙيل
pungent	disgust	0.719	تيز
gross	disgust	0.719	مجموعي
bloodshed	disgust	0.714	خونريزي
gag	disgust	0.711	گپ
pollute	disgust	0.711	آلودگي
nausea	disgust	0.711	متل
tyrant	disgust	0.711	ظالم
wretched	disgust	0.711	خراب
mortification	disgust	0.711	مايوسي
violent	disgust	0.711	تشدد ڪندڙ
poisoned	disgust	0.711	زهر ٿيل
nauseate	disgust	0.703	ٿڪجڻ
slimy	disgust	0.703	پتلي
grope	disgust	0.703	ڇڪڻ
slut	disgust	0.703	ٻلي
nasty	disgust	0.703	گندو
disgusting	disgust	0.703	نفرت آميز
depraved	disgust	0.703	خراب ٿيل
porn	disgust	0.703	فحش
hateful	disgust	0.703	نفرت ڪندڙ
vulgarity	disgust	0.703	بي حيائي
noxious	disgust	0.703	نقصانڪار
grime	disgust	0.703	گندگي
constipation	disgust	0.703	قبض
secretion	disgust	0.703	رطوبت
poisoning	disgust	0.703	زهر ڏيڻ
despotism	disgust	0.703	استبداد
measles	disgust	0.696	خسرو
contagious	disgust	0.695	وبائي
obesity	disgust	0.695	ٿلهو
wart	disgust	0.695	وارٽ
hate	disgust	0.695	نفرت
hellish	disgust	0.695	جهنگلي
