English Word	Emotion	Emotion-Intensity-Score	Indonesian Word
dismay	anticipation	0.297	kecemasan
cap	anticipation	0.297	topi
thermocouple	anticipation	0.297	termokopel
tributary	anticipation	0.297	anak sungai
instructor	anticipation	0.297	pengajar
exhaustion	anticipation	0.297	kelelahan
saliva	anticipation	0.297	air liur
cataract	anticipation	0.289	katarak
network	anticipation	0.289	jaringan
visor	anticipation	0.289	kedok
shackle	anticipation	0.289	belenggu
wont	anticipation	0.289	tidak akan
addresses	anticipation	0.289	alamat
discreet	anticipation	0.289	bijaksana
noncompliance	anticipation	0.289	ketidakpatuhan
bruise	anticipation	0.289	memar
homeless	anticipation	0.289	tunawisma
astronomer	anticipation	0.281	ahli astronomi
skewed	anticipation	0.281	miring
neighbor	anticipation	0.281	tetangga
holiness	anticipation	0.273	kekudusan
devil	anticipation	0.273	setan
picket	anticipation	0.273	piket
sentence	anticipation	0.273	kalimat
latent	anticipation	0.273	terpendam
cream	anticipation	0.273	krim
immaturity	anticipation	0.273	ketidakdewasaan
habitual	anticipation	0.266	biasa
morals	anticipation	0.266	moral
neighborhood	anticipation	0.266	lingkungan
lull	anticipation	0.266	menidurkan
bye	anticipation	0.258	selamat tinggal
weight	anticipation	0.258	bobot
organ	anticipation	0.250	organ
clown	anticipation	0.250	badut
forearm	anticipation	0.250	lengan bawah
commonplace	anticipation	0.242	biasa
quote	anticipation	0.242	mengutip
rail	anticipation	0.234	rel
dictatorship	anticipation	0.234	kediktatoran
treadmill	anticipation	0.234	pekerjaan yg membosankan
board	anticipation	0.234	papan
tree	anticipation	0.227	pohon
sundial	anticipation	0.227	jam bayangan matahari
paralysis	anticipation	0.211	kelumpuhan
cement	anticipation	0.203	semen
worm	anticipation	0.203	cacing
organization	anticipation	0.203	organisasi
lagging	anticipation	0.180	tertinggal
neutral	anticipation	0.148	netral
cannibalism	disgust	0.953	kanibalisme
mutilation	disgust	0.930	mutilasi
molestation	disgust	0.914	penganiayaan
incest	disgust	0.914	inses
rape	disgust	0.906	memperkosa
gonorrhea	disgust	0.906	gonorea
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	membusuk
corpse	disgust	0.883	mayat
massacre	disgust	0.883	pembantaian
excrement	disgust	0.883	kotoran
barf	disgust	0.875	muntah
slaughter	disgust	0.875	pembantaian
slaughterhouse	disgust	0.867	rumah jagal
incestuous	disgust	0.859	sumbang
sewerage	disgust	0.859	saluran pembuangan
filth	disgust	0.859	kotoran
bigot	disgust	0.859	fanatik
rancid	disgust	0.859	tengik
infestation	disgust	0.852	kutu
plague	disgust	0.852	wabah
holocaust	disgust	0.852	bencana
bloodthirsty	disgust	0.852	haus darah
rotting	disgust	0.844	membusuk
fecal	disgust	0.844	tinja
maggot	disgust	0.844	belatung
feces	disgust	0.844	kotoran
murder	disgust	0.839	pembunuhan
asshole	disgust	0.836	bajingan
homicide	disgust	0.836	pembunuhan
enslaved	disgust	0.836	diperbudak
infanticide	disgust	0.836	pembunuhan anak
perverted	disgust	0.828	sesat
excretion	disgust	0.828	pengeluaran
gore	disgust	0.828	menanduk
slaughtering	disgust	0.828	menyembelih
torture	disgust	0.828	menyiksa
contaminate	disgust	0.821	mencemari
revolting	disgust	0.820	menjijikkan
gory	disgust	0.820	berdarah
shit	disgust	0.820	kotoran
terrorist	disgust	0.820	teroris
murderer	disgust	0.820	pembunuh
repugnant	disgust	0.820	menjijikkan
manure	disgust	0.820	pupuk
pervert	disgust	0.820	orang cabul
diarrhoea	disgust	0.820	diare
grotesque	disgust	0.820	fantastis
desecration	disgust	0.820	penodaan
faeces	disgust	0.812	kotoran
slavery	disgust	0.812	perbudakan
sewer	disgust	0.812	selokan
cadaver	disgust	0.812	mayat
manslaughter	disgust	0.812	pembunuhan
dismemberment	disgust	0.812	pemotongan
vomit	disgust	0.812	muntah
perverse	disgust	0.805	jahat
repulsive	disgust	0.805	menjijikkan
hemorrhage	disgust	0.805	pendarahan
sewage	disgust	0.797	penyaluran pecomberan
filthy	disgust	0.797	kotor
diseased	disgust	0.797	sakit
depravity	disgust	0.797	kebejatan
carcass	disgust	0.795	bangkai
decompose	disgust	0.789	membusuk
gruesome	disgust	0.789	mengerikan
mutilated	disgust	0.789	dimutilasi
puke	disgust	0.789	muntah
herpes	disgust	0.789	herpes
decayed	disgust	0.789	busuk
dung	disgust	0.789	kotoran
vermin	disgust	0.789	hama
murderous	disgust	0.789	kejam
parasite	disgust	0.789	parasit
horrific	disgust	0.789	mengerikan
carnage	disgust	0.781	pembantaian
malaria	disgust	0.781	malaria
slime	disgust	0.781	lendir
flatulence	disgust	0.781	perut kembung
pestilence	disgust	0.781	sampar
crap	disgust	0.781	omong kosong
monstrosity	disgust	0.781	keburukan
loathsome	disgust	0.773	menjijikkan
toxic	disgust	0.773	beracun
morgue	disgust	0.773	kamar mayat
pus	disgust	0.773	nanah
herpesvirus	disgust	0.773	virus herpes
leprosy	disgust	0.773	kusta
insidious	disgust	0.773	berbahaya
cruel	disgust	0.766	kejam
regurgitation	disgust	0.766	regurgitasi
anthrax	disgust	0.766	antraks
xenophobia	disgust	0.766	xenofobia
repugnance	disgust	0.766	kebencian
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	perubahan
whore	disgust	0.766	pelacur
dissection	disgust	0.759	pembedahan
mucous	disgust	0.758	lendir
canker	disgust	0.758	karat
slum	disgust	0.758	daerah kumuh
infectious	disgust	0.758	menular
evil	disgust	0.758	kejahatan
phlegm	disgust	0.758	dahak
cruelty	disgust	0.758	kekejaman
perversion	disgust	0.758	pemutarbalikan
sinister	disgust	0.750	jahat
leeches	disgust	0.750	lintah
corrupting	disgust	0.750	merusak
decomposition	disgust	0.750	penguraian
abomination	disgust	0.742	kekejian
stinking	disgust	0.742	bau
bile	disgust	0.742	empedu
demonic	disgust	0.742	jahat
deranged	disgust	0.742	gila
abhorrence	disgust	0.742	kebencian
soiled	disgust	0.742	kotor
mucus	disgust	0.742	lendir
septic	disgust	0.742	septik
sickening	disgust	0.742	memuakkan
demon	disgust	0.742	setan
cancer	disgust	0.734	kanker
obese	disgust	0.734	gendut
degeneracy	disgust	0.734	kemerosotan
despicable	disgust	0.734	tercela
atrocity	disgust	0.734	kekejaman
foul	disgust	0.734	busuk
sicken	disgust	0.734	jatuh sakit
crucifixion	disgust	0.734	penyaliban
terrorism	disgust	0.734	terorisme
repulsion	disgust	0.727	penolakan
morbidity	disgust	0.727	morbiditas
dysentery	disgust	0.727	disentri
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakteri
dirty	disgust	0.727	kotor
adultery	disgust	0.727	zina
contamination	disgust	0.727	kontaminasi
grisly	disgust	0.727	mengerikan
diabolical	disgust	0.727	kejam
autopsy	disgust	0.719	autopsi
barbaric	disgust	0.719	biadab
vulgar	disgust	0.719	vulgar
entrails	disgust	0.719	isi perut
disgust	disgust	0.719	menjijikkan
lewd	disgust	0.719	cabul
muck	disgust	0.719	kotoran
bowels	disgust	0.719	usus
garbage	disgust	0.719	sampah
deterioration	disgust	0.719	kemerosotan
contagion	disgust	0.719	penularan
vicious	disgust	0.719	jahat
disfigured	disgust	0.719	cacat
pungent	disgust	0.719	tajam
gross	disgust	0.719	bruto
bloodshed	disgust	0.714	pertumpahan darah
gag	disgust	0.711	muntah
pollute	disgust	0.711	mengotori
nausea	disgust	0.711	mual
tyrant	disgust	0.711	tiran
wretched	disgust	0.711	malang
mortification	disgust	0.711	malu
violent	disgust	0.711	brutal
poisoned	disgust	0.711	keracunan
nauseate	disgust	0.703	memuakkan
slimy	disgust	0.703	berlendir
grope	disgust	0.703	merogoh
slut	disgust	0.703	pelacur
nasty	disgust	0.703	menjijikan
disgusting	disgust	0.703	menjijikkan
depraved	disgust	0.703	bejat
porn	disgust	0.703	porno
hateful	disgust	0.703	penuh kebencian
vulgarity	disgust	0.703	kekasaran
noxious	disgust	0.703	berbahaya
grime	disgust	0.703	kotoran
constipation	disgust	0.703	sembelit
secretion	disgust	0.703	sekresi
poisoning	disgust	0.703	peracunan
despotism	disgust	0.703	despotisme
measles	disgust	0.696	campak
contagious	disgust	0.695	menular
obesity	disgust	0.695	kegemukan
wart	disgust	0.695	kutil
hate	disgust	0.695	membenci
hellish	disgust	0.695	jahat
scum	disgust	0.695	sampah
suicidal	disgust	0.695	kecenderungan bunuh diri
wretch	disgust	0.695	orang celaka
abuse	disgust	0.695	melecehkan
waste	disgust	0.695	limbah
intestinal	disgust	0.695	usus
heartworm	disgust	0.688	cacing hati
ooze	disgust	0.688	keluar
treason	disgust	0.688	pengkhianatan
contaminated	disgust	0.688	terkontaminasi
smut	disgust	0.688	jelaga
disease	disgust	0.688	penyakit
rabid	disgust	0.688	fanatik
deformed	disgust	0.680	cacat
hell	disgust	0.680	neraka
soulless	disgust	0.680	tak berjiwa
cholera	disgust	0.680	kolera
bestial	disgust	0.680	kejam
antichrist	disgust	0.680	antikristus
freakish	disgust	0.680	aneh
germ	disgust	0.680	kuman
detest	disgust	0.680	benci
pollution	disgust	0.680	polusi
grimy	disgust	0.680	kotor
abhorrent	disgust	0.680	mengerikan
hatred	disgust	0.680	kebencian
abominate	disgust	0.680	merasa jijik
sickness	disgust	0.680	penyakit
hideous	disgust	0.672	mengerikan
dictatorship	disgust	0.672	kediktatoran
loathful	disgust	0.672	yg memuakkan
greasy	disgust	0.672	berminyak
dilapidated	disgust	0.672	bobrok
inhuman	disgust	0.672	tidak manusiawi
loathing	disgust	0.672	kebencian
obscene	disgust	0.672	cabul
cess	disgust	0.670	cess
devil	disgust	0.664	setan
deformity	disgust	0.664	kelainan bentuk
nauseous	disgust	0.664	mual
deadly	disgust	0.664	mematikan
swine	disgust	0.664	babi
discrimination	disgust	0.664	diskriminasi
abominable	disgust	0.664	mengerikan
masochism	disgust	0.664	kesenangan karena menderita
heretic	disgust	0.664	sesat
latrines	disgust	0.656	kakus
corruption	disgust	0.656	korupsi
poisonous	disgust	0.656	beracun
horror	disgust	0.656	kengerian
nefarious	disgust	0.656	jahat
bacteria	disgust	0.656	bakteri
horrible	disgust	0.656	mengerikan
trash	disgust	0.656	sampah
abortion	disgust	0.656	abortus
death	disgust	0.656	kematian
prejudiced	disgust	0.656	berprasangka
poison	disgust	0.656	racun
oppression	disgust	0.656	penindasan
goo	disgust	0.656	zat yang lengket dan kental
victimized	disgust	0.656	menjadi korban
mange	disgust	0.656	kudis
sludge	disgust	0.648	lumpur
trashy	disgust	0.648	tak bermutu
vindictive	disgust	0.648	pendendam
horrid	disgust	0.648	mengerikan
ugly	disgust	0.648	jelek
immoral	disgust	0.648	asusila
bitch	disgust	0.648	jalang
outhouse	disgust	0.648	kakus
detestation	disgust	0.648	kebencian
horrifying	disgust	0.641	mengerikan
laxative	disgust	0.641	pencahar
unsightly	disgust	0.641	tak sedap dipandang
derogatory	disgust	0.641	menghina
slop	disgust	0.641	air kotor
malfeasance	disgust	0.641	penyimpangan
spew	disgust	0.641	memuntahkan
pimple	disgust	0.641	jerawat
criminality	disgust	0.641	kriminalitas
indecency	disgust	0.641	ketidaksenonohan
cystic	disgust	0.641	kistik
villainous	disgust	0.641	jahat
queasy	disgust	0.633	mual
mildew	disgust	0.633	jamur
oppressive	disgust	0.633	menindas
prostitution	disgust	0.633	pelacuran
secrete	disgust	0.633	mengeluarkan
ulcer	disgust	0.633	maag
rat	disgust	0.633	tikus
bigoted	disgust	0.633	fanatik
perpetrator	disgust	0.633	pelaku
doomsday	disgust	0.633	kiamat
sinful	disgust	0.633	penuh dosa
degrading	disgust	0.625	merendahkan
ghastly	disgust	0.625	mengerikan
suffering	disgust	0.625	menderita
obscenity	disgust	0.625	kecabulan
devilish	disgust	0.625	jahat
disgraceful	disgust	0.625	memalukan
persecution	disgust	0.625	penganiayaan
contemptible	disgust	0.625	hina
cuckold	disgust	0.625	suami yg istrinya tdk setia
stools	disgust	0.625	bangku
dastardly	disgust	0.625	pengecut
sin	disgust	0.625	dosa
gluttony	disgust	0.625	kerakusan
bloated	disgust	0.625	bengkak
fungus	disgust	0.625	jamur
aghast	disgust	0.625	terperanjat
diaper	disgust	0.617	popok
malicious	disgust	0.617	jahat
polygamy	disgust	0.617	poligami
dying	disgust	0.617	sekarat
termite	disgust	0.617	rayap
fat	disgust	0.617	gemuk
deceit	disgust	0.617	penipuan
atrocious	disgust	0.617	mengerikan
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	memanjakan
crusty	disgust	0.617	keras
sickly	disgust	0.617	sakitan
louse	disgust	0.617	kutu
strangle	disgust	0.617	mencekik
betrayal	disgust	0.617	pengkhianatan
loathe	disgust	0.617	benci
wench	disgust	0.617	dara
infect	disgust	0.617	menulari
violently	disgust	0.609	dengan kekerasan
brothel	disgust	0.609	bordil
drool	disgust	0.609	ngiler
bleeding	disgust	0.609	berdarah
deform	disgust	0.609	merusak bentuk
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotase
venomous	disgust	0.609	berbisa
abhor	disgust	0.609	benci
slander	disgust	0.609	fitnah
hostile	disgust	0.609	agresif
musty	disgust	0.602	apak
illicit	disgust	0.602	dilarang
ugliness	disgust	0.602	kejelekan
unwashed	disgust	0.602	belum dicuci
swampy	disgust	0.602	berawa
deprivation	disgust	0.602	perampasan
poaching	disgust	0.602	perburuan
hag	disgust	0.602	perempuan
infidel	disgust	0.602	kafir
imprisonment	disgust	0.602	hukuman penjara
traitor	disgust	0.602	pengkhianat
lunacy	disgust	0.602	kegilaan
queasiness	disgust	0.594	mual
hostility	disgust	0.594	permusuhan
repelling	disgust	0.594	memukul mundur
intoxicated	disgust	0.594	mabuk
thug	disgust	0.594	penjahat
catastrophe	disgust	0.594	malapetaka
lunatic	disgust	0.594	gila
misery	disgust	0.594	penderitaan
venom	disgust	0.594	bisa ular
butcher	disgust	0.594	tukang daging
toilet	disgust	0.594	toilet
blister	disgust	0.594	lepuh
lurid	disgust	0.594	seram
slug	disgust	0.594	siput
gut	disgust	0.594	usus
sinner	disgust	0.594	pendosa
deceitful	disgust	0.594	bohong
epidemic	disgust	0.594	epidemi
deteriorated	disgust	0.586	memburuk
lavatory	disgust	0.586	WC
unclean	disgust	0.586	najis
prostitute	disgust	0.586	pelacur
incubus	disgust	0.586	syaitan
appalling	disgust	0.586	mengerikan
dreadful	disgust	0.586	mengerikan
pornography	disgust	0.586	pornografi
harass	disgust	0.586	mengganggu
squeamish	disgust	0.578	mudah tersinggung
expulsion	disgust	0.578	pengusiran
unfaithful	disgust	0.578	tidak setia
offensive	disgust	0.578	menyinggung
hypocrite	disgust	0.578	orang munafik
humiliating	disgust	0.578	memalukan
larceny	disgust	0.578	pencurian
ruinous	disgust	0.578	merusak
retard	disgust	0.578	memperlambat
rash	disgust	0.578	ruam
flea	disgust	0.578	kutu
debauchery	disgust	0.578	penyelewengan
fiend	disgust	0.578	iblis
quagmire	disgust	0.578	rawa
conspirator	disgust	0.578	konspirator
sick	disgust	0.578	sakit
mangle	disgust	0.578	mengoyakkan
dogsick	disgust	0.570	mabuk anjing
egregious	disgust	0.570	mengerikan
flog	disgust	0.570	mencambuk
despise	disgust	0.570	membenci
treacherous	disgust	0.570	berbahaya
oppress	disgust	0.570	menindas
swamp	disgust	0.570	rawa
messy	disgust	0.570	berantakan
spit	disgust	0.570	meludah
dank	disgust	0.570	lembab
bastard	disgust	0.570	bajingan
devastating	disgust	0.570	merusak
serpent	disgust	0.570	ular
loo	disgust	0.562	toilet
indecent	disgust	0.562	tidak senonoh
insanity	disgust	0.562	penyakit jiwa
stealing	disgust	0.562	pencurian
terrible	disgust	0.562	mengerikan
tyrannical	disgust	0.562	kejam
humiliation	disgust	0.562	penghinaan
snake	disgust	0.562	ular
sloppy	disgust	0.562	ceroboh
sinning	disgust	0.562	berbuat dosa
harmful	disgust	0.562	berbahaya
harlot	disgust	0.562	pelacur
sordid	disgust	0.562	mesum
enemy	disgust	0.562	musuh
alcoholism	disgust	0.562	alkoholisme
awful	disgust	0.562	buruk sekali
ruthless	disgust	0.562	kejam
scoundrel	disgust	0.562	bajingan
bloody	disgust	0.555	berdarah
flabby	disgust	0.555	lembek
odious	disgust	0.555	menjijikkan
beastly	disgust	0.555	jijik
collusion	disgust	0.555	kolusi
ridicule	disgust	0.555	ejekan
discriminating	disgust	0.555	diskriminatif
unattractive	disgust	0.555	kurang menarik
insufferable	disgust	0.555	tak tertahankan
segregate	disgust	0.555	memisahkan
arsenic	disgust	0.555	arsenik
threatening	disgust	0.555	mengancam
atrophy	disgust	0.555	atrophia
varicella	disgust	0.555	varisela
slayer	disgust	0.555	pembunuh
distaste	disgust	0.555	kebencian
coward	disgust	0.555	pengecut
robbery	disgust	0.555	perampokan
wickedness	disgust	0.555	kejahatan
anathema	disgust	0.547	laknat
malevolent	disgust	0.547	jahat
sty	disgust	0.547	tembel
pillage	disgust	0.547	menjarah
thief	disgust	0.547	maling
suffocating	disgust	0.547	mencekik
condemnation	disgust	0.547	penghukuman
deleterious	disgust	0.547	merusak
slur	disgust	0.547	cercaan
purgatory	disgust	0.547	api penyucian
attacking	disgust	0.547	menyerang
burglar	disgust	0.547	pencuri
ogre	disgust	0.547	raksasa
coercion	disgust	0.547	paksaan
vesicular	disgust	0.547	vesikular
miserable	disgust	0.547	menderita
bitterly	disgust	0.547	dengan pahit
sneer	disgust	0.539	mengejek
greedy	disgust	0.539	tamak
gob	disgust	0.539	pelayar
repellant	disgust	0.539	penolak
jealous	disgust	0.539	cemburu
drunken	disgust	0.539	mabuk
shame	disgust	0.539	malu
thrash	disgust	0.539	menggasak
fatty	disgust	0.539	berlemak
liar	disgust	0.539	pembohong
imprisoned	disgust	0.539	dipenjara
sloth	disgust	0.539	kemalasan
repudiation	disgust	0.539	penolakan
disgrace	disgust	0.539	aib
infidelity	disgust	0.539	ketidaksetiaan
pig	disgust	0.539	babi
lethal	disgust	0.536	letal
burnt	disgust	0.531	dibakar
brawl	disgust	0.531	ribut
withered	disgust	0.531	layu
blemish	disgust	0.531	cacat
hydrocephalus	disgust	0.531	hidrosefalus
aberration	disgust	0.531	penyimpangan
smuggler	disgust	0.531	penyelundup
painful	disgust	0.531	menyakitkan
condescension	disgust	0.531	merendahkan
intolerant	disgust	0.531	intoleran
blasphemous	disgust	0.531	menghujat
lying	disgust	0.531	bohong
hanging	disgust	0.531	gantung
travesty	disgust	0.531	parodi
ruined	disgust	0.531	hancur
intrusive	disgust	0.531	mengganggu
disintegrate	disgust	0.531	hancur
destructive	disgust	0.531	destruktif
neurotic	disgust	0.531	neurotik
disparaging	disgust	0.523	meremehkan
blighted	disgust	0.523	rusak
intolerance	disgust	0.523	intoleransi
mistress	disgust	0.523	nyonya
avarice	disgust	0.523	ketamakan
disgraced	disgust	0.523	ternoda
derogation	disgust	0.523	penghinaan
rubbish	disgust	0.523	sampah
accusation	disgust	0.523	tuduhan
incarceration	disgust	0.523	penahanan
tortious	disgust	0.516	menyiksa
dishonor	disgust	0.516	aib
stink	disgust	0.516	bau
grim	disgust	0.516	suram
rob	disgust	0.516	rampok
defraud	disgust	0.516	menipu
sump	disgust	0.516	bah
cringe	disgust	0.516	jijik
vulture	disgust	0.516	burung bangkai
deplorable	disgust	0.516	tercela
mite	disgust	0.516	tungau
eradication	disgust	0.516	pemberantasan
degrade	disgust	0.516	menurunkan
gutter	disgust	0.516	selokan
convict	disgust	0.516	menghukum
remains	disgust	0.516	tetap
betray	disgust	0.516	mengkhianati
daemon	disgust	0.516	daemon
sham	disgust	0.509	palsu
distasteful	disgust	0.508	tidak menyenangkan
prisoner	disgust	0.508	tawanan
dreadfully	disgust	0.508	sangat
worthless	disgust	0.508	tidak berguna
crude	disgust	0.508	mentah
delirium	disgust	0.508	igauan
incurable	disgust	0.508	tak tersembuhkan
smelling	disgust	0.508	berbau
idiocy	disgust	0.508	kebodohan
resentment	disgust	0.508	kebencian
bombed	disgust	0.508	dibom
blob	disgust	0.508	gumpal
cheat	disgust	0.508	mencurangi
schizophrenia	disgust	0.508	skizofrenia
rejection	disgust	0.508	penolakan
belittle	disgust	0.508	meremehkan
glut	disgust	0.508	kekenyangan
disaster	disgust	0.508	bencana
distress	disgust	0.508	kesulitan
pest	disgust	0.508	hama
endemic	disgust	0.508	endemis
theft	disgust	0.500	pencurian
banish	disgust	0.500	membuang
mire	disgust	0.500	lumpur
flagrant	disgust	0.500	menyolok
derision	disgust	0.500	ejekan
dirt	disgust	0.500	kotoran
screaming	disgust	0.500	teriakan
offense	disgust	0.500	pelanggaran
jealousy	disgust	0.500	kecemburuan
bribery	disgust	0.500	penyuapan
polemic	disgust	0.500	polemik
blight	disgust	0.500	hawar
impeach	disgust	0.500	mendakwa
bitterness	disgust	0.500	kepahitan
taboo	disgust	0.500	tabu
duress	disgust	0.500	paksaan
goblin	disgust	0.500	goblin
shackle	disgust	0.500	belenggu
idolatry	disgust	0.500	pemujaan berhala
greed	disgust	0.500	ketamakan
impurity	disgust	0.500	ketidakmurnian
tirade	disgust	0.500	omelan
idiot	disgust	0.492	bodoh
boil	disgust	0.492	mendidihkan
unconscionable	disgust	0.492	rendah budi
disreputable	disgust	0.492	jelek
robber	disgust	0.492	perampok
malign	disgust	0.492	memfitnah
wreck	disgust	0.492	kecelakaan
recession	disgust	0.492	resesi
gorge	disgust	0.492	jurang
leer	disgust	0.492	lirik
ill	disgust	0.492	Saya akan
squirm	disgust	0.492	menggeliat
raging	disgust	0.484	hebat
servile	disgust	0.484	seperti budak
mess	disgust	0.484	kekacauan
nappy	disgust	0.484	popok
possessed	disgust	0.484	kerasukan
unbearable	disgust	0.484	tak tertahankan
occult	disgust	0.484	gaib
contraband	disgust	0.484	barang selundupan
snarl	disgust	0.484	menggeram
mutiny	disgust	0.484	pemberontakan
mad	disgust	0.484	gila
affliction	disgust	0.484	penderitaan
stain	disgust	0.484	noda
animosity	disgust	0.484	kebencian
contempt	disgust	0.484	penghinaan
tramp	disgust	0.484	gelandangan
nepotism	disgust	0.484	nepotisme
disrespectful	disgust	0.484	tidak sopan
defamation	disgust	0.484	fitnah
inexcusable	disgust	0.484	tidak bisa dimaafkan
aversation	disgust	0.484	keengganan
wasteful	disgust	0.484	boros
offender	disgust	0.484	pelanggar
subjugation	disgust	0.484	penaklukan
illegality	disgust	0.477	ketidaksahan
dismal	disgust	0.477	suram
criminal	disgust	0.477	pidana
unpleasant	disgust	0.477	tidak menyenangkan
palsy	disgust	0.477	kelumpuhan
antagonistic	disgust	0.477	bermusuhan
pathetic	disgust	0.477	menyedihkan
uncaring	disgust	0.477	tidak peduli
suppression	disgust	0.477	penekanan
immorality	disgust	0.477	amoralitas
mockery	disgust	0.477	ejekan
outrage	disgust	0.469	kebiadaban
mocking	disgust	0.469	mengejek
wallow	disgust	0.469	berkubang
cough	disgust	0.469	batuk
arrogant	disgust	0.469	arogan
angry	disgust	0.469	marah
poverty	disgust	0.469	kemiskinan
grating	disgust	0.469	kisi
livid	disgust	0.469	marah
aggravation	disgust	0.469	kejengkelan
repellent	disgust	0.469	penolak
perspiration	disgust	0.469	keringat
banishment	disgust	0.469	pembuangan
furious	disgust	0.469	sangat marah
shoddy	disgust	0.469	jelek
banshee	disgust	0.469	banshee
deceive	disgust	0.461	menipu
fool	disgust	0.461	bodoh
quack	disgust	0.461	dukun
distorted	disgust	0.461	terdistorsi
spider	disgust	0.461	laba-laba
unjustifiable	disgust	0.461	tidak dapat dibenarkan
deplore	disgust	0.461	menyayangkan
spurious	disgust	0.461	palsu
perdition	disgust	0.461	kebinasaan
muddy	disgust	0.461	berlumpur
fraudulent	disgust	0.461	curang
scar	disgust	0.461	bekas luka
prick	disgust	0.461	tusukan
insulting	disgust	0.461	menghina
plunder	disgust	0.461	menjarah
recklessness	disgust	0.461	kenekatan
stigma	disgust	0.453	stigma
disparage	disgust	0.453	meremehkan
unthinkable	disgust	0.453	tak terpikirkan
disingenuous	disgust	0.453	tidak jujur
bane	disgust	0.453	kutukan
dishonest	disgust	0.453	tidak jujur
aphid	disgust	0.453	kutu
elimination	disgust	0.453	eliminasi
cur	disgust	0.453	bajingan
selfish	disgust	0.453	egois
eschew	disgust	0.453	menjauhkan diri
dire	disgust	0.453	mengerikan
indignation	disgust	0.453	kemarahan
antipathy	disgust	0.453	antipati
alienate	disgust	0.453	menjauhkan
mosquito	disgust	0.445	nyamuk
piles	disgust	0.445	tumpukan
pious	disgust	0.445	saleh
lie	disgust	0.445	berbohong
opium	disgust	0.445	candu
smell	disgust	0.445	bau
iniquity	disgust	0.445	kesalahan
caries	disgust	0.445	karies
despair	disgust	0.445	putus asa
recalcitrant	disgust	0.445	bandel
egotistical	disgust	0.445	egois
wasted	disgust	0.445	sia-sia
vacuous	disgust	0.445	hampa
bankruptcy	disgust	0.445	kebangkrutan
garish	disgust	0.445	menyolok
obnoxious	disgust	0.438	menjengkelkan
ashamed	disgust	0.438	malu
abject	disgust	0.438	hina
sticky	disgust	0.438	lengket
scream	disgust	0.438	berteriak
hopelessness	disgust	0.438	keputusasan
homeless	disgust	0.438	tunawisma
shun	disgust	0.438	menghindari
inmate	disgust	0.438	tahanan
alien	disgust	0.438	asing
hog	disgust	0.438	babi
aversion	disgust	0.438	keengganan
abnormal	disgust	0.438	abnormal
cursing	disgust	0.430	kutuk
undesirable	disgust	0.430	tidak diinginkan
denounce	disgust	0.430	mencela
witch	disgust	0.430	penyihir
creature	disgust	0.430	makhluk
lusty	disgust	0.430	sehat
illegal	disgust	0.430	liar
debris	disgust	0.430	serpihan
callous	disgust	0.430	tidak berperasaan
reflux	disgust	0.430	surutnya
adverse	disgust	0.430	merugikan
shameless	disgust	0.430	tak tahu malu
separatist	disgust	0.430	separatis
trickery	disgust	0.430	tipu daya
falsity	disgust	0.430	kepalsuan
pall	disgust	0.430	membosankan
defiance	disgust	0.430	tantangan
incredulous	disgust	0.430	tidak percaya
curse	disgust	0.430	menyumpahi
pompous	disgust	0.422	sombong
socialist	disgust	0.422	sosialis
mistrust	disgust	0.422	ketidakpercayaan
infantile	disgust	0.422	kekanak-kanakan
wasting	disgust	0.422	menyia nyiakan
hairy	disgust	0.422	berbulu
nicotine	disgust	0.422	nikotin
denunciation	disgust	0.422	pengaduan
collapse	disgust	0.422	jatuh
untidy	disgust	0.422	berantakan
ferocious	disgust	0.422	ganas
ammonia	disgust	0.422	amonia
carelessness	disgust	0.422	kecerobohan
impure	disgust	0.422	najis
contentious	disgust	0.422	kontensius
bum	disgust	0.422	gelandangan
affront	disgust	0.422	penghinaan
offend	disgust	0.422	menyinggung
tarnish	disgust	0.422	menodai
idiotic	disgust	0.422	bodoh
badness	disgust	0.422	kejahatan
delinquent	disgust	0.422	nakal
swarm	disgust	0.422	kawanan
hypertrophy	disgust	0.422	hipertrofi
gush	disgust	0.422	membesut
tasteless	disgust	0.422	hambar
bovine	disgust	0.422	termasuk keluarga sapi
slush	disgust	0.422	lumpur salju
litigious	disgust	0.414	suka beperkara
dishonesty	disgust	0.414	ketidakjujuran
vegetative	disgust	0.414	vegetatif
unfavorable	disgust	0.414	tidak menguntungkan
displacency	disgust	0.414	perpindahan
illegitimate	disgust	0.414	Palsu
sour	disgust	0.414	kecut
socialism	disgust	0.414	sosialisme
disobey	disgust	0.414	tidak mematuhi
drivel	disgust	0.414	meliur
vampire	disgust	0.414	vampir
neglected	disgust	0.414	ditelantarkan
murky	disgust	0.414	suram
ignorant	disgust	0.406	kurang pengetahuan
disgruntled	disgust	0.406	tdk puas
discontinuity	disgust	0.406	pemegatan
dislike	disgust	0.406	benci
unlawful	disgust	0.406	melanggar hukum
wrongdoing	disgust	0.406	pelanggaran
shoplifting	disgust	0.406	mengutil
recidivism	disgust	0.406	kepulangan sakit
outcast	disgust	0.406	orang buangan
bogus	disgust	0.406	palsu
