English Word	Emotion	Emotion-Intensity-Score	Ukrainian Word
clamor	anticipation	0.578	шум
angling	anticipation	0.578	риболовля
majestic	anticipation	0.578	величний
divination	anticipation	0.578	ворожіння
transcendence	anticipation	0.578	трансцендентність
thriving	anticipation	0.578	процвітаючий
excavation	anticipation	0.578	розкопки
thirst	anticipation	0.578	спрага
remedy	anticipation	0.578	засіб правового захисту
harvest	anticipation	0.578	урожай
risk	anticipation	0.578	ризик
healing	anticipation	0.578	загоєння
heavenly	anticipation	0.578	небесний
inviting	anticipation	0.578	запрошуючи
precarious	anticipation	0.578	ненадійний
attainable	anticipation	0.578	досяжний
blessing	anticipation	0.578	благословення
prosper	anticipation	0.578	процвітати
tease	anticipation	0.570	дражнити
plan	anticipation	0.570	планувати
sweetheart	anticipation	0.570	кохана
zest	anticipation	0.570	родзинка
magnificence	anticipation	0.570	пишність
ultimate	anticipation	0.570	остаточний
emancipation	anticipation	0.570	емансипація
restlessness	anticipation	0.570	непосидючість
finally	anticipation	0.570	нарешті
intimate	anticipation	0.570	інтимний
omen	anticipation	0.570	прикмета
matchmaker	anticipation	0.570	сваха
gambler	anticipation	0.570	азартний гравець
prospectively	anticipation	0.570	перспективно
dare	anticipation	0.570	наважуватися
warned	anticipation	0.570	попереджений
invite	anticipation	0.570	запросити
mysterious	anticipation	0.562	таємничий
accolade	anticipation	0.562	нагорода
lover	anticipation	0.562	коханець
expose	anticipation	0.562	викрити
enchant	anticipation	0.562	зачарувати
attempt	anticipation	0.562	спроба
festival	anticipation	0.562	фестиваль
exalt	anticipation	0.562	підносити
rejoice	anticipation	0.562	радіти
independence	anticipation	0.562	незалежність
expected	anticipation	0.562	очікуваний
fanfare	anticipation	0.562	фанфари
immortality	anticipation	0.562	безсмертя
quicken	anticipation	0.562	прискорити
parade	anticipation	0.562	парад
fun	anticipation	0.562	веселощі
predilection	anticipation	0.562	пристрасть
champion	anticipation	0.562	чемпіон
forewarned	anticipation	0.562	попереджений
hypothesis	anticipation	0.562	гіпотеза
trophy	anticipation	0.562	трофей
shopping	anticipation	0.555	покупки
salvation	anticipation	0.555	порятунок
feeling	anticipation	0.555	почуття
speculative	anticipation	0.555	спекулятивний
oracle	anticipation	0.555	оракул
heroism	anticipation	0.555	героїзм
boisterous	anticipation	0.555	бурхливий
grasping	anticipation	0.555	хапання
uneasiness	anticipation	0.555	неспокій
curiosity	anticipation	0.555	допитливість
happy	anticipation	0.555	щасливий
rejoicing	anticipation	0.555	радіючи
fate	anticipation	0.555	доля
liberty	anticipation	0.555	свобода
unfold	anticipation	0.555	розгорнути
amour	anticipation	0.555	любов
lovely	anticipation	0.555	мило
splendor	anticipation	0.555	пишність
grow	anticipation	0.555	рости
glimmer	anticipation	0.547	мерехтіння
incite	anticipation	0.547	підбурювати
abundance	anticipation	0.547	достаток
resultant	anticipation	0.547	результуючий
probability	anticipation	0.547	ймовірність
recreational	anticipation	0.547	рекреаційний
glory	anticipation	0.547	слава
agape	anticipation	0.547	агапе
delighted	anticipation	0.547	в захваті
changeable	anticipation	0.547	мінливий
convergence	anticipation	0.547	конвергенція
bountiful	anticipation	0.547	щедрий
warn	anticipation	0.547	попередити
monetary	anticipation	0.547	грошовий
sorcery	anticipation	0.547	чаклунство
morrow	anticipation	0.547	завтра
apprehensive	anticipation	0.547	побоюється
hungry	anticipation	0.547	голодний
vote	anticipation	0.547	голосувати
suspicious	anticipation	0.547	підозрілий
pray	anticipation	0.547	молитися
leisure	anticipation	0.547	дозвілля
hunting	anticipation	0.539	полювання
sensual	anticipation	0.539	чуттєвий
tempest	anticipation	0.539	буря
auction	anticipation	0.539	аукціон
ballot	anticipation	0.539	голосування
grandchildren	anticipation	0.539	онуки
hankering	anticipation	0.539	прагнення
entertainment	anticipation	0.539	розваги
merge	anticipation	0.539	злиття
exceed	anticipation	0.539	перевищувати
vindication	anticipation	0.539	виправдання
blessings	anticipation	0.539	благословення
inquiry	anticipation	0.539	запит
bounty	anticipation	0.539	винагорода
worrying	anticipation	0.539	тривожний
contingent	anticipation	0.539	контингент
glad	anticipation	0.536	радий
harbinger	anticipation	0.531	провісник
magnificent	anticipation	0.531	чудовий
virginity	anticipation	0.531	незайманість
stealthy	anticipation	0.531	непомітний
appeal	anticipation	0.531	звернення
forming	anticipation	0.531	формування
celestial	anticipation	0.531	небесний
raving	anticipation	0.531	марення
deliverance	anticipation	0.531	визволення
feat	anticipation	0.531	feat
cheer	anticipation	0.531	підбадьорювати
responsive	anticipation	0.531	чуйний
hurried	anticipation	0.531	поспішав
betrothed	anticipation	0.531	заручений
overthrow	anticipation	0.531	повалення
spirits	anticipation	0.531	духів
dread	anticipation	0.531	страх
visitor	anticipation	0.531	відвідувач
wait	anticipation	0.523	чекати
revive	anticipation	0.523	оживити
watch	anticipation	0.523	дивитися
hunter	anticipation	0.523	мисливець
radiance	anticipation	0.523	сяйво
planning	anticipation	0.523	планування
germination	anticipation	0.523	проростання
competition	anticipation	0.523	змагання
preparatory	anticipation	0.523	підготовчий
prognostic	anticipation	0.523	прогностичні
beaming	anticipation	0.523	сяючий
cheery	anticipation	0.523	веселий
prevail	anticipation	0.523	переважати
importance	anticipation	0.523	важливість
notification	anticipation	0.523	повідомлення
explosive	anticipation	0.523	вибуховий
pleasant	anticipation	0.523	приємний
ultimately	anticipation	0.523	зрештою
child	anticipation	0.523	дитина
haste	anticipation	0.523	поспіх
prophet	anticipation	0.523	пророк
recreation	anticipation	0.516	відпочинок
present	anticipation	0.516	присутній
time	anticipation	0.516	час
sensuality	anticipation	0.516	чуттєвість
owing	anticipation	0.516	за рахунок
loom	anticipation	0.516	ткацький верстат
begun	anticipation	0.516	розпочато
salary	anticipation	0.516	зарплата
celebrity	anticipation	0.516	знаменитість
treat	anticipation	0.516	лікувати
chocolate	anticipation	0.516	шоколад
caution	anticipation	0.516	обережність
fermentation	anticipation	0.516	бродіння
uncontrollable	anticipation	0.516	неконтрольований
precious	anticipation	0.516	дорогоцінний
compensate	anticipation	0.516	компенсувати
endanger	anticipation	0.516	небезпека
renovation	anticipation	0.516	ремонт
signify	anticipation	0.508	означати
vigilance	anticipation	0.508	пильність
prerequisite	anticipation	0.508	передумова
perfection	anticipation	0.508	досконалість
cultivate	anticipation	0.508	культивувати
develop	anticipation	0.508	розвиватися
cue	anticipation	0.508	репліка
exigent	anticipation	0.508	вимогливий
transitional	anticipation	0.508	перехідний
commemoration	anticipation	0.508	вшанування пам'яті
intermission	anticipation	0.508	антракт
elevation	anticipation	0.508	висота
infant	anticipation	0.508	немовля
practise	anticipation	0.508	практика
contemplation	anticipation	0.508	споглядання
dreadful	anticipation	0.508	жахливий
wilderness	anticipation	0.508	пустелі
horizon	anticipation	0.508	горизонт
sneaking	anticipation	0.500	підкрадається
uphill	anticipation	0.500	в гору
puppy	anticipation	0.500	щеня
blindfold	anticipation	0.500	зав'язати очі
unbridled	anticipation	0.500	неприборканий
horoscope	anticipation	0.500	гороскоп
airport	anticipation	0.500	аеропорт
reconciliation	anticipation	0.500	примирення
advocacy	anticipation	0.500	адвокація
litigate	anticipation	0.500	судитися
sunny	anticipation	0.500	сонячно
intuitively	anticipation	0.500	інтуїтивно
hero	anticipation	0.500	герой
ardent	anticipation	0.500	палкий
commemorate	anticipation	0.500	вшанувати пам'ять
romantic	anticipation	0.500	романтичний
doomsday	anticipation	0.500	судний день
ready	anticipation	0.500	готовий
nascent	anticipation	0.500	зароджується
invocation	anticipation	0.500	виклик
depart	anticipation	0.500	відправлятися
undisclosed	anticipation	0.500	нерозкритий
attendance	anticipation	0.500	відвідуваність
peril	anticipation	0.500	небезпека
income	anticipation	0.500	дохід
calculation	anticipation	0.500	розрахунок
zeal	anticipation	0.500	завзяття
eventuality	anticipation	0.500	можливість
favorable	anticipation	0.500	сприятливий
utopian	anticipation	0.500	утопічний
swim	anticipation	0.500	плавати
proceeding	anticipation	0.492	провадження
eventual	anticipation	0.492	можливий
heyday	anticipation	0.492	розквіт
undertaking	anticipation	0.492	підприємство
improvise	anticipation	0.492	імпровізувати
inauguration	anticipation	0.492	інавгурація
consequent	anticipation	0.492	наслідок
perspective	anticipation	0.492	перспектива
defense	anticipation	0.492	захист
repay	anticipation	0.492	погасити
gaping	anticipation	0.492	зяючий
youth	anticipation	0.492	молодість
parole	anticipation	0.492	умовно-дострокове звільнення
worry	anticipation	0.492	турбуватися
bless	anticipation	0.492	благословити
restorative	anticipation	0.492	відновний
court	anticipation	0.492	суд
highest	anticipation	0.491	найвищий
shortly	anticipation	0.484	незабаром
auspicious	anticipation	0.484	сприятливий
princely	anticipation	0.484	княжий
correspondence	anticipation	0.484	листування
generosity	anticipation	0.484	щедрість
sparkle	anticipation	0.484	блиск
voluptuous	anticipation	0.484	хтивий
happen	anticipation	0.484	статися
tremor	anticipation	0.484	тремор
letter	anticipation	0.484	лист
vow	anticipation	0.484	обітниця
sharpen	anticipation	0.484	точити
duel	anticipation	0.484	дуель
conjure	anticipation	0.484	чаклувати
threaten	anticipation	0.484	погрожувати
god	anticipation	0.484	бог
engulf	anticipation	0.484	поглинати
unexplained	anticipation	0.484	непояснений
contagion	anticipation	0.484	зараження
glorify	anticipation	0.477	прославляти
submit	anticipation	0.477	подати
enroll	anticipation	0.477	зарахувати
unification	anticipation	0.477	об'єднання
gravitate	anticipation	0.477	тяжіти
glide	anticipation	0.477	ковзати
accompaniment	anticipation	0.477	супровід
cherish	anticipation	0.477	плекати
adore	anticipation	0.477	обожнюю
powerful	anticipation	0.477	потужний
clue	anticipation	0.477	підказка
medal	anticipation	0.477	медаль
contemplate	anticipation	0.477	споглядати
perilous	anticipation	0.477	небезпечний
determinate	anticipation	0.477	визначати
arbitration	anticipation	0.477	арбітраж
recipient	anticipation	0.477	одержувач
onset	anticipation	0.477	початок
predispose	anticipation	0.477	схиляти
score	anticipation	0.477	рахунок
torture	anticipation	0.477	катування
glow	anticipation	0.477	світіння
praiseworthy	anticipation	0.473	гідний похвали
football	anticipation	0.469	футбол
scare	anticipation	0.469	налякати
elite	anticipation	0.469	еліта
unknown	anticipation	0.469	невідомий
precursor	anticipation	0.469	попередник
pry	anticipation	0.469	підкопувати
providing	anticipation	0.469	забезпечення
sweets	anticipation	0.469	солодощі
cautious	anticipation	0.469	обережний
opera	anticipation	0.469	опера
motion	anticipation	0.469	руху
cash	anticipation	0.469	готівкою
creeping	anticipation	0.469	повзучий
invoke	anticipation	0.469	викликати
star	anticipation	0.469	зірка
shaky	anticipation	0.469	хиткий
production	anticipation	0.469	виробництва
successful	anticipation	0.469	успішний
immediately	anticipation	0.469	негайно
dawn	anticipation	0.469	світанок
starry	anticipation	0.469	зірчастий
unsurpassed	anticipation	0.469	неперевершений
completion	anticipation	0.469	завершення
hire	anticipation	0.469	найняти
fete	anticipation	0.469	свято
commemorative	anticipation	0.461	пам'ятний
shining	anticipation	0.461	сяючий
testament	anticipation	0.461	заповіт
pay	anticipation	0.461	платити
alive	anticipation	0.461	живий
plight	anticipation	0.461	важке становище
preliminary	anticipation	0.461	попередній
overture	anticipation	0.461	увертюра
sanctuary	anticipation	0.461	святилище
regatta	anticipation	0.461	регата
draft	anticipation	0.461	проект
synchronize	anticipation	0.461	синхронізувати
soundness	anticipation	0.461	обґрунтованість
extricate	anticipation	0.461	витягти
excel	anticipation	0.461	Excel
punt	anticipation	0.461	плоскодонка
untold	anticipation	0.461	невимовне
brilliant	anticipation	0.461	блискучий
cheerfulness	anticipation	0.461	життєрадісність
jeopardy	anticipation	0.461	небезпека
friendly	anticipation	0.461	дружній
mail	anticipation	0.461	пошта
unexpected	anticipation	0.453	несподіваний
basketball	anticipation	0.453	баскетбол
inaugural	anticipation	0.453	інавгураційний
supremacy	anticipation	0.453	зверхність
rehabilitation	anticipation	0.453	реабілітація
intimately	anticipation	0.453	інтимно
career	anticipation	0.453	кар'єра
prevention	anticipation	0.453	профілактика
renovate	anticipation	0.453	ремонтувати
compliment	anticipation	0.453	комплімент
prologue	anticipation	0.453	пролог
elegance	anticipation	0.453	елегантність
complement	anticipation	0.453	доповнюють
flinch	anticipation	0.453	здригатися
infinity	anticipation	0.453	нескінченність
perpetuity	anticipation	0.453	вічність
sunset	anticipation	0.453	захід сонця
improve	anticipation	0.453	покращити
fitting	anticipation	0.445	примірка
confidence	anticipation	0.445	впевненість
concealment	anticipation	0.445	приховування
sweet	anticipation	0.445	солодкий
perfect	anticipation	0.445	ідеальний
epidemic	anticipation	0.445	епідемія
fain	anticipation	0.445	файн
volunteer	anticipation	0.445	волонтер
share	anticipation	0.445	частка
surround	anticipation	0.445	оточують
conjecture	anticipation	0.445	припущення
sun	anticipation	0.445	сонце
veracity	anticipation	0.445	правдивість
serial	anticipation	0.438	серіал
angel	anticipation	0.438	ангел
aloha	anticipation	0.438	алоха
saint	anticipation	0.438	святий
tickle	anticipation	0.438	лоскотати
superstitious	anticipation	0.438	забобонний
ferment	anticipation	0.438	бродити
conservation	anticipation	0.438	збереження
devout	anticipation	0.438	набожний
respect	anticipation	0.438	повага
reconstruction	anticipation	0.438	реконструкція
goodness	anticipation	0.438	доброта
reconstruct	anticipation	0.438	реконструювати
faith	anticipation	0.438	віра
recombination	anticipation	0.438	рекомбінація
prepared	anticipation	0.438	підготовлений
rabid	anticipation	0.438	скажений
plea	anticipation	0.438	благання
medical	anticipation	0.438	медичний
passenger	anticipation	0.438	пасажир
charitable	anticipation	0.430	благодійний
tabulate	anticipation	0.430	звести в таблицю
peace	anticipation	0.430	мир
install	anticipation	0.430	встановити
serenity	anticipation	0.430	безтурботність
venerable	anticipation	0.430	поважний
spa	anticipation	0.430	спа
labyrinth	anticipation	0.430	лабіринт
luscious	anticipation	0.430	соковитий
perpetuate	anticipation	0.430	увічнити
strategist	anticipation	0.430	стратег
unverified	anticipation	0.430	неперевірений
tribunal	anticipation	0.430	трибунал
clap	anticipation	0.430	плескати
peaceful	anticipation	0.422	мирний
patience	anticipation	0.422	терпіння
unresolved	anticipation	0.422	невирішені
worship	anticipation	0.422	богослужіння
edification	anticipation	0.422	повчання
oasis	anticipation	0.422	оазис
grin	anticipation	0.422	усмішка
revere	anticipation	0.422	шанувати
candid	anticipation	0.422	відвертий
vista	anticipation	0.422	перспектива
conspirator	anticipation	0.422	змовник
adrift	anticipation	0.422	дрейфувати
recognizable	anticipation	0.422	впізнаваний
volatility	anticipation	0.422	волатильність
forestall	anticipation	0.422	попередити
laughter	anticipation	0.422	сміх
continue	anticipation	0.414	продовжувати
ongoing	anticipation	0.414	триває
astrologer	anticipation	0.414	астролог
mediate	anticipation	0.414	посередником
punctual	anticipation	0.414	пунктуальний
grant	anticipation	0.414	грант
morn	anticipation	0.414	ранок
pretty	anticipation	0.414	гарна
withstand	anticipation	0.414	витримати
frisky	anticipation	0.414	жвавий
thought	anticipation	0.414	думка
probation	anticipation	0.414	випробувальний термін
ordination	anticipation	0.414	рукоположення
calls	anticipation	0.414	дзвінки
detainee	anticipation	0.414	затриманий
craps	anticipation	0.414	крепс
weigh	anticipation	0.414	зважувати
proficiency	anticipation	0.414	майстерність
sing	anticipation	0.411	співати
continuation	anticipation	0.406	продовження
university	anticipation	0.406	університет
chicane	anticipation	0.406	шикана
nurture	anticipation	0.406	виховувати
mother	anticipation	0.406	мати
punished	anticipation	0.406	покараний
twinkle	anticipation	0.406	мерехтіння
confession	anticipation	0.406	сповідь
outdo	anticipation	0.406	перевершити
prophylactic	anticipation	0.406	профілактичний
proud	anticipation	0.406	гордий
midwife	anticipation	0.406	акушерка
wizard	anticipation	0.406	майстер
headlight	anticipation	0.406	фара
long	anticipation	0.406	довгота
banquet	anticipation	0.406	банкет
comfort	anticipation	0.406	комфорт
navigable	anticipation	0.406	судноплавний
subscribe	anticipation	0.406	підписатися
opponent	anticipation	0.406	опонент
debenture	anticipation	0.406	облігація
deal	anticipation	0.402	справа
symphony	anticipation	0.398	симфонія
saintly	anticipation	0.398	святий
judiciary	anticipation	0.398	судова влада
lettered	anticipation	0.398	літерами
vigil	anticipation	0.398	чування
reliance	anticipation	0.398	опора
distracting	anticipation	0.398	відволікаючий
mortification	anticipation	0.398	умертвіння
balm	anticipation	0.398	бальзам
simmer	anticipation	0.398	тушкувати
top	anticipation	0.398	зверху
obliging	anticipation	0.398	зобов'язує
efficient	anticipation	0.398	ефективний
guillotine	anticipation	0.398	гільйотина
representing	anticipation	0.398	представляючи
death	anticipation	0.398	смерть
assurance	anticipation	0.391	запевнення
familiarity	anticipation	0.391	знайомство
depraved	anticipation	0.391	розбещений
condemnation	anticipation	0.391	засудження
undoubted	anticipation	0.391	безсумнівний
sanctify	anticipation	0.391	освячувати
diplomacy	anticipation	0.391	дипломатія
antidote	anticipation	0.391	протиотрута
trust	anticipation	0.391	довіра
linger	anticipation	0.391	затримуватися
objective	anticipation	0.391	об'єктивний
chuckle	anticipation	0.391	сміятися
poke	anticipation	0.391	тикати
abeyance	anticipation	0.391	бездіяльність
maternal	anticipation	0.391	материнська
art	anticipation	0.391	ст
unfulfilled	anticipation	0.391	невиконаний
inoculation	anticipation	0.384	щеплення
simplify	anticipation	0.383	спрощувати
depend	anticipation	0.383	залежати
chant	anticipation	0.383	співати
ram	anticipation	0.383	ОЗП
banger	anticipation	0.383	стукач
playground	anticipation	0.383	дитячий майданчик
labor	anticipation	0.383	праці
scientist	anticipation	0.383	науковець
good	anticipation	0.383	добре
humanitarian	anticipation	0.383	гуманітарний
failing	anticipation	0.383	невдача
hap	anticipation	0.383	випадково
dutiful	anticipation	0.383	слухняний
hymn	anticipation	0.383	гімн
ship	anticipation	0.383	корабель
discretion	anticipation	0.383	розсуд
undecided	anticipation	0.383	не визначився
gradual	anticipation	0.375	поступовий
navigator	anticipation	0.375	навігатор
track	anticipation	0.375	трек
cradle	anticipation	0.375	колиска
sterling	anticipation	0.375	стерлінгів
interim	anticipation	0.375	проміжний
clock	anticipation	0.375	годинник
mountain	anticipation	0.375	гора
interminable	anticipation	0.375	нескінченний
public	anticipation	0.375	громадськість
recurrent	anticipation	0.375	рецидивуючий
savor	anticipation	0.375	смакувати
abide	anticipation	0.367	дотримуватися
concealed	anticipation	0.367	прихований
spear	anticipation	0.367	спис
lesson	anticipation	0.367	урок
instructions	anticipation	0.367	інструкції
sonar	anticipation	0.367	ехолот
biennial	anticipation	0.367	дворічний
convince	anticipation	0.367	переконати
whim	anticipation	0.367	примха
shiver	anticipation	0.367	тремтіння
towering	anticipation	0.367	височезний
musical	anticipation	0.367	музичний
offset	anticipation	0.359	зсув
theory	anticipation	0.359	теорія
theology	anticipation	0.359	богослов'я
undying	anticipation	0.359	невмираючий
timidity	anticipation	0.359	боязкість
plump	anticipation	0.359	пухкий
atone	anticipation	0.359	спокутувати
audience	anticipation	0.357	аудиторія
dietary	anticipation	0.352	дієтичний
consecration	anticipation	0.352	освячення
localize	anticipation	0.352	локалізувати
paragon	anticipation	0.352	зразком
store	anticipation	0.352	зберігати
farm	anticipation	0.352	ферма
daily	anticipation	0.352	щодня
cramp	anticipation	0.352	судома
nobility	anticipation	0.352	дворянство
closure	anticipation	0.352	закриття
edition	anticipation	0.352	видання
kindred	anticipation	0.352	спорідненість
stripped	anticipation	0.344	оголений
errand	anticipation	0.344	доручення
archaeology	anticipation	0.344	археологія
mutable	anticipation	0.344	мінливий
wireless	anticipation	0.344	бездротовий
meditate	anticipation	0.344	медитувати
mobile	anticipation	0.344	мобільний
germ	anticipation	0.336	зародок
brotherly	anticipation	0.336	братерський
lessen	anticipation	0.336	зменшити
unbeaten	anticipation	0.336	небитий
pare	anticipation	0.336	парити
buddy	anticipation	0.336	приятель
unaccountable	anticipation	0.336	непідзвітний
dove	anticipation	0.328	голуб
patient	anticipation	0.328	пацієнт
secular	anticipation	0.328	світський
digress	anticipation	0.328	відступ
chastity	anticipation	0.328	цнотливість
council	anticipation	0.328	ради
olfactory	anticipation	0.328	нюховий
ribbon	anticipation	0.328	стрічка
possess	anticipation	0.328	володіти
disposed	anticipation	0.320	утилізований
scrutinize	anticipation	0.320	уважно вивчати
immature	anticipation	0.320	незрілі
mediator	anticipation	0.320	посередник
regularity	anticipation	0.320	регулярність
cove	anticipation	0.320	бухта
infanticide	anticipation	0.320	дітовбивство
paddle	anticipation	0.320	весло
heft	anticipation	0.320	ваги
fancy	anticipation	0.320	уява
preservative	anticipation	0.320	консервант
unpublished	anticipation	0.312	неопублікований
church	anticipation	0.312	церква
bugle	anticipation	0.312	стеклярус
grim	anticipation	0.312	похмурий
denying	anticipation	0.312	заперечуючи
analyst	anticipation	0.312	аналітик
judicial	anticipation	0.305	судовий
priesthood	anticipation	0.305	священство
broadside	anticipation	0.305	бортовий
mill	anticipation	0.305	млин
dismay	anticipation	0.297	розчарування
cap	anticipation	0.297	шапка
thermocouple	anticipation	0.297	термопара
tributary	anticipation	0.297	притока
instructor	anticipation	0.297	інструктор
exhaustion	anticipation	0.297	виснаження
saliva	anticipation	0.297	слина
cataract	anticipation	0.289	катаракта
network	anticipation	0.289	мережі
visor	anticipation	0.289	козирок
shackle	anticipation	0.289	кайдани
wont	anticipation	0.289	звичай
addresses	anticipation	0.289	адреси
discreet	anticipation	0.289	стриманий
noncompliance	anticipation	0.289	невідповідність
bruise	anticipation	0.289	синяк
homeless	anticipation	0.289	бездомний
astronomer	anticipation	0.281	астроном
skewed	anticipation	0.281	перекошений
neighbor	anticipation	0.281	сусід
holiness	anticipation	0.273	святість
devil	anticipation	0.273	диявол
picket	anticipation	0.273	пікет
sentence	anticipation	0.273	речення
latent	anticipation	0.273	латентний
cream	anticipation	0.273	крем
immaturity	anticipation	0.273	незрілість
habitual	anticipation	0.266	звичним
morals	anticipation	0.266	мораль
neighborhood	anticipation	0.266	околиці
lull	anticipation	0.266	затишшя
bye	anticipation	0.258	до побачення
weight	anticipation	0.258	вага
organ	anticipation	0.250	орган
clown	anticipation	0.250	клоун
forearm	anticipation	0.250	передпліччя
commonplace	anticipation	0.242	буденність
quote	anticipation	0.242	цитата
rail	anticipation	0.234	залізниця
dictatorship	anticipation	0.234	диктатура
treadmill	anticipation	0.234	бігова доріжка
board	anticipation	0.234	дошка
tree	anticipation	0.227	дерево
sundial	anticipation	0.227	сонячний годинник
paralysis	anticipation	0.211	параліч
cement	anticipation	0.203	цемент
worm	anticipation	0.203	хробак
organization	anticipation	0.203	організації
lagging	anticipation	0.180	відставання
neutral	anticipation	0.148	нейтральний
cannibalism	disgust	0.953	канібалізм
mutilation	disgust	0.930	каліцтво
molestation	disgust	0.914	розбещення
incest	disgust	0.914	інцест
rape	disgust	0.906	зґвалтування
gonorrhea	disgust	0.906	гонорея
cannibal	disgust	0.898	канібал
rot	disgust	0.891	гниль
corpse	disgust	0.883	труп
massacre	disgust	0.883	різанина
excrement	disgust	0.883	екскременти
barf	disgust	0.875	барф
slaughter	disgust	0.875	забій
slaughterhouse	disgust	0.867	бійня
incestuous	disgust	0.859	інцестуозний
sewerage	disgust	0.859	каналізація
filth	disgust	0.859	бруд
bigot	disgust	0.859	фанатик
rancid	disgust	0.859	згірклий
infestation	disgust	0.852	зараження
plague	disgust	0.852	чума
holocaust	disgust	0.852	Голокост
bloodthirsty	disgust	0.852	кровожерний
rotting	disgust	0.844	гниття
fecal	disgust	0.844	фекальний
maggot	disgust	0.844	опариш
feces	disgust	0.844	фекалії
murder	disgust	0.839	вбивство
asshole	disgust	0.836	мудак
homicide	disgust	0.836	вбивство
enslaved	disgust	0.836	поневолений
infanticide	disgust	0.836	дітовбивство
perverted	disgust	0.828	збочений
excretion	disgust	0.828	виділення
gore	disgust	0.828	кров
slaughtering	disgust	0.828	забій
torture	disgust	0.828	катування
contaminate	disgust	0.821	забруднюють
revolting	disgust	0.820	огидний
gory	disgust	0.820	кривавий
shit	disgust	0.820	лайно
terrorist	disgust	0.820	терорист
murderer	disgust	0.820	вбивця
repugnant	disgust	0.820	огидний
manure	disgust	0.820	гній
pervert	disgust	0.820	збоченець
diarrhoea	disgust	0.820	діарея
grotesque	disgust	0.820	гротеск
desecration	disgust	0.820	осквернення
faeces	disgust	0.812	фекалії
slavery	disgust	0.812	рабство
sewer	disgust	0.812	каналізація
cadaver	disgust	0.812	труп
manslaughter	disgust	0.812	ненавмисне вбивство
dismemberment	disgust	0.812	розчленування
vomit	disgust	0.812	блювота
perverse	disgust	0.805	збочений
repulsive	disgust	0.805	відразливий
hemorrhage	disgust	0.805	крововилив
sewage	disgust	0.797	стічні води
filthy	disgust	0.797	брудний
diseased	disgust	0.797	хворий
depravity	disgust	0.797	розбещеність
carcass	disgust	0.795	тушка
decompose	disgust	0.789	розкладатися
gruesome	disgust	0.789	жахливий
mutilated	disgust	0.789	понівечений
puke	disgust	0.789	блювати
herpes	disgust	0.789	герпес
decayed	disgust	0.789	розклався
dung	disgust	0.789	гній
vermin	disgust	0.789	паразити
murderous	disgust	0.789	вбивчий
parasite	disgust	0.789	паразит
horrific	disgust	0.789	жахливий
carnage	disgust	0.781	різанина
malaria	disgust	0.781	малярія
slime	disgust	0.781	слиз
flatulence	disgust	0.781	метеоризм
pestilence	disgust	0.781	чума
crap	disgust	0.781	лайно
monstrosity	disgust	0.781	потворність
loathsome	disgust	0.773	огидний
toxic	disgust	0.773	токсичний
morgue	disgust	0.773	морг
pus	disgust	0.773	гній
herpesvirus	disgust	0.773	вірус герпесу
leprosy	disgust	0.773	проказа
insidious	disgust	0.773	підступний
cruel	disgust	0.766	жорстокий
regurgitation	disgust	0.766	регургітація
anthrax	disgust	0.766	сибірська виразка
xenophobia	disgust	0.766	ксенофобія
repugnance	disgust	0.766	відраза
lynch	disgust	0.766	лінчувати
revulsion	disgust	0.766	відраза
whore	disgust	0.766	повія
dissection	disgust	0.759	розтин
mucous	disgust	0.758	слизова
canker	disgust	0.758	виразка
slum	disgust	0.758	нетрі
infectious	disgust	0.758	інфекційні
evil	disgust	0.758	зло
phlegm	disgust	0.758	мокрота
cruelty	disgust	0.758	жорстокість
perversion	disgust	0.758	збочення
sinister	disgust	0.750	зловісний
leeches	disgust	0.750	п'явки
corrupting	disgust	0.750	розбещуючи
decomposition	disgust	0.750	розкладання
abomination	disgust	0.742	гидота
stinking	disgust	0.742	смердючий
bile	disgust	0.742	жовч
demonic	disgust	0.742	демонічний
deranged	disgust	0.742	божевільний
abhorrence	disgust	0.742	відраза
soiled	disgust	0.742	забруднений
mucus	disgust	0.742	слизу
septic	disgust	0.742	септичний
sickening	disgust	0.742	нудотно
demon	disgust	0.742	демон
cancer	disgust	0.734	рак
obese	disgust	0.734	ожирінням
degeneracy	disgust	0.734	виродження
despicable	disgust	0.734	підлий
atrocity	disgust	0.734	звірство
foul	disgust	0.734	фол
sicken	disgust	0.734	хворіти
crucifixion	disgust	0.734	розп'яття
terrorism	disgust	0.734	тероризм
repulsion	disgust	0.727	відштовхування
morbidity	disgust	0.727	хворобливість
dysentery	disgust	0.727	дизентерія
enema	disgust	0.727	клізма
bacterium	disgust	0.727	бактерія
dirty	disgust	0.727	брудний
adultery	disgust	0.727	подружня зрада
contamination	disgust	0.727	забруднення
grisly	disgust	0.727	жахливо
diabolical	disgust	0.727	диявольський
autopsy	disgust	0.719	розтин
barbaric	disgust	0.719	варварський
vulgar	disgust	0.719	вульгарний
entrails	disgust	0.719	нутрощі
disgust	disgust	0.719	огида
lewd	disgust	0.719	непристойний
muck	disgust	0.719	гидота
bowels	disgust	0.719	кишечник
garbage	disgust	0.719	сміття
deterioration	disgust	0.719	погіршення
contagion	disgust	0.719	зараження
vicious	disgust	0.719	порочний
disfigured	disgust	0.719	знівечений
pungent	disgust	0.719	гострий
gross	disgust	0.719	брутто
bloodshed	disgust	0.714	кровопролиття
gag	disgust	0.711	кляп
pollute	disgust	0.711	забруднюють
nausea	disgust	0.711	нудота
tyrant	disgust	0.711	тиран
