English Word	Emotion	Emotion-Intensity-Score	Khmer Word
disinformation	anger	0.152	ព័ត៌មានមិនពិត
uncertain	anger	0.152	មិនប្រាកដប្រជា
bee	anger	0.152	ឃ្មុំ
attorney	anger	0.152	មេធាវី
pretending	anger	0.152	ធ្វើពុត
campaigning	anger	0.151	យុទ្ធនាការ
hopelessness	anger	0.149	ភាពអស់សង្ឃឹម
feeling	anger	0.147	អារម្មណ៍
legalized	anger	0.145	ស្របច្បាប់
caution	anger	0.145	ការប្រុងប្រយ័ត្ន
sterling	anger	0.141	sterling
morals	anger	0.141	សីលធម៌
subsidy	anger	0.141	ប្រាក់ឧបត្ថម្ភ
obliging	anger	0.141	កាតព្វកិច្ច
wimpy	anger	0.140	wimpy
bummer	anger	0.139	ព្រឺព្រួច
saloon	anger	0.136	សាឡន
blemish	anger	0.136	ស្នាមជាំ
misspell	anger	0.136	អក្ខរាវិរុទ្ធ
repay	anger	0.136	សង
surcharge	anger	0.136	ថ្លៃបន្ថែម
geez	anger	0.136	geez
birch	anger	0.135	birch
noob	anger	0.133	Noob
honk	anger	0.133	ហក់
orchestra	anger	0.132	វង់ភ្លេង
wireless	anger	0.125	ឥតខ្សែ
competitive	anger	0.125	ប្រកួតប្រជែង
standstill	anger	0.125	ឈរ
inattention	anger	0.121	អចេតនា
reversal	anger	0.121	បញ្ច្រាស
lace	anger	0.118	ចរ
elbow	anger	0.117	កែងដៃ
instinctive	anger	0.112	សភាវគតិ
chant	anger	0.111	សូត្រ
gnome	anger	0.109	gnome
lonely	anger	0.109	ឯកោ
tolerate	anger	0.106	អត់ធ្មត់
management	anger	0.102	ការគ្រប់គ្រង
advocacy	anger	0.100	ការតស៊ូមតិ
moral	anger	0.094	សីលធម៌
roadworks	anger	0.091	ការងារផ្លូវ
honest	anger	0.087	ស្មោះត្រង់
gent	anger	0.076	សុភាពបុរស
forgetful	anger	0.076	ភ្លេច
liquor	anger	0.075	ស្រា
money	anger	0.074	លុយ
hood	anger	0.071	ក្រណាត់
curriculum	anger	0.063	កម្មវិធីសិក្សា
words	anger	0.062	ពាក្យ
smell	anger	0.061	ក្លិន
playful	anger	0.061	លេង
opera	anger	0.061	ល្ខោនអូប៉េរ៉ា
elf	anger	0.061	អេលហ្វ
nurture	anger	0.059	ចិញ្ចឹមបីបាច់
trumpet	anger	0.059	ត្រែ
counsellor	anger	0.059	ទីប្រឹក្សា
asleeep	anger	0.059	ដេកលក់
birthplace	anger	0.051	ស្រុកកំណើត
ribbon	anger	0.047	ខ្សែបូ
youth	anger	0.045	យុវជន
vote	anger	0.045	បោះឆ្នោត
cash	anger	0.039	សាច់ប្រាក់
wannasleep	anger	0.031	ចង់គេង
waffle	anger	0.030	waffle
dame	anger	0.030	Dame
buffet	anger	0.029	អាហារ​ប៊ូ​ហ្វេ
celebrity	anger	0.026	តារាល្បី
sisterhood	anger	0.015	ភាពជាបងប្អូន
autocorrect	anger	0.015	កែដោយស្វ័យប្រវត្តិ
musical	anger	0.011	តន្ត្រី
tree	anger	0.000	ដើមឈើ
anticipation	anticipation	0.859	ការរំពឹងទុក
excited	anticipation	0.859	រំភើប
excitement	anticipation	0.820	រំភើប
anticipate	anticipation	0.820	រំពឹង
eagerness	anticipation	0.812	សេចក្តីប្រាថ្នា
exciting	anticipation	0.797	គួរឱ្យរំភើប
expectant	anticipation	0.789	រំពឹង
thrilling	anticipation	0.781	រំភើប
hope	anticipation	0.773	ក្តីសង្ឃឹម
quest	anticipation	0.766	ដំណើរស្វែងរក
countdown	anticipation	0.750	រាប់ថយក្រោយ
start	anticipation	0.750	ចាប់ផ្តើម
anticipatory	anticipation	0.750	ការរំពឹងទុក
adventure	anticipation	0.750	ដំណើរផ្សងព្រេង
expectance	anticipation	0.750	ការរំពឹងទុក
climax	anticipation	0.742	កំពូល
prophecy	anticipation	0.742	ទំនាយ
expect	anticipation	0.742	រំពឹង
excite	anticipation	0.742	រំភើប
arouse	anticipation	0.742	ដាស់តឿន
eager	anticipation	0.742	អន្ទះសារ
ejaculation	anticipation	0.734	ការបញ្ចេញទឹកកាម
birth	anticipation	0.734	កំណើត
announcement	anticipation	0.734	សេចក្តីប្រកាស
expectancy	anticipation	0.727	ការរំពឹងទុក
expecting	anticipation	0.727	រំពឹង
imminent	anticipation	0.727	ជិតមកដល់
liberation	anticipation	0.727	ការរំដោះ
urgent	anticipation	0.727	បន្ទាន់
trepidation	anticipation	0.719	ការភ័យខ្លាច
reunion	anticipation	0.719	ការជួបជុំគ្នា។
prospection	anticipation	0.719	ការរំពឹងទុក
voyage	anticipation	0.719	ការធ្វើដំណើរ
prospect	anticipation	0.719	ការរំពឹងទុក
aspire	anticipation	0.719	សេចក្តីប្រាថ្នា
rapture	anticipation	0.711	ការលើកឡើង
suspense	anticipation	0.711	ការ​សង្ស័យ
journey	anticipation	0.711	ការ​ធ្វើ​ដំណើរ
kiss	anticipation	0.711	ថើប
enthusiasm	anticipation	0.711	ភាពរីករាយ
yearning	anticipation	0.711	ប្រាថ្នា
ecstasy	anticipation	0.711	សោកស្ដាយ
mystery	anticipation	0.711	អាថ៌កំបាំង
prospective	anticipation	0.703	អនាគត
frantic	anticipation	0.703	ភ័យស្លន់ស្លោ
destination	anticipation	0.703	គោលដៅ
excitation	anticipation	0.703	ការរំភើបចិត្ត
lottery	anticipation	0.703	ឆ្នោត
hopeful	anticipation	0.703	សង្ឃឹម
thrill	anticipation	0.703	រំភើប
progress	anticipation	0.703	វឌ្ឍនភាព
urgency	anticipation	0.703	ភាពបន្ទាន់
tantalizing	anticipation	0.703	គួរឱ្យធុញថប់
liberate	anticipation	0.695	រំដោះ
hurry	anticipation	0.695	ប្រញាប់
explore	anticipation	0.695	រុករក
advance	anticipation	0.695	ទៅមុខ
vacation	anticipation	0.695	វិស្សមកាល
sex	anticipation	0.695	ការរួមភេទ
achievement	anticipation	0.695	សមិទ្ធិផល
readiness	anticipation	0.695	ការត្រៀមខ្លួន
expectation	anticipation	0.695	ការរំពឹងទុក
prediction	anticipation	0.695	ការព្យាករណ៍
arrival	anticipation	0.695	ការមកដល់
allure	anticipation	0.688	ទាក់ទាញ
ecstatic	anticipation	0.688	រីករាយ
approaching	anticipation	0.688	ខិតជិត
honeymoon	anticipation	0.680	ក្រេបទឹកឃ្មុំ
roulette	anticipation	0.680	រ៉ូឡែត
uprising	anticipation	0.680	ការបះបោរ
holiday	anticipation	0.672	ថ្ងៃឈប់សម្រាក
crescendo	anticipation	0.672	crescendo
celebrating	anticipation	0.672	ប្រារព្ធពិធី
wishful	anticipation	0.672	ប្រាថ្នា
waiting	anticipation	0.664	រង់ចាំ
invitation	anticipation	0.664	ការអញ្ជើញ
rescue	anticipation	0.664	ការសង្គ្រោះ
impending	anticipation	0.664	ជិតមកដល់
winning	anticipation	0.664	ឈ្នះ
craving	anticipation	0.664	ចំណង់
winnings	anticipation	0.664	ការឈ្នះ
triumph	anticipation	0.664	ជ័យជំនះ
orgasm	anticipation	0.664	ចំណុចកំពូល
marriage	anticipation	0.656	អាពាហ៍ពិពាហ៍
bridal	anticipation	0.656	កូនក្រមុំ
victory	anticipation	0.656	ជ័យជំនះ
courtship	anticipation	0.656	ការ​ទាក់​ទង
gain	anticipation	0.656	ចំណេញ
aspiring	anticipation	0.656	សេចក្តីប្រាថ្នា
strive	anticipation	0.656	ខិតខំ
reward	anticipation	0.656	រង្វាន់
celebration	anticipation	0.656	ការប្រារព្ធពិធី
jackpot	anticipation	0.656	Jackpot
bridegroom	anticipation	0.656	កូនកំលោះ
fortune	anticipation	0.656	សំណាង
tomorrow	anticipation	0.648	ថ្ងៃស្អែក
rising	anticipation	0.648	កើនឡើង
inheritance	anticipation	0.648	មរតក
alertness	anticipation	0.648	ការប្រុងប្រយ័ត្ន
crowning	anticipation	0.648	មកុដ
aspiration	anticipation	0.648	សេចក្តីប្រាថ្នា
delivery	anticipation	0.648	ការដឹកជញ្ជូន
opportunity	anticipation	0.648	ឱកាស
intrigue	anticipation	0.648	ល្បិច
prescient	anticipation	0.648	ស័ក្តិសិទ្ធិ
treasure	anticipation	0.648	កំណប់
erotic	anticipation	0.641	មនោសញ្ចេតនា
revolution	anticipation	0.641	បដិវត្តន៍
launch	anticipation	0.641	បើកដំណើរការ
reckoning	anticipation	0.641	ការគិតគូរ
prognosis	anticipation	0.641	ការព្យាករណ៍
happiness	anticipation	0.641	សុភមង្គល
celebrated	anticipation	0.641	បានប្រារព្ធឡើង
receiving	anticipation	0.641	ទទួល
possibility	anticipation	0.641	លទ្ធភាព
expedition	anticipation	0.641	បេសកកម្ម
bride	anticipation	0.641	កូនក្រមុំ
engaged	anticipation	0.641	ភ្ជាប់ពាក្យ
anxious	anticipation	0.641	ថប់បារម្ភ
hype	anticipation	0.641	ឃោសនាបំផ្លើស
spectacular	anticipation	0.641	អស្ចារ្យ
award	anticipation	0.641	រង្វាន់
prepare	anticipation	0.633	រៀបចំ
coming	anticipation	0.633	មក
graduation	anticipation	0.633	បញ្ចប់ការសិក្សា
destiny	anticipation	0.633	វាសនា
miracle	anticipation	0.633	អព្ភូតហេតុ
beware	anticipation	0.633	ប្រយ័ត្ន
succeed	anticipation	0.633	ជោគជ័យ
passionate	anticipation	0.633	ងប់ងល់
birthday	anticipation	0.633	ថ្ងៃកំណើត
passion	anticipation	0.633	ចំណង់ចំណូលចិត្ត
ominous	anticipation	0.633	អាក្រក់
captivate	anticipation	0.633	ទាក់ទាញ
vision	anticipation	0.633	ចក្ខុវិស័យ
delight	anticipation	0.633	រីករាយ
curious	anticipation	0.633	ចង់ដឹងចង់ឃើញ
firstborn	anticipation	0.633	កូនច្បង
await	anticipation	0.633	រង់ចាំ
triumphant	anticipation	0.625	ជ័យជំនះ
escape	anticipation	0.625	រត់គេចខ្លួន
optimism	anticipation	0.625	សុទិដ្ឋិនិយម
retirement	anticipation	0.625	ការចូលនិវត្តន៍
foresee	anticipation	0.625	ទាយ
inspiration	anticipation	0.625	ការបំផុសគំនិត
ripen	anticipation	0.625	ទុំ
gift	anticipation	0.625	អំណោយ
revival	anticipation	0.625	ការរស់ឡើងវិញ
lust	anticipation	0.625	តណ្ហា
risky	anticipation	0.617	ប្រថុយប្រថាន
foreboding	anticipation	0.617	ការហាមឃាត់
bloom	anticipation	0.617	រីក
verge	anticipation	0.617	ជិត
embrace	anticipation	0.617	ឱប
destined	anticipation	0.617	វាសនា
surprisingly	anticipation	0.617	គួរ​ឱ្យ​ភ្ញាក់ផ្អើល
ambition	anticipation	0.617	មហិច្ឆតា
simmering	anticipation	0.617	ចំហុយ
enchanting	anticipation	0.617	គួរឱ្យទាក់ទាញ
foresight	anticipation	0.617	ការមើលឃើញទុកជាមុន
lookout	anticipation	0.609	ឃ្លាំមើល
anxiety	anticipation	0.609	ការថប់បារម្ភ
forecast	anticipation	0.609	ការព្យាករណ៍
seductive	anticipation	0.609	ទាក់ទាញ
bonus	anticipation	0.609	ប្រាក់រង្វាន់
succeeding	anticipation	0.609	ជោគជ័យ
matrimony	anticipation	0.609	អាពាហ៍ពិពាហ៍
magical	anticipation	0.609	វេទមន្ត
alerts	anticipation	0.609	ការជូនដំណឹង
winner	anticipation	0.602	អ្នកឈ្នះ
applicant	anticipation	0.602	អ្នកដាក់ពាក្យ
fulfillment	anticipation	0.602	ការបំពេញ
deserve	anticipation	0.602	សមនឹងទទួលបាន
inspire	anticipation	0.602	បំផុសគំនិត
foreseen	anticipation	0.602	ព្យាករណ៍
intended	anticipation	0.602	មានបំណង
boomerang	anticipation	0.602	boomerang
picnic	anticipation	0.602	ពិកនិច
longing	anticipation	0.602	ការចង់បាន
revenge	anticipation	0.602	សងសឹក
success	anticipation	0.602	ជោគជ័យ
diagnosis	anticipation	0.602	រោគវិនិច្ឆ័យ
visionary	anticipation	0.602	ចក្ខុវិស័យ
prophetic	anticipation	0.602	ទំនាយ
entertaining	anticipation	0.602	កម្សាន្ត
nervous	anticipation	0.602	ភ័យ
illuminate	anticipation	0.594	បំភ្លឺ
accelerate	anticipation	0.594	បង្កើនល្បឿន
advent	anticipation	0.594	ការមកដល់
romance	anticipation	0.594	មនោសញ្ចេតនា
result	anticipation	0.594	លទ្ធផល
arrive	anticipation	0.594	មកដល់
momentum	anticipation	0.594	សន្ទុះ
buzz	anticipation	0.594	ការភ្ញាក់ផ្អើល
rekindle	anticipation	0.594	ផ្ទុះឡើងវិញ
preparedness	anticipation	0.594	ការត្រៀមខ្លួន
acquiring	anticipation	0.594	ការទទួលបាន
luck	anticipation	0.594	សំណាង
marry	anticipation	0.594	រៀបការ
predict	anticipation	0.589	ទស្សន៍ទាយ
money	anticipation	0.586	លុយ
auspices	anticipation	0.586	ជំនួយ
uplift	anticipation	0.586	លើក
fiesta	anticipation	0.586	ហ្វេសតា
enjoying	anticipation	0.586	រីករាយ
preparation	anticipation	0.586	ការរៀបចំ
raffle	anticipation	0.586	ការចាប់ឆ្នោត
investigation	anticipation	0.586	ការស៊ើបអង្កេត
progression	anticipation	0.586	វឌ្ឍនភាព
overdue	anticipation	0.586	ហួសកាលកំណត់
crave	anticipation	0.586	ប្រាថ្នា
impatient	anticipation	0.586	អត់ធ្មត់
enthusiast	anticipation	0.586	អ្នកចូលចិត្ត
flirt	anticipation	0.586	ចែចង់
seek	anticipation	0.586	ស្វែងរក
sequel	anticipation	0.586	វគ្គបន្ត
presumption	anticipation	0.586	ការសន្មត់
delightful	anticipation	0.586	រីករាយ
gambling	anticipation	0.586	ល្បែងស៊ីសង
immerse	anticipation	0.586	ជ្រមុជទឹក
endeavor	anticipation	0.586	ការ​ខិត​ខំ
experiment	anticipation	0.580	ពិសោធន៍
enjoy	anticipation	0.578	រីករាយ
completing	anticipation	0.578	ការបញ្ចប់
clamor	anticipation	0.578	ការស្រែកថ្ងូរ
angling	anticipation	0.578	មុំ
majestic	anticipation	0.578	អស្ចារ្យ
divination	anticipation	0.578	ទស្សន៍ទាយ
transcendence	anticipation	0.578	វិញ្ញាសា
thriving	anticipation	0.578	រីកចម្រើន
excavation	anticipation	0.578	ការជីកកកាយ
thirst	anticipation	0.578	ស្រេកទឹក
remedy	anticipation	0.578	សំណង
harvest	anticipation	0.578	ការប្រមូលផល
risk	anticipation	0.578	ហានិភ័យ
healing	anticipation	0.578	ការព្យាបាល
heavenly	anticipation	0.578	ស្ថានសួគ៌
inviting	anticipation	0.578	ការអញ្ជើញ
precarious	anticipation	0.578	មិនច្បាស់លាស់
attainable	anticipation	0.578	អាចសម្រេចបាន។
blessing	anticipation	0.578	ពរជ័យ
prosper	anticipation	0.578	រីកចម្រើន
tease	anticipation	0.570	លេងសើច
plan	anticipation	0.570	ផែនការ
sweetheart	anticipation	0.570	សម្លាញ់
zest	anticipation	0.570	zest
magnificence	anticipation	0.570	ភាពអស្ចារ្យ
ultimate	anticipation	0.570	ចុងក្រោយ
emancipation	anticipation	0.570	ការរំដោះខ្លួន
restlessness	anticipation	0.570	ភាពអត់ឃ្លាន
finally	anticipation	0.570	ចុងក្រោយ
intimate	anticipation	0.570	ស្និទ្ធស្នាល។
omen	anticipation	0.570	ប្រផ្នូល
matchmaker	anticipation	0.570	អ្នកផ្គូផ្គង
gambler	anticipation	0.570	អ្នកលេងល្បែង
prospectively	anticipation	0.570	អនាគត
dare	anticipation	0.570	ហ៊ាន
warned	anticipation	0.570	បានព្រមាន
invite	anticipation	0.570	អញ្ជើញ
mysterious	anticipation	0.562	អាថ៌កំបាំង
accolade	anticipation	0.562	រង្វាន់
lover	anticipation	0.562	គូស្នេហ៍
expose	anticipation	0.562	លាតត្រដាង
enchant	anticipation	0.562	មន្តស្នេហ៍
attempt	anticipation	0.562	ការប៉ុនប៉ង
festival	anticipation	0.562	ពិធីបុណ្យ
exalt	anticipation	0.562	លើកតម្កើង
rejoice	anticipation	0.562	រីករាយ
independence	anticipation	0.562	ឯករាជ្យ
expected	anticipation	0.562	រំពឹងទុក
fanfare	anticipation	0.562	អ្នកគាំទ្រ
immortality	anticipation	0.562	អមតៈ
quicken	anticipation	0.562	រហ័ស
parade	anticipation	0.562	ក្បួនដង្ហែ
fun	anticipation	0.562	សប្បាយ
predilection	anticipation	0.562	ការព្យាករណ៍
champion	anticipation	0.562	ជើងឯក
forewarned	anticipation	0.562	បាន​ព្រមាន
hypothesis	anticipation	0.562	សម្មតិកម្ម
trophy	anticipation	0.562	ពានរង្វាន់
shopping	anticipation	0.555	ការដើរទិញឥវ៉ាន់
salvation	anticipation	0.555	ការសង្គ្រោះ
feeling	anticipation	0.555	អារម្មណ៍
speculative	anticipation	0.555	ការប៉ាន់ស្មាន
oracle	anticipation	0.555	oracle
heroism	anticipation	0.555	វីរភាព
boisterous	anticipation	0.555	ក្ដៅក្រហាយ
grasping	anticipation	0.555	ការចាប់
uneasiness	anticipation	0.555	ភាពមិនស្រួល
curiosity	anticipation	0.555	ការចង់ដឹងចង់ឃើញ
happy	anticipation	0.555	រីករាយ
rejoicing	anticipation	0.555	រីករាយ
fate	anticipation	0.555	វាសនា
liberty	anticipation	0.555	សេរីភាព
unfold	anticipation	0.555	លាតត្រដាង
amour	anticipation	0.555	ស្នេហា
lovely	anticipation	0.555	គួរឱ្យស្រឡាញ់
splendor	anticipation	0.555	ភាពរុងរឿង
grow	anticipation	0.555	លូតលាស់
glimmer	anticipation	0.547	ភ្លឺចាំង
incite	anticipation	0.547	ញុះញង់
abundance	anticipation	0.547	ភាពសម្បូរបែប
resultant	anticipation	0.547	លទ្ធផល
probability	anticipation	0.547	ប្រូបាប៊ីលីតេ
recreational	anticipation	0.547	ការកំសាន្ត
glory	anticipation	0.547	សិរីរុងរឿង
agape	anticipation	0.547	អាហ្គាប
delighted	anticipation	0.547	រីករាយ
changeable	anticipation	0.547	អាចផ្លាស់ប្តូរបាន។
convergence	anticipation	0.547	ការបញ្ចូលគ្នា
bountiful	anticipation	0.547	សម្បូរបែប
warn	anticipation	0.547	ព្រមាន
monetary	anticipation	0.547	រូបិយវត្ថុ
sorcery	anticipation	0.547	អាបធ្មប់
morrow	anticipation	0.547	ស្អែក
apprehensive	anticipation	0.547	ភ័យព្រួយ
hungry	anticipation	0.547	ឃ្លាន
vote	anticipation	0.547	បោះឆ្នោត
suspicious	anticipation	0.547	គួរឱ្យសង្ស័យ
pray	anticipation	0.547	អធិស្ឋាន
leisure	anticipation	0.547	ការកំសាន្ត
hunting	anticipation	0.539	ការបរបាញ់
sensual	anticipation	0.539	ត្រេកត្រអាល។
tempest	anticipation	0.539	ខ្យល់ព្យុះ
auction	anticipation	0.539	ការដេញថ្លៃ
ballot	anticipation	0.539	សន្លឹកឆ្នោត
grandchildren	anticipation	0.539	ចៅៗ
hankering	anticipation	0.539	ការដើរលេង
entertainment	anticipation	0.539	ការកម្សាន្ត
merge	anticipation	0.539	បញ្ចូលគ្នា
exceed	anticipation	0.539	លើស
vindication	anticipation	0.539	ការបញ្ជាក់
blessings	anticipation	0.539	ពរជ័យ
inquiry	anticipation	0.539	ការសាកសួរ
bounty	anticipation	0.539	រង្វាន់
worrying	anticipation	0.539	បារម្ភ
contingent	anticipation	0.539	ជាប់ពាក់ព័ន្ធ
glad	anticipation	0.536	រីករាយ
harbinger	anticipation	0.531	harbinger
magnificent	anticipation	0.531	អស្ចារ្យ
virginity	anticipation	0.531	ព្រហ្មចារី
stealthy	anticipation	0.531	លួចលាក់
appeal	anticipation	0.531	បណ្តឹងឧទ្ធរណ៍
forming	anticipation	0.531	ការបង្កើត
celestial	anticipation	0.531	សេឡេស្ទាល
raving	anticipation	0.531	ច្រណែន
deliverance	anticipation	0.531	ការរំដោះ
feat	anticipation	0.531	ស្នាដៃ
cheer	anticipation	0.531	រីករាយ
responsive	anticipation	0.531	ឆ្លើយតប
hurried	anticipation	0.531	ប្រញាប់
betrothed	anticipation	0.531	បានរៀបការ
overthrow	anticipation	0.531	ផ្តួលរំលំ
spirits	anticipation	0.531	វិញ្ញាណ
dread	anticipation	0.531	ខ្លាច
visitor	anticipation	0.531	អ្នកទស្សនា
wait	anticipation	0.523	រង់ចាំ
revive	anticipation	0.523	រស់ឡើងវិញ
watch	anticipation	0.523	មើល
hunter	anticipation	0.523	អ្នកប្រមាញ់
radiance	anticipation	0.523	រស្មី
planning	anticipation	0.523	ការធ្វើផែនការ
germination	anticipation	0.523	ដំណុះ
competition	anticipation	0.523	ការប្រកួតប្រជែង
preparatory	anticipation	0.523	រៀបចំ
prognostic	anticipation	0.523	ការព្យាករណ៍
beaming	anticipation	0.523	បន្លឺឡើង
cheery	anticipation	0.523	រីករាយ
prevail	anticipation	0.523	ឈ្នះ
importance	anticipation	0.523	សារៈសំខាន់
notification	anticipation	0.523	ការជូនដំណឹង
explosive	anticipation	0.523	ផ្ទុះ
pleasant	anticipation	0.523	រីករាយ
ultimately	anticipation	0.523	នៅទីបំផុត
child	anticipation	0.523	កូន
haste	anticipation	0.523	ប្រញាប់
prophet	anticipation	0.523	ហោរា
recreation	anticipation	0.516	ការកំសាន្ត
present	anticipation	0.516	បច្ចុប្បន្ន
time	anticipation	0.516	ពេលវេលា
sensuality	anticipation	0.516	ត្រេកត្រអាល។
owing	anticipation	0.516	ជំពាក់
loom	anticipation	0.516	ត្បាញ
begun	anticipation	0.516	ចាប់ផ្តើម
salary	anticipation	0.516	ប្រាក់ខែ
celebrity	anticipation	0.516	តារាល្បី
treat	anticipation	0.516	ព្យាបាល
chocolate	anticipation	0.516	សូកូឡា
caution	anticipation	0.516	ការប្រុងប្រយ័ត្ន
fermentation	anticipation	0.516	fermentation
uncontrollable	anticipation	0.516	មិនអាចគ្រប់គ្រងបាន។
precious	anticipation	0.516	ដ៏មានតម្លៃ
compensate	anticipation	0.516	ប៉ះប៉ូវ
endanger	anticipation	0.516	គ្រោះថ្នាក់
renovation	anticipation	0.516	ជួសជុល
signify	anticipation	0.508	សញ្ញា
vigilance	anticipation	0.508	ការប្រុងប្រយ័ត្ន
prerequisite	anticipation	0.508	តម្រូវការជាមុន
perfection	anticipation	0.508	ភាពល្អឥតខ្ចោះ
cultivate	anticipation	0.508	ដាំដុះ
develop	anticipation	0.508	អភិវឌ្ឍ
cue	anticipation	0.508	សញ្ញា
exigent	anticipation	0.508	exigent
transitional	anticipation	0.508	អន្តរកាល
commemoration	anticipation	0.508	ការរំលឹក
intermission	anticipation	0.508	ការផ្អាក
elevation	anticipation	0.508	កម្ពស់
infant	anticipation	0.508	ទារក
practise	anticipation	0.508	ការអនុវត្ត
contemplation	anticipation	0.508	ការសញ្ជឹងគិត
dreadful	anticipation	0.508	គួរឱ្យខ្លាច
wilderness	anticipation	0.508	ទីរហោស្ថាន
horizon	anticipation	0.508	ជើងមេឃ
sneaking	anticipation	0.500	លួចលាក់
uphill	anticipation	0.500	ឡើងភ្នំ
puppy	anticipation	0.500	កូនឆ្កែ
blindfold	anticipation	0.500	បិទភ្នែក
unbridled	anticipation	0.500	មិន​រឹង​ទទឹង
horoscope	anticipation	0.500	ហោរាសាស្ត្រ
airport	anticipation	0.500	ព្រ​លាន​យន្តហោះ
reconciliation	anticipation	0.500	ការផ្សះផ្សា
advocacy	anticipation	0.500	ការតស៊ូមតិ
litigate	anticipation	0.500	ដោះស្រាយ
sunny	anticipation	0.500	ពន្លឺថ្ងៃ
intuitively	anticipation	0.500	ដោយវិចារណញាណ
hero	anticipation	0.500	វីរបុរស
ardent	anticipation	0.500	ឧស្សាហ៍
commemorate	anticipation	0.500	រំលឹក
romantic	anticipation	0.500	មនោសញ្ចេតនា
doomsday	anticipation	0.500	ថ្ងៃវិនាស
ready	anticipation	0.500	រួចរាល់
nascent	anticipation	0.500	ដើមកំណើត
invocation	anticipation	0.500	ការអំពាវនាវ
depart	anticipation	0.500	ចាកចេញ
undisclosed	anticipation	0.500	មិនបង្ហាញ
attendance	anticipation	0.500	ការចូលរួម
peril	anticipation	0.500	គ្រោះថ្នាក់
income	anticipation	0.500	ប្រាក់ចំណូល
calculation	anticipation	0.500	ការគណនា
zeal	anticipation	0.500	ខ្នះខ្នែង
eventuality	anticipation	0.500	ភាពជាយថាហេតុ
favorable	anticipation	0.500	អំណោយផល
utopian	anticipation	0.500	យូតូបៀន
swim	anticipation	0.500	ហែលទឹក
proceeding	anticipation	0.492	ដំណើរការ
eventual	anticipation	0.492	ជាយថាហេតុ
heyday	anticipation	0.492	ថ្ងៃដ៏រុងរឿង
undertaking	anticipation	0.492	កិច្ច​ការ
improvise	anticipation	0.492	improvise
inauguration	anticipation	0.492	សម្ពោធ
consequent	anticipation	0.492	លទ្ធផល
perspective	anticipation	0.492	ទស្សនវិស័យ
defense	anticipation	0.492	ការពារ
repay	anticipation	0.492	សង
gaping	anticipation	0.492	គម្លាត
youth	anticipation	0.492	យុវជន
parole	anticipation	0.492	ការដោះលែង
worry	anticipation	0.492	បារម្ភ
bless	anticipation	0.492	ប្រទានពរ
restorative	anticipation	0.492	ស្តារឡើងវិញ
court	anticipation	0.492	តុលាការ
highest	anticipation	0.491	ខ្ពស់បំផុត
shortly	anticipation	0.484	មិនយូរប៉ុន្មាន
auspicious	anticipation	0.484	សំណាង
princely	anticipation	0.484	ព្រះអង្គម្ចាស់
correspondence	anticipation	0.484	ការ​ឆ្លើយឆ្លង
generosity	anticipation	0.484	សប្បុរសធម៌
sparkle	anticipation	0.484	ផ្កាភ្លើង
voluptuous	anticipation	0.484	វក់វី
happen	anticipation	0.484	កើតឡើង
tremor	anticipation	0.484	ញ័រ
letter	anticipation	0.484	សំបុត្រ
vow	anticipation	0.484	សច្ចា
sharpen	anticipation	0.484	ធ្វើឱ្យច្បាស់
duel	anticipation	0.484	duel
conjure	anticipation	0.484	សន្មត
threaten	anticipation	0.484	គំរាមកំហែង
god	anticipation	0.484	ព្រះ
engulf	anticipation	0.484	engulf
unexplained	anticipation	0.484	មិនអាចពន្យល់បាន។
contagion	anticipation	0.484	ការឆ្លង
glorify	anticipation	0.477	លើកតម្កើង
submit	anticipation	0.477	ដាក់ស្នើ
enroll	anticipation	0.477	ចុះឈ្មោះ
unification	anticipation	0.477	ការបង្រួបបង្រួម
gravitate	anticipation	0.477	ទំនាញ
glide	anticipation	0.477	រអិល
accompaniment	anticipation	0.477	អមដំណើរ
cherish	anticipation	0.477	ស្រឡាញ់
adore	anticipation	0.477	គោរព
powerful	anticipation	0.477	ខ្លាំង
clue	anticipation	0.477	តម្រុយ
medal	anticipation	0.477	មេដាយ
contemplate	anticipation	0.477	សញ្ជឹងគិត
perilous	anticipation	0.477	គ្រោះថ្នាក់
determinate	anticipation	0.477	កំណត់
arbitration	anticipation	0.477	អាជ្ញាកណ្តាល
recipient	anticipation	0.477	អ្នកទទួល
onset	anticipation	0.477	ចាប់ផ្តើម
predispose	anticipation	0.477	predispose
score	anticipation	0.477	ពិន្ទុ
torture	anticipation	0.477	ការធ្វើទារុណកម្ម
glow	anticipation	0.477	ពន្លឺ
praiseworthy	anticipation	0.473	គួរឲ្យសរសើរ
football	anticipation	0.469	បាល់ទាត់
scare	anticipation	0.469	បន្លាច
elite	anticipation	0.469	វរជន
unknown	anticipation	0.469	មិនស្គាល់
precursor	anticipation	0.469	មុនគេ
pry	anticipation	0.469	អង្កាញ់
providing	anticipation	0.469	ការផ្តល់
sweets	anticipation	0.469	បង្អែម
cautious	anticipation	0.469	ប្រុងប្រយ័ត្ន
opera	anticipation	0.469	ល្ខោនអូប៉េរ៉ា
motion	anticipation	0.469	ចលនា
cash	anticipation	0.469	សាច់ប្រាក់
creeping	anticipation	0.469	លូន
invoke	anticipation	0.469	អំពាវនាវ
star	anticipation	0.469	តារា
shaky	anticipation	0.469	ញ័រ
production	anticipation	0.469	ផលិតផល
successful	anticipation	0.469	ជោគជ័យ
immediately	anticipation	0.469	ភ្លាមៗ
